game;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5
DUI X KAI 24-07-2015;-6;-7;-4;-5;-78;-41;25;-1;20;-76;90;5;29;21;45.0;36;4;-6;-3;-5;-9;-5;5;-78;-47.0;45;9;-6;9;4.0;29;15.0;-12;48;-7;-10;-9;-6;-34;-21;0.0;-2;-1;-2;-2;33;-2;-2;-32;-19;-11;-7;-9;-8;30;44;15;21;17;15;6;1;6;8;4;2;-6;-31;-2;5;6;3;-6;-1;-6;5;5;8;-13;9;100;54;31;12;-31;-21;-8;20;-31;-11;-16;5.0
FUR X KAR 25-07-2015;-6;44;47;29;23;15;10;5;-4;-4;-21;5;-31;-37;-20.0;-20;22;3;4;9;2;10;-6;55;2.0;-6;-7;5;-9;10.0;4;2.0;-6;5;-2;-2;5;1;-21;-6;0.0;-1;-1;35;15;-6;8;5;7;11;12;27;10;28;49;26;7;21;16;10;6;1;3;-13;8;3;4;3;30;16;21;15;16;40;26;7;12;-8;3;-5;-5;8;4;6;6;6;11;12;28;63;92;50.0
STP X ARM 25-07-2015;1;1;13;8;4;-15;31;7;-5;61;36;1;24;15;9.0;6;-10;21;29;17;50;30;1;-18;3.0;33;17;7;-33;-9.0;-5;8.0;4;-10;36;28;48;35;42;25;-25.0;8;6;5;-3;-5;2;7;6;5;4;53;32;20;13;-29;-37;-94;-55;42;6;97;29;18;14;39;28;-22;60;37;17;10;36;20;19;8;36;21;-8;4;-29;-13;-48;-27;-18;-12;-45;-42;-23;6;-11;-55.0
FSV X RBL 25-07-2015;6;3;-4;7;8;6;4;4;-19;42;24;-4;20;12;10.0;-39;-15;-3;-1;2;-29;-20;2;-2;1.0;1;-5;1;-30;-22.0;-18;-14.0;-8;-4;6;2;-5;1;-5;6;15.0;31;22;7;8;-6;4;-31;-14;-9;-51;-100;-61;-58;-45;-19;-8;-1;-1;-1;9;-6;-1;-1;-1;-2;-2;-3;5;-1;80;78;56;28;17;4;1;1;7;5;8;35;21;7;-5;-5;-35;-20;36;3;-5;0.0
SCP X BOC 26-07-2015;6;4;-5;-39;-22;-13;-12;-11;6;-5;1;8;6;-10;21.0;6;-20;-8;6;-4;-1;1;10;1;1.0;2;2;-4;2;7.0;-29;-13.0;-11;12;-5;-2;1;12;58;41;;25;21;38;60;7;31;19;7;3;-4;-1;7;44;32;20;-5;62;37;-75;-28;-16;-13;-7;1;1;25;1;45;27;21;13;6;46;23;13;8;-5;1;-100;-55;-27;-16;21;14;18;46;22;7;6;5;80.0
HEI X MUN 26-07-2015;1;13;3;8;-40;-25;-45;-25;-45;31;4;-5;10;12;9.0;4;8;10;16;40;25;15;6;9;6.0;2;12;8;-5;-5.0;-1;1.0;1;2;1;7;10;7;5;-40;0.0;36;8;11;12;6;16;8;5;3;2;2;12;8;56;44;4;32;10;12;4;3;62;39;24;20;8;-5;1;-49;-27;-15;32;9;-29;102;100;100;1;53;35;19;-19;-9;-3;136;85;58;40;6;19;-35.0
UNB X DUS 26-07-2015;-1;-2;10;-1;2;-21;-17;-11;40;13;-21;10;-1;5;10.0;4;3;41;23;12;7;8;4;-6;-52.0;-31;-13;-8;-24;-10.0;-1;-6.0;-8;-6;-8;-45;-42;-24;-24;-30;0.0;31;8;1;61;5;45;30;19;18;12;3;2;-9;-3;-61;76;-95;-90;-21;52;28;17;49;48;55;34;43;21;71;42;28;58;53;26;-61;-28;-20;-31;-14;-29;20;22;-31;-6;-43;-47;-100;-61;-2;-67;
EBR X SAN 26-07-2015;6;6;11;3;-3;3;3;4;-3;-5;-2;10;6;2;-5.0;1;1;6;3;2;7;79;3;42;-75.0;-33;-50;-34;61;29.0;18;13.0;18;9;-40;-39;-97;-17;-10;-2;;-4;12;4;22;3;-35;-12;-12;-7;-10;6;1;-10;11;-5;-3;-1;6;23;13;33;20;-75;-33;-20;-8;8;6;10;21;12;-65;-39;-18;-6;31;-35;6;-6;-8;-9;-37;-23;-13;-6;41;64;69;5;1;0.0
SCF X NUR 27-07-2015;1;28;98;64;34;97;29;17;11;8;-4;5;47;28;23.0;15;10;4;44;27;22;-39;44;-13;-9.0;-4;32;21;19;13.0;9;25.0;17;51;11;84;51;46;9;-73;45.0;-18;-78;-14;-9;52;-10;-10;-31;-21;-93;-60;-36;-24;-20;-1;32;5;81;53;26;20;11;-11;-1;-46;-33;25;35;14;7;37;22;5;-6;35;46;28;88;13;4;-4;6;1;16;16;5;8;10;47;6;95.0
NUR X HEI 31-07-2015;6;39;26;15;5;78;-70;-14;-28;-100;-77;54;-40;-18;31.0;55;28;12;2;11;-5;6;33;18;11.0;11;43;21;-29;12.0;6;16.0;6;20;42;5;38;-29;-2;2;5.0;-4;2;-4;-1;17;2;1;6;5;-4;7;4;3;2;23;45;-74;-39;-32;-43;32;28;68;42;28;35;23;20;4;3;3;-19;-9;-54;-61;-36;-24;74;-8;1;7;10;12;7;-30;-29;76;24;49;-20;0.0
ARM X FSV 31-07-2015;-1;16;9;6;4;1;-5;-2;-1;1;1;-6;-5;-7;31.0;10;1;6;29;40;24;38;29;25;11.0;32;17;6;1;-7.0;-27;-48.0;-35;13;-22;-20;-42;24;3;-12;-5.0;29;14;8;-6;7;-11;-8;5;-1;-1;25;35;55;33;29;4;15;7;-31;-21;-13;-27;-16;-7;26;12;-5;39;23;14;-25;-10;-8;41;21;14;8;-2;-30;-17;21;6;-40;-44;-26;-17;-10;-3;21;5;10.0
