game;addedTime;id;incidentClass;incidentType;isHome;player;playerName;reason;time
BOC X UNB 06-08-2016;;118504678;yellow;card;True;{'name': 'Johannes Wurtz', 'slug': 'johannes-wurtz', 'shortName': 'J. Wurtz', 'position': 'F', 'userCount': 10, 'id': 152115};;;90
BOC X UNB 06-08-2016;;118504637;yellow;card;False;{'name': 'Damir Kreilach', 'slug': 'damir-kreilach', 'shortName': 'D. Kreilach', 'position': 'M', 'userCount': 100, 'id': 50505};;;42
BOC X UNB 06-08-2016;;118504615;yellow;card;False;{'name': 'Fabian Schönheim', 'slug': 'fabian-schonheim', 'shortName': 'F. Schönheim', 'position': 'D', 'userCount': 6, 'id': 8782};;;39
DRE X NUR 06-08-2016;;118504810;yellow;card;False;{'name': 'Jakub Sylvestr', 'slug': 'jakub-sylvestr', 'shortName': 'J. Sylvestr', 'position': 'F', 'userCount': 20, 'id': 1000041};;;85
DRE X NUR 06-08-2016;;118504801;yellow;card;False;{'name': 'Enis Alushi', 'slug': 'enis-alushi', 'shortName': 'E. Alushi', 'position': 'M', 'userCount': 13, 'id': 4469};;;74
DRE X NUR 06-08-2016;;118504700;yellow;card;False;{'name': 'Georg Margreitter', 'slug': 'georg-margreitter', 'shortName': 'G. Margreitter', 'position': 'D', 'userCount': 104, 'id': 26214};;;15
SAN X DUS 06-08-2016;1.0;118504818;yellow;card;True;{'name': 'Tim Kister', 'slug': 'tim-kister', 'shortName': 'T. Kister', 'position': 'D', 'userCount': 10, 'id': 121792};;;90
SAN X DUS 06-08-2016;;118504813;yellow;card;True;{'name': 'Philipp Klingmann', 'slug': 'philipp-klingmann', 'shortName': 'P. Klingmann', 'position': 'D', 'userCount': 5, 'id': 123682};;;87
SAN X DUS 06-08-2016;;118504804;yellow;card;True;{'name': 'Damian Roßbach', 'slug': 'damian-rossbach', 'shortName': 'D. Roßbach', 'position': 'D', 'userCount': 6, 'id': 142116};;;80
SAN X DUS 06-08-2016;;118504791;yellow;card;True;{'name': 'Andrew Wooten', 'slug': 'andrew-wooten', 'shortName': 'A. Wooten', 'position': 'F', 'userCount': 45, 'id': 39884};;;71
