game;length;time;addedTime;incidentType
BOC X UNB 06-08-2016;3;90;0;injuryTime
DRE X NUR 06-08-2016;5;90;0;injuryTime
DRE X NUR 06-08-2016;1;45;0;injuryTime
FUR X MUN 07-08-2016;4;90;0;injuryTime
ARM X KAR 07-08-2016;1;90;0;injuryTime
ARM X KAR 07-08-2016;2;45;0;injuryTime
EBR X WKI 07-08-2016;2;90;0;injuryTime
SAN X STU 26-08-2016;3;45;0;injuryTime
STP X ARM 10-09-2016;4;45;0;injuryTime
UNB X H96 16-10-2016;8;90;0;injuryTime
STP X BOC 17-12-2016;6;45;0;injuryTime
EBR X STP 05-02-2017;7;90;0;injuryTime
UNB X NUR 20-03-2017;6;90;0;injuryTime
