game;accuratePass;aerialDuels;challengeLost;dispossessed;fouls;goalAssist;goals;goodHighClaim;groundDuels;id;interceptionWon;keyPass;minutesPlayed;name;national;offsides;outfielderBlock;position;punches;rating;runsOut;saves;shortName;shotsBlocked;shotsOffTarget;shotsOnTarget;slug;team;team_id;team_name;totalClearance;totalContest;totalCross;totalDuels;totalLongBalls;totalPass;totalTackle;touches;wasFouled
MUN X UNB 16-09-2016;75 (85%);4 (2);1;1;0;;1;;3 (1);3743;1;6;90';Michael Liendl;False;;0;M;;8.1;;;M. Liendl;2;3;1;1860-munchen;MUN;2536;1860 München;0;0 (0);6 (0);7 (3);22 (17);75 (85%);1;106;0
MUN X UNB 16-09-2016;15 (53%);6 (3);;0;1;;;;4 (2);48557;4;1;90';Christopher Trimmel;False;;5;D;;7.5;;;C. Trimmel;0;0;0;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;2;1 (0);0 (0);10 (5);2 (1);15 (53%);1;53;1
MUN X UNB 16-09-2016;19 (76%);5 (4);;1;1;;;;5 (3);137053;3;0;90';Toni Leistner;False;;3;D;;7.4;;;T. Leistner;0;0;0;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;5;0 (0);0 (0);10 (7);4 (2);19 (76%);2;43;2
MUN X UNB 16-09-2016;11 (78%);3 (1);1;0;2;;1;;5 (1);168959;1;0;54';Kenny Prince Redondo;False;;0;F;;7.3;;;K. P. Redondo;0;1;2;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;1;1 (0);0 (0);8 (2);0 (0);11 (78%);1;26;0
MUN X UNB 16-09-2016;7 (70%);17 (6);;1;1;;;;7 (5);24933;1;1;90';Sascha Mölders;False;;0;F;;7.3;;;S. Mölders;2;5;0;1860-munchen;MUN;2536;1860 München;0;0 (0);0 (0);24 (11);0 (0);7 (70%);2;27;3
MUN X UNB 16-09-2016;55 (84%);5 (3);1;0;1;;;;9 (6);254125;1;3;90';Maximilian Wittek;False;;0;D;;7.1;;;M. Wittek;1;2;0;1860-munchen;MUN;2536;1860 München;1;2 (1);1 (0);14 (9);10 (8);55 (84%);3;100;3
MUN X UNB 16-09-2016;23 (79%);0 (0);;0;0;;;;3 (1);138158;1;3;45';Levent Ayçiçek;False;;0;M;;7.1;;;L. Ayçiçek;4;1;0;1860-munchen;MUN;2536;1860 München;0;3 (1);5 (2);3 (1);4 (3);23 (79%);0;45;0
MUN X UNB 16-09-2016;25 (71%);5 (3);1;0;1;;;;5 (4);15416;5;0;90';Stephan Fürstner;False;;1;M;;7.1;;;S. Fürstner;0;0;0;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;3;1 (1);0 (0);10 (7);6 (1);25 (71%);0;52;4
MUN X UNB 16-09-2016;18 (64%);9 (5);1;2;1;;;;15 (9);773591;3;0;90';Kristian Pedersen;False;;1;D;;7.0;;;K. Pedersen;0;0;0;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;6;4 (1);0 (0);24 (14);6 (2);18 (64%);7;68;1
MUN X UNB 16-09-2016;9 (45%);2 (0);1;1;1;;1;;11 (4);122573;3;0;86';Steven Skrzybski;False;;0;F;;6.9;;;S. Skrzybski;0;0;2;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;0;4 (0);1 (0);13 (4);4 (1);9 (45%);3;40;1
MUN X UNB 16-09-2016;2 (66%);3 (2);;0;0;;;;0 (0);51246;0;0;36';Roberto Punčec;False;;2;D;;6.9;;;R. Punčec;0;0;0;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;4;0 (0);0 (0);3 (2);1 (0);2 (66%);0;10;0
MUN X UNB 16-09-2016;26 (57%);8 (5);;1;0;;;;4 (3);50505;3;0;90';Damir Kreilach;False;;0;M;;6.9;;;D. Kreilach;0;1;0;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;1;0 (0);0 (0);12 (8);6 (2);26 (57%);1;58;2
MUN X UNB 16-09-2016;13 (43%);0 (0);;;0;;;0;0 (0);183475;0;0;90';Jakob Busk;False;;0;G;0;6.8;1 (1);4;J. Busk;0;0;0;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;1;0 (0);0 (0);0 (0);28 (11);13 (43%);0;38;0
MUN X UNB 16-09-2016;7 (100%);0 (0);;0;1;;;;0 (0);109099;0;1;16';Stefan Mugoša;False;;0;F;;6.8;;;S. Mugoša;2;0;1;1860-munchen;MUN;2536;1860 München;0;0 (0);0 (0);0 (0);1 (1);7 (100%);0;10;0
MUN X UNB 16-09-2016;8 (72%);2 (2);;0;0;;;;2 (1);127547;1;1;45';Daylon Claasen;False;;0;M;;6.7;;;D. Claasen;0;1;0;1860-munchen;MUN;2536;1860 München;0;1 (0);0 (0);4 (3);0 (0);8 (72%);1;18;1
MUN X UNB 16-09-2016;17 (81%);3 (1);;0;4;;;;7 (3);44806;2;0;69';Felix Kroos;False;;1;M;;6.7;;;F. Kroos;0;0;0;1-fc-union-berlin;UNB;2547;1. FC Union Berlin;1;1 (0);1 (0);10 (4);3 (3);17 (81%);2;30;1
MUN X UNB 16-09-2016;26 (61%);5 (5);2;1;3;;;;16 (4);14700;2;5;90';Karim Matmour;False;;0;M;;6.7;;;K. Matmour;0;0;2;1860-munchen;MUN;2536;1860 München;0;8 (2);3 (3);21 (9);0 (0);26 (61%);1;71;2
