game;text;homeScore;awayScore;isLive;time;addedTime;incidentType
HSV X HKI 03-08-2018;FT;0;3;False;90;999;period
HSV X HKI 03-08-2018;HT;0;0;False;45;999;period
BOC X KOL 04-08-2018;FT;0;2;False;90;999;period
BOC X KOL 04-08-2018;HT;0;1;False;45;999;period
JAH X ING 04-08-2018;FT;2;1;False;90;999;period
JAH X ING 04-08-2018;HT;1;1;False;45;999;period
FUR X SAN 04-08-2018;FT;3;1;False;90;999;period
MAG X STP 05-08-2018;FT;1;2;False;90;999;period
HEI X ARM 05-08-2018;FT;1;1;False;90;999;period
UNB X AUE 05-08-2018;FT;1;0;False;90;999;period
DRE X DUI 06-08-2018;HT;1;0;False;45;999;period
SCP X JAH 10-08-2018;FT;2;0;False;90;999;period
ARM X DRE 11-08-2018;HT;2;0;False;45;999;period
SAN X HSV 12-08-2018;HT;0;2;False;45;999;period
AUE X MAG 12-08-2018;FT;0;0;False;90;999;period
D98 X DUI 24-08-2018;FT;3;0;False;90;999;period
FUR X SCP 25-08-2018;FT;2;2;False;90;999;period
UNB X STP 26-08-2018;FT;4;1;False;90;999;period
DRE X HEI 26-08-2018;FT;1;3;False;90;999;period
ING X AUE 31-08-2018;FT;3;2;False;90;999;period
ARM X JAH 01-09-2018;FT;5;3;False;90;999;period
ARM X JAH 01-09-2018;HT;3;2;False;45;999;period
DUI X FUR 01-09-2018;FT;0;1;False;90;999;period
STP X KOL 02-09-2018;FT;3;5;False;90;999;period
STP X KOL 02-09-2018;HT;2;2;False;45;999;period
AUE X STP 16-09-2018;HT;2;1;False;45;999;period
BOC X ING 16-09-2018;FT;6;0;False;90;999;period
BOC X ING 16-09-2018;HT;3;0;False;45;999;period
HSV X JAH 23-09-2018;FT;0;5;False;90;999;period
HSV X JAH 23-09-2018;HT;0;3;False;45;999;period
SCP X MAG 23-09-2018;FT;4;4;False;90;999;period
MAG X DUI 26-09-2018;FT;3;3;False;90;999;period
HKI X D98 28-09-2018;FT;4;2;False;90;999;period
HEI X BOC 29-09-2018;HT;1;2;False;45;999;period
SAN X ING 19-10-2018;FT;4;0;False;90;999;period
ARM X FUR 20-10-2018;FT;2;3;False;90;999;period
SCP X HKI 09-11-2018;HT;3;1;False;45;999;period
KOL X DRE 10-11-2018;FT;8;1;False;90;999;period
HEI X SCP 25-11-2018;FT;1;5;False;90;999;period
DUI X HKI 02-12-2018;FT;0;4;False;90;999;period
SCP X D98 23-12-2018;FT;6;2;False;90;999;period
DRE X ARM 30-01-2019;FT;3;4;False;90;999;period
KOL X ARM 09-03-2019;FT;5;1;False;90;999;period
DUI X ING 06-04-2019;FT;2;4;False;90;999;period
STP X JAH 27-04-2019;FT;4;3;False;90;999;period
