game;addedTime;id;incidentClass;incidentType;injury;isHome;playerIn;playerOut;time
HSV X HKI 03-08-2018;;118936835;;substitution;;True;{'name': 'Christoph Moritz', 'slug': 'christoph-moritz', 'shortName': 'C. Moritz', 'position': 'M', 'userCount': 33, 'id': 74340};{'name': 'Vasilije Janjičić', 'slug': 'vasilije-janjicic', 'shortName': 'V. Janjičić', 'position': 'M', 'userCount': 52, 'id': 844690};83
HSV X HKI 03-08-2018;;118936838;;substitution;;False;{'name': 'Heinz Mörschel', 'slug': 'heinz-morschel', 'shortName': 'H. Mörschel', 'position': 'M', 'userCount': 7, 'id': 842192};{'name': 'Jae-Sung Lee', 'slug': 'jae-sung-lee', 'shortName': 'J. Lee', 'position': 'M', 'userCount': 307, 'id': 537552};81
HSV X HKI 03-08-2018;;118936837;injury;substitution;True;False;{'name': 'Patrick Herrmann', 'slug': 'patrick-herrmann', 'shortName': 'P. Herrmann', 'position': 'D', 'userCount': 13, 'id': 40028};{'name': 'Jannik Dehm', 'slug': 'jannik-dehm', 'shortName': 'J. Dehm', 'position': 'D', 'userCount': 10, 'id': 572922};70
HSV X HKI 03-08-2018;;118936836;;substitution;;False;{'name': 'David Kinsombi', 'slug': 'david-kinsombi', 'shortName': 'D. Kinsombi', 'position': 'M', 'userCount': 58, 'id': 254207};{'name': 'Janni Serra', 'slug': 'janni-serra', 'shortName': 'J. Serra', 'position': 'F', 'userCount': 126, 'id': 924020};70
HSV X HKI 03-08-2018;;118936834;;substitution;;True;{'name': 'Jonas David', 'slug': 'jonas-david', 'shortName': 'J. David', 'position': 'M', 'userCount': 55, 'id': 930408};{'name': 'David Bates', 'slug': 'david-bates', 'shortName': 'D. Bates', 'position': 'D', 'userCount': 82, 'id': 839675};57
HSV X HKI 03-08-2018;;118936833;;substitution;;True;{'name': 'Pierre-Michel Lasogga', 'slug': 'pierre-michel-lasogga', 'shortName': 'P. Lasogga', 'position': 'F', 'userCount': 190, 'id': 106269};{'name': 'Jairo Samperio', 'slug': 'jairo-samperio', 'shortName': 'J. Samperio', 'position': 'M', 'userCount': 51, 'id': 173929};57
BOC X KOL 04-08-2018;;118937235;;substitution;;True;{'name': 'Johannes Wurtz', 'slug': 'johannes-wurtz', 'shortName': 'J. Wurtz', 'position': 'F', 'userCount': 10, 'id': 152115};{'name': 'Sidney Sam', 'slug': 'sidney-sam', 'shortName': 'S. Sam', 'position': 'M', 'userCount': 74, 'id': 18892};82
BOC X KOL 04-08-2018;;118937238;;substitution;;False;{'name': 'Lasse Sobiech', 'slug': 'lasse-sobiech', 'shortName': 'L. Sobiech', 'position': 'D', 'userCount': 48, 'id': 66514};{'name': 'Sehrou Guirassy', 'slug': 'sehrou-guirassy', 'shortName': 'S. Guirassy', 'position': 'F', 'userCount': 383, 'id': 328027};73
BOC X KOL 04-08-2018;;118937237;;substitution;;False;{'name': 'Niklas Hauptmann', 'slug': 'niklas-hauptmann', 'shortName': 'N. Hauptmann', 'position': 'M', 'userCount': 30, 'id': 798154};{'name': 'Louis Schaub', 'slug': 'louis-schaub', 'shortName': 'L. Schaub', 'position': 'M', 'userCount': 250, 'id': 138146};70
BOC X KOL 04-08-2018;;118937234;;substitution;;True;{'name': 'Silvère Ganvoula', 'slug': 'silvere-ganvoula', 'shortName': 'S. Ganvoula', 'position': 'F', 'userCount': 433, 'id': 787448};{'name': 'Miloš Pantović', 'slug': 'milos-pantovic', 'shortName': 'M. Pantović', 'position': 'M', 'userCount': 90, 'id': 352610};64
BOC X KOL 04-08-2018;;118937236;;substitution;;False;{'name': 'Jannes Horn', 'slug': 'jannes-horn', 'shortName': 'J. Horn', 'position': 'D', 'userCount': 56, 'id': 827688};{'name': 'Salih Özcan', 'slug': 'salih-ozcan', 'shortName': 'S. Özcan', 'position': 'M', 'userCount': 268, 'id': 795005};60
BOC X KOL 04-08-2018;;118937233;injury;substitution;True;True;{'name': 'Timo Perthel', 'slug': 'timo-perthel', 'shortName': 'T. Perthel', 'position': 'D', 'userCount': 6, 'id': 37628};{'name': 'Danilo Soares', 'slug': 'danilo-soares', 'shortName': 'D. Soares', 'position': 'D', 'userCount': 46, 'id': 121551};46
