game;addedTime;confirmed;id;incidentClass;incidentType;isHome;player;time
ARM X STP 29-07-2019;;False;12;penaltyAwarded;varDecision;True;{'name': 'Jonathan Clauss', 'slug': 'jonathan-clauss', 'shortName': 'J. Clauss', 'position': 'D', 'userCount': 84, 'id': 821728};73
STP X FUR 02-08-2019;;False;46;goalAwarded;varDecision;False;{'name': 'Sebastian Ernst', 'slug': 'sebastian-ernst', 'shortName': 'S. Ernst', 'position': 'M', 'userCount': 24, 'id': 230378};30
KAR X DRE 03-08-2019;;False;53;goalAwarded;varDecision;True;{'name': 'Lukas Grozurek', 'slug': 'lukas-grozurek', 'shortName': 'L. Grozurek', 'position': 'M', 'userCount': 26, 'id': 126224};24
H96 X JAH 03-08-2019;;False;57;penaltyNotAwarded;varDecision;False;{'name': 'Benedikt Saller', 'slug': 'benedikt-saller', 'shortName': 'B. Saller', 'position': 'D', 'userCount': 6, 'id': 142118};40
AUE X WEH 04-08-2019;;True;67;goalAwarded;varDecision;True;{'name': 'Tom Baumgart', 'slug': 'tom-baumgart', 'shortName': 'T. Baumgart', 'position': 'M', 'userCount': 19, 'id': 828605};84
DRE X HEI 18-08-2019;;True;199;penaltyAwarded;varDecision;False;{'name': 'Sebastian Griesbeck', 'slug': 'sebastian-griesbeck', 'shortName': 'S. Griesbeck', 'position': 'M', 'userCount': 11, 'id': 128792};87
FUR X JAH 18-08-2019;;False;200;goalAwarded;varDecision;True;{'name': 'Branimir Hrgota', 'slug': 'branimir-hrgota', 'shortName': 'B. Hrgota', 'position': 'F', 'userCount': 155, 'id': 148076};82
H96 X FUR 24-08-2019;;True;241;cardUpgrade;varDecision;False;{'name': 'Daniel Keita-Ruel', 'slug': 'daniel-keita-ruel', 'shortName': 'D. Keita-Ruel', 'position': 'F', 'userCount': 87, 'id': 102983};35
JAH X ARM 24-08-2019;;False;242;goalNotAwarded;varDecision;True;{'name': 'Max Besuschkow', 'slug': 'max-besuschkow', 'shortName': 'M. Besuschkow', 'position': 'M', 'userCount': 32, 'id': 548092};48
NUR X OSN 25-08-2019;;True;262;goalNotAwarded;varDecision;False;{'name': 'Joost van Aken', 'slug': 'joost-van-aken', 'shortName': 'J. v. Aken', 'position': 'D', 'userCount': 60, 'id': 339335};29
NUR X HEI 30-08-2019;;False;317;goalAwarded;varDecision;True;{'name': 'Nikola Dovedan', 'slug': 'nikola-dovedan', 'shortName': 'N. Dovedan', 'position': 'M', 'userCount': 106, 'id': 138143};21
DRE X STP 31-08-2019;;True;339;cardUpgrade;varDecision;True;{'name': 'Jannis Nikolaou', 'slug': 'jannis-nikolaou', 'shortName': 'J. Nikolaou', 'position': 'M', 'userCount': 46, 'id': 132664};83
HKI X AUE 01-09-2019;;True;367;penaltyNotAwarded;varDecision;False;{'name': 'Jan Hochscheidt', 'slug': 'jan-hochscheidt', 'shortName': 'J. Hochscheidt', 'position': 'F', 'userCount': 49, 'id': 26825};55
HKI X AUE 01-09-2019;;False;366;penaltyNotAwarded;varDecision;False;{'name': 'Fabian Kalig', 'slug': 'fabian-kalig', 'shortName': 'F. Kalig', 'position': 'D', 'userCount': 6, 'id': 142107};53
D98 X NUR 15-09-2019;;False;458;goalNotAwarded;varDecision;True;{'name': 'Dario Đumić', 'slug': 'dario-djumic', 'shortName': 'D. Đumić', 'position': 'D', 'userCount': 112, 'id': 73682};74
D98 X NUR 15-09-2019;;False;456;goalAwarded;varDecision;True;{'name': 'Patrick Herrmann', 'slug': 'patrick-herrmann', 'shortName': 'P. Herrmann', 'position': 'D', 'userCount': 13, 'id': 40028};33
AUE X OSN 15-09-2019;;False;457;goalNotAwarded;varDecision;True;{'name': 'Clemens Fandrich', 'slug': 'clemens-fandrich', 'shortName': 'C. Fandrich', 'position': 'M', 'userCount': 16, 'id': 91493};42
JAH X HSV 28-09-2019;;False;592;goalNotAwarded;varDecision;True;{'name': 'Marco Grüttner', 'slug': 'marco-gruttner', 'shortName': 'M. Grüttner', 'position': 'F', 'userCount': 86, 'id': 78477};31
BOC X D98 28-09-2019;;False;591;penaltyNotAwarded;varDecision;True;{'name': 'Danny Blum', 'slug': 'danny-blum', 'shortName': 'D. Blum', 'position': 'M', 'userCount': 87, 'id': 111500};8
AUE X DRE 29-09-2019;;False;620;goalAwarded;varDecision;False;{'name': 'Moussa Koné', 'slug': 'moussa-kone', 'shortName': 'M. Koné', 'position': 'F', 'userCount': 268, 'id': 796085};62
SAN X AUE 05-10-2019;;False;683;penaltyNotAwarded;varDecision;False;{'name': 'Philipp Zulechner', 'slug': 'philipp-zulechner', 'shortName': 'P. Zulechner', 'position': 'F', 'userCount': 39, 'id': 67868};76
NUR X STP 06-10-2019;;False;709;goalNotAwarded;varDecision;False;{'name': 'Viktor Gyökeres', 'slug': 'viktor-gyokeres', 'shortName': 'V. Gyökeres', 'position': 'F', 'userCount': 152, 'id': 804508};24
OSN X ARM 07-10-2019;1.0;False;734;goalAwarded;varDecision;False;{'name': 'Andreas Voglsammer', 'slug': 'andreas-voglsammer', 'shortName': 'A. Voglsammer', 'position': 'M', 'userCount': 162, 'id': 123320};90
AUE X NUR 18-10-2019;;False;772;penaltyNotAwarded;varDecision;False;{'name': 'Michael Frey', 'slug': 'michael-frey', 'shortName': 'M. Frey', 'position': 'F', 'userCount': 276, 'id': 134248};90
