game;accuratePass;aerialDuels;challengeLost;disabled;fouls;goalAssist;goals;goodHighClaim;groundDuels;id;interceptionWon;keyPass;minutesPlayed;name;national;offsides;outfielderBlock;position;possessionLost;punches;rating;runsOut;saves;shortName;shotsBlocked;shotsOffTarget;shotsOnTarget;slug;team;team_id;team_name;totalClearance;totalContest;totalCross;totalDuels;totalLongBalls;totalPass;totalTackle;touches;wasFouled
ARM X STP 29-07-2019;41 (83%);3 (2);2;;0;1;;;5 (2);821728;1;6;90';Jonathan Clauss;False;;0;D;19;;7.8;;;J. Clauss;0;0;1;arminia-bielefeld;ARM;2540;Arminia Bielefeld;0;1 (0);10 (5);8 (4);3 (1);41 (83%);1;80;1
ARM X STP 29-07-2019;88 (91%);5 (5);1;;1;;;;7 (5);126219;1;0;90';Brian Behrendt;False;;1;D;11;;7.7;;;B. Behrendt;1;0;0;arminia-bielefeld;ARM;2540;Arminia Bielefeld;1;1 (1);2 (0);12 (10);23 (17);88 (91%);3;108;1
ARM X STP 29-07-2019;103 (91%);5 (4);2;;2;;1;;6 (2);134849;1;1;90';Manuel Prietl;False;;0;M;11;;7.5;;;M. Prietl;1;0;2;arminia-bielefeld;ARM;2540;Arminia Bielefeld;0;1 (1);0 (0);11 (6);9 (5);103 (91%);1;121;0
ARM X STP 29-07-2019;30 (85%);4 (3);1;;0;;;;4 (3);39709;0;1;90';Marvin Knoll;False;;3;D;6;;7.5;;;M. Knoll;0;0;0;fc-st-pauli;STP;2526;FC St. Pauli;13;0 (0);1 (0);8 (6);5 (2);30 (85%);3;56;0
ARM X STP 29-07-2019;36 (87%);0 (0);;;0;1;;;3 (2);181889;0;3;80';Mats Møller Dæhli;False;;0;M;7;;7.4;;;M. M. Dæhli;0;0;0;fc-st-pauli;STP;2526;FC St. Pauli;0;1 (0);0 (0);3 (2);2 (1);36 (87%);1;47;1
ARM X STP 29-07-2019;10 (58%);1 (1);1;;0;;1;;7 (5);933833;1;0;89';Christian Joe Conteh;False;1;0;M;11;;7.3;;;C. J. Conteh;0;0;2;fc-st-pauli;STP;2526;FC St. Pauli;1;2 (2);0 (0);8 (6);2 (1);10 (58%);0;31;3
ARM X STP 29-07-2019;136 (96%);1 (1);2;;0;;;;5 (2);71445;0;1;86';Stephan Salger;False;;0;D;6;;7.3;;;S. Salger;0;0;0;arminia-bielefeld;ARM;2540;Arminia Bielefeld;3;0 (0);0 (0);6 (3);16 (13);136 (96%);1;148;1
ARM X STP 29-07-2019;13 (61%);1 (1);;;1;;;;8 (6);146089;0;0;90';Ryo Miyaichi;False;;1;M;12;;7.1;;;R. Miyaichi;0;0;0;fc-st-pauli;STP;2526;FC St. Pauli;0;4 (3);2 (0);9 (7);1 (1);13 (61%);2;32;1
ARM X STP 29-07-2019;24 (46%);0 (0);;;0;;;1;0 (0);38658;0;0;90';Robin Himmelmann;False;;0;G;;1;7.1;0 (0);4;R. Himmelmann;0;0;0;fc-st-pauli;STP;2526;FC St. Pauli;2;0 (0);0 (0);0 (0);41 (13);24 (46%);0;62;0
ARM X STP 29-07-2019;18 (72%);1 (1);;;2;;;;10 (6);146927;3;0;90';Daniel Buballa;False;;0;D;12;;7.0;;;D. Buballa;0;0;0;fc-st-pauli;STP;2526;FC St. Pauli;5;0 (0);0 (0);11 (7);3 (1);18 (72%);5;50;1
ARM X STP 29-07-2019;29 (85%);2 (0);2;;1;;;;6 (3);114868;1;0;90';Christopher Avevor;False;;3;D;5;;7.0;;;C. Avevor;0;0;0;fc-st-pauli;STP;2526;FC St. Pauli;9;0 (0);0 (0);8 (3);7 (2);29 (85%);3;54;0
ARM X STP 29-07-2019;7 (70%);0 (0);;;0;;;;1 (1);806394;1;0;21';Nils Seufert;False;;0;M;4;;6.8;;;N. Seufert;0;1;0;arminia-bielefeld;ARM;2540;Arminia Bielefeld;0;0 (0);2 (1);1 (1);1 (0);7 (70%);1;16;0
ARM X STP 29-07-2019;17 (81%);1 (0);;;1;;;;7 (4);840429;0;0;59';Keanu Staude;False;;0;M;9;;6.7;;;K. Staude;2;1;1;arminia-bielefeld;ARM;2540;Arminia Bielefeld;0;2 (1);2 (1);8 (4);0 (0);17 (81%);2;36;1
ARM X STP 29-07-2019;8 (66%);1 (0);;;1;;;;3 (2);142524;0;1;31';Cebio Soukou;False;;0;F;7;;6.7;;;C. Soukou;2;1;0;arminia-bielefeld;ARM;2540;Arminia Bielefeld;0;0 (0);1 (0);4 (2);3 (1);8 (66%);0;21;2
ARM X STP 29-07-2019;30 (96%);0 (0);;;0;;;0;1 (1);125274;0;0;90';Stefan Ortega;False;;0;G;;0;6.7;1 (1);2;S. Ortega;0;0;0;arminia-bielefeld;ARM;2540;Arminia Bielefeld;0;0 (0);0 (0);1 (1);10 (9);30 (96%);0;42;0
ARM X STP 29-07-2019;32 (86%);3 (1);;;0;;;;1 (0);74335;0;2;69';Reinhold Yabo;False;;0;M;10;;6.7;;;R. Yabo;0;1;1;arminia-bielefeld;ARM;2540;Arminia Bielefeld;1;0 (0);1 (0);4 (1);2 (1);32 (86%);0;45;0
ARM X STP 29-07-2019;25 (75%);3 (2);;;1;;;;3 (2);66512;0;0;63';Marc Hornschuh;False;;1;M;9;;6.7;;;M. Hornschuh;0;0;0;fc-st-pauli;STP;2526;FC St. Pauli;4;0 (0);0 (0);6 (4);4 (0);25 (75%);2;42;0
ARM X STP 29-07-2019;2 (66%);1 (1);;;0;;;;1 (1);980631;0;0;9';Jomaine Consbruch;False;;0;M;1;;6.6;;;J. Consbruch;0;0;0;arminia-bielefeld;ARM;2540;Arminia Bielefeld;0;0 (0);0 (0);2 (2);0 (0);2 (66%);0;4;1
ARM X STP 29-07-2019;23 (67%);0 (0);1;;1;;;;8 (4);979821;0;0;90';Finn Ole Becker;False;;1;M;17;;6.6;;;F. O. Becker;0;0;1;fc-st-pauli;STP;2526;FC St. Pauli;4;3 (2);0 (0);8 (4);2 (0);23 (67%);1;55;1
ARM X STP 29-07-2019;24 (92%);9 (1);;;4;;;;14 (5);98217;0;0;90';Dimitris Diamantakos;False;;0;F;9;;6.6;;;D. Diamantakos;1;1;0;fc-st-pauli;STP;2526;FC St. Pauli;1;6 (3);0 (0);23 (6);1 (1);24 (92%);1;45;1
ARM X STP 29-07-2019;22 (73%);7 (4);1;;1;;;;13 (5);85058;0;2;90';Fabian Klos;False;;0;F;23;;6.6;;;F. Klos;2;1;0;arminia-bielefeld;ARM;2540;Arminia Bielefeld;0;1 (1);0 (0);20 (9);2 (1);22 (73%);0;60;4
ARM X STP 29-07-2019;8 (72%);2 (0);;;3;;;;3 (0);823385;0;0;27';Niklas Hoffmann;False;;2;D;4;;6.5;;;N. Hoffmann;0;0;0;fc-st-pauli;STP;2526;FC St. Pauli;3;0 (0);0 (0);5 (0);2 (1);8 (72%);0;18;0
ARM X STP 29-07-2019;62 (86%);1 (1);;;2;;;;8 (2);64860;0;1;90';Jóan Edmundsson;False;;0;M;19;;6.5;;;J. Edmundsson;1;0;0;arminia-bielefeld;ARM;2540;Arminia Bielefeld;0;4 (1);1 (0);9 (3);6 (3);62 (86%);1;87;0
ARM X STP 29-07-2019;20 (87%);3 (1);3;;2;;;;7 (2);801243;1;1;90';Yi-Young Park;False;;0;D;4;;6.4;;;Y. Park;0;0;0;fc-st-pauli;STP;2526;FC St. Pauli;2;1 (1);0 (0);10 (3);2 (1);20 (87%);1;39;0
ARM X STP 29-07-2019;19 (70%);2 (2);1;;0;;;;7 (5);123320;1;0;90';Andreas Voglsammer;False;1;0;M;16;;6.4;;;A. Voglsammer;2;1;0;arminia-bielefeld;ARM;2540;Arminia Bielefeld;0;4 (3);3 (0);9 (7);2 (1);19 (70%);0;47;2
