game;addedTime;assist1;awayScore;homeScore;id;incidentClass;incidentType;isHome;player;playerName;time
CHA X CFC 09-05-2015;;{'name': 'Gil', 'slug': 'gil', 'shortName': 'Gil', 'position': 'M', 'userCount': 7, 'id': 243245};1;2;118335696;regular;goal;True;{'name': 'Roger', 'slug': 'roger', 'shortName': 'Roger', 'position': 'F', 'userCount': 141, 'id': 77320};;66
CHA X CFC 09-05-2015;;;1;1;118335645;regular;goal;True;{'name': 'Elicarlos', 'slug': 'elicarlos', 'shortName': 'Elicarlos', 'position': 'M', 'userCount': 38, 'id': 47747};;30
CHA X CFC 09-05-2015;;;1;0;118335617;regular;goal;False;{'name': 'Rafhael Lucas', 'slug': 'rafhael-lucas', 'shortName': 'R. Lucas', 'position': 'F', 'userCount': 13, 'id': 243227};;4
PAL X CAM 09-05-2015;4.0;;2;2;118335729;regular;goal;True;{'name': 'Rafael Marques', 'slug': 'rafael-marques', 'shortName': 'R. Marques', 'position': 'F', 'userCount': 86, 'id': 60254};;90
PAL X CAM 09-05-2015;;{'name': 'Josué', 'slug': 'josue', 'shortName': 'Josué', 'position': 'M', 'userCount': 2, 'id': 26134};2;1;118335720;regular;goal;False;{'name': 'Jô', 'slug': 'jo', 'shortName': 'Jô', 'position': 'F', 'userCount': 354, 'id': 17878};;86
PAL X CAM 09-05-2015;;{'name': 'Zé Roberto', 'slug': 'ze-roberto', 'shortName': 'Z. Roberto', 'position': 'M', 'userCount': 78, 'id': 316};1;1;118335714;regular;goal;True;{'name': 'Vitor Hugo', 'slug': 'vitor-hugo', 'shortName': 'V. Hugo', 'position': 'D', 'userCount': 470, 'id': 794838};;82
PAL X CAM 09-05-2015;;;1;0;118335680;regular;goal;False;{'name': 'Patric', 'slug': 'patric', 'shortName': 'Patric', 'position': 'D', 'userCount': 96, 'id': 78853};;51
FLU X JOI 10-05-2015;;{'name': 'Wellington Silva', 'slug': 'wellington-silva', 'shortName': 'W. Silva', 'position': 'D', 'userCount': 19, 'id': 243469};0;1;118335945;regular;goal;True;{'name': 'Vinícius', 'slug': 'vinicius', 'shortName': 'Vinícius', 'position': 'M', 'userCount': 188, 'id': 243247};;89
GRE X PON 10-05-2015;4.0;;3;3;118338521;regular;goal;False;{'name': 'Diego Oliveira', 'slug': 'diego-oliveira', 'shortName': 'D. Oliveira', 'position': 'F', 'userCount': 113, 'id': 243473};;90
GRE X PON 10-05-2015;;;2;3;118338316;regular;goal;True;{'name': 'Matías Rodríguez', 'slug': 'matias-rodriguez', 'shortName': 'M. Rodríguez', 'position': 'D', 'userCount': 35, 'id': 34260};;78
