game;accuratePass;aerialDuels;challengeLost;disabled;dispossessed;fouls;goalAssist;goals;goodHighClaim;groundDuels;id;interceptionWon;keyPass;minutesPlayed;name;national;offsides;outfielderBlock;position;punches;rating;runsOut;saves;shortName;shotsBlocked;shotsOffTarget;shotsOnTarget;slug;team;team_id;team_name;totalClearance;totalContest;totalCross;totalDuels;totalLongBalls;totalPass;totalTackle;touches;wasFouled
SPT X GOI 05-06-2015;70 (88%);9 (7);3;;0;2;;;;11 (5);123335;4;1;90';Rithely;False;;0;M;;7.7;;;Rithely;0;1;1;sport-recife;SPT;1959;Sport Recife;3;1 (0);0 (0);20 (12);9 (5);70 (88%);5;100;0
SPT X GOI 05-06-2015;10 (90%);1 (1);;;;0;;;3;0 (0);145054;0;0;90';Danilo Fernandes;False;;0;G;1;7.5;1 (1);4;D. Fernandes;0;0;0;sport-recife;SPT;1959;Sport Recife;1;0 (0);0 (0);1 (1);1 (0);10 (90%);0;27;0
SPT X GOI 05-06-2015;23 (74%);0 (0);2;;0;2;;;;15 (11);594428;1;0;90';Patrick;False;;0;M;;7.4;;;Patrick;0;0;0;goias;GOI;1960;Goiás;2;1 (1);0 (0);15 (11);2 (1);23 (74%);8;49;2
SPT X GOI 05-06-2015;53 (80%);2 (1);1;;2;1;;;;11 (6);243113;1;0;90';Renê;False;;0;D;;7.4;;;Renê;0;1;1;sport-recife;SPT;1959;Sport Recife;1;1 (0);3 (1);13 (7);3 (2);53 (80%);6;95;0
SPT X GOI 05-06-2015;48 (82%);1 (0);;;3;2;;;;10 (6);17880;0;3;90';Diego Souza;False;1;0;M;;7.4;;;D. Souza;1;3;0;sport-recife;SPT;1959;Sport Recife;0;2 (2);7 (2);11 (6);1 (1);48 (82%);1;83;3
SPT X GOI 05-06-2015;16 (80%);1 (0);;;2;0;;;;8 (4);795295;0;3;90';Carlos Eduardo;False;1;0;F;;7.2;;;C. Eduardo;0;1;0;goias;GOI;1960;Goiás;0;5 (3);2 (2);9 (4);2 (1);16 (80%);0;39;1
SPT X GOI 05-06-2015;12 (80%);0 (0);;;0;0;;1;;4 (2);147365;0;0;45';Maikon Leite;False;;0;F;;7.2;;;M. Leite;0;2;1;sport-recife;SPT;1959;Sport Recife;0;2 (0);2 (1);4 (2);0 (0);12 (80%);0;30;2
SPT X GOI 05-06-2015;53 (94%);1 (0);;;1;0;;;;4 (3);843662;3;1;73';Wendel;False;1;0;M;;7.1;;;Wendel;0;0;0;sport-recife;SPT;1959;Sport Recife;0;0 (0);0 (0);5 (3);0 (0);53 (94%);3;64;0
SPT X GOI 05-06-2015;62 (98%);1 (1);1;;4;1;;;;8 (2);795773;3;3;90';Samuel Xavier;False;;0;D;;7.1;;;S. Xavier;0;0;0;sport-recife;SPT;1959;Sport Recife;0;0 (0);3 (1);9 (3);3 (3);62 (98%);1;85;1
SPT X GOI 05-06-2015;26 (89%);2 (1);;;3;1;;;;9 (5);83013;1;1;66';Felipe Menezes;False;;0;M;;7.1;;;F. Menezes;0;1;1;goias;GOI;1960;Goiás;0;3 (3);3 (1);11 (6);3 (2);26 (89%);1;45;1
SPT X GOI 05-06-2015;28 (71%);1 (1);;;0;1;;;;4 (3);795298;1;1;90';Rafael Forster;False;;0;D;;7.0;;;R. Forster;0;0;0;goias;GOI;1960;Goiás;4;0 (0);2 (0);5 (4);2 (1);28 (71%);3;59;0
SPT X GOI 05-06-2015;16 (64%);1 (1);1;;0;0;;;;4 (2);559034;0;1;45';Neto Moura;False;;0;M;;7.0;;;N. Moura;0;1;1;sport-recife;SPT;1959;Sport Recife;1;2 (1);2 (1);5 (3);0 (0);16 (64%);0;35;1
SPT X GOI 05-06-2015;21 (87%);1 (0);;;0;1;;;;2 (1);557000;1;0;74';Rodrigo;False;;0;M;;7.0;;;Rodrigo;0;0;1;goias;GOI;1960;Goiás;2;0 (0);0 (0);3 (1);2 (1);21 (87%);1;33;0
SPT X GOI 05-06-2015;50 (94%);2 (2);1;;0;2;;;;4 (1);329083;0;0;90';Matheus Ferraz;False;1;0;D;;7.0;;;M. Ferraz;1;0;0;sport-recife;SPT;1959;Sport Recife;1;0 (0);0 (0);6 (3);3 (2);50 (94%);1;58;0
SPT X GOI 05-06-2015;12 (75%);2 (2);;;0;1;;;;3 (2);329295;0;0;90';Felipe Amorim;False;;1;D;;6.9;;;F. Amorim;0;0;0;goias;GOI;1960;Goiás;8;0 (0);0 (0);5 (4);4 (2);12 (75%);2;28;0
SPT X GOI 05-06-2015;17 (73%);2 (1);1;;1;1;;;;6 (3);243107;0;0;75';Diogo Barbosa;False;;0;M;;6.8;;;D. Goiano;0;1;0;goias;GOI;1960;Goiás;3;0 (0);3 (1);8 (4);1 (1);17 (73%);2;38;1
SPT X GOI 05-06-2015;73 (85%);5 (2);2;;0;0;;;;4 (2);47709;0;1;90';Durval;False;;0;D;;6.8;;;Durval;0;1;0;sport-recife;SPT;1959;Sport Recife;4;0 (0);1 (0);9 (4);5 (0);73 (85%);0;94;2
SPT X GOI 05-06-2015;24 (96%);0 (0);;;0;1;;;;2 (2);243691;0;0;45';Mike;False;1;0;F;;6.7;;;Mike;1;0;0;sport-recife;SPT;1959;Sport Recife;0;0 (0);1 (0);2 (2);0 (0);24 (96%);0;31;2
SPT X GOI 05-06-2015;5 (21%);2 (1);;;;0;;;3;0 (0);38544;0;0;90';Renan;False;;0;G;0;6.7;1 (1);3;Renan;0;0;0;goias;GOI;1960;Goiás;1;0 (0);0 (0);2 (1);22 (4);5 (21%);0;42;0
SPT X GOI 05-06-2015;10 (76%);1 (1);;;0;0;;;;2 (2);795723;0;0;15';Wiliam Kozlowski;False;;0;M;;6.6;;;W. Kozlowski;0;0;0;goias;GOI;1960;Goiás;1;0 (0);0 (0);3 (3);0 (0);10 (76%);0;17;2
SPT X GOI 05-06-2015;6 (85%);1 (1);;;0;0;;;;1 (1);795300;0;0;16';Pericles;False;;0;M;;6.6;;;Pericles;0;0;0;goias;GOI;1960;Goiás;0;0 (0);0 (0);2 (2);0 (0);6 (85%);1;10;1
