game;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
FLA X SPT 14-05-2016;0;2016-05-14;10.0;25;10;8;-27;-10;-2;4;9;-41;-16;13;-6;4;-3;13.0;4;-9;-2;2;-28;-15;15.0;-6;-9;-7;-4;-5;-5;-5;-5;-5;-24;17;-11;-3;-9;-20;-15;-6;0.0;16;18;16;44;17;29;23;20;14;38;17;4;-3;3;-4;97;-4;-11;-5;-6;7;3;-4;-4;-6;6;57;5;9;11;12;12;12;12;42;29;21;13;81;51;27;22;19;37;32;24;19;61.0;39;35.0;120.0;1;17:00:00;1;SPT;FLA
PAL X CAP 14-05-2016;0;2016-05-14;10.0;-22;-20;-6;-24;-14;-4;-2;5;13;13;14;87;45;23;19.0;42;10;5;7;5;3;5.0;4;4;4;4;5;5;35;23;15;46;2;34;14;-10;-9;-27;26;20.0;47;55;36;25;1;16;16;16;100;95;60;40;31;43;28;-1;20;16;28;53;30;17;9;3;45;25;3;20;12;12;3;7;10;13;74;51;36;-53;28;28;11;5;2;-1;45;28;95;59.0;-31;38.0;;4;17:00:00;1;CAP;PAL
CAM X SAN 14-05-2016;0;2016-05-14;10.0;12;-23;-9;-54;34;100;100;61;71;40;13;17;8;6;7.0;36;23;15;-23;-20;-20;10.0;-12;-13;-12;-13;-11;-10;-13;-15;-30;-24;46;-18;-4;-1;41;25;16;40.0;43;-33;-11;-9;25;-7;-10;4;-2;-1;-7;49;24;13;6;18;-22;-15;-45;-23;-15;44;15;10;-8;-3;10;-8;-7;-46;-29;-20;-19;-46;41;34;20;48;6;24;5;-8;-10;-52;-13;-28;-22;-23.0;15;-2.0;-50.0;1;19:30:00;1;SAN;CAM
CFC X CRU 15-05-2016;0;2016-05-14;10.0;17;12;-43;-21;-10;8;3;7;26;8;9;-4;-2;-9;10.0;6;13;10;9;3;-12;9.0;-3;-3;-34;-13;-1;-37;-19;-8;-9;-6;8;-1;-1;-1;20;41;24;0.0;4;10;5;-12;37;11;4;2;2;-5;3;2;4;7;14;24;6;6;6;5;4;4;3;8;23;23;12;57;95;92;54;47;26;12;5;4;22;50;21;25;11;-24;-9;-4;-6;-1;-4;7.0;28;64.0;45.0;1;22:00:00;1;CRU;CFC
BOT X SPO 15-05-2016;1;2016-05-15;-1.0;3;12;5;11;10;10;33;50;79;47;4;27;19;-70;-34.0;-15;-17;-12;-3;-19;-4;-26.0;3;3;4;1;8;10;16;13;12;10;-9;24;-26;-3;10;68;43;-15.0;68;37;19;-43;30;-10;-4;5;10;13;11;10;15;43;30;18;22;18;9;8;35;26;21;23;24;13;15;8;11;47;28;18;16;8;-41;-23;-34;15;-15;-3;11;12;15;59;29;16;14;22.0;9;-1.0;15.0;0;12:00:00;-1;SPO;BOT
STA X VIT 15-05-2016;1;2016-05-15;10.0;-21;45;17;10;5;2;39;22;8;-5;-7;1;-1;1;-4.0;-4;-6;-2;-4;-6;72;-8.0;37;18;7;-6;25;10;-7;-6;-13;-14;-2;-15;23;3;-6;-7;35;30.0;21;6;-6;-2;8;-4;-8;-10;-12;-13;-5;7;3;2;2;2;9;7;-6;-5;-8;-45;-17;-15;-8;6;1;3;6;26;-24;-7;-10;-12;10;-11;-10;-29;-5;-77;-46;-96;-56;81;33;20;92;50.0;-23;1.0;5.0;4;12:00:00;1;VIT;STA
AME X FLU 15-05-2016;1;2016-05-15;-3.0;33;6;6;4;-4;-9;19;2;-6;-3;-4;-7;-11;-12;-13.0;19;7;-5;-10;26;-10;-1.0;-5;36;15;45;-28;-8;-34;-23;-19;-72;-6;-100;-72;-95;-47;-23;-25;-5.0;52;22;44;32;-10;23;10;31;21;5;-7;-13;-37;-29;-49;-29;-26;-11;-6;-5;-7;-26;-17;-41;49;12;-50;12;6;10;21;-102;-53;-8;-6;-11;-27;-35;44;14;42;31;21;10;7;-30;-10;-4.0;-20;-3.0;25.0;0;17:00:00;-1;FLU;AME
COR X GRE 15-05-2016;0;2016-05-15;-10.0;-29;-9;63;36;26;18;17;75;49;28;-2;15;7;-36;-23.0;-4;-21;-16;7;33;41;4.0;79;50;27;29;31;46;25;17;9;-41;5;-23;-13;-9;-6;-22;-21;0.0;5;7;8;11;7;33;19;11;31;18;13;8;5;1;21;1;12;2;26;16;13;8;-5;4;-2;9;-3;8;9;9;-34;-25;-23;-9;-5;6;13;-9;12;15;32;22;16;12;5;5;26;47.0;-40;34.0;70.0;0;17:00:00;0;GRE;COR
FIG X PON 15-05-2016;0;2016-05-15;10.0;-7;-10;-34;-43;-20;-9;-6;-5;-10;-7;7;-20;-74;-41;73.0;30;20;14;1;-7;48;5.0;87;49;2;8;9;-1;-1;6;22;-26;4;-37;-24;-17;-34;-92;-96;-5.0;-25;-14;-86;53;-30;2;-3;3;16;18;13;9;7;5;-13;-4;-4;-6;41;17;5;-12;-1;9;-32;-23;36;-10;-3;4;-7;29;25;20;1;12;10;20;11;-7;-2;-3;29;18;9;4;-19;22.0;-27;32.0;-5.0;0;17:00:00;0;PON;FIG
INT X CHA 15-05-2016;0;2016-05-15;10.0;44;30;21;15;12;-22;29;13;-42;-17;13;-6;-4;2;5.0;5;-3;-4;-5;6;2;15.0;8;13;20;17;35;26;40;15;11;12;96;9;-3;-4;57;33;-34;55.0;-8;-4;-1;-5;63;1;21;13;8;7;6;3;9;7;6;43;5;-4;2;2;2;3;23;15;10;48;26;28;40;24;14;-45;-43;-28;-17;45;19;21;-35;15;-6;-37;-22;43;25;23;24;27.0;10;62.0;0.0;0;19:30:00;0;CHA;INT
