game;accuratePass;aerialDuels;challengeLost;disabled;fouls;goalAssist;goals;goodHighClaim;groundDuels;id;interceptionWon;keyPass;minutesPlayed;name;national;offsides;outfielderBlock;position;possessionLost;punches;rating;runsOut;saves;shortName;shotsBlocked;shotsOffTarget;shotsOnTarget;slug;team;team_id;team_name;totalClearance;totalContest;totalCross;totalDuels;totalLongBalls;totalPass;totalTackle;touches;wasFouled
FLA X CAM 2017-05-13;45 (80%);1 (0);;False;0;;1;;7 (5);329051;1;1;90';Elias;False;;0;M;16;;7.7;;;Elias;1;1;1;atletico-mineiro;CAM;1977;Atlético Mineiro;1;4 (3);1 (0);8 (5);3 (1);45 (80%);1;75;1
FLA X CAM 2017-05-13;35 (87%);2 (1);1;;1;;;;4 (2);39421;6;0;90';Réver;False;;1;D;7;;7.7;;;Réver;0;0;1;flamengo;FLA;5981;Flamengo;4;0 (0);0 (0);6 (3);14 (10);35 (87%);2;57;0
FLA X CAM 2017-05-13;25 (71%);3 (1);;;0;;;;1 (1);335167;2;0;90';Rafael Vaz;False;;2;D;10;;7.5;;;R. Vaz;0;0;0;flamengo;FLA;5981;Flamengo;6;0 (0);0 (0);4 (2);10 (3);25 (71%);0;47;1
FLA X CAM 2017-05-13;50 (83%);1 (1);1;False;1;;;;5 (3);559194;3;0;90';Gabriel;False;;1;D;11;;7.4;;;Gabriel;0;0;0;atletico-mineiro;CAM;1977;Atlético Mineiro;12;0 (0);0 (0);6 (4);10 (5);50 (83%);3;81;0
FLA X CAM 2017-05-13;47 (87%);5 (3);;False;2;;;;2 (1);37232;3;0;90';Felipe Santana;False;;1;D;8;;7.3;;;F. Santana;0;0;0;atletico-mineiro;CAM;1977;Atlético Mineiro;5;0 (0);0 (0);7 (4);8 (5);47 (87%);1;67;0
FLA X CAM 2017-05-13;15 (88%);1 (1);1;;0;;1;;5 (2);795034;1;0;60';Matheus Sávio;False;;0;M;6;;7.2;;;M. Sávio;0;1;1;flamengo;FLA;5981;Flamengo;0;0 (0);2 (0);6 (3);0 (0);15 (88%);1;26;1
FLA X CAM 2017-05-13;16 (69%);0 (0);;;0;1;;;8 (5);76526;1;2;90';Éverton Cardoso;False;;0;M;19;;7.2;;;É. Cardoso;0;0;1;flamengo;FLA;5981;Flamengo;0;3 (1);9 (0);8 (5);2 (0);16 (69%);3;45;1
FLA X CAM 2017-05-13;69 (93%);0 (0);;False;2;;;;7 (4);39423;5;1;90';Rafael Carioca;False;;0;M;9;;7.2;;;R. Carioca;0;0;0;atletico-mineiro;CAM;1977;Atlético Mineiro;0;2 (2);0 (0);7 (4);1 (1);69 (93%);2;89;0
FLA X CAM 2017-05-13;17 (85%);1 (1);;;0;;;;3 (3);243113;1;2;30';Renê;False;;0;D;5;;7.1;;;Renê;0;0;0;flamengo;FLA;5981;Flamengo;1;0 (0);3 (2);4 (4);1 (0);17 (85%);3;31;0
FLA X CAM 2017-05-13;14 (70%);4 (1);;False;1;1;;;5 (2);12764;0;1;80';Fred;False;;0;F;13;;7.1;;;Fred;1;2;0;atletico-mineiro;CAM;1977;Atlético Mineiro;1;0 (0);1 (0);9 (3);0 (0);14 (70%);0;33;2
