game;addedTime;id;incidentClass;incidentType;isHome;player;playerName;reason;time
CRU X GRE 2018-04-14;;118879623;yellow;card;True;{'name': 'Dedé', 'slug': 'dede', 'shortName': 'Dedé', 'position': 'D', 'userCount': 530, 'id': 166701};Dedé;Foul;90
CRU X GRE 2018-04-14;;118879622;yellow;card;True;{'name': 'Sassá', 'slug': 'sassa', 'shortName': 'Sassá', 'position': 'F', 'userCount': 176, 'id': 243157};Sassá;Foul;84
CRU X GRE 2018-04-14;;118879625;red;card;False;{'name': 'Walter Kannemann', 'slug': 'walter-kannemann', 'shortName': 'W. Kannemann', 'position': 'D', 'userCount': 679, 'id': 249647};Walter Kannemann;Foul;73
CRU X GRE 2018-04-14;;118879624;yellow;card;False;{'name': 'Ramiro', 'slug': 'ramiro', 'shortName': 'Ramiro', 'position': 'M', 'userCount': 362, 'id': 330693};Ramiro;Time wasting;72
CRU X GRE 2018-04-14;;118879621;yellow;card;True;{'name': 'Alejandro Cabral', 'slug': 'alejandro-cabral', 'shortName': 'A. Cabral', 'position': 'M', 'userCount': 77, 'id': 48471};Alejandro Cabral;Foul;57
VIT X FLA 2018-04-14;;118879734;yellow;card;True;{'name': 'Yago Felipe', 'slug': 'yago-felipe', 'shortName': 'Y. Rocha', 'position': 'M', 'userCount': 69, 'id': 552164};Yago;Foul;71
VIT X FLA 2018-04-14;;118879737;yellow;card;False;{'name': 'Willian Arão', 'slug': 'willian-arao', 'shortName': 'W. Arão', 'position': 'M', 'userCount': 1174, 'id': 242213};Willian Arão;Foul;68
VIT X FLA 2018-04-14;;118879733;yellow;card;True;{'name': 'Rodrigo Andrade', 'slug': 'rodrigo-andrade', 'shortName': 'R. Andrade', 'position': 'M', 'userCount': 36, 'id': 874398};Rodrigo Andrade;Foul;49
VIT X FLA 2018-04-14;;118879732;yellow;card;True;{'name': 'Rhayner', 'slug': 'rhayner', 'shortName': 'Rhayner', 'position': 'M', 'userCount': 42, 'id': 241468};Rhayner;Foul;22
VIT X FLA 2018-04-14;;118879736;yellow;card;False;{'name': 'Diego', 'slug': 'diego', 'shortName': 'Diego', 'position': 'M', 'userCount': 4693, 'id': 6256};Diego;Foul;17
VIT X FLA 2018-04-14;;118879735;red;card;False;{'name': 'Everton Ribeiro', 'slug': 'everton-ribeiro', 'shortName': 'É. Ribeiro', 'position': 'M', 'userCount': 4148, 'id': 145063};Éverton Ribeiro;Professional handball;10
SAN X CEA 2018-04-14;;118879806;yellow;card;False;{'name': 'Rafael Carioca', 'slug': 'rafael-carioca', 'shortName': 'R. Carioca', 'position': 'D', 'userCount': 51, 'id': 915350};Rafael Carioca;Foul;2
AME X SPT 2018-04-15;;118881079;yellow;card;True;{'name': 'Luan', 'slug': 'luan', 'shortName': 'Luan', 'position': 'M', 'userCount': 26, 'id': 73096};Luan;Argument;75
AME X SPT 2018-04-15;;118881082;yellow;card;False;{'name': 'Léo Ortiz', 'slug': 'leo-ortiz', 'shortName': 'L. Ortiz', 'position': 'D', 'userCount': 90, 'id': 869643};Léo Ortiz;Foul;68
AME X SPT 2018-04-15;;118881081;yellow;card;False;{'name': 'Marlone', 'slug': 'marlone', 'shortName': 'Marlone', 'position': 'M', 'userCount': 139, 'id': 281187};Marlone;Foul;39
AME X SPT 2018-04-15;;118881080;yellow;card;False;{'name': 'Claudio Winck', 'slug': 'claudio-winck', 'shortName': 'C. Winck', 'position': 'D', 'userCount': 60, 'id': 155998};Claudio Winck;Foul;28
INT X BAH 2018-04-15;;118882024;yellow;card;True;{'name': 'Brenner', 'slug': 'brenner', 'shortName': 'Brenner', 'position': 'F', 'userCount': 35, 'id': 925236};Brenner;Argument;80
INT X BAH 2018-04-15;;118882023;yellow;card;True;{'name': 'William Pottker', 'slug': 'william-pottker', 'shortName': 'W. Pottker', 'position': 'M', 'userCount': 222, 'id': 243501};William Pottker;Time wasting;72
VAS X CAM 2018-04-15;;118882043;yellow;card;False;{'name': 'Fábio Santos', 'slug': 'fabio-santos', 'shortName': 'F. Santos', 'position': 'D', 'userCount': 209, 'id': 35519};Fabio Santos;Foul;88
VAS X CAM 2018-04-15;;118882042;yellow;card;False;{'name': 'Yago', 'slug': 'yago', 'shortName': 'Yago', 'position': 'M', 'userCount': 33, 'id': 338841};Yago;Foul;81
VAS X CAM 2018-04-15;;118882040;yellow;card;True;{'name': 'Rildo', 'slug': 'rildo', 'shortName': 'Rildo', 'position': 'M', 'userCount': 74, 'id': 798428};Rildo;Argument;79
VAS X CAM 2018-04-15;;118882039;yellow;card;True;{'name': 'Andy Rios', 'slug': 'andy-rios', 'shortName': 'A. Ríos', 'position': 'F', 'userCount': 70, 'id': 34135};Andrés Ríos;Foul;73
VAS X CAM 2018-04-15;;118882041;yellow;card;False;{'name': 'Gleison Bremer', 'slug': 'gleison-bremer', 'shortName': 'G. Bremer', 'position': 'D', 'userCount': 309, 'id': 885197};Gleison Bremer;Foul;63
VAS X CAM 2018-04-15;;118882038;yellow;card;True;{'name': 'Evander', 'slug': 'evander', 'shortName': 'Evander', 'position': 'M', 'userCount': 779, 'id': 822515};Evander;Foul;42
VAS X CAM 2018-04-15;;118882037;yellow;card;True;{'name': 'Henrique', 'slug': 'henrique', 'shortName': 'Henrique', 'position': 'D', 'userCount': 120, 'id': 336851};Henrique;Foul;34
CAP X CHA 2018-04-15;;118882166;yellow;card;True;{'name': 'Zé Ivaldo', 'slug': 'ze-ivaldo', 'shortName': 'Z. Ivaldo', 'position': 'D', 'userCount': 44, 'id': 844602};Zé Ivaldo;Dangerous play;77
CAP X CHA 2018-04-15;;118882169;yellow;card;False;{'name': 'Márcio Araújo', 'slug': 'marcio-araujo', 'shortName': 'M. Araújo', 'position': 'M', 'userCount': 114, 'id': 24174};Márcio Araújo;Foul;67
CAP X CHA 2018-04-15;;118882168;yellow;card;False;{'name': 'Wellington Paulista', 'slug': 'wellington-paulista', 'shortName': 'W. Paulista', 'position': 'F', 'userCount': 282, 'id': 29106};Wellington Paulista;Foul;38
CAP X CHA 2018-04-15;;118882167;yellow;card;False;{'name': 'Rafael Thyere', 'slug': 'rafael-thyere', 'shortName': 'R. Thyere', 'position': 'D', 'userCount': 44, 'id': 354894};Rafael Thyere;Foul;27
BOT X PAL 2018-04-16;3.0;118882642;yellow;card;True;{'name': 'Marcinho', 'slug': 'marcinho', 'shortName': 'Marcinho', 'position': 'D', 'userCount': 194, 'id': 840148};Marcinho;Foul;90
BOT X PAL 2018-04-16;;118882646;yellow;card;False;{'name': 'Dudu', 'slug': 'dudu', 'shortName': 'Dudu', 'position': 'M', 'userCount': 4240, 'id': 147464};Dudu;Foul;81
BOT X PAL 2018-04-16;;118882645;yellow;card;False;{'name': 'Felipe Melo', 'slug': 'felipe-melo', 'shortName': 'F. Melo', 'position': 'M', 'userCount': 793, 'id': 4811};Felipe Melo;Foul;68
BOT X PAL 2018-04-16;;118882644;yellow;card;False;{'name': 'Marcos Rocha', 'slug': 'marcos-rocha', 'shortName': 'M. Rocha', 'position': 'D', 'userCount': 483, 'id': 82576};Marcos Rocha;Foul;64
BOT X PAL 2018-04-16;;118882643;yellow;card;False;{'name': 'Diogo Barbosa', 'slug': 'diogo-barbosa', 'shortName': 'D. Goiano', 'position': 'D', 'userCount': 355, 'id': 243107};Diogo Barbosa;Foul;34
SPO X PAR 2018-04-16;;118882637;yellow;card;True;{'name': 'Éder Militão', 'slug': 'eder-militao', 'shortName': 'É. Militão', 'position': 'D', 'userCount': 7038, 'id': 822519};Éder Militão;Foul;86
SPO X PAR 2018-04-16;;118882636;yellow;card;True;{'name': 'Sidão', 'slug': 'sidao', 'shortName': 'Sidão', 'position': 'G', 'userCount': 133, 'id': 982571};Sidão;Time wasting;83
SPO X PAR 2018-04-16;;118882635;yellow;card;True;{'name': 'Júnior Tavares', 'slug': 'junior-tavares', 'shortName': 'J. Tavares', 'position': 'D', 'userCount': 178, 'id': 794924};Júnior Tavares;Foul;81
SPO X PAR 2018-04-16;;118882639;yellow;card;False;{'name': 'Thiago Santos', 'slug': 'thiago-santos', 'shortName': 'T. Santos', 'position': 'F', 'userCount': 12, 'id': 925770};Thiago Santos;Foul;80
SPO X PAR 2018-04-16;;118882638;yellow;card;False;{'name': 'Leandro Vilela', 'slug': 'leandro-vilela', 'shortName': 'L. Vilela', 'position': 'M', 'userCount': 21, 'id': 871013};Leandro Vilela;Foul;58
SPO X PAR 2018-04-16;;118882634;yellow;card;True;{'name': 'Régis Souza', 'slug': 'regis-souza', 'shortName': 'R. Souza', 'position': 'D', 'userCount': 47, 'id': 329111};Régis Souza;Foul;44
BAH X SAN 2018-04-21;4.0;118887507;yellow;card;True;{'name': 'Marco Antonio', 'slug': 'marco-antonio', 'shortName': 'M. Antonio', 'position': 'M', 'userCount': 71, 'id': 870560};Marco Antonio;;90
BAH X SAN 2018-04-21;;118887306;yellow;card;True;{'name': 'Régis', 'slug': 'regis', 'shortName': 'Régis', 'position': 'M', 'userCount': 177, 'id': 335365};Régis;Foul;90
BAH X SAN 2018-04-21;;118887309;yellow;card;False;{'name': 'Dodô', 'slug': 'dodo', 'shortName': 'Dodô', 'position': 'D', 'userCount': 265, 'id': 108481};Dodô;Foul;71
BAH X SAN 2018-04-21;;118887308;yellow;card;False;{'name': 'David Braz', 'slug': 'david-braz', 'shortName': 'D. Braz', 'position': 'D', 'userCount': 213, 'id': 46942};David Braz;Argument;38
