game;length;time;addedTime;incidentType
CRU X GRE 2018-04-14;7;90;0;injuryTime
CRU X GRE 2018-04-14;1;45;0;injuryTime
VIT X FLA 2018-04-14;3;90;0;injuryTime
VIT X FLA 2018-04-14;4;45;0;injuryTime
SAN X CEA 2018-04-14;5;90;0;injuryTime
SAN X CEA 2018-04-14;2;45;0;injuryTime
AME X SPT 2018-04-15;4;90;0;injuryTime
AME X SPT 2018-04-15;3;45;0;injuryTime
VAS X CAM 2018-04-15;8;90;0;injuryTime
CAP X CHA 2018-04-15;5;45;0;injuryTime
PAR X COR 2018-04-22;6;90;0;injuryTime
CEA X FLA 2018-04-29;2;90;0;injuryTime
SPO X BOT 2018-05-30;8;45;0;injuryTime
BOT X CEA 2018-06-06;10;90;0;injuryTime
SPO X VIT 2018-06-12;6;45;0;injuryTime
FLA X SPO 2018-07-18;9;90;0;injuryTime
COR X PAR 2018-08-25;7;45;0;injuryTime
VAS X FLA 2018-09-15;14;90;0;injuryTime
FLU X PAR 2018-10-08;1;90;0;injuryTime
FLA X PAL 2018-10-27;10;45;0;injuryTime
