game;text;homeScore;awayScore;isLive;time;addedTime;incidentType
CRU X GRE 2018-04-14;FT;0;1;False;90;999;period
CRU X GRE 2018-04-14;HT;0;0;False;45;999;period
VIT X FLA 2018-04-14;FT;2;2;False;90;999;period
VIT X FLA 2018-04-14;HT;1;1;False;45;999;period
SAN X CEA 2018-04-14;FT;2;0;False;90;999;period
SAN X CEA 2018-04-14;HT;1;0;False;45;999;period
AME X SPT 2018-04-15;FT;3;0;False;90;999;period
AME X SPT 2018-04-15;HT;3;0;False;45;999;period
COR X FLU 2018-04-15;FT;2;1;False;90;999;period
VAS X CAM 2018-04-15;HT;0;1;False;45;999;period
CAP X CHA 2018-04-15;FT;5;1;False;90;999;period
BOT X PAL 2018-04-16;FT;1;1;False;90;999;period
SPO X PAR 2018-04-16;FT;1;0;False;90;999;period
FLA X AME 2018-04-21;HT;2;0;False;45;999;period
PAR X COR 2018-04-22;FT;0;4;False;90;999;period
PAR X COR 2018-04-22;HT;0;2;False;45;999;period
CEA X SPO 2018-04-22;FT;0;0;False;90;999;period
CEA X FLA 2018-04-29;FT;0;3;False;90;999;period
PAR X SPT 2018-04-29;FT;1;2;False;90;999;period
VAS X AME 2018-05-05;FT;4;1;False;90;999;period
CAP X PAL 2018-05-06;FT;1;3;False;90;999;period
GRE X SAN 2018-05-06;HT;2;1;False;45;999;period
CHA X FLA 2018-05-13;FT;3;2;False;90;999;period
VAS X VIT 2018-05-13;FT;2;3;False;90;999;period
SAN X PAR 2018-05-13;FT;3;1;False;90;999;period
CEA X AME 2018-05-14;HT;1;2;False;45;999;period
SPO X BOT 2018-05-30;HT;3;1;False;45;999;period
CAM X CHA 2018-06-02;FT;3;3;False;90;999;period
CAM X CHA 2018-06-02;HT;2;2;False;45;999;period
BAH X GRE 2018-06-03;FT;0;2;False;90;999;period
SAN X VIT 2018-06-03;FT;5;2;False;90;999;period
SAN X VIT 2018-06-03;HT;4;0;False;45;999;period
VAS X COR 2018-07-29;FT;1;4;False;90;999;period
CAP X VIT 2018-07-29;FT;4;0;False;90;999;period
FLU X INT 2018-08-13;HT;0;3;False;45;999;period
VIT X BOT 2018-09-23;FT;3;4;False;90;999;period
CAM X SPT 2018-09-30;HT;4;1;False;45;999;period
