game;addedTime;id;incidentClass;incidentType;injury;isHome;playerIn;playerOut;time
CRU X GRE 2018-04-14;;118851358;;substitution;;False;{'name': 'Michel', 'slug': 'michel', 'shortName': 'Michel', 'position': 'M', 'userCount': 134, 'id': 869642};{'name': 'Everton', 'slug': 'everton', 'shortName': 'Everton', 'position': 'M', 'userCount': 7933, 'id': 386198};85
CRU X GRE 2018-04-14;;118851357;;substitution;;False;{'name': 'Bressan', 'slug': 'bressan', 'shortName': 'Bressan', 'position': 'D', 'userCount': 83, 'id': 312114};{'name': 'André', 'slug': 'andre', 'shortName': 'André', 'position': 'F', 'userCount': 265, 'id': 118815};76
CRU X GRE 2018-04-14;;118851355;;substitution;;True;{'name': 'Rafael Marques', 'slug': 'rafael-marques', 'shortName': 'R. Marques', 'position': 'F', 'userCount': 86, 'id': 60254};{'name': 'Robinho', 'slug': 'robinho', 'shortName': 'Robinho', 'position': 'M', 'userCount': 222, 'id': 125018};76
CRU X GRE 2018-04-14;;118851354;;substitution;;True;{'name': 'Federico Mancuello', 'slug': 'federico-mancuello', 'shortName': 'F. Mancuello', 'position': 'M', 'userCount': 186, 'id': 122615};{'name': 'Alejandro Cabral', 'slug': 'alejandro-cabral', 'shortName': 'A. Cabral', 'position': 'M', 'userCount': 77, 'id': 48471};67
CRU X GRE 2018-04-14;;118851356;;substitution;;False;{'name': 'Jailson Siqueira', 'slug': 'jailson-siqueira', 'shortName': 'J. Siqueira', 'position': 'D', 'userCount': 386, 'id': 794861};{'name': 'Maicon', 'slug': 'maicon', 'shortName': 'Maicon', 'position': 'M', 'userCount': 248, 'id': 26230};58
CRU X GRE 2018-04-14;;118851353;;substitution;;True;{'name': 'Sassá', 'slug': 'sassa', 'shortName': 'Sassá', 'position': 'F', 'userCount': 176, 'id': 243157};{'name': 'Rafael Sóbis', 'slug': 'rafael-sobis', 'shortName': 'R. Sóbis', 'position': 'F', 'userCount': 370, 'id': 17789};46
VIT X FLA 2018-04-14;;118851501;;substitution;;False;{'name': 'Pará', 'slug': 'para', 'shortName': 'Pará', 'position': 'D', 'userCount': 278, 'id': 124982};{'name': 'Vinícius Júnior', 'slug': 'vinicius-junior', 'shortName': 'V. Júnior', 'position': 'F', 'userCount': 44593, 'id': 868812};85
VIT X FLA 2018-04-14;;118851498;;substitution;;True;{'name': 'Jeferson', 'slug': 'jeferson', 'shortName': 'Jeferson', 'position': 'D', 'userCount': 37, 'id': 358526};{'name': 'Rodrigo Andrade', 'slug': 'rodrigo-andrade', 'shortName': 'R. Andrade', 'position': 'M', 'userCount': 36, 'id': 874398};79
VIT X FLA 2018-04-14;;118851497;;substitution;;True;{'name': 'Guilherme Costa', 'slug': 'guilherme-costa', 'shortName': 'G. Costa', 'position': 'M', 'userCount': 64, 'id': 156013};{'name': 'Pedro Botelho', 'slug': 'pedro-botelho', 'shortName': 'P. Botelho', 'position': 'D', 'userCount': 11, 'id': 83454};67
VIT X FLA 2018-04-14;;118851500;;substitution;;False;{'name': 'Geuvânio', 'slug': 'geuvanio', 'shortName': 'Geuvânio', 'position': 'M', 'userCount': 147, 'id': 243187};{'name': 'Lucas Paquetá', 'slug': 'lucas-paqueta', 'shortName': 'L. Paquetá', 'position': 'M', 'userCount': 13535, 'id': 839981};56
