game;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
SPO X BOT 2019-04-27;0;2019-04-27;9.0;-10.0;-1.0;-3.0;-4.0;5.0;19.0;12.0;11.0;3.0;-15.0;31.0;-11.0;-15.0;-15.0;-9.0;12.0;1.0;28.0;16.0;8.0;6.0;16.0;25.0;13.0;-29.0;15.0;17.0;4.0;-5.0;4.0;-14.0;-14.0;8.0;-13.0;22.0;4.0;32.0;14.0;8.0;-30.0;-16.0;-10.0;-7.0;10.0;20.0;4.0;-2.0;30.0;18.0;-32.0;-24.0;-13.0;-8.0;-7.0;-31.0;11.0;-57.0;-39.0;-28.0;-25.0;-19.0;-4.0;-4.0;-10.0;-18.0;-16.0;-6.0;-25.0;-38.0;-25.0;-29.0;-22.0;-14.0;-15.0;-13.0;-16.0;18.0;-26.0;8.0;4.0;2.0;41.0;31.0;11.0;-31.0;-22.0;-44.0;-22.0;-16.0;-10.0;7.0;2;17:00:00;1;BOT;SPO
CAM X AVA 2019-04-27;1;2019-04-27;10.0;61.0;72.0;50.0;29.0;18.0;15.0;32.0;16.0;1.0;8.0;10.0;10.0;23.0;13.0;14.0;44.0;73.0;48.0;34.0;78.0;53.0;10.0;28.0;23.0;22.0;16.0;15.0;16.0;16.0;28.0;37.0;23.0;5.0;18.0;41.0;44.0;33.0;23.0;67.0;57.0;36.0;-22.0;7.0;11.0;8.0;10.0;-43.0;-12.0;61.0;29.0;15.0;9.0;-7.0;-34.0;-24.0;-5.0;-19.0;-15.0;-13.0;-73.0;-60.0;-35.0;31.0;-7.0;2.0;-16.0;-10.0;-12.0;-17.0;-13.0;-36.0;-26.0;-20.0;-29.0;-4.0;18.0;17.0;24.0;11.0;5.0;6.0;15.0;13.0;35.0;26.0;13.0;2.0;-29.0;24.0;-31.0;12.0;2;20:00:00;1;AVA;CAM
CHA X INT 2019-04-27;0;2019-04-27;5.0;-47.0;-13.0;37.0;24.0;15.0;35.0;21.0;13.0;11.0;9.0;9.0;21.0;21.0;-17.0;-6.0;-6.0;-7.0;-7.0;-32.0;-25.0;-16.0;10.0;-13.0;-8.0;-4.0;-9.0;6.0;8.0;3.0;-13.0;-57.0;-68.0;-11.0;-58.0;-77.0;-24.0;-2.0;9.0;6.0;23.0;21.0;17.0;43.0;25.0;-11.0;5.0;-31.0;-56.0;-39.0;-55.0;-44.0;-50.0;-73.0;-46.0;-61.0;-8.0;-61.0;-66.0;37.0;6.0;12.0;60.0;36.0;10.0;-6.0;-5.0;-6.0;-7.0;-20.0;-13.0;23.0;-28.0;-29.0;-31.0;-24.0;-17.0;-12.0;-38.0;-29.0;-21.0;-54.0;-39.0;-30.0;-40.0;-16.0;-7.0;35.0;80.0;57.0;15.0;-58.0;2;20:00:00;1;INT;CHA
FLA X CRU 2019-04-27;1;2019-04-27;1.0;-12.0;-8.0;-6.0;-2.0;9.0;10.0;20.0;37.0;22.0;12.0;2.0;20.0;-27.0;-7.0;-5.0;-3.0;27.0;12.0;6.0;1.0;-1.0;2.0;20.0;17.0;18.0;7.0;10.0;15.0;23.0;11.0;10.0;13.0;3.0;-17.0;-4.0;42.0;22.0;10.0;9.0;13.0;48.0;35.0;16.0;7.0;45.0;15.0;-12.0;-2.0;7.0;9.0;9.0;55.0;37.0;48.0;62.0;27.0;78.0;68.0;34.0;23.0;45.0;24.0;28.0;19.0;67.0;37.0;16.0;24.0;14.0;31.0;11.0;3.0;-8.0;5.0;9.0;25.0;20.0;6.0;26.0;18.0;16.0;19.0;17.0;16.0;21.0;-18.0;-12.0;-12.0;-33.0;57.0;-29.0;3;22:00:00;1;CRU;FLA
GRE X SAN 2019-04-28;2;2019-04-28;-9.0;-21.0;-62.0;-39.0;-47.0;-25.0;-10.0;4.0;5.0;30.0;9.0;-9.0;8.0;36.0;24.0;15.0;57.0;66.0;86.0;64.0;27.0;59.0;-6.0;37.0;71.0;49.0;28.0;5.0;1.0;-27.0;-5.0;21.0;18.0;-3.0;3.0;-4.0;-4.0;5.0;7.0;12.0;25.0;26.0;-17.0;-9.0;-5.0;20.0;-6.0;-6.0;-3.0;-36.0;-27.0;-3.0;5.0;7.0;41.0;23.0;-33.0;16.0;7.0;9.0;24.0;14.0;29.0;16.0;19.0;39.0;24.0;-30.0;26.0;20.0;30.0;35.0;58.0;90.0;58.0;90.0;47.0;22.0;-11.0;13.0;-8.0;-1.0;31.0;22.0;11.0;59.0;39.0;46.0;41.0;-4.0;27.0;62.0;1;12:00:00;-1;SAN;GRE
CAP X VAS 2019-04-28;1;2019-04-28;10.0;16.0;-15.0;-22.0;-9.0;-1.0;40.0;30.0;7.0;5.0;4.0;14.0;8.0;16.0;16.0;49.0;31.0;29.0;32.0;23.0;7.0;4.0;16.0;1.0;16.0;4.0;3.0;2.0;2.0;-1.0;-2.0;-37.0;-22.0;67.0;-33.0;-57.0;-28.0;58.0;58.0;57.0;39.0;20.0;-15.0;-6.0;-7.0;42.0;-2.0;7.0;4.0;2.0;9.0;33.0;23.0;20.0;18.0;48.0;82.0;57.0;20.0;9.0;-5.0;9.0;-4.0;-3.0;30.0;42.0;7.0;51.0;24.0;14.0;5.0;-42.0;-24.0;-34.0;-21.0;-13.0;7.0;15.0;36.0;65.0;48.0;55.0;36.0;25.0;15.0;-25.0;23.0;28.0;12.0;21.0;-24.0;-5.0;4;17:00:00;1;VAS;CAP
BAH X COR 2019-04-28;2;2019-04-28;9.0;2.0;-2.0;-7.0;11.0;1.0;-6.0;-2.0;9.0;27.0;59.0;31.0;33.0;35.0;17.0;2.0;-7.0;-11.0;-29.0;-24.0;-18.0;-16.0;55.0;-11.0;-32.0;-13.0;-1.0;53.0;31.0;21.0;10.0;20.0;18.0;54.0;11.0;3.0;-4.0;-6.0;-8.0;-2.0;16.0;10.0;7.0;17.0;-28.0;33.0;-9.0;24.0;11.0;5.0;24.0;12.0;5.0;10.0;63.0;41.0;15.0;27.0;15.0;17.0;9.0;8.0;12.0;-8.0;-18.0;-32.0;28.0;-9.0;-11.0;-78.0;-44.0;-19.0;21.0;17.0;11.0;47.0;23.0;7.0;-7.0;-10.0;-9.0;-8.0;-16.0;34.0;16.0;11.0;18.0;12.0;41.0;7.0;35.0;-31.0;3;17:00:00;1;COR;BAH
CEA X CSA 2019-04-28;0;2019-04-28;3.0;50.0;34.0;19.0;6.0;2.0;-47.0;-24.0;-10.0;-2.0;8.0;7.0;27.0;46.0;23.0;10.0;-17.0;-11.0;-8.0;-29.0;-15.0;-17.0;10.0;-9.0;-3.0;3.0;-25.0;-15.0;27.0;13.0;10.0;10.0;42.0;12.0;21.0;11.0;4.0;1.0;-5.0;-6.0;-9.0;-27.0;-13.0;-5.0;3.0;28.0;5.0;-29.0;-2.0;3.0;4.0;22.0;21.0;18.0;20.0;20.0;31.0;-12.0;9.0;2.0;5.0;-18.0;-3.0;8.0;-5.0;4.0;13.0;17.0;15.0;45.0;29.0;21.0;16.0;39.0;29.0;22.0;16.0;-29.0;59.0;-17.0;59.0;26.0;-33.0;-5.0;28.0;27.0;15.0;11.0;75.0;38.0;41.0;6.0;4;17:00:00;1;CSA;CEA
FLU X GOI 2019-04-28;1;2019-04-28;-6.0;56.0;67.0;50.0;62.0;48.0;39.0;32.0;52.0;43.0;53.0;75.0;33.0;29.0;-43.0;38.0;22.0;33.0;42.0;61.0;69.0;56.0;58.0;44.0;36.0;31.0;27.0;3.0;13.0;-8.0;12.0;15.0;17.0;51.0;22.0;24.0;24.0;24.0;37.0;20.0;15.0;16.0;12.0;-21.0;-13.0;-33.0;-22.0;-11.0;-11.0;-3.0;-6.0;-2.0;1.0;-8.0;6.0;6.0;21.0;-5.0;-13.0;41.0;-49.0;-16.0;-8.0;-7.0;-40.0;-17.0;-25.0;26.0;18.0;9.0;71.0;45.0;31.0;-54.0;-20.0;-13.0;23.0;9.0;43.0;-12.0;5.0;15.0;45.0;40.0;66.0;54.0;35.0;30.0;16.0;71.0;-29.0;-5.0;0;20:00:00;-1;GOI;FLU
PAL X FOR 2019-04-28;0;2019-04-28;2.0;10.0;21.0;15.0;-22.0;-13.0;-7.0;7.0;4.0;46.0;43.0;28.0;6.0;10.0;15.0;25.0;15.0;8.0;3.0;5.0;7.0;43.0;16.0;26.0;29.0;19.0;11.0;-11.0;5.0;5.0;8.0;5.0;6.0;8.0;22.0;34.0;27.0;-20.0;7.0;32.0;10.0;25.0;38.0;82.0;73.0;4.0;48.0;51.0;49.0;67.0;37.0;18.0;33.0;15.0;27.0;15.0;1.0;83.0;24.0;9.0;-4.0;-1.0;7.0;-5.0;10.0;7.0;6.0;-25.0;-80.0;-9.0;23.0;14.0;41.0;31.0;24.0;-21.0;-7.0;-9.0;-10.0;-12.0;-15.0;-14.0;-3.0;-4.0;-4.0;-4.0;-4.0;-5.0;27.0;-6.0;6.0;38.0;4;20:00:00;1;FOR;PAL
