game;addedTime;assist1;awayScore;homeScore;id;incidentClass;incidentType;isHome;player;time
SPO X BOT 2019-04-27;;{'name': 'Hernanes', 'slug': 'hernanes', 'shortName': 'Hernanes', 'position': 'M', 'userCount': 1031, 'id': 34335};0;2;125961096;regular;goal;True;{'name': 'Hudson', 'slug': 'hudson', 'shortName': 'Hudson', 'position': 'M', 'userCount': 241, 'id': 551478};83
SPO X BOT 2019-04-27;;{'name': 'Antony Santos', 'slug': 'antony-santos', 'shortName': 'Antony', 'position': 'M', 'userCount': 1545, 'id': 958380};0;1;125961095;regular;goal;True;{'name': 'Éverton Cardoso', 'slug': 'everton-cardoso', 'shortName': 'É. Cardoso', 'position': 'M', 'userCount': 769, 'id': 76526};41
CAM X AVA 2019-04-27;;{'name': 'Geuvânio', 'slug': 'geuvanio', 'shortName': 'Geuvânio', 'position': 'M', 'userCount': 147, 'id': 243187};1;2;125961359;regular;goal;True;{'name': 'Ricardo Oliveira', 'slug': 'ricardo-oliveira', 'shortName': 'R. Oliveira', 'position': 'F', 'userCount': 505, 'id': 2099};53
CAM X AVA 2019-04-27;;{'name': 'Iury', 'slug': 'iury', 'shortName': 'Iury', 'position': 'D', 'userCount': 12, 'id': 950329};1;1;125961360;regular;goal;False;{'name': 'Feliciano Brizuela', 'slug': 'feliciano-brizuela', 'shortName': 'F. Brizuela', 'position': 'F', 'userCount': 13, 'id': 926419};46
CAM X AVA 2019-04-27;2.0;;0;1;125961358;penalty;goal;True;{'name': 'Fábio Santos', 'slug': 'fabio-santos', 'shortName': 'F. Santos', 'position': 'D', 'userCount': 209, 'id': 35519};45
CHA X INT 2019-04-27;;{'name': 'Bruno Pacheco', 'slug': 'bruno-pacheco', 'shortName': 'B. Pacheco', 'position': 'D', 'userCount': 83, 'id': 870691};0;2;125961366;regular;goal;True;{'name': 'Everaldo', 'slug': 'everaldo', 'shortName': 'Everaldo', 'position': 'F', 'userCount': 297, 'id': 386212};88
CHA X INT 2019-04-27;2.0;;0;1;125961365;penalty;goal;True;{'name': 'Everaldo', 'slug': 'everaldo', 'shortName': 'Everaldo', 'position': 'F', 'userCount': 297, 'id': 386212};45
FLA X CRU 2019-04-27;;;1;3;125961718;regular;goal;True;{'name': 'Gabriel Barbosa', 'slug': 'gabriel-barbosa', 'shortName': 'Gabriel', 'position': 'F', 'userCount': 15360, 'id': 358554};90
FLA X CRU 2019-04-27;;{'name': 'Willian Arão', 'slug': 'willian-arao', 'shortName': 'W. Arão', 'position': 'M', 'userCount': 1174, 'id': 242213};1;2;125961717;regular;goal;True;{'name': 'Bruno Henrique', 'slug': 'bruno-henrique', 'shortName': 'B. Henrique', 'position': 'M', 'userCount': 8838, 'id': 795291};67
FLA X CRU 2019-04-27;;{'name': 'Everton Ribeiro', 'slug': 'everton-ribeiro', 'shortName': 'É. Ribeiro', 'position': 'M', 'userCount': 4148, 'id': 145063};1;1;125961716;regular;goal;True;{'name': 'Bruno Henrique', 'slug': 'bruno-henrique', 'shortName': 'B. Henrique', 'position': 'M', 'userCount': 8838, 'id': 795291};41
FLA X CRU 2019-04-27;;{'name': 'Marquinhos Gabriel', 'slug': 'marquinhos-gabriel', 'shortName': 'M. Gabriel', 'position': 'M', 'userCount': 311, 'id': 90812};1;0;125961719;regular;goal;False;{'name': 'Pedro Rocha', 'slug': 'pedro-rocha', 'shortName': 'P. Rocha', 'position': 'M', 'userCount': 672, 'id': 794930};40
GRE X SAN 2019-04-28;3.0;{'name': 'Maicon', 'slug': 'maicon', 'shortName': 'Maicon', 'position': 'M', 'userCount': 248, 'id': 26230};2;1;125967577;regular;goal;True;{'name': 'Everton', 'slug': 'everton', 'shortName': 'Everton', 'position': 'M', 'userCount': 7933, 'id': 386198};90
GRE X SAN 2019-04-28;;;2;0;125967579;regular;goal;False;{'name': 'Felipe Jonatan', 'slug': 'felipe-jonatan', 'shortName': 'F. Jonatan', 'position': 'D', 'userCount': 214, 'id': 931574};35
GRE X SAN 2019-04-28;;{'name': 'Jean Lucas', 'slug': 'jean-lucas', 'shortName': 'J. Lucas', 'position': 'M', 'userCount': 809, 'id': 927975};1;0;125967578;regular;goal;False;{'name': 'Eduardo Sasha', 'slug': 'eduardo-sasha', 'shortName': 'E. Sasha', 'position': 'F', 'userCount': 585, 'id': 143846};6
