game;addedTime;confirmed;id;incidentClass;incidentType;isHome;player;time
COR X GOI 2019-08-07;;True;80;penaltyAwarded;varDecision;True;{'name': 'Júnior Urso', 'slug': 'junior-urso', 'shortName': 'J. Urso', 'position': 'M', 'userCount': 305, 'id': 243251};85
COR X GOI 2019-08-07;2.0;True;79;penaltyNotAwarded;varDecision;True;{'name': 'Mateus Vital', 'slug': 'mateus-vital', 'shortName': 'M. Vital', 'position': 'M', 'userCount': 616, 'id': 823653};45
COR X GOI 2019-08-07;;False;78;goalAwarded;varDecision;False;{'name': 'Michael', 'slug': 'michael', 'shortName': 'M. Delgado', 'position': 'M', 'userCount': 1693, 'id': 878084};31
GOI X CHA 2019-06-10;;False;2;penaltyNotAwarded;varDecision;True;{'name': 'Léo Sena', 'slug': 'leo-sena', 'shortName': 'L. Sena', 'position': 'M', 'userCount': 249, 'id': 870893};33
PAL X VAS 2019-07-27;;False;29;penaltyNotAwarded;varDecision;True;{'name': 'Arthur', 'slug': 'arthur', 'shortName': 'Arthur', 'position': 'F', 'userCount': 822, 'id': 870762};13
FLU X SPO 2019-07-27;4.0;False;31;penaltyNotAwarded;varDecision;False;{'name': 'Éverton Cardoso', 'slug': 'everton-cardoso', 'shortName': 'É. Cardoso', 'position': 'M', 'userCount': 769, 'id': 76526};90
INT X CEA 2019-07-27;7.0;False;15;goalAwarded;varDecision;True;{'name': 'Guilherme Parede', 'slug': 'guilherme-parede', 'shortName': 'G. Parede', 'position': 'M', 'userCount': 97, 'id': 823980};90
CHA X BAH 2019-07-28;;False;24;goalAwarded;varDecision;True;{'name': 'Henrique Almeida', 'slug': 'henrique-almeida', 'shortName': 'Henrique', 'position': 'F', 'userCount': 65, 'id': 39402};40
CEA X FOR 2019-08-03;;False;59;penaltyNotAwarded;varDecision;False;{'name': 'Wellington Paulista', 'slug': 'wellington-paulista', 'shortName': 'W. Paulista', 'position': 'F', 'userCount': 282, 'id': 29106};45
BAH X FLA 2019-08-04;;True;69;goalAwarded;varDecision;True;{'name': 'Gilberto', 'slug': 'gilberto', 'shortName': 'Gilberto', 'position': 'F', 'userCount': 594, 'id': 158561};21
CAM X CRU 2019-08-04;;True;71;penaltyNotAwarded;varDecision;True;{'name': 'Yimmi Chará', 'slug': 'yimmi-chara', 'shortName': 'Y. Chará', 'position': 'M', 'userCount': 824, 'id': 248069};24
COR X PAL 2019-08-04;;True;72;penaltyNotAwarded;varDecision;True;{'name': 'Vagner Love', 'slug': 'vagner-love', 'shortName': 'Vagner Love', 'position': 'F', 'userCount': 765, 'id': 13313};28
GRE X CHA 2019-08-05;3.0;False;76;penaltyAwarded;varDecision;True;{'name': 'Paulo Victor', 'slug': 'paulo-victor', 'shortName': 'P. Victor', 'position': 'G', 'userCount': 179, 'id': 34142};90
CEA X CHA 2019-08-10;;False;118;goalAwarded;varDecision;True;{'name': 'Thiago Galhardo', 'slug': 'thiago-galhardo', 'shortName': 'T. Galhardo', 'position': 'M', 'userCount': 444, 'id': 165677};78
CEA X CHA 2019-08-10;;False;115;goalAwarded;varDecision;True;{'name': 'Wescley', 'slug': 'wescley', 'shortName': 'Wescley', 'position': 'M', 'userCount': 42, 'id': 869854};14
FLA X GRE 2019-08-10;1.0;False;120;penaltyNotAwarded;varDecision;False;{'name': 'David Braz', 'slug': 'david-braz', 'shortName': 'D. Braz', 'position': 'D', 'userCount': 213, 'id': 46942};45
AVA X CRU 2019-08-11;7.0;False;138;goalNotAwarded;varDecision;False;{'name': 'Léo', 'slug': 'leo', 'shortName': 'Léo', 'position': 'D', 'userCount': 148, 'id': 35574};90
BOT X CAP 2019-08-11;8.0;True;139;penaltyNotAwarded;varDecision;False;{'name': 'Lucas Halter', 'slug': 'lucas-halter', 'shortName': 'L. Halter', 'position': 'D', 'userCount': 115, 'id': 905450};90
BOT X CAP 2019-08-11;;False;135;penaltyNotAwarded;varDecision;True;{'name': 'Lucas Campos', 'slug': 'lucas-campos', 'shortName': 'L. Campos', 'position': 'F', 'userCount': 24, 'id': 889086};74
BOT X CAP 2019-08-11;;False;134;goalAwarded;varDecision;True;{'name': 'Joel Carli', 'slug': 'joel-carli', 'shortName': 'J. Carli', 'position': 'D', 'userCount': 83, 'id': 122716};63
