game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Blocked shots_away;Blocked shots_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;both_score_No;both_score_Over;both_score_Under;both_score_Yes;data;double_chance_12;double_chance_1X;double_chance_X2;draw_no_bet_1;draw_no_bet_2;final_result_1;final_result_2;final_result_X;first_half_1;first_half_2;first_half_X;fl_both_score_No;fl_both_score_Over;fl_both_score_Under;fl_both_score_Yes;fl_double_chance_12;fl_double_chance_1X;fl_double_chance_X2;fl_draw_no_bet_1;fl_draw_no_bet_2;fl_final_result_1;fl_final_result_2;fl_final_result_X;fl_first_half_1;fl_first_half_2;fl_first_half_X;fl_total_goals_Over_0.5;fl_total_goals_Over_1.5;fl_total_goals_Over_2.5;fl_total_goals_Over_3.5;fl_total_goals_Over_4.5;fl_total_goals_Over_5.5;fl_total_goals_Under_0.5;fl_total_goals_Under_1.5;fl_total_goals_Under_2.5;fl_total_goals_Under_3.5;fl_total_goals_Under_4.5;fl_total_goals_Under_5.5;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home;total_goals_Over_0.5;total_goals_Over_1.5;total_goals_Over_2.5;total_goals_Over_3.5;total_goals_Over_4.5;total_goals_Over_5.5;total_goals_Under_0.5;total_goals_Under_1.5;total_goals_Under_2.5;total_goals_Under_3.5;total_goals_Under_4.5;total_goals_Under_5.5
FLA X SPT 2016-05-14;362 (83%);483 (87%);11;10;45%;55%;0;0;4;4;;;51;50;15;18;4;1;;;3;2;437;553;1;0;0;6;0;6;1;5;1;5;1;11;1;2;0;1.67;;;2.10;2016-05-14;1.25;1.14;2.60;1.22;4.00;1.53;6.00;4.00;2.20;6.00;2.20;True;;;False;True;True;False;True;False;True;False;False;True;False;False;True;False;False;False;False;False;False;True;True;True;True;True;10.0;25.57;10.48;8.04;-26.6;-10.65;-2.66;3.85;9.98;-40.4;-16.2;13.71;-6.52;-0.76;-3.31;13.83;4.77;-8.6;-2.03;1.8;-28.7;-15.03;15.91;-6.49;-9.39;-7.98;-4.91;-5.31;-5.55;-5.16;-5.16;-5.16;-24.77;17.22;-11.43;-3.5;-9.71;-20.81;-15.95;-14.91;0.0;15.7;15.2;15.47;44.88;18.0;29.43;23.69;20.65;14.25;38.21;17.34;4.56;-2.8;2.2;-4.22;97.72;-4.93;-11.14;-5.02;-6.75;6.9;3.95;-3.93;-4.6;-6.39;5.33;57.32;5.79;9.07;11.01;12.17;12.17;12.57;12.81;42.95;29.22;21.06;13.3;81.17;51.92;27.29;22.39;19.48;37.92;32.69;24.96;19.81;61.75;39.93;35.37;100.0;1;17:00:00;1;SPT;FLA;1.07;1.33;2.05;3.75;8.00;17.00;9.50;3.25;1.75;1.25;1.08;1.02
PAL X CAP 2016-05-14;250 (79%);493 (85%);9;8;35%;65%;1;2;1;8;;;32;45;17;14;2;0;;;0;2;316;577;1;0;2;10;3;4;0;6;2;2;4;12;5;1;0;1.80;;;1.95;2016-05-14;1.34;1.18;2.10;1.29;3.50;1.75;5.25;3.30;2.40;5.00;2.10;True;;;False;True;True;False;True;False;True;False;False;True;False;False;True;True;True;True;False;False;False;False;False;False;True;True;10.0;-22.54;-20.58;-6.11;-23.7;-14.58;-4.15;-2.68;4.25;13.26;13.14;14.35;87.7;45.59;23.79;19.19;42.23;10.74;5.58;7.24;5.98;3.33;5.33;4.71;4.99;4.79;4.79;5.03;5.18;35.26;23.15;15.95;46.65;2.37;34.9;14.22;-9.13;-9.81;-27.71;25.9;20.0;37.99;50.46;34.36;25.53;1.21;16.93;16.34;16.37;100.0;95.11;60.88;40.15;31.03;43.1;28.13;-0.22;20.71;16.3;28.44;53.8;31.0;17.31;9.17;3.22;44.2;25.66;2.2;20.24;12.02;12.14;3.86;7.23;10.76;13.23;74.33;51.03;36.8;-52.8;28.2;28.09;11.3;5.77;2.48;0.53;44.56;28.99;95.07;59.35;-31.88;38.12;;4;17:00:00;1;CAP;PAL;1.08;1.33;2.10;3.75;8.00;17.00;8.50;3.25;1.70;1.25;1.08;1.02
CAM X SAN 2016-05-14;410 (79%);265 (73%);13;14;60%;40%;3;8;2;4;;;61;52;12;18;4;4;;;5;3;517;361;;;2;11;5;10;4;5;10;12;12;23;2;2;0;1.95;;;1.80;2016-05-14;1.36;1.55;1.44;1.91;1.80;2.80;2.50;3.20;3.40;3.20;2.10;True;;;False;True;True;False;True;False;True;False;False;True;False;False;True;False;False;False;False;False;False;True;True;True;True;True;10.0;12.06;-22.2;-9.43;-54.09;33.6;100.0;100.0;61.7;71.11;40.84;13.55;17.69;8.72;6.17;7.42;36.26;23.41;15.77;-22.4;-20.64;-20.24;10.65;-12.78;-13.34;-12.67;-13.01;-11.02;-10.21;-13.45;-15.32;-30.53;-24.78;46.73;-18.76;-4.87;-1.62;41.36;25.81;16.36;40.0;52.0;-32.3;-11.18;-9.0;25.39;-7.7;-10.05;-0.02;-1.44;-1.81;-7.34;48.56;24.67;13.34;6.59;18.75;-21.44;-15.18;-45.36;-23.3;-15.19;43.56;15.14;10.27;-7.68;-3.66;10.58;-8.1;-7.01;-46.74;-29.9;-20.26;-19.52;-46.36;40.05;34.56;20.8;48.9;6.26;24.65;5.01;-7.07;-10.61;-52.88;-13.85;-28.79;-22.64;-23.99;15.27;-12.76;-50.0;1;19:30:00;1;SAN;CAM;1.07;1.33;2.05;3.50;8.00;17.00;9.00;3.25;1.75;1.29;1.08;1.02
CFC X CRU 2016-05-14;355 (80%);345 (78%);15;15;50%;50%;0;4;0;5;;;50;56;23;19;4;1;;;4;1;442;444;2;0;3;9;5;5;1;6;3;6;6;15;4;1;0;1.70;;;2.05;2016-05-14;1.36;1.50;1.48;1.83;1.83;2.70;2.63;3.20;3.40;3.40;2.05;True;;;False;True;True;False;True;False;True;False;False;False;False;True;True;False;False;False;False;False;False;True;True;True;True;True;10.0;17.71;12.31;-42.2;-21.47;-10.24;7.4;3.68;7.32;26.18;8.18;9.55;0.32;-2.45;-9.0;9.2;6.05;13.09;10.46;9.27;3.15;-11.68;9.28;-3.38;-3.88;-34.17;-13.99;-1.25;-37.99;-19.46;-8.42;-9.66;-6.32;8.11;-1.12;-1.0;-0.76;19.89;41.64;24.65;0.0;17.97;18.99;8.71;-11.1;37.42;10.76;4.04;2.55;2.35;-4.24;2.6;2.9;4.27;7.18;14.28;24.41;6.23;6.44;6.57;5.24;4.07;4.25;3.99;8.84;24.0;23.01;12.14;57.43;95.18;92.25;54.6;47.97;26.42;12.33;5.8;4.52;22.65;50.35;21.08;25.15;11.66;-23.2;-9.49;-4.42;-6.77;-1.99;-3.2;6.8;28.14;64.69;45.0;1;22:00:00;1;CRU;CFC;1.10;1.44;2.40;4.50;11.00;23.00;7.50;2.63;1.53;1.18;1.05;1.01
BOT X SPO 2016-05-15;222 (72%);500 (85%);18;16;34%;66%;1;3;4;7;;;55;49;10;7;5;2;;;3;3;310;590;;;1;8;2;3;3;5;5;3;6;11;5;1;1;1.70;;;2.05;2016-05-15;1.33;1.25;1.91;1.40;2.75;1.91;4.00;3.40;2.63;4.75;2.05;True;;;False;True;False;True;False;True;False;True;False;False;True;False;True;False;False;False;False;False;False;True;True;True;True;True;-1.0;3.55;12.04;5.62;11.81;10.73;10.09;33.97;50.48;79.56;47.62;4.0;27.94;19.38;-70.0;-34.83;-15.75;-17.16;-12.3;-3.84;-19.38;-4.17;-25.33;2.73;3.35;4.85;1.86;8.26;10.11;16.21;13.43;12.16;10.65;-9.19;24.93;-26.0;-3.15;9.25;68.16;43.36;-15.0;95.21;53.79;28.8;-42.5;29.67;-10.94;-4.22;4.3;10.66;13.8;11.96;10.87;15.44;43.39;30.38;19.0;22.64;18.04;9.94;8.21;35.44;26.63;21.39;23.64;24.61;13.6;15.53;8.9;11.11;47.06;28.43;18.07;16.91;8.84;-40.75;-23.77;-34.98;15.64;-15.43;-3.29;11.9;12.96;15.08;59.36;29.66;16.63;14.25;22.84;9.23;9.6;15.0;0;12:00:00;-1;SPO;BOT;1.08;1.40;2.30;4.33;10.00;21.00;8.00;2.75;1.60;1.20;1.06;1.02
STA X VIT 2016-05-15;308 (81%);165 (73%);11;7;62%;38%;3;1;1;6;;;42;52;17;11;1;1;1;0;1;6;380;227;;;5;6;6;1;2;5;6;1;11;7;0;3;1;;;;;2016-05-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;-21.68;45.0;17.53;10.88;5.36;2.09;38.36;22.28;8.77;0.73;-6.8;1.09;-1.67;-0.51;-3.3;-4.9;-6.25;-2.06;-4.73;-6.04;71.53;-8.71;37.31;18.59;7.84;-5.6;24.4;10.16;0.1;-5.4;-13.0;-14.94;-2.68;-15.9;22.9;3.02;-5.65;-7.08;34.35;30.0;17.13;4.71;-5.9;-2.07;7.5;-4.69;-8.93;-10.97;-12.18;-13.28;-5.83;7.0;3.35;2.98;2.75;2.07;9.39;7.96;-5.23;-5.59;-8.59;-45.92;-17.75;-15.39;-8.41;5.35;1.04;3.78;6.87;26.4;-23.07;-7.87;-10.46;-12.38;9.24;-10.76;-10.82;-28.2;-5.45;-77.25;-46.05;-96.02;-56.1;80.4;33.88;20.5;92.74;50.5;-23.42;24.45;5.0;4;12:00:00;1;VIT;STA;;;;;;;;;;;;
AME X FLU 2016-05-15;401 (82%);230 (73%);17;19;61%;39%;6;4;15;8;1;0;38;55;9;8;4;2;;;4;2;490;317;;;7;8;5;9;3;4;7;9;14;17;;;1;;;;;2016-05-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.8;32.4;6.39;6.34;4.26;-3.8;-9.15;19.0;2.46;-5.93;-3.31;-4.46;-7.45;-11.77;-12.49;-13.18;18.8;8.0;0.29;-9.91;25.09;0.6;-1.25;-4.91;35.09;15.27;45.01;0.3;-7.6;-34.4;-23.09;-19.54;-72.59;-6.35;-100.0;-72.65;-95.97;-47.44;-23.03;-32.39;-5.0;51.1;24.1;44.93;32.97;-10.97;23.03;10.22;31.33;21.63;5.66;-6.73;-13.82;-37.23;-29.66;-49.27;-29.22;-26.09;-11.94;-6.72;-5.11;-7.29;-26.17;-17.4;-41.86;48.36;12.88;-50.06;12.63;6.82;10.61;21.56;-100.0;-53.86;-8.12;-6.3;-11.31;-26.16;-35.07;43.84;14.22;42.38;31.53;21.57;10.45;7.18;-29.12;-10.21;-4.63;-20.63;-5.02;25.0;0;17:00:00;-1;FLU;AME;;;;;;;;;;;;
COR X GRE 2016-05-15;288 (74%);493 (85%);14;19;40%;60%;1;5;2;10;;;55;69;20;12;1;2;;;3;2;391;579;;;5;9;3;9;2;1;1;6;6;15;4;1;0;1.62;;;2.20;2016-05-15;1.30;1.20;2.10;1.30;3.40;1.75;4.75;3.50;2.50;5.50;2.00;True;;;False;False;True;True;False;False;False;False;True;False;False;True;False;False;False;False;False;False;True;True;True;True;True;True;-10.0;-29.0;-9.62;62.4;36.82;26.86;18.71;17.98;75.85;49.05;28.11;-2.1;15.66;7.97;-36.25;-23.06;-4.84;-21.81;-16.51;-0.36;32.88;41.7;3.85;79.08;50.17;27.2;29.13;31.02;46.98;25.19;17.6;9.27;-40.05;5.4;-23.68;-13.94;-9.6;-6.84;-22.22;-21.01;0.0;-8.09;-0.32;4.4;10.72;7.06;33.55;19.55;11.23;31.28;18.04;13.68;8.07;5.08;1.45;21.15;1.94;12.49;2.71;26.87;16.24;13.43;8.24;0.53;3.8;0.11;8.8;-3.0;8.82;9.39;9.1;-33.4;-25.64;-23.93;-9.16;-5.38;5.35;13.73;-9.55;12.35;15.5;32.75;22.63;16.25;12.96;5.63;5.16;26.36;47.41;-40.57;34.92;70.0;0;17:00:00;0;GRE;COR;1.10;1.44;2.40;5.00;11.00;23.00;7.50;2.63;1.53;1.17;1.05;1.01
FIG X PON 2016-05-15;228 (69%);265 (70%);23;23;47%;53%;5;4;9;6;;;58;66;21;8;4;2;;;1;1;332;376;;;9;4;12;5;3;4;11;9;20;13;5;2;0;1.70;;;2.05;2016-05-15;1.38;1.36;1.62;1.62;2.20;2.30;3.20;3.10;3.20;4.00;1.95;True;;;False;False;True;True;False;False;False;False;True;False;False;True;False;False;False;False;False;False;True;True;True;True;True;True;10.0;-7.71;-10.89;-34.9;-43.04;-20.83;-9.08;-6.8;-5.73;-10.35;-7.16;7.42;-20.3;-74.33;-41.73;72.2;30.82;20.29;14.6;1.42;-7.12;47.4;5.88;87.91;49.82;2.55;8.71;9.06;0.22;-0.53;6.4;22.75;-25.53;4.96;-37.95;-24.8;-17.34;-34.03;-92.44;-96.79;-5.0;-82.08;-48.33;-100.0;-4.73;-29.2;2.61;0.54;3.49;16.07;18.88;13.06;9.98;7.69;5.97;-13.0;-4.15;-4.35;-6.74;41.0;17.76;5.02;-11.5;-1.76;8.09;-31.91;-23.81;35.4;-10.21;-3.21;3.09;-6.91;28.09;25.42;20.02;1.8;12.12;10.65;20.61;11.11;-6.69;-1.69;-3.21;28.31;18.35;9.72;4.21;-18.4;21.6;-26.4;32.37;-5.0;0;17:00:00;0;PON;FIG;1.10;1.44;2.40;5.00;11.00;23.00;7.00;2.63;1.53;1.17;1.05;1.01
INT X CHA 2016-05-15;138 (61%);404 (82%);34;18;32%;68%;1;2;4;9;;;61;57;20;14;7;1;;;1;1;227;494;1;0;1;6;4;3;1;7;5;6;6;12;5;3;0;1.53;;;2.38;2016-05-15;1.30;1.17;2.25;1.22;4.00;1.67;5.50;3.50;2.38;6.50;2.00;True;;;False;False;True;True;False;False;False;False;True;False;False;True;False;False;False;False;False;False;True;True;True;True;True;True;10.0;44.84;30.38;21.4;15.73;12.48;-21.56;28.44;13.84;-41.6;-17.85;13.42;-6.61;-4.04;-0.66;5.23;5.46;0.6;-3.7;-5.92;5.9;2.01;15.45;8.85;13.01;20.48;17.34;35.84;26.35;40.71;15.64;11.24;12.14;96.65;9.16;0.91;-3.45;56.55;33.69;-33.45;55.0;10.95;3.03;-1.45;-5.03;63.86;0.95;20.95;13.01;8.61;7.3;6.15;3.98;9.18;7.26;6.06;43.63;5.34;-3.12;1.68;2.21;2.85;3.24;23.84;15.73;10.91;48.04;26.78;28.68;40.68;24.3;14.56;-44.76;-43.82;-28.43;-17.42;44.5;19.01;21.17;-34.6;14.2;-5.8;-37.07;-22.5;42.8;25.77;23.55;24.09;27.98;10.29;62.06;0.0;0;19:30:00;0;CHA;INT;1.10;1.44;2.40;4.50;11.00;23.00;7.00;2.63;1.53;1.18;1.05;1.01
