game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Big chances missed_away;Big chances missed_home;Big chances_away;Big chances_home;Blocked shots_away;Blocked shots_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;both_score_No;both_score_Over;both_score_Under;both_score_Yes;data;double_chance_12;double_chance_1X;double_chance_X2;draw_no_bet_1;draw_no_bet_2;draw_no_bet_No;draw_no_bet_Yes;final_result_1;final_result_2;final_result_X;first_half_1;first_half_2;first_half_X;fl_both_score_No;fl_both_score_Over;fl_both_score_Under;fl_both_score_Yes;fl_double_chance_12;fl_double_chance_1X;fl_double_chance_X2;fl_draw_no_bet_1;fl_draw_no_bet_2;fl_draw_no_bet_No;fl_draw_no_bet_Yes;fl_final_result_1;fl_final_result_2;fl_final_result_X;fl_first_half_1;fl_first_half_2;fl_first_half_X;fl_total_goals_Over_0.5;fl_total_goals_Over_1.5;fl_total_goals_Over_2.5;fl_total_goals_Over_3.5;fl_total_goals_Over_4.5;fl_total_goals_Over_5.5;fl_total_goals_Under_0.5;fl_total_goals_Under_1.5;fl_total_goals_Under_2.5;fl_total_goals_Under_3.5;fl_total_goals_Under_4.5;fl_total_goals_Under_5.5;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home;total_goals_Over_0.5;total_goals_Over_1.5;total_goals_Over_2.5;total_goals_Over_3.5;total_goals_Over_4.5;total_goals_Over_5.5;total_goals_Under_0.5;total_goals_Under_1.5;total_goals_Under_2.5;total_goals_Under_3.5;total_goals_Under_4.5;total_goals_Under_5.5
FLA X CAM 2017-05-13;413 (82%);269 (78%);10;11;59%;41%;;;;;4;2;6;4;;;43;43;10;7;1;1;;;1;3;501;345;;;7;9;7;6;4;3;8;2;15;11;3;2;1;2.05;;;1.70;2017-05-13;1.30;1.20;2.10;1.33;3.25;;;1.75;4.75;3.50;2.40;4.33;2.30;False;;;True;False;True;True;False;False;;;False;False;True;True;False;False;False;;;;;;True;False;False;False;False;False;-2.4;13.21;5.04;1.48;3.2;14.16;10.48;8.91;7.97;7.12;10.87;-3.83;5.74;2.69;0.88;-4.4;40.6;18.0;6.34;34.68;16.82;-9.13;-7.28;-31.47;-23.9;-22.02;-18.31;-40.73;-21.55;-52.0;-30.91;-13.37;19.6;-29.33;1.94;2.8;0.39;-6.41;-6.57;48.7;;22.68;9.25;-19.33;-57.18;-21.23;-6.94;-8.14;-8.84;-3.16;0.3;-3.59;-88.3;-53.67;-33.45;-21.26;19.0;-89.03;-43.3;-22.43;33.6;20.82;43.02;5.3;-40.04;-24.61;-15.31;5.67;-16.06;-13.16;-34.95;-60.87;-46.29;-62.24;-26.53;-3.44;21.82;69.6;7.14;44.87;26.81;16.07;8.34;6.15;8.93;5.58;3.59;2.45;1.4;10.3;30.44;10.0;1;17:00:00;0;CAM;FLA;1.80;;;;;;2.00;-1;-1;-1;-1;-1
COR X CHA 2017-05-13;227 (75%);539 (84%);19;14;34%;66%;;;;;6;0;7;1;;;49;49;12;10;1;1;2;0;3;1;304;638;;;9;2;8;3;2;2;7;3;16;5;2;2;1;1.40;;;2.75;2017-05-13;1.18;1.07;3.40;1.10;7.00;;;1.33;9.00;5.00;1.91;9.50;2.25;False;;;True;False;True;True;False;False;;;False;False;True;True;False;False;False;;;;;;True;False;False;False;False;False;-10.0;65.2;66.97;38.2;28.32;16.66;5.26;-24.8;-8.96;-0.41;5.2;-40.75;8.12;9.14;82.52;51.14;26.12;6.24;10.26;7.07;10.75;8.76;-34.02;7.95;-12.92;7.08;-22.92;-11.68;-0.2;3.14;8.64;9.21;7.71;-73.03;1.44;3.05;3.64;4.36;2.55;-19.87;-5.0;-20.84;-13.65;-39.37;-29.5;-41.02;-17.14;-10.54;-25.83;-12.69;-6.73;25.36;18.19;-99.6;-46.55;-22.3;-21.25;-9.74;-7.6;1.49;-6.4;-2.72;6.2;-23.8;-41.31;-22.88;-17.49;-4.44;-34.66;-17.64;-7.15;7.8;10.14;15.6;14.26;18.47;-24.92;-9.13;-26.32;-0.93;5.08;6.8;40.97;35.52;31.91;24.77;20.52;15.76;14.71;-6.52;16.12;5.0;1;20:00:00;0;CHA;COR;2.15;;;;;;1.67;-1;-1;-1;-1;-1
FLU X SAN 2017-05-14;454 (89%);261 (85%);11;13;62%;38%;;;;;3;1;8;5;;;40;48;18;15;2;5;2;1;2;2;512;306;;;13;8;10;3;7;5;7;1;20;9;5;1;2;;;;;2017-05-14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;-11.4;-21.05;-18.1;-12.52;-7.97;-54.89;-57.53;-40.55;-30.76;-34.95;20.0;-32.39;-21.59;-61.61;-45.4;-23.99;-41.36;-22.51;-7.96;-2.29;-5.49;18.29;-5.17;-2.2;-0.44;11.0;0.4;-6.2;-19.64;-37.35;-28.62;-93.29;97.27;-51.73;-26.29;-11.22;7.5;34.34;48.07;80.0;24.94;11.24;2.73;-3.85;55.43;-2.76;-5.59;-7.27;-68.27;-84.54;-100.0;-66.34;-30.63;72.7;36.21;30.56;22.64;-48.29;-49.56;-58.16;-37.69;36.71;8.94;9.32;29.17;19.49;21.88;60.76;29.9;6.17;-6.47;-18.22;-20.14;-16.94;-9.67;-11.32;-16.63;22.74;-15.53;-14.88;-15.26;-15.08;-14.59;-34.68;-18.32;-38.56;-100.0;-78.29;0.7;-11.98;-45.0;3;12:00:00;1;SAN;FLU;;;;;;;;;;;;
AVA X VIT 2017-05-14;457 (80%);229 (71%);23;22;63%;37%;;;;;2;3;4;7;;;45;61;15;6;2;1;2;0;2;2;573;321;;;5;5;9;7;1;2;7;7;12;12;2;0;0;1.80;;;1.95;2017-05-14;1.38;1.35;1.62;1.62;2.20;;;2.30;3.25;3.10;3.10;3.75;2.00;True;;;False;False;True;True;False;False;;;False;False;True;False;False;True;False;;;;;;True;False;False;False;False;False;2.4;26.0;4.42;-43.1;-25.22;52.0;38.74;26.72;23.09;-31.0;-45.59;-6.23;-40.1;-27.48;-20.04;-13.01;-8.79;-6.76;-0.77;35.2;-44.8;-10.06;-9.09;7.5;8.29;27.81;20.36;-28.8;-19.45;-15.92;-7.16;-10.1;-9.66;-11.63;-10.89;41.0;11.13;7.8;25.82;16.53;-25.0;-16.9;-12.23;-8.18;-7.27;-13.15;-5.24;-7.72;-4.94;-3.73;-3.01;29.96;17.18;10.24;-50.04;-31.07;-14.22;-21.43;-13.47;-33.74;-17.07;74.27;37.67;46.72;28.96;-25.08;-15.24;-44.22;-14.09;-15.26;-9.1;30.06;46.2;32.91;20.0;31.96;16.83;7.83;-30.43;-30.56;-21.19;-24.65;-20.22;-17.59;-8.58;-10.09;-5.62;-8.33;-9.94;-14.63;-16.28;5.0;0;17:00:00;0;VIT;AVA;2.25;;;;;;1.62;-1;-1;-1;-1;-1
BAH X CAP 2017-05-14;409 (86%);234 (81%);11;10;61%;39%;;;;;3;11;3;14;;;41;47;11;11;3;3;;;1;4;473;290;1;0;8;17;3;8;5;9;3;11;11;28;2;0;2;1.57;;;2.25;2017-05-14;1.29;1.18;2.25;1.25;3.75;;;1.67;5.25;3.60;2.40;6.00;2.05;False;;;True;True;True;False;True;False;;;True;False;False;True;False;False;True;;;;;;False;False;False;False;False;False;-10.0;13.46;3.77;1.81;-5.93;-3.46;-86.7;-49.49;-32.36;-16.64;47.2;-1.85;36.26;29.61;61.43;56.16;33.35;27.72;24.34;17.03;49.86;34.78;9.1;20.45;11.93;7.06;26.54;100.0;100.0;55.72;43.83;19.91;-100.0;13.16;-74.22;76.2;14.66;74.43;48.48;99.98;75.0;9.65;31.89;9.57;1.51;5.22;-28.9;-36.97;-21.97;-10.8;-10.33;-8.57;-7.63;25.75;-27.5;-16.17;50.05;-6.77;-1.18;-0.08;1.99;6.74;-30.87;-27.14;-22.19;-11.24;-0.11;24.45;9.18;33.21;100.0;63.24;30.75;38.77;47.05;16.85;10.59;2.24;35.46;20.47;5.57;-4.53;3.47;30.54;25.1;27.39;38.75;-32.87;-13.11;23.66;-8.43;;6;17:00:00;1;CAP;BAH;2.40;;;;;;1.53;-1;-1;-1;-1;-1
CRU X SPO 2017-05-14;454 (84%);244 (75%);12;13;63%;37%;;;;;3;1;5;5;1;0;50;56;13;10;4;3;;;;;538;324;;;7;4;7;2;3;5;6;4;13;8;1;0;0;1.75;;;2.00;2017-05-14;1.36;1.25;1.85;1.40;2.75;;;1.95;4.10;3.20;2.75;4.33;2.05;True;;;False;True;True;False;True;False;;;True;False;False;False;False;True;False;;;;;;True;False;False;False;False;False;-3.0;16.17;12.26;12.07;-7.2;-3.39;-13.91;-15.27;-15.31;-14.43;-14.33;-4.78;-41.25;-23.22;-12.57;-6.24;-2.47;36.83;15.84;2.96;-6.4;4.6;-33.24;5.0;7.85;21.24;49.21;55.11;25.0;21.26;43.24;20.23;3.88;-22.76;1.66;-46.4;-26.06;-18.69;16.6;5.22;0.0;8.7;2.06;-2.85;77.15;-13.2;41.28;36.13;18.44;7.93;-25.75;-24.8;-60.35;-42.64;-52.11;-39.61;-7.3;-33.3;-51.94;-44.19;-53.1;-39.62;-26.61;-17.02;-12.92;-8.58;-7.48;-3.79;-7.21;-7.04;-31.94;-1.8;-28.89;-24.99;-17.67;-16.46;16.96;2.56;33.41;-3.04;-3.36;-4.44;-36.94;-29.67;-25.34;-47.77;-40.08;-28.27;-23.12;22.75;-20.06;-10.0;1;17:00:00;1;SPO;CRU;2.30;;;;;;1.60;-1;-1;-1;-1;-1
PAL X VAS 2017-05-14;317 (84%);345 (86%);6;11;49%;51%;;;;;1;2;2;3;;;52;49;16;19;5;5;1;0;2;5;378;399;;;8;14;9;4;5;10;7;2;15;16;2;0;0;1.70;;;2.05;2017-05-14;1.22;1.08;2.75;1.13;6.00;;;1.40;8.50;4.20;1.95;7.00;2.30;True;;;False;True;True;False;True;False;;;True;False;False;True;False;False;True;;;;;;False;False;False;False;False;False;10.0;12.82;5.63;26.8;11.42;5.43;-42.6;32.4;0.27;-21.85;-9.49;35.95;3.15;-28.86;-49.92;-31.05;-51.7;-33.77;-15.88;-46.99;-2.32;-5.8;19.37;10.8;-6.2;-4.73;-8.19;-9.17;-13.85;-4.88;2.9;3.46;10.31;9.52;14.09;15.56;79.54;82.57;52.41;-100.0;0.0;-78.69;76.6;-33.4;-11.31;10.99;-3.28;7.93;1.72;-13.28;38.73;43.26;68.95;40.27;14.33;1.77;11.12;-4.58;-74.84;-41.68;-1.22;42.77;18.22;48.72;26.53;23.75;15.61;84.71;14.49;11.25;11.93;-24.93;37.83;18.21;18.28;13.32;12.6;12.51;47.21;80.17;45.02;24.5;12.29;4.67;-4.7;-4.7;-2.44;-1.1;-0.3;24.92;0.2;0.0;4;17:00:00;1;VAS;PAL;1.85;;;;;;1.95;-1;-1;-1;-1;-1
PON X SPT 2017-05-14;368 (80%);373 (82%);6;11;50%;50%;;;;;2;0;2;4;;;43;54;17;13;2;0;;;1;2;458;456;;;3;9;2;5;0;6;1;2;4;11;2;0;0;1.75;;;2.00;2017-05-14;1.29;1.13;2.40;1.20;4.33;;;1.57;6.50;3.60;2.20;6.00;2.20;True;;;False;True;True;False;True;False;;;True;False;False;True;False;False;True;;;;;;False;False;False;False;False;False;-4.6;-2.48;26.14;17.92;13.03;14.87;3.97;0.63;6.41;-3.8;-4.43;-0.93;-0.57;26.7;17.7;-37.5;-11.19;-11.98;-6.8;7.3;50.01;35.21;15.0;24.3;17.25;12.7;7.16;-7.02;2.98;3.27;4.7;57.27;44.27;7.09;28.8;100.0;78.59;45.36;33.94;100.0;;46.22;24.71;7.29;-4.0;2.71;-5.29;-0.78;1.83;-3.17;1.83;42.41;26.91;17.69;6.95;0.2;-21.8;-6.79;4.2;9.2;34.88;48.3;21.28;9.62;2.32;-3.51;-19.59;-14.33;-6.54;4.53;-3.75;71.25;38.8;18.98;8.25;7.49;2.3;3.44;-12.04;4.63;0.25;5.4;8.43;10.24;9.48;9.4;13.74;36.33;24.76;-6.04;14.46;85.0;4;17:00:00;1;SPT;PON;2.05;;;;;;1.75;-1;-1;-1;-1;-1
GRE X BOT 2017-05-14;336 (81%);367 (82%);18;14;48%;52%;;;;;3;5;4;6;;;56;52;19;13;6;0;1;0;1;1;415;450;;;6;15;6;6;0;9;3;5;9;20;5;2;0;1.67;;;2.10;2017-05-14;1.33;1.17;2.20;1.22;4.00;;;1.70;5.50;3.40;2.38;5.50;2.10;True;;;False;True;True;False;True;False;;;True;False;False;True;False;False;False;;;;;;True;False;False;False;False;False;-10.0;32.58;23.12;10.59;-25.11;-43.52;-31.24;-19.08;-11.45;-0.05;5.01;-3.55;31.16;27.33;80.06;54.03;38.72;27.75;20.95;27.81;41.63;29.85;-1.78;47.84;52.66;34.42;17.96;9.66;9.67;10.12;4.48;6.51;36.78;-0.73;29.28;24.82;14.71;38.34;20.22;8.44;100.0;11.43;4.61;23.32;11.27;-0.1;4.33;-16.33;-9.65;38.67;26.06;97.99;65.77;35.5;22.51;12.13;22.88;5.37;7.01;18.72;13.67;1.04;-2.14;-3.55;-5.31;-5.51;-14.89;54.43;-14.39;-34.1;-20.89;-13.04;-22.63;44.22;14.67;8.0;4.03;2.79;76.93;-6.1;-7.66;-8.97;-8.77;26.5;9.52;7.49;4.46;-30.33;-48.6;49.11;-33.24;-5.0;2;20:00:00;1;BOT;GRE;2.30;;;;;;1.60;-1;-1;-1;-1;-1
CFC X ATG 2017-05-15;243 (77%);422 (85%);9;12;40%;60%;;;;;3;4;6;6;;;54;54;13;17;3;8;0;1;1;1;315;494;;;8;7;5;6;9;7;9;10;17;17;2;1;1;1.62;;;2.20;2017-05-15;1.29;1.13;2.50;1.22;4.00;;;1.55;6.50;3.75;2.25;6.00;2.10;False;;;True;True;True;False;True;False;;;True;False;False;True;False;False;True;;;;;;False;False;False;False;False;False;10.0;44.74;17.26;-50.8;-22.57;21.6;3.96;-53.4;-4.52;-1.08;5.4;13.62;7.15;2.62;-5.66;-9.1;6.8;-17.8;-2.46;-4.04;2.0;-27.4;40.76;-16.87;-7.49;98.1;63.76;98.01;61.51;100.0;50.75;35.88;23.31;36.91;44.23;26.09;21.86;-15.6;-53.29;-26.56;;17.4;0.59;-59.7;-35.51;54.61;-21.36;-6.19;7.8;7.74;-79.13;-28.25;-16.51;-29.52;-21.75;-7.35;79.4;-5.85;-3.84;-1.16;-100.0;-62.12;-38.45;-24.37;73.46;41.07;18.0;59.31;-31.65;78.35;32.18;17.6;36.59;29.76;17.52;16.19;16.88;15.26;39.73;15.78;20.16;17.77;46.23;33.16;-46.4;33.6;11.4;6.09;-28.0;69.58;-9.32;-15.0;4;21:00:00;1;ATG;CFC;2.20;;;;;;1.65;-1;-1;-1;-1;-1
