game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Big chances missed_away;Big chances missed_home;Big chances_away;Big chances_home;Blocked shots_away;Blocked shots_home;Clearances_away;Clearances_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Crosses_away;Crosses_home;Dispossessed_away;Dispossessed_home;Dribbles_away;Dribbles_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Interceptions_away;Interceptions_home;Long balls_away;Long balls_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Tackles_away;Tackles_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;both_score_No;both_score_Yes;data;double_chance_12;double_chance_1X;double_chance_X2;draw_no_bet_1;draw_no_bet_2;final_result_1;final_result_2;final_result_X;first_half_1;first_half_2;first_half_X;fl_both_score_No;fl_both_score_Yes;fl_double_chance_12;fl_double_chance_1X;fl_double_chance_X2;fl_draw_no_bet_1;fl_draw_no_bet_2;fl_final_result_1;fl_final_result_2;fl_final_result_X;fl_first_half_1;fl_first_half_2;fl_first_half_X;fl_total_goals_Over_0.5;fl_total_goals_Over_1.5;fl_total_goals_Over_2.5;fl_total_goals_Over_3.5;fl_total_goals_Over_4.5;fl_total_goals_Over_5.5;fl_total_goals_Under_0.5;fl_total_goals_Under_1.5;fl_total_goals_Under_2.5;fl_total_goals_Under_3.5;fl_total_goals_Under_4.5;fl_total_goals_Under_5.5;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home;total_goals_Over_0.5;total_goals_Over_1.5;total_goals_Over_2.5;total_goals_Over_3.5;total_goals_Over_4.5;total_goals_Over_5.5;total_goals_Under_0.5;total_goals_Under_1.5;total_goals_Under_2.5;total_goals_Under_3.5;total_goals_Under_4.5;total_goals_Under_5.5
CRU X GRE 2018-04-14;559 (86%);347 (82%);24;13;60%;40%;;;1;0;2;3;;;4;7;;;;;;;;;69;53;15;20;2;1;;;;;;;3;0;649;425;1;0;4;6;2;7;2;2;2;6;;;6;12;1;3;1;1.61;2.20;2018-04-14;1.35;1.19;1.90;1.36;3.00;1.90;4.50;3.25;2.62;5.00;1.95;True;False;True;False;True;False;True;False;True;False;False;False;True;True;False;False;False;False;False;False;True;True;True;True;True;-3.2;-13.37;-14.01;-14.39;-14.61;-12.52;19.2;2.92;-9.5;-3.33;-3.35;21.8;-5.22;-9.57;19.5;63.09;32.91;14.97;4.68;0.93;-3.89;-2.89;5.03;-2.3;-26.95;23.6;8.55;9.56;32.15;42.44;18.28;5.37;-5.2;-6.8;19.8;7.99;-5.2;-5.2;-7.7;-11.25;0.0;-5.27;19.9;5.48;-5.1;3.48;-5.58;-8.52;-11.64;19.9;28.22;-100.0;-47.38;41.33;2.9;-3.67;4.44;6.31;4.29;-59.77;-29.51;-21.47;-42.02;-54.24;-2.05;-5.84;-7.36;4.5;-6.41;4.8;4.8;-4.46;-4.93;20.54;5.84;-4.46;-9.93;-10.03;6.66;-12.85;-12.67;-12.56;-17.13;-15.21;-7.25;6.4;9.38;8.85;8.16;-26.52;7.25;25.0;0;17:00:00;-1;GRE;CRU;1.10;1.50;2.50;5.00;11.00;26.00;7.00;2.50;1.50;1.16;1.05;1.01
VIT X FLA 2018-04-14;206 (72%);484 (89%);14;16;34%;66%;0;2;1;4;0;5;;;5;4;1;0;;;;;;;57;51;10;24;3;3;0;1;;;;;2;2;286;545;1;0;5;11;5;10;5;6;5;10;;;10;21;2;3;2;2.00;1.75;2018-04-14;1.35;1.72;1.33;2.37;1.53;3.39;2.14;3.25;3.75;2.87;2.10;False;True;False;True;True;False;False;False;False;True;False;False;True;True;True;True;True;False;False;False;False;False;False;True;True;-85.0;44.67;63.47;-42.8;-25.75;72.2;72.72;37.57;22.61;22.34;9.72;-50.34;4.44;55.66;36.11;17.0;-18.93;-4.39;-1.73;-21.64;-12.97;-52.31;-29.73;-50.38;-64.51;-30.44;-14.47;-1.58;3.35;7.41;-42.13;50.1;0.96;-22.47;35.46;50.96;42.76;26.03;20.91;14.19;-30.0;60.56;39.67;47.62;62.35;-16.17;37.0;23.21;18.72;44.57;28.46;-20.49;24.51;17.19;12.11;11.37;-6.09;12.8;2.39;-8.4;34.57;22.0;17.32;40.12;34.05;22.24;22.45;-4.44;38.71;16.52;7.72;-76.39;-44.99;-25.05;-10.96;83.61;55.18;6.52;-2.98;-16.39;-4.25;-5.13;8.61;8.71;15.01;11.66;9.66;3.1;-2.0;-1.75;28.0;5.0;2;20:00:00;0;FLA;VIT;1.06;1.30;2.04;3.39;7.00;15.00;10.00;3.39;1.75;1.30;1.10;1.03
SAN X CEA 2018-04-14;404 (86%);481 (90%);7;13;47%;53%;;;0;1;5;7;;;2;4;0;2;;;;;;;52;44;5;7;2;2;;;;;;;0;1;472;532;;;0;13;3;12;2;3;10;10;;;10;22;1;0;0;1.80;1.95;2018-04-14;1.28;1.11;2.60;1.18;4.50;1.53;7.00;3.75;2.10;6.00;2.25;True;False;True;True;False;True;False;True;False;False;True;False;False;True;True;False;False;False;False;False;False;True;True;True;True;2.4;1.83;1.83;6.73;14.64;13.84;5.1;-3.07;-3.55;5.4;6.5;3.73;7.24;37.68;25.78;28.08;48.69;56.32;33.62;24.08;17.67;-10.67;9.52;5.74;21.83;18.4;66.36;40.98;54.68;31.71;19.83;9.05;6.73;14.26;3.11;-3.6;1.4;1.43;42.15;26.35;35.0;43.34;31.86;50.04;30.67;12.08;52.13;67.96;8.95;-3.8;-4.57;-0.58;-3.59;-0.34;19.84;51.74;7.8;30.07;47.57;27.27;13.73;4.18;1.48;-2.35;23.97;26.44;23.7;5.27;10.76;38.08;27.46;-61.88;-25.12;-21.56;-17.05;-12.51;-7.17;-8.82;3.39;-14.06;-10.09;-7.73;-6.14;-5.2;-4.27;-4.27;5.1;6.84;39.31;2.18;-34.9;-15.0;2;22:00:00;1;CEA;SAN;1.07;1.30;2.04;3.39;7.00;15.00;9.50;3.39;1.75;1.30;1.10;1.03
AME X SPT 2018-04-15;494 (85%);278 (77%);12;18;62%;38%;2;0;2;3;4;0;;;6;2;;;;;;;;;43;57;12;11;1;5;;;;;;;3;4;581;363;;;7;7;6;9;5;4;8;6;;;15;13;3;1;0;1.75;2.00;2018-04-15;1.33;1.25;1.90;1.39;2.75;1.90;4.00;3.39;2.75;4.33;2.04;True;False;True;True;False;True;False;True;False;False;True;False;False;True;True;True;False;False;False;False;False;False;True;True;True;8.0;14.03;64.66;16.81;33.36;16.34;2.78;-9.38;-1.75;-6.43;-7.35;100.0;21.33;9.69;-6.2;-31.89;-46.28;-34.5;-20.82;-12.32;-2.33;8.29;64.41;2.96;24.42;12.18;4.68;-22.37;-16.81;-16.67;-3.94;66.2;77.53;32.1;54.27;100.0;59.1;27.42;10.69;27.98;45.0;19.07;7.65;0.85;-23.9;21.88;-100.0;-74.6;-42.13;-17.83;-1.5;9.16;8.0;-32.0;-63.8;-47.97;20.22;-33.19;-24.41;-36.64;-21.79;-10.75;-4.56;-0.88;8.0;31.72;25.44;0.42;21.72;9.7;7.17;4.18;33.89;7.92;-11.73;-10.91;-13.75;-22.68;-3.2;-19.74;-17.07;-60.85;-41.85;-50.18;-34.5;-25.26;-16.41;-44.5;-29.71;21.8;-42.48;-75.0;3;12:00:00;1;SPT;AME;1.08;1.39;2.25;4.00;9.00;21.00;8.00;2.75;1.61;1.22;1.07;1.01
COR X FLU 2018-04-15;216 (74%);433 (84%);14;25;36%;64%;;;1;1;4;4;;;2;6;;;;;;;;;49;63;15;14;0;2;;;;;;;;;293;515;;;9;4;6;5;3;2;4;7;;;13;11;;;1;1.57;2.25;2018-04-15;1.29;1.11;2.39;1.19;4.33;1.57;7.00;3.60;2.29;6.50;2.04;False;True;True;True;False;True;False;True;False;False;True;False;False;True;True;True;False;False;False;False;False;False;True;True;True;10.0;7.97;10.25;11.61;12.41;37.52;22.72;43.9;35.29;40.18;36.22;12.22;26.08;12.01;20.23;15.24;12.65;16.85;12.06;8.09;6.41;10.42;33.53;2.67;3.58;4.11;4.43;4.25;4.86;4.86;4.86;4.86;-2.87;26.21;-4.64;-27.32;-10.8;-6.58;-3.7;-1.87;45.0;-6.2;7.6;9.93;-86.8;15.42;-47.75;-52.58;-61.47;-41.77;-12.73;-1.95;6.32;26.61;61.12;35.87;8.27;-40.05;59.95;28.75;15.42;-18.34;-0.81;-3.28;-0.41;-43.71;-22.96;4.29;-12.12;-5.67;-46.83;-22.96;-17.12;-4.34;-1.75;8.14;10.68;17.56;0.44;6.56;5.39;4.32;3.69;22.94;15.45;10.63;87.76;53.62;31.84;4.84;20.37;-20.0;2;17:00:00;1;FLU;COR;1.10;1.44;2.39;4.33;10.00;21.00;7.50;2.62;1.53;1.19;1.06;1.01
INT X BAH 2018-04-15;406 (83%);309 (75%);15;19;55%;45%;0;1;0;3;4;3;;;3;4;;;;;;;;;63;68;18;16;2;2;;;;;;;1;1;491;412;;;3;9;6;6;2;4;9;4;;;12;13;0;2;0;1.75;2.00;2018-04-15;1.30;1.18;2.14;1.28;3.50;1.72;5.00;3.50;2.39;5.50;2.10;True;False;True;True;False;True;False;True;False;False;True;False;False;True;True;False;False;False;False;False;False;True;True;True;True;10.0;8.19;2.05;-1.85;-3.87;3.4;6.79;15.03;9.34;5.99;3.64;11.55;-2.6;7.33;10.88;38.77;26.76;19.83;19.98;78.13;51.65;-33.6;12.46;4.7;-20.3;-16.27;-9.99;55.25;40.7;30.04;22.17;97.49;51.86;9.21;28.07;9.97;4.96;-3.97;-2.86;-2.2;40.0;-2.48;-23.08;-15.32;-15.71;-6.4;-11.27;-8.56;-5.46;-10.1;-72.49;-19.93;33.02;10.84;-26.98;-5.72;2.9;6.2;69.0;34.09;-44.33;-17.53;-15.21;-42.17;-27.63;-16.13;22.0;28.44;9.89;3.66;-4.3;-10.21;-12.0;-11.58;-10.87;-10.44;-14.82;-14.49;34.89;-14.3;-14.18;-3.51;4.6;46.95;32.36;18.68;-31.0;-58.37;-44.02;24.41;-27.47;5.0;2;17:00:00;1;BAH;INT;1.08;1.36;2.14;4.00;9.00;19.00;8.50;3.00;1.66;1.22;1.07;1.02
VAS X CAM 2018-04-15;252 (79%);526 (88%);17;18;34%;66%;1;0;1;1;0;6;;;3;9;;;;;;;;;49;58;18;11;6;5;1;1;;;;;3;3;321;596;;;5;11;5;6;6;7;6;8;;;11;19;3;4;1;1.95;1.80;2018-04-15;1.37;1.55;1.41;1.90;1.80;2.87;2.54;3.10;3.39;3.25;2.04;False;True;True;True;False;True;False;True;False;False;False;True;False;True;True;True;False;False;False;False;False;False;True;True;True;-5.4;14.45;44.64;70.03;44.34;-71.73;-20.87;-14.3;20.8;10.35;13.99;-8.61;10.3;8.56;6.05;44.21;27.1;19.42;14.85;12.13;7.66;7.97;-3.04;27.97;49.86;33.41;33.64;100.0;63.98;34.58;24.29;8.8;-2.61;2.08;-33.45;-44.75;-21.83;-12.57;-40.25;27.1;-40.0;6.08;4.19;53.43;35.16;2.24;16.99;28.13;17.11;6.84;4.44;8.23;9.1;10.93;-39.45;-9.09;3.81;-4.11;-6.16;-0.17;-31.09;28.91;15.52;13.38;11.57;13.1;14.55;-2.92;36.9;30.56;-26.09;5.88;5.88;-4.12;20.88;23.81;13.32;12.08;7.6;27.09;29.15;21.12;22.19;-35.4;-70.26;-43.26;79.6;60.72;37.93;11.78;25.86;100.0;2;17:00:00;1;CAM;VAS;1.07;1.33;2.10;3.75;8.00;17.00;9.00;3.25;1.70;1.25;1.08;1.02
CAP X CHA 2018-04-15;209 (77%);596 (92%);17;19;31%;69%;2;3;3;5;7;5;;;9;3;0;2;;;;;;;42;56;16;10;3;0;;;;;;;1;3;271;646;;;6;11;6;5;1;8;8;7;;;14;18;3;1;1;1.75;2.00;2018-04-15;1.35;1.29;1.75;1.50;2.50;2.10;3.60;3.25;2.87;4.33;2.00;False;True;True;True;False;True;False;True;False;False;False;False;True;True;True;True;True;True;True;False;False;False;False;False;False;10.0;17.75;14.97;13.34;3.17;4.65;6.09;10.25;12.72;14.88;-12.4;13.79;7.6;5.41;35.63;23.59;20.55;32.25;30.61;22.4;19.75;-18.35;16.04;-31.51;-20.46;-8.52;34.14;27.49;82.4;53.2;35.46;29.97;23.58;17.37;40.68;35.31;27.12;16.7;35.55;19.9;-15.0;73.38;45.55;24.38;-72.54;18.17;-33.28;-21.97;82.46;43.8;33.9;52.43;37.32;17.39;-28.67;77.1;17.9;18.87;12.85;-12.9;-25.18;-19.83;-24.59;-16.48;-5.54;6.25;79.01;17.66;49.27;0.67;-2.7;-9.67;-29.04;-14.98;-4.39;-5.03;-5.04;-14.31;17.52;-6.3;-31.54;-16.46;-2.49;7.1;10.82;15.59;56.21;31.09;100.0;22.43;57.81;40.0;5;20:00:00;1;CHA;CAP;1.10;1.39;2.35;4.33;10.00;21.00;7.50;2.75;1.57;1.19;1.06;1.01
BOT X PAL 2018-04-16;407 (82%);328 (80%);24;17;54%;46%;2;1;3;2;1;1;;;3;8;;;;;;;;;61;59;23;7;2;3;;;;;;;;;498;409;;;6;7;2;9;4;3;1;6;;;7;13;4;1;1;1.80;1.95;2018-04-16;1.34;1.75;1.30;2.50;1.50;3.50;2.10;3.29;4.33;2.87;2.04;False;True;False;True;True;False;False;False;False;True;False;False;True;True;True;False;False;False;False;False;False;True;True;True;True;-3.4;-2.28;5.2;2.52;-3.24;-4.63;-6.38;-7.42;-32.4;-23.32;-17.92;-5.42;-14.72;-17.81;-13.39;-32.54;-19.33;19.7;0.66;-5.1;-6.43;-9.5;4.8;-7.01;25.1;21.65;74.09;80.27;57.32;67.21;36.2;13.89;2.48;6.94;-3.12;-7.12;-7.12;-7.12;26.88;10.71;;-18.12;-5.75;-2.31;-2.5;59.52;-1.3;-20.04;-11.68;-7.05;-79.29;-46.24;-25.1;-14.02;-7.44;-19.7;23.24;-20.79;-17.13;-14.95;-47.46;-20.25;-9.82;46.5;31.43;28.25;23.01;-41.6;40.27;31.09;23.59;19.52;42.11;25.01;16.04;11.08;8.1;49.47;-17.52;33.54;24.07;83.43;91.94;53.65;34.06;22.42;70.66;44.05;36.21;-5.66;26.54;0.0;1;21:00:00;0;PAL;BOT;1.08;1.39;2.25;4.00;9.00;21.00;8.00;2.75;1.61;1.22;1.07;1.01
SPO X PAR 2018-04-16;376 (84%);416 (87%);6;16;49%;51%;;;;;2;1;;;7;7;;;;;;;;;44;67;15;20;4;1;;;;;;;2;3;446;480;;;3;7;4;4;1;5;4;3;;;7;10;2;4;0;1.53;2.37;2018-04-16;1.22;1.08;2.75;1.11;6.50;1.39;8.50;4.20;2.00;7.50;2.20;True;False;True;True;False;True;False;True;False;False;True;False;False;True;False;False;False;False;False;False;True;True;True;True;True;-10.0;12.25;54.07;30.58;20.62;14.33;10.97;10.39;10.6;10.73;25.4;-4.25;23.73;18.36;15.37;13.6;41.46;23.19;12.63;11.35;6.04;0.64;-0.82;0.08;-0.36;-0.82;4.13;6.34;32.92;64.33;43.0;100.0;62.02;24.4;36.64;15.39;-19.57;-12.27;25.43;-14.57;0.0;-1.6;-19.57;-11.11;-8.23;9.21;-48.55;-33.64;-73.29;-78.33;-46.33;-1.42;32.8;6.07;6.69;-4.5;9.12;-2.11;-8.8;29.9;10.29;13.55;-12.9;-0.06;2.43;-2.57;2.43;58.2;3.78;-22.57;-14.94;-11.26;-6.15;-8.11;-2.41;-3.01;-3.37;-8.83;33.35;-6.7;-0.81;-12.12;-8.84;35.2;58.43;14.7;4.81;3.19;5.2;21.88;-25.12;0.0;1;21:00:00;1;PAR;SPO;1.08;1.36;2.07;3.75;8.00;19.00;8.50;3.00;1.72;1.25;1.08;1.02
