game;name;slug;shortName;id;national;team_name;team_id;goals;goalAssist;totalTackle;totalPass;totalDuels;minutesPlayed;position;rating;shotsOnTarget;shotsOffTarget;shotsBlocked;totalContest;totalClearance;outfielderBlock;interceptionWon;challengeLost;accuratePass;keyPass;totalCross;totalLongBalls;dispossessed;wasFouled;fouls;saves;punches;runsOut;goodHighClaim;team
FLA X SPT 2016-05-14;Willian Arão;flamengo;W. Arão;242213;False;Flamengo;5981;;1;1;63 (88%);10 (4);90';M;8.0;0;0;0;2 (2);2;0;3;;63 (88%);2;1 (1);5 (5);0;0;2;;;;;FLA
FLA X SPT 2016-05-14;Léo Duarte;flamengo;L. Duarte;839982;False;Flamengo;5981;;;2;58 (92%);5 (5);90';D;7.6;0;0;0;0 (0);2;0;4;;58 (92%);0;0 (0);5 (3);0;0;0;;;;;FLA
FLA X SPT 2016-05-14;Éverton Cardoso;flamengo;É. Cardoso;76526;False;Flamengo;5981;1;;0;41 (85%);4 (3);90';F;7.6;1;0;0;2 (2);0;0;0;;41 (85%);4;3 (1);3 (2);1;1;1;;;;;FLA
FLA X SPT 2016-05-14;Oswaldo Henriquez;sport-recife;O. Henriquez;249509;False;Sport Recife;1959;;;5;58 (85%);12 (9);90';D;7.3;0;0;0;0 (0);2;0;4;;58 (85%);0;1 (0);10 (5);1;0;2;;;;;SPT
FLA X SPT 2016-05-14;Renê;sport-recife;Renê;243113;False;Sport Recife;1959;;;4;48 (85%);10 (8);90';D;7.3;0;0;0;0 (0);1;0;0;;48 (85%);0;0 (0);5 (3);1;3;0;;;;;SPT
FLA X SPT 2016-05-14;Gustavo Cuéllar;flamengo;G. Cuéllar;180059;False;Flamengo;5981;;;3;87 (95%);12 (6);90';M;7.3;0;0;0;1 (1);1;0;1;2;87 (95%);1;0 (0);6 (5);1;2;2;;;;;FLA
FLA X SPT 2016-05-14;Juan;flamengo;Juan;235;False;Flamengo;5981;;;3;54 (83%);8 (6);90';D;7.3;0;0;0;0 (0);1;0;3;;54 (83%);0;0 (0);9 (3);0;1;0;;;;;FLA
FLA X SPT 2016-05-14;Serginho;sport-recife;Serginho;40080;False;Sport Recife;1959;;;3;21 (87%);8 (7);41';M;7.2;0;0;0;1 (1);0;0;0;;21 (87%);0;0 (0);2 (1);0;3;1;;;;;SPT
FLA X SPT 2016-05-14;Paulo Victor;flamengo;P. Victor;34142;False;Flamengo;5981;;;0;13 (56%);0 (0);90';G;7.2;0;0;0;0 (0);2;0;0;;13 (56%);0;0 (0);17 (8);0;0;0;1;2;2 (2);1;FLA
FLA X SPT 2016-05-14;Jorge;flamengo;Jorge;759428;False;Flamengo;5981;;;3;34 (94%);13 (7);90';D;7.1;0;0;0;1 (0);0;0;1;2;34 (94%);1;2 (2);1 (1);1;3;1;;;;;FLA
