game;name;slug;shortName;id;national;team_name;team_id;goals;goalAssist;totalTackle;totalPass;totalDuels;minutesPlayed;position;rating;shotsOnTarget;shotsOffTarget;shotsBlocked;totalContest;totalClearance;outfielderBlock;interceptionWon;wonTackle;challengeLost;accuratePass;keyPass;totalCross;totalLongBalls;dispossessed;wasFouled;fouls;saves;punches;runsOut;goodHighClaim;team
CRU X GRE 2018-04-14;Arthur;gremio;Arthur;794927;False;Grêmio;5926;;;0;99 (95%);13 (10);90';M;7.5;0;0;0;3 (2);1;1;3;0 (0);1;99 (95%);0;0 (0);4 (4);1;6;0;;;;;GRE
CRU X GRE 2018-04-14;Paulo Miranda;gremio;P. Miranda;43299;False;Grêmio;5926;;;0;56 (87%);10 (7);90';D;7.5;0;0;0;0 (0);8;1;1;0 (0);;56 (87%);0;0 (0);9 (7);0;1;2;;;;;GRE
CRU X GRE 2018-04-14;Léo Moura;gremio;L. Moura;34143;False;Grêmio;5926;;;0;82 (90%);12 (9);90';D;7.4;0;0;0;4 (2);0;0;0;0 (0);;82 (90%);1;3 (2);7 (4);0;4;1;;;;;GRE
CRU X GRE 2018-04-14;Ramiro;gremio;Ramiro;330693;False;Grêmio;5926;;;3;53 (88%);10 (6);90';M;7.3;0;0;1;2 (2);1;0;0;3 (2);;53 (88%);3;6 (2);8 (3);2;1;2;;;;;GRE
CRU X GRE 2018-04-14;Marcelo Grohe;gremio;M. Grohe;39427;False;Grêmio;5926;;;0;9 (40%);0 (0);90';G;7.3;0;0;0;0 (0);1;0;0;0 (0);;9 (40%);0;0 (0);17 (4);0;0;0;2;1;0 (0);0;GRE
CRU X GRE 2018-04-14;Henrique;cruzeiro;Henrique;33117;False;Cruzeiro;1954;;;4;35 (85%);15 (9);90';M;7.3;0;2;0;1 (1);1;0;4;4 (3);2;35 (85%);0;1 (0);4 (3);1;2;0;;;;;CRU
CRU X GRE 2018-04-14;André;gremio;André;118815;False;Grêmio;5926;1;;1;17 (68%);14 (4);76';F;7.2;1;1;0;0 (0);1;0;0;1 (1);;17 (68%);0;0 (0);1 (1);4;1;4;;;;;GRE
CRU X GRE 2018-04-14;Jailson;gremio;Jaja;794861;False;Grêmio;5926;;;3;24 (85%);6 (5);32';M;7.1;0;0;0;2 (2);1;0;0;3 (2);;24 (85%);0;0 (0);2 (1);0;0;0;;;;;GRE
CRU X GRE 2018-04-14;Dedé;cruzeiro;Dedé;166701;False;Cruzeiro;1954;;;3;40 (88%);15 (10);90';D;7.1;0;0;0;2 (2);0;0;3;3 (2);2;40 (88%);0;0 (0);4 (3);0;2;1;;;;;CRU
CRU X GRE 2018-04-14;Bruno Cortêz;gremio;B. Cortêz;165577;False;Grêmio;5926;;;3;30 (76%);16 (9);90';D;7.1;0;0;0;2 (1);3;0;2;3 (1);1;30 (76%);2;2 (1);2 (0);2;3;2;;;;;GRE
CRU X GRE 2018-04-14;Léo;cruzeiro;Léo;35574;False;Cruzeiro;1954;;;1;43 (87%);8 (4);90';D;7.1;0;0;0;0 (0);2;2;2;1 (1);;43 (87%);0;0 (0);5 (4);0;0;1;;;;;CRU
CRU X GRE 2018-04-14;Maicon;gremio;Maicon;26230;False;Grêmio;5926;;;0;78 (96%);6 (3);58';M;7.1;0;0;0;1 (1);2;1;0;0 (0);1;78 (96%);0;0 (0);6 (6);0;1;1;;;;;GRE
CRU X GRE 2018-04-14;Alejandro Cabral;cruzeiro;A. Cabral;48471;False;Cruzeiro;1954;;;3;32 (80%);9 (4);67';M;7.0;0;0;0;0 (0);0;0;3;3 (2);1;32 (80%);2;1 (0);1 (1);1;1;2;;;;;CRU
CRU X GRE 2018-04-14;Giorgian De Arrascaeta;cruzeiro;G. De Arrascaeta;333587;False;Cruzeiro;1954;;;2;32 (84%);18 (7);90';M;6.9;0;3;0;1 (0);1;0;1;2 (2);3;32 (84%);3;4 (0);1 (1);0;5;3;;;;;CRU
CRU X GRE 2018-04-14;Thiago Neves;cruzeiro;T. Neves;33534;False;Cruzeiro;1954;;;0;33 (80%);9 (3);90';M;6.9;1;1;1;2 (0);1;0;1;0 (0);;33 (80%);3;6 (1);2 (1);1;1;0;;;;;CRU
CRU X GRE 2018-04-14;Rafael Sóbis;cruzeiro;R. Sóbis;17789;False;Cruzeiro;1954;;;1;13 (86%);2 (1);45';F;6.9;0;1;0;0 (0);2;0;2;1 (0);;13 (86%);1;1 (0);1 (1);0;0;1;;;;;CRU
CRU X GRE 2018-04-14;Bressan;gremio;Bressan;312114;False;Grêmio;5926;;;0;0 (0%);2 (1);14';D;6.8;0;0;0;0 (0);3;0;1;0 (0);;0 (0%);0;0 (0);0 (0);0;0;0;;;;;GRE
CRU X GRE 2018-04-14;Egídio;cruzeiro;Egídio;34147;False;Cruzeiro;1954;;;3;48 (90%);12 (6);90';D;6.8;0;0;0;0 (0);3;0;0;3 (1);1;48 (90%);0;2 (0);4 (3);0;2;5;;;;;CRU
