game;name;slug;shortName;id;national;team_name;team_id;goals;goalAssist;totalTackle;totalPass;totalDuels;groundDuels;aerialDuels;minutesPlayed;position;rating;shotsOnTarget;shotsOffTarget;shotsBlocked;totalContest;totalClearance;outfielderBlock;interceptionWon;challengeLost;touches;accuratePass;keyPass;totalCross;totalLongBalls;dispossessed;fouls;wasFouled;saves;punches;runsOut;goodHighClaim;offsides;team
SWA X NEW 2013-03-02;Jonathan de Guzmán;swansea-city;J. d. Guzmán;13028;False;Swansea City;74;;;3;63 (88%);11 (6);11 (6);0 (0);90';M;7.9;1;1;0;3 (3);1;0;1;2;0;63 (88%);3;10 (6);4 (4);2;1;0;;;;;;SWA
SWA X NEW 2013-03-02;Àngel Rangel;swansea-city;À. Rangel;27463;False;Swansea City;74;;;4;46 (86%);9 (6);5 (4);4 (2);90';D;7.7;1;0;0;0 (0);5;0;4;;0;46 (86%);0;3 (0);6 (4);0;1;0;;;;;;SWA
SWA X NEW 2013-03-02;Ashley Williams;swansea-city;A. Williams;20204;False;Swansea City;74;;;1;47 (90%);8 (6);1 (1);7 (5);90';D;7.7;1;1;0;0 (0);23;0;0;;0;47 (90%);0;0 (0);6 (4);0;0;0;;;;;;SWA
SWA X NEW 2013-03-02;Michel Vorm;swansea-city;M. Vorm;16944;False;Swansea City;74;;;0;19 (76%);1 (1);1 (1);0 (0);90';G;7.6;0;0;0;0 (0);0;0;0;;0;19 (76%);0;0 (0);8 (3);;0;1;5;0;0 (0);2;;SWA
SWA X NEW 2013-03-02;Yohan Cabaye;newcastle-united;Y. Cabaye;3574;False;Newcastle United;39;;;4;40 (80%);12 (6);10 (5);2 (1);90';M;7.4;2;0;0;0 (0);3;0;0;4;0;40 (80%);5;13 (3);8 (6);0;1;1;;;;;;NEW
SWA X NEW 2013-03-02;Luke Moore;swansea-city;L. Moore;558;False;Swansea City;74;1;;0;3 (100%);5 (3);4 (2);1 (1);14';F;7.4;1;0;0;2 (1);0;0;0;;0;3 (100%);0;0 (0);0 (0);0;1;1;;;;;;SWA
SWA X NEW 2013-03-02;Ben Davies;swansea-city;B. Davies;94758;False;Swansea City;74;;;4;45 (78%);11 (8);8 (6);3 (2);90';D;7.3;0;0;0;0 (0);2;0;1;1;0;45 (78%);0;1 (1);7 (6);0;1;2;;;;;;SWA
SWA X NEW 2013-03-02;Sung-Yueng Ki;swansea-city;S. Y. Ki;38642;False;Swansea City;74;;;2;14 (100%);4 (3);2 (2);2 (1);29';M;7.2;1;0;1;0 (0);2;0;0;;0;14 (100%);0;0 (0);0 (0);0;0;0;;;;;;SWA
SWA X NEW 2013-03-02;Moussa Sissoko;newcastle-united;M. Sissoko;27014;False;Newcastle United;39;;;0;34 (81%);18 (6);13 (2);5 (4);90';M;7.2;1;2;2;4 (2);0;0;2;1;0;34 (81%);2;2 (0);2 (1);6;2;0;;;;;;NEW
SWA X NEW 2013-03-02;Gary Monk;swansea-city;G. Monk;20546;False;Swansea City;74;;;0;56 (88%);10 (4);3 (2);7 (2);90';D;7.2;0;1;0;2 (2);12;0;2;;0;56 (88%);0;0 (0);7 (5);1;0;0;;;;;;SWA
SWA X NEW 2013-03-02;Michu;swansea-city;Michu;52716;False;Swansea City;74;;;1;24 (77%);15 (6);7 (2);8 (4);90';F;7.1;0;1;1;1 (0);3;0;0;1;0;24 (77%);1;0 (0);1 (1);1;2;1;;;;;1;SWA
