game;playerIn;playerOut;id;time;isHome;incidentType
SOU X HUL 2013-11-09;{'name': 'Jack Cork', 'slug': 'jack-cork', 'shortName': 'J. Cork', 'position': 'M', 'userCount': 138, 'id': 20993};{'name': 'Adam Lallana', 'slug': 'adam-lallana', 'shortName': 'A. Lallana', 'position': 'M', 'userCount': 3225, 'id': 17054};59783694;84;True;substitution
SOU X HUL 2013-11-09;{'name': 'Stephen Quinn', 'slug': 'stephen-quinn', 'shortName': 'S. Quinn', 'position': 'M', 'userCount': 16, 'id': 11807};{'name': 'George Boyd', 'slug': 'george-boyd', 'shortName': 'G. Boyd', 'position': 'M', 'userCount': 23, 'id': 20653};59783292;80;False;substitution
SOU X HUL 2013-11-09;{'name': 'Pablo Daniel Osvaldo', 'slug': 'pablo-daniel-osvaldo', 'shortName': 'P. D. Osvaldo', 'position': 'F', 'userCount': 158, 'id': 27787};{'name': 'Rickie Lambert', 'slug': 'rickie-lambert', 'shortName': 'R. Lambert', 'position': 'F', 'userCount': 25, 'id': 19659};59782214;76;True;substitution
SOU X HUL 2013-11-09;{'name': 'Danny Graham', 'slug': 'danny-graham', 'shortName': 'D. Graham', 'position': 'F', 'userCount': 60, 'id': 827};{'name': 'David Meyler', 'slug': 'david-meyler', 'shortName': 'D. Meyler', 'position': 'M', 'userCount': 121, 'id': 43442};59782166;73;False;substitution
SOU X HUL 2013-11-09;{'name': 'Steven Davis', 'slug': 'steven-davis', 'shortName': 'S. Davis', 'position': 'M', 'userCount': 147, 'id': 559};{'name': 'Victor Wanyama', 'slug': 'victor-wanyama', 'shortName': 'V. Wanyama', 'position': 'M', 'userCount': 3939, 'id': 45956};59781580;63;True;substitution
SOU X HUL 2013-11-09;{'name': 'Robert Koren', 'slug': 'robert-koren', 'shortName': 'R. Koren', 'position': 'M', 'userCount': 1, 'id': 7287};{'name': 'Ahmed El-Mohamady', 'slug': 'ahmed-el-mohamady', 'shortName': 'A. El-Mohamady', 'position': 'D', 'userCount': 2087, 'id': 32787};59776052;46;False;substitution
MUN X LIV 2014-03-16;{'name': 'Iago Aspas', 'slug': 'iago-aspas', 'shortName': 'I. Aspas', 'position': 'F', 'userCount': 2796, 'id': 19356};{'name': 'Daniel Sturridge', 'slug': 'daniel-sturridge', 'shortName': 'D. Sturridge', 'position': 'F', 'userCount': 3146, 'id': 20963};73029674;90;False;substitution
MUN X LIV 2014-03-16;{'name': 'Rio Ferdinand', 'slug': 'rio-ferdinand', 'shortName': 'R. Ferdinand', 'position': 'D', 'userCount': 130, 'id': 748};{'name': 'Juan Mata', 'slug': 'juan-mata', 'shortName': 'J. Mata', 'position': 'M', 'userCount': 7553, 'id': 28367};73028422;87;True;substitution
MUN X LIV 2014-03-16;{'name': 'Lucas Leiva', 'slug': 'lucas-leiva', 'shortName': 'L. Leiva', 'position': 'M', 'userCount': 1021, 'id': 27234};{'name': 'Steven Gerrard', 'slug': 'steven-gerrard', 'shortName': 'S. Gerrard', 'position': 'M', 'userCount': 1393, 'id': 701};73028324;87;False;substitution
MUN X LIV 2014-03-16;{'name': 'Danny Welbeck', 'slug': 'danny-welbeck', 'shortName': 'D. Welbeck', 'position': 'F', 'userCount': 1626, 'id': 33902};{'name': 'Adnan Januzaj', 'slug': 'adnan-januzaj', 'shortName': 'A. Januzaj', 'position': 'M', 'userCount': 2386, 'id': 328145};73025192;76;True;substitution
MUN X LIV 2014-03-16;{'name': 'Tom Cleverley', 'slug': 'tom-cleverley', 'shortName': 'T. Cleverley', 'position': 'M', 'userCount': 146, 'id': 46432};{'name': 'Marouane Fellaini', 'slug': 'marouane-fellaini', 'shortName': 'M. Fellaini', 'position': 'M', 'userCount': 2630, 'id': 21764};73025060;76;True;substitution
MUN X LIV 2014-03-16;{'name': 'Philippe Coutinho', 'slug': 'philippe-coutinho', 'shortName': 'P. Coutinho', 'position': 'M', 'userCount': 78237, 'id': 119159};{'name': 'Raheem Sterling', 'slug': 'raheem-sterling', 'shortName': 'R. Sterling', 'position': 'F', 'userCount': 22277, 'id': 138534};73023886;72;False;substitution
