game;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
MUN X BOU 2016-05-17;1;2016-05-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;17:00:00;1;BOU;MUN
MCI X LIV 2014-08-25;1;2014-08-25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;17:00:00;1;LIV;MCI
MCI X TOT 2014-10-18;1;2014-10-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;09:45:00;1;TOT;MCI
NEW X CHE 2014-12-06;1;2014-12-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;10:45:00;1;CHE;NEW
CHE X MCI 2015-01-31;1;2015-01-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;15:30:00;0;MCI;CHE
ARS X ASV 2015-02-01;0;2015-02-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;11:30:00;1;ASV;ARS
ARS X ASV 2015-02-01;0;2015-02-01;-3.0;3.0;75.0;42.0;17.0;5.0;-3.0;-12.0;-9.0;-6.0;-12.0;-3.0;-10.0;-8.0;27.0;17.0;4.0;2.0;-76.0;-42.0;-11.0;-7.0;-9.0;5.0;4.0;1.0;-31.0;-19.0;30.0;14.0;7.0;-11.0;5.0;-2.0;-2.0;-7.0;-10.0;40.0;18.0;20.0;40.0;10.0;5.0;2.0;-1.0;-3.0;-2.0;-2.0;35.0;18.0;20.0;11.0;10.0;17.0;9.0;4.0;-9.0;6.0;2.0;-1.0;-1.0;-6.0;5.0;-1.0;-1.0;-1.0;-6.0;-7.0;-30.0;-18.0;-12.0;-6.0;-3.0;1.0;75.0;45.0;22.0;13.0;-61.0;-30.0;-12.0;-2.0;1.0;-9.0;21.0;20.0;16.0;40.0;25.0;38.0;-31.0;-30.0;5;11:30:00;1;ASV;ARS
ARS X ASV 2015-02-01;0;2015-02-01;-6.0;-3.0;23.0;4.0;-3.0;-3.0;-33.0;-23.0;-15.0;-16.0;-6.0;-3.0;3.0;-3.0;-2.0;-8.0;-7.0;-1.0;3.0;28.0;15.0;15.0;-2.0;40.0;20.0;16.0;11.0;48.0;22.0;15.0;10.0;27.0;14.0;-1.0;100.0;64.0;39.0;26.0;50.0;60.0;0.0;34.0;20.0;-54.0;-32.0;-6.0;-46.0;-50.0;-38.0;-16.0;47.0;20.0;6.0;1.0;-4.0;27.0;-3.0;10.0;3.0;-9.0;-7.0;-5.0;31.0;-60.0;-43.0;-24.0;-13.0;5.0;-9.0;1.0;-40.0;-16.0;-9.0;-4.0;51.0;-50.0;-20.0;-11.0;-3.0;-5.0;21.0;12.0;9.0;6.0;4.0;7.0;5.0;2.0;-1.0;-2.0;75.0;20.0;5;11:30:00;1;ASV;ARS
ARS X ASV 2015-02-01;0;2015-02-01;-1.0;-59.0;-36.0;-20.0;-10.0;8.0;-3.0;-23.0;-15.0;-11.0;-9.0;-1.0;-12.0;-18.0;-12.0;-14.0;23.0;6.0;2.0;-3.0;-3.0;-5.0;-1.0;-5.0;-5.0;43.0;16.0;7.0;7.0;-11.0;-11.0;-81.0;-53.0;-2.0;-37.0;-21.0;-17.0;-10.0;-11.0;-11.0;35.0;-6.0;-8.0;-10.0;-11.0;4.0;-12.0;-12.0;-82.0;-48.0;-33.0;-55.0;-39.0;-5.0;-10.0;-8.0;-21.0;-25.0;-11.0;58.0;22.0;5.0;-8.0;-4.0;8.0;-3.0;3.0;-52.0;-3.0;-7.0;-37.0;-64.0;-100.0;-76.0;-47.0;-18.0;-10.0;-2.0;-92.0;72.0;4.0;-3.0;-3.0;-9.0;-4.0;-8.0;-2.0;27.0;32.0;-61.0;-3.0;10.0;5;11:30:00;1;ASV;ARS
LEI X CHE 2015-04-29;3;2015-04-29;-1.0;2.0;31.0;20.0;16.0;4.0;-6.0;-4.0;-3.0;-2.0;-21.0;-5.0;-13.0;50.0;24.0;14.0;9.0;5.0;-1.0;-25.0;-20.0;-47.0;-3.0;-33.0;-20.0;25.0;5.0;-24.0;-12.0;-15.0;-19.0;27.0;37.0;-2.0;19.0;49.0;16.0;4.0;-9.0;-7.0;75.0;-7.0;-10.0;-87.0;-88.0;5.0;-58.0;-35.0;-52.0;-36.0;-30.0;-21.0;-17.0;-7.0;-7.0;-8.0;3.0;-13.0;-32.0;-23.0;-48.0;-32.0;-53.0;-9.0;21.0;7.0;1.0;3.0;-23.0;-15.0;28.0;7.0;1.0;-3.0;-3.0;-6.0;-6.0;-100.0;-4.0;-77.0;-43.0;-28.0;-94.0;-49.0;-32.0;-27.0;-18.0;-13.0;-10.0;2.0;-8.0;-5.0;1;16:45:00;-1;CHE;LEI
