game;addedTime;id;incidentClass;incidentType;isHome;player;reason;time
MCI X LIV 2014-08-25;;98652798;yellow;card;False;{'name': 'Emre Can', 'slug': 'emre-can', 'shortName': 'E. Can', 'position': 'M', 'userCount': 5464, 'id': 138156};;76
MCI X LIV 2014-08-25;;98641490;yellow;card;True;{'name': 'Yaya Touré', 'slug': 'yaya-toure', 'shortName': 'Y. Touré', 'position': 'M', 'userCount': 3103, 'id': 14468};;29
MCI X TOT 2014-10-18;;107774752;red;card;False;{'name': 'Federico Fazio', 'slug': 'federico-fazio', 'shortName': 'F. Fazio', 'position': 'D', 'userCount': 1226, 'id': 27569};;67
MCI X TOT 2014-10-18;;107771332;yellow;card;True;{'name': 'Jesús Navas', 'slug': 'jesus-navas', 'shortName': 'J. Navas', 'position': 'D', 'userCount': 1544, 'id': 11869};;55
MCI X TOT 2014-10-18;;107764318;yellow;card;False;{'name': 'Eric Dier', 'slug': 'eric-dier', 'shortName': 'E. Dier', 'position': 'M', 'userCount': 1968, 'id': 146101};;37
MCI X TOT 2014-10-18;;107763730;yellow;card;False;{'name': 'Ryan Mason', 'slug': 'ryan-mason', 'shortName': 'R. Mason', 'position': 'M', 'userCount': 38, 'id': 44567};;33
NEW X CHE 2014-12-06;;116548302;yellowRed;card;True;{'name': 'Steven Taylor', 'slug': 'steven-taylor', 'shortName': 'S. Taylor', 'position': 'D', 'userCount': 8, 'id': 796};;81
NEW X CHE 2014-12-06;;116548074;yellow;card;False;{'name': 'Diego Costa', 'slug': 'diego-costa', 'shortName': 'D. Costa', 'position': 'F', 'userCount': 8943, 'id': 21212};;80
NEW X CHE 2014-12-06;;116548096;yellow;card;False;{'name': 'Cesc Fàbregas', 'slug': 'cesc-fabregas', 'shortName': 'C. Fàbregas', 'position': 'M', 'userCount': 5114, 'id': 518};;79
NEW X CHE 2014-12-06;;116546980;yellow;card;True;{'name': 'Cheik Tiote', 'slug': 'cheik-tiote', 'shortName': 'C. Tiote', 'position': 'M', 'userCount': 66, 'id': 10438};;74
NEW X CHE 2014-12-06;;116544686;yellow;card;False;{'name': 'Andre Schürrle', 'slug': 'andre-schurrle', 'shortName': 'A. Schürrle', 'position': 'F', 'userCount': 1267, 'id': 70492};;64
NEW X CHE 2014-12-06;;116542982;yellow;card;True;{'name': 'Steven Taylor', 'slug': 'steven-taylor', 'shortName': 'S. Taylor', 'position': 'D', 'userCount': 8, 'id': 796};;56
NEW X CHE 2014-12-06;;116541990;yellow;card;True;{'name': 'Moussa Sissoko', 'slug': 'moussa-sissoko', 'shortName': 'M. Sissoko', 'position': 'M', 'userCount': 2424, 'id': 27014};;48
CHE X MCI 2015-01-31;;118258086;yellow;card;False;{'name': 'Fernando', 'slug': 'fernando', 'shortName': 'Fernando', 'position': 'M', 'userCount': 1018, 'id': 41837};;74
CHE X MCI 2015-01-31;;118258041;yellow;card;False;{'name': 'David Silva', 'slug': 'david-silva', 'shortName': 'D. Silva', 'position': 'M', 'userCount': 8076, 'id': 11781};;52
ARS X ASV 2015-02-01;;118258519;yellow;card;False;{'name': 'Carles Gil', 'slug': 'carles-gil', 'shortName': 'C. Gil', 'position': 'M', 'userCount': 130, 'id': 254895};;68
