game;accuratePass;aerialDuels;challengeLost;disabled;dispossessed;fouls;goalAssist;goals;goodHighClaim;groundDuels;id;interceptionWon;keyPass;minutesPlayed;name;national;offsides;outfielderBlock;position;punches;rating;runsOut;saves;shortName;shotsBlocked;shotsOffTarget;shotsOnTarget;slug;team;team_id;team_name;totalClearance;totalContest;totalCross;totalDuels;totalLongBalls;totalPass;totalTackle;touches;wasFouled
MUN X TOT 2015-08-08;46 (83%);0 (0);;;0;0;;;;5 (5);47741;3;0;90';Chris Smalling;False;;1;D;;7.8;;;C. Smalling;0;0;0;manchester-united;MUN;35;Manchester United;7;0 (0);0 (0);5 (5);11 (3);46 (83%);5;72;0
MUN X TOT 2015-08-08;26 (66%);1 (1);;;0;0;;;;11 (10);44614;5;0;90';Kyle Walker;False;;1;D;;7.7;;;K. Walker;0;0;1;tottenham;TOT;33;Tottenham;4;1 (0);0 (0);12 (11);11 (2);26 (66%);8;80;2
MUN X TOT 2015-08-08;58 (82%);2 (1);1;;0;2;;;;6 (3);44575;6;1;90';Toby Alderweireld;False;;0;D;;7.7;;;T. Alderweireld;1;0;1;tottenham;TOT;33;Tottenham;7;2 (2);1 (0);8 (4);19 (8);58 (82%);1;90;0
MUN X TOT 2015-08-08;19 (52%);0 (0);;;;0;;;0;0 (0);25566;0;0;90';Sergio Romero;False;;0;G;0;7.4;2 (2);4;S. Romero;0;0;0;manchester-united;MUN;35;Manchester United;2;0 (0);0 (0);0 (0);24 (8);19 (52%);0;48;0
MUN X TOT 2015-08-08;19 (65%);3 (2);;;2;1;;;;11 (5);108579;0;1;90';Harry Kane;False;;0;F;;7.3;;;H. Kane;2;1;0;tottenham;TOT;33;Tottenham;0;6 (3);0 (0);14 (7);1 (0);19 (65%);1;45;1
MUN X TOT 2015-08-08;30 (69%);0 (0);;;2;0;;;;9 (5);105734;1;4;90';Christian Eriksen;False;;0;M;;7.2;;;C. Eriksen;0;1;2;tottenham;TOT;33;Tottenham;0;2 (0);5 (2);9 (5);5 (3);30 (69%);2;66;3
MUN X TOT 2015-08-08;31 (86%);0 (0);;;1;0;;;;5 (4);19352;0;1;81';Matteo Darmian;False;;0;D;;7.2;;;M. Darmian;0;0;0;manchester-united;MUN;35;Manchester United;5;0 (0);2 (1);5 (4);5 (2);31 (86%);3;58;1
MUN X TOT 2015-08-08;30 (96%);0 (0);;;1;0;;;;4 (3);938;4;1;60';Michael Carrick;False;;0;M;;7.1;;;M. Carrick;0;0;0;manchester-united;MUN;35;Manchester United;0;0 (0);0 (0);4 (3);3 (3);30 (96%);1;40;2
MUN X TOT 2015-08-08;36 (83%);1 (0);1;;2;1;;;;7 (3);28367;4;0;90';Juan Mata;False;;0;M;;7.0;;;J. Mata;2;1;0;manchester-united;MUN;35;Manchester United;2;0 (0);0 (0);8 (3);3 (3);36 (83%);0;59;3
MUN X TOT 2015-08-08;29 (82%);2 (1);;;3;0;;;;5 (2);751;0;2;90';Wayne Rooney;False;1;1;F;;7.0;;;W. Rooney;0;2;0;manchester-united;MUN;35;Manchester United;1;1 (1);1 (0);7 (3);2 (1);29 (82%);1;46;0
MUN X TOT 2015-08-08;48 (85%);1 (0);2;;1;1;;;;8 (3);44864;2;0;90';Daley Blind;False;;1;D;;6.9;;;D. Blind;0;0;0;manchester-united;MUN;35;Manchester United;3;1 (0);0 (0);9 (3);8 (4);48 (85%);3;69;0
MUN X TOT 2015-08-08;3 (60%);1 (0);;;0;1;;;;2 (1);198028;4;0;13';Dele Alli;False;;0;M;;6.8;;;D. Alli;0;0;0;tottenham;TOT;33;Tottenham;0;0 (0);0 (0);3 (1);1 (0);3 (60%);0;11;1
MUN X TOT 2015-08-08;34 (79%);2 (0);1;;0;1;;;;6 (4);146101;2;0;77';Eric Dier;False;;0;M;;6.8;;;E. Dier;0;0;0;tottenham;TOT;33;Tottenham;0;0 (0);0 (0);8 (4);6 (1);34 (79%);4;49;0
MUN X TOT 2015-08-08;5 (55%);0 (0);;;2;0;;;;5 (3);122702;1;1;22';Érik Lamela;False;;0;M;;6.8;;;É. Lamela;0;0;0;tottenham;TOT;33;Tottenham;0;0 (0);1 (0);5 (3);1 (1);5 (55%);2;16;1
MUN X TOT 2015-08-08;20 (74%);2 (2);;;0;1;;;;2 (1);94758;3;0;90';Ben Davies;False;;0;D;;6.8;;;B. Davies;0;0;0;tottenham;TOT;33;Tottenham;6;1 (1);3 (0);4 (3);4 (2);20 (74%);0;49;0
MUN X TOT 2015-08-08;44 (86%);0 (0);1;;1;5;;;;13 (6);27009;3;0;90';Morgan Schneiderlin;False;;0;M;;6.8;;;M. Schneiderlin;0;0;0;manchester-united;MUN;35;Manchester United;0;0 (0);0 (0);13 (6);6 (4);44 (86%);4;62;2
MUN X TOT 2015-08-08;56 (93%);2 (1);;;0;1;;;;2 (1);16921;3;0;90';Jan Vertonghen;False;;1;D;;6.8;;;J. Vertonghen;0;0;0;tottenham;TOT;33;Tottenham;2;0 (0);0 (0);4 (2);5 (4);56 (93%);1;68;0
MUN X TOT 2015-08-08;17 (89%);1 (1);;;0;0;;;;4 (3);44567;0;0;37';Ryan Mason;False;;0;M;;6.7;;;R. Mason;0;0;0;tottenham;TOT;33;Tottenham;0;1 (0);1 (0);5 (4);5 (3);17 (89%);1;25;2
MUN X TOT 2015-08-08;39 (83%);9 (5);1;;3;1;;;;9 (3);190839;0;0;90';Luke Shaw;False;;0;D;;6.6;;;L. Shaw;0;0;0;manchester-united;MUN;35;Manchester United;5;1 (0);0 (0);18 (8);4 (2);39 (83%);2;74;1
MUN X TOT 2015-08-08;42 (93%);0 (0);;;;0;;;1;0 (0);16944;0;0;90';Michel Vorm;False;;0;G;0;6.6;0 (0);1;M. Vorm;0;0;0;tottenham;TOT;33;Tottenham;0;0 (0);0 (0);0 (0);11 (8);42 (93%);0;51;0
MUN X TOT 2015-08-08;3 (60%);1 (1);;;0;0;;;;0 (0);11820;0;0;9';Antonio Valencia;False;;0;M;;6.6;;;A. Valencia;0;0;0;manchester-united;MUN;35;Manchester United;1;0 (0);0 (0);1 (1);0 (0);3 (60%);0;9;0
MUN X TOT 2015-08-08;8 (88%);1 (0);;;1;1;;;;3 (1);82474;0;0;22';Ander Herrera;False;;0;M;;6.5;;;A. Herrera;0;0;0;manchester-united;MUN;35;Manchester United;0;1 (1);0 (0);4 (1);1 (1);8 (88%);0;14;0
MUN X TOT 2015-08-08;20 (76%);0 (0);;;1;2;;;;6 (2);32492;2;0;90';Nacer Chadli;False;1;0;M;;6.5;;;N. Chadli;0;0;0;tottenham;TOT;33;Tottenham;0;1 (0);0 (0);6 (2);1 (0);20 (76%);1;36;1
MUN X TOT 2015-08-08;23 (74%);0 (0);;;0;1;;;;9 (3);10589;3;1;90';Ashley Young;False;;0;M;;6.5;;;A. Young;0;0;1;manchester-united;MUN;35;Manchester United;2;5 (0);6 (0);9 (3);6 (3);23 (74%);1;57;2
MUN X TOT 2015-08-08;31 (91%);4 (2);;;5;3;;;;14 (6);9865;1;0;68';Mousa Dembélé;False;1;0;M;;6.5;;;M. Dembélé;0;0;0;tottenham;TOT;33;Tottenham;1;0 (0);1 (0);18 (8);2 (1);31 (91%);5;49;1
