game;Accurate passes_away_1ST;Accurate passes_away_2ND;Accurate passes_away_ALL;Accurate passes_home_1ST;Accurate passes_home_2ND;Accurate passes_home_ALL;Aerials won_away_1ST;Aerials won_away_2ND;Aerials won_away_ALL;Aerials won_home_1ST;Aerials won_home_2ND;Aerials won_home_ALL;Ball possession_away_1ST;Ball possession_away_2ND;Ball possession_away_ALL;Ball possession_home_1ST;Ball possession_home_2ND;Ball possession_home_ALL;Big chances missed_away_1ST;Big chances missed_away_2ND;Big chances missed_away_ALL;Big chances missed_home_1ST;Big chances missed_home_2ND;Big chances missed_home_ALL;Big chances_away_1ST;Big chances_away_2ND;Big chances_away_ALL;Big chances_home_1ST;Big chances_home_2ND;Big chances_home_ALL;Blocked shots_away_1ST;Blocked shots_away_2ND;Blocked shots_away_ALL;Blocked shots_home_1ST;Blocked shots_home_2ND;Blocked shots_home_ALL;Corner kicks_away_1ST;Corner kicks_away_2ND;Corner kicks_away_ALL;Corner kicks_home_1ST;Corner kicks_home_2ND;Corner kicks_home_ALL;Counter attacks_away_1ST;Counter attacks_away_2ND;Counter attacks_away_ALL;Counter attacks_home_1ST;Counter attacks_home_2ND;Counter attacks_home_ALL;Duels won_away_1ST;Duels won_away_2ND;Duels won_away_ALL;Duels won_home_1ST;Duels won_home_2ND;Duels won_home_ALL;Fouls_away_ALL;Fouls_home_ALL;Goalkeeper saves_away_1ST;Goalkeeper saves_away_2ND;Goalkeeper saves_away_ALL;Goalkeeper saves_home_1ST;Goalkeeper saves_home_2ND;Goalkeeper saves_home_ALL;Hit woodwork_away_1ST;Hit woodwork_away_2ND;Hit woodwork_away_ALL;Hit woodwork_home_1ST;Hit woodwork_home_2ND;Hit woodwork_home_ALL;Offsides_away_1ST;Offsides_away_2ND;Offsides_away_ALL;Offsides_home_1ST;Offsides_home_2ND;Offsides_home_ALL;Passes_away_1ST;Passes_away_2ND;Passes_away_ALL;Passes_home_1ST;Passes_home_2ND;Passes_home_ALL;Red cards_away_1ST;Red cards_away_2ND;Red cards_away_ALL;Red cards_home_1ST;Red cards_home_2ND;Red cards_home_ALL;Shots inside box_away_1ST;Shots inside box_away_2ND;Shots inside box_away_ALL;Shots inside box_home_1ST;Shots inside box_home_2ND;Shots inside box_home_ALL;Shots off target_away_1ST;Shots off target_away_2ND;Shots off target_away_ALL;Shots off target_home_1ST;Shots off target_home_2ND;Shots off target_home_ALL;Shots on target_away_1ST;Shots on target_away_2ND;Shots on target_away_ALL;Shots on target_home_1ST;Shots on target_home_2ND;Shots on target_home_ALL;Shots outside box_away_1ST;Shots outside box_away_2ND;Shots outside box_away_ALL;Shots outside box_home_1ST;Shots outside box_home_2ND;Shots outside box_home_ALL;Total shots_away_1ST;Total shots_away_2ND;Total shots_away_ALL;Total shots_home_1ST;Total shots_home_2ND;Total shots_home_ALL;Yellow cards_away_1ST;Yellow cards_away_2ND;Yellow cards_away_ALL;Yellow cards_home_1ST;Yellow cards_home_2ND;Yellow cards_home_ALL;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
HUL X LEI 2016-08-13;168 (78%);184 (78%);352 (78%);225 (82%);118 (68%);343 (76%);10;8;18;7;12;19;44%;58%;51%;56%;42%;49%;;;;;;;;;;;;;3;1;4;0;2;2;2;1;3;3;2;5;;;;;;;25;25;50;31;35;66;17;8;1;2;3;1;3;4;;;;;;;0;0;0;1;0;1;216;237;453;276;173;449;;;;;;;6;3;9;5;2;7;6;3;9;5;2;7;1;4;5;2;3;5;4;5;9;2;5;7;10;8;18;7;7;14;2;0;2;0;2;2;1;2016-08-13;1;18;9;-30;-20;-14;-11;-8;5;6;13;1;-32;-14;-10;-32;-25;-14;-4;-26;-18;-10;2.0;30;13;-16;8;31;19.0;-11;1;-1;-2;-14;-1;5;-43;-29;-13;-29;100.0;77;41;-71;-22;-3;-9;-8;-7;3;1;-1;-1;-1;115;67;5;39;43;20;-26;-13;-38;-24;30;10;-7;35;-7;-6;-14;-72;-50;-62;-49;-21;-40;-24;43;-14;-9;39;15;7;2;-7;-7;-5.0;4.0;31;-6.0;50.0;2;09:30:00;1;LEI;HUL
BUR X SWA 2016-08-13;182 (79%);115 (75%);297 (78%);116 (70%);133 (71%);249 (71%);21;11;32;11;9;20;59%;46%;53%;41%;54%;47%;;;;;;;;;;;;;1;1;2;0;2;2;3;1;4;3;4;7;0;0;0;1;0;1;43;26;69;27;26;53;14;10;1;2;3;3;4;7;;;;;;;2;0;2;1;2;3;229;154;383;165;188;353;;;;;;;4;7;11;2;4;6;3;3;6;1;4;5;4;5;9;1;2;3;4;2;6;0;4;4;8;9;17;2;8;10;0;2;2;1;2;3;1;2016-08-13;-9;-27;-13;-4;-8;-36;-21;24;7;-5;-5;-13;-5;-9;-55;-28;-12;10;2;6;2;-6;-10.0;-3;40;51;36;13;-34.0;-52;-38;-69;-46;-8;-35;-32;-12;-12;-11;-9;-45.0;-24;-12;-6;7;-17;1;37;11;6;3;31;17;17;16;10;-5;68;50;54;32;-40;-66;-40;-5;-3;-5;-4;1;6;13;-48;-25;-17;-13;-6;-48;-61;-5;-38;-30;-60;-100;-92;-52;-28;-11;33.0;29.0;-51;41.0;5.0;0;12:00:00;-1;SWA;BUR
CRY X WBA 2016-08-13;81 (60%);62 (57%);143 (58%);179 (76%);119 (67%);298 (72%);8;13;21;11;10;21;37%;39%;38%;63%;61%;62%;;;;;;;;;;;;;2;0;2;1;2;3;2;4;6;2;1;3;;;;;;;24;31;55;34;35;69;15;12;1;3;4;1;1;2;;;;;;;2;0;2;0;0;0;136;109;245;237;177;414;;;;;;;5;3;8;3;4;7;2;6;8;2;5;7;1;2;3;1;3;4;0;5;5;1;6;7;5;8;13;4;10;14;1;1;2;0;2;2;1;2016-08-13;5;-44;-34;-14;-2;30;19;11;5;2;-21;7;-19;-3;34;21;21;20;9;4;3;3;5.0;42;26;36;22;14;11.0;12;6;29;19;3;-54;-24;-8;-5;-7;-12;5.0;-8;-7;4;4;2;1;4;6;82;77;54;35;54;23;8;-28;42;22;4;-47;-26;-14;-4;-58;-27;-12;-13;-3;-28;-59;-36;-63;-73;-36;-13;10;9;-17;-16;8;-23;33;11;3;1;2;1.0;21.0;-9;-20.0;-20.0;0;12:00:00;-1;WBA;CRY
EVE X TOT 2016-08-13;220 (79%);164 (80%);384 (80%);138 (71%);124 (75%);262 (73%);6;4;10;9;7;16;59%;57%;58%;41%;43%;42%;;;;;;;;;;;;;2;3;5;1;1;2;1;5;6;2;3;5;;;;;;;34;16;50;34;29;63;14;10;4;1;5;1;2;3;0;1;1;0;0;0;0;0;0;3;2;5;277;206;483;195;166;361;;;;;;;2;6;8;6;0;6;1;3;4;1;3;4;1;3;4;5;1;6;2;3;5;1;5;6;4;9;13;7;5;12;;;;;;;1;2016-08-13;-3;43;18;9;13;10;-3;60;36;58;27;-4;49;18;6;-5;-3;-10;-11;-12;-50;-28;7.0;-20;-14;-11;-6;-7;-6.0;-31;-21;-11;-4;14;-3;4;2;-1;-1;-1;0.0;45;21;8;-5;3;-10;-3;46;46;24;36;17;-34;-20;32;75;-84;-39;-16;-14;-16;-3;-7;8;4;6;42;5;-19;32;15;12;10;11;31;15;5;22;-4;-23;-39;-26;-83;-100;-73;-40;-26.0;-9.0;10;-25.0;-30.0;1;12:00:00;0;TOT;EVE
MID X STO 2016-08-13;187 (81%);143 (75%);330 (79%);134 (77%);128 (74%);262 (75%);14;13;27;13;9;22;57%;53%;55%;43%;47%;45%;;;;;;;;;;;;;0;2;2;3;1;4;4;2;6;5;4;9;1;0;1;0;0;0;35;38;73;33;27;60;14;18;0;1;1;0;0;0;0;0;0;2;0;2;1;1;2;1;0;1;230;190;420;175;174;349;;;;;;;3;4;7;4;4;8;4;5;9;3;3;6;0;1;1;1;1;2;1;4;5;3;1;4;4;8;12;7;5;12;2;3;5;2;1;3;1;2016-08-13;-10;30;16;89;51;24;12;-22;-46;-26;-19;-11;-13;-8;-4;4;10;8;-6;-6;-28;-33;-12.0;-41;-24;-8;-3;1;-5.0;15;7;19;11;25;9;-19;-7;-5;41;-35;10.0;-4;2;7;3;12;-6;42;29;22;16;13;32;22;-32;-17;10;-17;-17;-35;-53;-38;-49;-31;-19;-86;-52;-6;-31;-20;-14;73;44;29;19;-28;-63;-35;-1;-19;-15;-11;-2;1;1;1;1;1.0;31.0;55;1.0;40.0;1;12:00:00;0;STO;MID
SOU X WAT 2016-08-13;138 (73%);86 (64%);224 (69%);254 (83%);241 (87%);495 (85%);9;10;19;5;4;9;39%;33%;36%;61%;67%;64%;;;;;;;;;;;;;0;0;0;0;8;8;0;2;2;1;5;6;;;;;;;27;33;60;21;23;44;12;8;4;2;6;0;0;0;;;;;;;0;0;0;0;1;1;190;135;325;306;277;583;0;1;1;0;0;0;1;0;1;2;9;11;2;2;4;4;6;10;1;0;1;3;3;6;2;2;4;5;8;13;3;2;5;7;17;24;0;2;2;0;1;1;1;2016-08-13;4;-42;-24;-13;-9;-1;-34;-17;-8;-30;-19;5;-3;6;6;11;11;11;11;61;41;30;48.0;23;19;13;43;31;18.0;11;5;-6;6;54;6;34;19;6;1;-2;0.0;6;8;45;22;33;19;11;6;-5;8;15;13;32;100;78;20;50;39;36;-15;5;7;-29;-14;-6;-2;12;2;3;3;3;3;8;5;-9;5;45;45;30;22;38;47;29;46;41;30;93.0;62.0;-39;72.0;30.0;1;12:00:00;0;WAT;SOU
MCI X SUN 2016-08-13;68 (64%);36 (44%);104 (55%);306 (88%);279 (84%);585 (86%);15;6;21;9;7;16;26%;21%;24%;74%;79%;76%;;;;;;;;;;;;;2;0;2;0;4;4;3;3;6;2;7;9;;;;;;;31;28;59;25;21;46;14;11;2;1;3;2;0;2;;;;;;;0;2;2;0;1;1;107;82;189;349;332;681;;;;;;;3;1;4;3;6;9;1;1;2;5;3;8;2;1;3;3;1;4;2;1;3;5;3;8;5;2;7;8;8;16;1;1;2;0;1;1;1;2016-08-13;-2;78;59;81;58;42;27;22;9;12;44;-1;57;41;32;15;34;20;19;13;10;7;-73.0;6;6;-8;9;7;7.0;8;34;31;25;-5;22;19;-24;-42;-25;-35;;-14;-5;12;33;44;27;22;8;7;6;7;7;8;8;13;26;11;44;34;32;26;23;9;8;66;41;22;26;43;-73;-25;-7;-47;-22;8;8;20;25;19;39;6;7;56;42;46;62;40.0;24.0;18;17.0;-5.0;2;14:30:00;1;SUN;MCI
BOU X MUN 2016-08-14;230 (86%);258 (88%);488 (87%);237 (86%);175 (84%);412 (85%);6;2;8;3;5;8;49%;58%;53%;51%;42%;47%;;;;;;;;;;;;;1;1;2;1;3;4;2;0;2;0;4;4;;;;;;;17;33;50;17;27;44;10;7;0;2;2;2;2;4;;;;;;;1;3;4;1;2;3;267;294;561;274;209;483;;;;;;;4;4;8;1;5;6;1;1;2;2;0;2;3;4;7;0;3;3;1;2;3;2;1;3;5;6;11;3;6;9;0;1;1;0;0;0;3;2016-08-14;-6;8;-9;8;1;-1;-1;3;4;1;-7;-9;4;4;-2;-1;-1;-31;-23;-64;-33;-35;-4.0;-14;-3;6;32;28;4.0;5;1;-2;-3;21;-2;-73;-80;-44;-23;-16;0.0;-3;3;-3;-8;12;-3;2;7;-43;27;-6;-7;-10;-8;-12;14;-100;-73;-46;-30;-100;-66;-38;-24;-16;38;12;54;34;18;8;-3;3;-1;-6;-9;-11;10;-13;-14;-5;4;3;5;11;19;16.0;9.0;8;10.0;70.0;1;10:30:00;-1;MUN;BOU
ARS X LIV 2016-08-14;185 (78%);195 (81%);380 (79%);186 (77%);200 (82%);386 (80%);8;9;17;13;9;22;50%;49%;50%;50%;51%;50%;;;;;;;;;;;;;2;4;6;1;0;1;0;4;4;3;2;5;;;;;;;32;30;62;36;34;70;17;13;2;0;2;2;1;3;;;;;;;1;2;3;3;1;4;238;241;479;241;244;485;;;;;;;5;7;12;4;2;6;3;0;3;2;1;3;3;4;7;3;2;5;3;1;4;2;1;3;8;8;16;6;3;9;3;0;3;1;2;3;4;2016-08-14;-10;24;13;6;-42;-23;22;5;7;4;-3;-6;4;13;36;26;16;9;-9;-25;-36;-18;5.0;-13;123;73;48;24;11.0;-11;-4;-36;-24;10;-12;-46;-23;-11;16;1;-45.0;-2;-2;-3;-3;19;-78;-49;-32;-22;-23;-14;-91;-56;-36;-23;12;-61;-9;-3;-20;-90;77;40;25;17;17;8;6;3;3;3;39;30;95;53;34;14;-4;5;-5;18;5;-3;-3;-34;-29;-23.0;-19.0;37;-37.0;0.0;3;13:00:00;-1;LIV;ARS
CHE X WES 2016-08-15;148 (78%);109 (68%);257 (73%);253 (88%);227 (85%);480 (86%);13;12;25;11;13;24;39%;38%;39%;61%;62%;61%;;;;;;;;;;;;;0;2;2;1;3;4;0;1;1;3;4;7;;;;;;;33;35;68;37;34;71;16;16;2;2;4;0;2;2;;;;;;;0;1;1;1;0;1;189;161;350;289;267;556;;;;;;;0;4;4;4;5;9;1;1;2;4;2;6;0;3;3;2;4;6;1;2;3;3;4;7;1;6;7;7;9;16;1;1;2;2;3;5;1;2016-08-15;6;-26;-15;-9;-6;49;74;46;28;23;12;8;6;5;8;9;8;7;6;-3;-3;8;9.0;10;37;25;23;16;12.0;8;8;33;29;-10;22;18;15;12;32;1;70.0;1;100;87;52;-7;31;26;11;14;20;19;18;10;35;24;-7;19;15;8;2;80;76;44;25;14;1;-7;1;1;1;-5;-1;1;1;-80;-65;-38;-5;-22;-12;-5;-1;1;1;1;31;19.0;22.0;-3;88.0;-70.0;2;17:00:00;1;WES;CHE
