game;addedTime;id;incidentClass;incidentType;isHome;player;playerName;reason;time
HUL X LEI 2016-08-13;;118508411;yellow;card;True;{'name': 'Sam Clucas', 'slug': 'sam-clucas', 'shortName': 'S. Clucas', 'position': 'M', 'userCount': 67, 'id': 74440};;Foul;83
HUL X LEI 2016-08-13;;118508404;yellow;card;True;{'name': 'Curtis Davies', 'slug': 'curtis-davies', 'shortName': 'C. Davies', 'position': 'D', 'userCount': 35, 'id': 10281};;Foul;71
HUL X LEI 2016-08-13;;118508360;yellow;card;False;{'name': 'Danny Simpson', 'slug': 'danny-simpson', 'shortName': 'D. Simpson', 'position': 'D', 'userCount': 110, 'id': 30502};;Persistent fouling;33
HUL X LEI 2016-08-13;;118508357;yellow;card;False;{'name': 'Christian Fuchs', 'slug': 'christian-fuchs', 'shortName': 'C. Fuchs', 'position': 'D', 'userCount': 335, 'id': 1262};;Foul;29
BUR X SWA 2016-08-13;;118508619;yellow;card;False;{'name': 'Federico Fernández', 'slug': 'federico-fernandez', 'shortName': 'F. Fernández', 'position': 'D', 'userCount': 401, 'id': 38393};;Foul;90
BUR X SWA 2016-08-13;;118508599;yellow;card;True;{'name': 'Matthew Lowton', 'slug': 'matthew-lowton', 'shortName': 'M. Lowton', 'position': 'D', 'userCount': 142, 'id': 67507};;Foul;80
BUR X SWA 2016-08-13;;118508590;yellow;card;True;{'name': 'Stephen Ward', 'slug': 'stephen-ward', 'shortName': 'S. Ward', 'position': 'D', 'userCount': 101, 'id': 20752};;Foul;67
BUR X SWA 2016-08-13;;118508574;yellow;card;False;{'name': 'Jordi Amat', 'slug': 'jordi-amat', 'shortName': 'J. Amat', 'position': 'D', 'userCount': 66, 'id': 106273};;Foul;53
BUR X SWA 2016-08-13;;118508547;yellow;card;True;{'name': 'David Jones', 'slug': 'david-jones', 'shortName': 'D. Jones', 'position': 'M', 'userCount': 12, 'id': 773};;Foul;42
CRY X WBA 2016-08-13;;118508614;yellow;card;True;{'name': 'Yannick Bolasie', 'slug': 'yannick-bolasie', 'shortName': 'Y. Bolasie', 'position': 'F', 'userCount': 1714, 'id': 46620};;Dangerous play;87
CRY X WBA 2016-08-13;;118510510;yellow;card;False;{'name': 'Jonny Evans', 'slug': 'jonny-evans', 'shortName': 'J. Evans', 'position': 'D', 'userCount': 722, 'id': 30144};;Foul;84
