game;text;homeScore;awayScore;isLive;time;addedTime;incidentType
HUL X LEI 2016-08-13;FT;2;1;False;90;999;period
HUL X LEI 2016-08-13;HT;1;0;False;45;999;period
BUR X SWA 2016-08-13;FT;0;1;False;90;999;period
BUR X SWA 2016-08-13;HT;0;0;False;45;999;period
EVE X TOT 2016-08-13;FT;1;1;False;90;999;period
SOU X WAT 2016-08-13;HT;0;1;False;45;999;period
BOU X MUN 2016-08-14;FT;1;3;False;90;999;period
ARS X LIV 2016-08-14;FT;3;4;False;90;999;period
ARS X LIV 2016-08-14;HT;1;1;False;45;999;period
MUN X SOU 2016-08-19;FT;2;0;False;90;999;period
STO X MCI 2016-08-20;FT;1;4;False;90;999;period
STO X MCI 2016-08-20;HT;0;2;False;45;999;period
BUR X LIV 2016-08-20;HT;2;0;False;45;999;period
SWA X HUL 2016-08-20;FT;0;2;False;90;999;period
TOT X CRY 2016-08-20;FT;1;0;False;90;999;period
WAT X CHE 2016-08-20;FT;1;2;False;90;999;period
LEI X ARS 2016-08-20;FT;0;0;False;90;999;period
CHE X BUR 2016-08-27;FT;3;0;False;90;999;period
WAT X ARS 2016-08-27;HT;0;3;False;45;999;period
MCI X WES 2016-08-28;FT;3;1;False;90;999;period
MUN X MCI 2016-09-10;HT;1;2;False;45;999;period
STO X TOT 2016-09-10;FT;0;4;False;90;999;period
WES X WAT 2016-09-10;FT;2;4;False;90;999;period
WES X WAT 2016-09-10;HT;2;2;False;45;999;period
LIV X LEI 2016-09-10;FT;4;1;False;90;999;period
LIV X LEI 2016-09-10;HT;2;1;False;45;999;period
SWA X CHE 2016-09-11;FT;2;2;False;90;999;period
SUN X EVE 2016-09-12;FT;0;3;False;90;999;period
MCI X BOU 2016-09-17;FT;4;0;False;90;999;period
WBA X WES 2016-09-17;FT;4;2;False;90;999;period
WBA X WES 2016-09-17;HT;3;0;False;45;999;period
EVE X MID 2016-09-17;HT;3;1;False;45;999;period
MUN X LEI 2016-09-24;HT;4;0;False;45;999;period
LIV X HUL 2016-09-24;FT;5;1;False;90;999;period
SUN X CRY 2016-09-24;FT;2;3;False;90;999;period
ARS X SWA 2016-10-15;FT;3;2;False;90;999;period
BOU X HUL 2016-10-15;FT;6;1;False;90;999;period
CRY X LIV 2016-10-29;HT;2;3;False;45;999;period
CHE X EVE 2016-11-05;FT;5;0;False;90;999;period
SWA X CRY 2016-11-26;FT;5;4;False;90;999;period
WES X ARS 2016-12-03;FT;1;5;False;90;999;period
BOU X LIV 2016-12-04;FT;4;3;False;90;999;period
HUL X CRY 2016-12-10;FT;3;3;False;90;999;period
SUN X STO 2017-01-14;HT;1;3;False;45;999;period
CRY X SUN 2017-02-04;HT;0;4;False;45;999;period
EVE X BOU 2017-02-04;FT;6;3;False;90;999;period
HUL X MID 2017-04-05;HT;3;2;False;45;999;period
LEI X TOT 2017-05-18;FT;1;6;False;90;999;period
HUL X TOT 2017-05-21;FT;1;7;False;90;999;period
WAT X MCI 2017-05-21;FT;0;5;False;90;999;period
