game;Accurate passes_away_1ST;Accurate passes_away_2ND;Accurate passes_away_ALL;Accurate passes_home_1ST;Accurate passes_home_2ND;Accurate passes_home_ALL;Aerials won_away_1ST;Aerials won_away_2ND;Aerials won_away_ALL;Aerials won_home_1ST;Aerials won_home_2ND;Aerials won_home_ALL;Ball possession_away_1ST;Ball possession_away_2ND;Ball possession_away_ALL;Ball possession_home_1ST;Ball possession_home_2ND;Ball possession_home_ALL;Big chances missed_away_1ST;Big chances missed_away_2ND;Big chances missed_away_ALL;Big chances missed_home_1ST;Big chances missed_home_2ND;Big chances missed_home_ALL;Big chances_away_1ST;Big chances_away_2ND;Big chances_away_ALL;Big chances_home_1ST;Big chances_home_2ND;Big chances_home_ALL;Blocked shots_away_1ST;Blocked shots_away_2ND;Blocked shots_away_ALL;Blocked shots_home_1ST;Blocked shots_home_2ND;Blocked shots_home_ALL;Clearances_away_1ST;Clearances_away_2ND;Clearances_away_ALL;Clearances_home_1ST;Clearances_home_2ND;Clearances_home_ALL;Corner kicks_away_1ST;Corner kicks_away_2ND;Corner kicks_away_ALL;Corner kicks_home_1ST;Corner kicks_home_2ND;Corner kicks_home_ALL;Counter attacks_away_1ST;Counter attacks_away_2ND;Counter attacks_away_ALL;Counter attacks_home_1ST;Counter attacks_home_2ND;Counter attacks_home_ALL;Crosses_away_1ST;Crosses_away_2ND;Crosses_away_ALL;Crosses_home_1ST;Crosses_home_2ND;Crosses_home_ALL;Dribbles_away_1ST;Dribbles_away_2ND;Dribbles_away_ALL;Dribbles_home_1ST;Dribbles_home_2ND;Dribbles_home_ALL;Duels won_away_1ST;Duels won_away_2ND;Duels won_away_ALL;Duels won_home_1ST;Duels won_home_2ND;Duels won_home_ALL;Fouls_away_ALL;Fouls_home_ALL;Goalkeeper saves_away_1ST;Goalkeeper saves_away_2ND;Goalkeeper saves_away_ALL;Goalkeeper saves_home_1ST;Goalkeeper saves_home_2ND;Goalkeeper saves_home_ALL;Hit woodwork_away_1ST;Hit woodwork_away_2ND;Hit woodwork_away_ALL;Hit woodwork_home_1ST;Hit woodwork_home_2ND;Hit woodwork_home_ALL;Interceptions_away_1ST;Interceptions_away_2ND;Interceptions_away_ALL;Interceptions_home_1ST;Interceptions_home_2ND;Interceptions_home_ALL;Long balls_away_1ST;Long balls_away_2ND;Long balls_away_ALL;Long balls_home_1ST;Long balls_home_2ND;Long balls_home_ALL;Offsides_away_1ST;Offsides_away_2ND;Offsides_away_ALL;Offsides_home_1ST;Offsides_home_2ND;Offsides_home_ALL;Passes_away_1ST;Passes_away_2ND;Passes_away_ALL;Passes_home_1ST;Passes_home_2ND;Passes_home_ALL;Possession lost_away_ALL;Possession lost_home_ALL;Red cards_away_1ST;Red cards_away_2ND;Red cards_away_ALL;Red cards_home_1ST;Red cards_home_2ND;Red cards_home_ALL;Shots inside box_away_1ST;Shots inside box_away_2ND;Shots inside box_away_ALL;Shots inside box_home_1ST;Shots inside box_home_2ND;Shots inside box_home_ALL;Shots off target_away_1ST;Shots off target_away_2ND;Shots off target_away_ALL;Shots off target_home_1ST;Shots off target_home_2ND;Shots off target_home_ALL;Shots on target_away_1ST;Shots on target_away_2ND;Shots on target_away_ALL;Shots on target_home_1ST;Shots on target_home_2ND;Shots on target_home_ALL;Shots outside box_away_1ST;Shots outside box_away_2ND;Shots outside box_away_ALL;Shots outside box_home_1ST;Shots outside box_home_2ND;Shots outside box_home_ALL;Tackles_away_1ST;Tackles_away_2ND;Tackles_away_ALL;Tackles_home_1ST;Tackles_home_2ND;Tackles_home_ALL;Total shots_away_1ST;Total shots_away_2ND;Total shots_away_ALL;Total shots_home_1ST;Total shots_home_2ND;Total shots_home_ALL;Yellow cards_away_1ST;Yellow cards_away_2ND;Yellow cards_away_ALL;Yellow cards_home_1ST;Yellow cards_home_2ND;Yellow cards_home_ALL;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
ARS X LEI 2017-08-11;89 (68%);78 (59%);167 (63%);305 (86%);233 (84%);538 (85%);10;8;18;7;11;18;29%;32%;30%;71%;68%;70%;0;0;0;1;2;3;2;0;2;2;2;4;0;0;0;4;4;8;;;;;;;3;1;4;4;5;9;;;;;;;;;;;;;;;;;;;24;24;48;33;36;69;12;9;2;4;6;0;0;0;;;;;;;;;;;;;;;;;;;2;1;3;2;3;5;131;132;263;353;279;632;158;146;;;;;;;4;1;5;6;9;15;2;1;3;3;6;9;2;1;3;4;6;10;0;1;1;5;7;12;;;;;;;4;2;6;11;16;27;0;1;1;0;0;0;3;2017-08-11;10;3;10;34;18;10;6;4;-1;45;30;15;22;20;19;-13;8;9;12;14;100;61;85;-81;-25;-14;-14;-42;-13;-7;-4;-7;2;46;7;4;48;30;24;-19;-25.0;83;45;29;20;-49;41;26;12;13;8;9;-60;-100;-54;-12;-85;-7;41;31;60;61;38;27;18;10;33;-51;69;35;23;20;12;51;43;23;15;31;-11;22;9;53;39;100;100;100;100;62;32.0;-5;19.0;20.0;4;16:45:00;1;LEI;ARS
WAT X LIV 2017-08-12;202 (75%);150 (72%);352 (74%);145 (69%);132 (71%);277 (70%);12;13;25;12;10;22;57%;52%;55%;43%;48%;45%;;;;;;;;;;;;;0;1;1;1;0;1;;;;;;;1;2;3;2;1;3;;;;;;;;;;;;;;;;;;;32;32;64;31;29;60;8;14;0;1;1;0;2;2;0;1;1;0;0;0;;;;;;;;;;;;;1;0;1;2;1;3;268;209;477;209;186;395;178;173;;;;;;;3;10;13;3;3;6;2;6;8;1;3;4;1;4;5;2;2;4;0;1;1;1;2;3;;;;;;;3;11;14;4;5;9;1;2;3;0;0;0;3;2017-08-12;8;57;39;28;21;15;7;1;-8;-12;-17;5;-15;-14;-13;-11;-5;9;-7;-12;-11;-11;-5;-79;-43;-21;79;39;24;15;9;37;-24;-3;-4;-5;17;2;-3;-3;-55.0;4;4;-7;-8;-4;-40;-25;-27;-22;-16;-15;-87;-54;-35;-100;-5;-82;-38;-13;-2;1;-29;-58;-38;-51;-33;-5;-21;-37;-83;-49;-25;-14;26;-20;-6;-3;3;-1;-2;1;3;4;4;-23;-14;-3;15.0;96;17.0;185.0;3;09:30:00;0;LIV;WAT
CHE X BUR 2017-08-12;169 (79%);72 (68%);241 (75%);248 (87%);198 (84%);446 (86%);9;13;22;6;11;17;43%;32%;39%;57%;68%;61%;;;;;;;0;0;0;0;2;2;0;1;1;4;3;7;;;;;;;2;3;5;1;7;8;;;;;;;;;;;;;;;;;;;21;25;46;15;26;41;11;16;0;4;4;1;1;2;0;1;1;0;0;0;;;;;;;;;;;;;0;1;1;0;2;2;214;106;320;284;237;521;111;127;0;0;0;1;1;2;5;3;8;0;7;7;1;3;4;1;5;6;4;1;5;0;6;6;0;2;2;5;7;12;;;;;;;5;5;10;5;14;19;0;3;3;2;3;5;3;2017-08-12;-2;17;12;4;6;8;-11;5;-2;-7;-7;5;-12;-13;-13;-7;-4;-82;-49;-29;-17;-34;5;-6;-3;-1;1;2;1;-20;-10;-8;-7;-6;-76;-41;33;8;-78;-34;10.0;-24;-2;37;27;-35;13;66;45;56;80;55;24;-29;-3;-2;-15;-22;35;24;88;56;74;37;-40;-11;70;-3;78;21;20;16;13;6;11;-64;-28;-16;6;47;27;7;4;4;-4;42;21;60;100.0;7;63.0;-25.0;2;12:00:00;-1;BUR;CHE
CRY X HUD 2017-08-12;106 (66%);93 (64%);199 (65%);152 (77%);152 (78%);304 (78%);11;5;16;9;9;18;45%;42%;44%;55%;58%;56%;;;;;;;;;;;;;0;0;0;1;2;3;;;;;;;5;4;9;5;7;12;;;;;;;;;;;;;;;;;;;31;25;56;40;39;79;19;7;1;3;4;3;1;4;;;;;;;;;;;;;;;;;;;1;1;2;0;0;0;161;145;306;197;194;391;158;157;;;;;;;5;2;7;4;6;10;2;1;3;3;4;7;4;2;6;1;3;4;2;1;3;1;3;4;;;;;;;6;3;9;5;9;14;1;2;3;0;1;1;3;2017-08-12;8;6;6;8;1;-2;-2;-3;7;-34;-17;12;-5;-43;-26;-16;-93;-59;-76;-81;-44;-11;-42;-7;-1;-17;-61;-38;-19;-8;4;61;47;-22;53;24;47;16;1;48;50.0;-3;-23;-14;-84;-14;-51;-31;-17;-6;-18;28;74;47;30;63;-2;39;27;39;19;5;4;-18;-8;-2;3;-22;7;8;7;6;11;38;25;37;74;-72;23;-19;-12;-10;49;82;53;28;19;4;-14.0;10;;20.0;0;12:00:00;-1;HUD;CRY
EVE X STO 2017-08-12;112 (75%);99 (70%);211 (72%);228 (81%);164 (76%);392 (79%);7;18;25;10;9;19;37%;41%;39%;63%;59%;61%;;;;;;;;;;;;;1;1;2;0;2;2;;;;;;;4;3;7;2;4;6;;;;;;;;;;;;;;;;;;;20;44;64;21;26;47;10;13;1;2;3;0;1;1;;;;;;;;;;;;;;;;;;;3;3;6;2;0;2;150;142;292;280;217;497;160;159;;;;;;;1;3;4;1;4;5;3;3;6;2;1;3;0;1;1;2;2;4;3;2;5;3;1;4;;;;;;;4;5;9;4;5;9;1;0;1;0;1;1;0;2017-08-12;1;-18;-33;-14;31;23;14;21;7;-6;-27;1;-6;38;28;20;22;16;35;26;22;19;1;51;33;24;18;16;7;-54;-28;-40;-22;-5;-11;-1;27;15;7;-27;80.0;-17;-40;-23;-13;-1;-15;-9;26;13;7;16;16;49;27;15;3;1;-18;13;37;30;26;18;11;5;4;2;68;47;29;18;12;-4;-26;20;1;-1;3;-1;19;6;-13;-5;-3;-3;-26;-10;-11.0;4;-1.0;-85.0;1;12:00:00;1;STO;EVE
SOU X SWA 2017-08-12;166 (82%);118 (73%);284 (78%);181 (83%);251 (84%);432 (83%);9;9;18;14;3;17;47%;35%;41%;53%;65%;59%;0;0;0;1;1;2;0;0;0;1;1;2;1;1;2;4;7;11;;;;;;;0;0;0;5;8;13;;;;;;;;;;;;;;;;;;;22;20;42;25;22;47;13;10;1;1;2;0;0;0;0;0;0;1;0;1;;;;;;;;;;;;;1;0;1;0;0;0;203;162;365;218;300;518;115;136;;;;;;;1;2;3;9;7;16;1;1;2;8;8;16;0;0;0;1;1;2;1;0;1;4;9;13;;;;;;;2;2;4;13;16;29;0;1;1;2;0;2;0;2017-08-12;0;-7;-32;-20;-13;-8;-2;2;1;6;44;52;33;26;51;32;12;36;60;57;41;31;35;43;21;14;6;3;5;13;60;34;48;16;32;21;17;3;-1;-8;10.0;-2;-32;-13;36;30;20;16;46;25;10;4;-2;5;11;11;18;14;20;49;41;18;5;5;4;4;6;29;32;37;50;34;24;17;13;40;40;85;16;52;29;38;50;23;12;14;8;4;29.0;14;19.0;60.0;0;12:00:00;0;SWA;SOU
WBA X BOU 2017-08-12;258 (85%);269 (87%);527 (86%);87 (67%);70 (63%);157 (65%);9;9;18;9;3;12;70%;73%;72%;30%;27%;28%;;;;;;;0;0;0;1;0;1;1;4;5;1;0;1;;;;;;;1;1;2;3;5;8;;;;;;;;;;;;;;;;;;;28;24;52;20;14;34;3;15;3;2;5;0;2;2;;;;;;;;;;;;;;;;;;;0;0;0;1;1;2;303;309;612;130;112;242;136;130;;;;;;;1;4;5;8;3;11;1;1;2;6;3;9;0;2;2;4;2;6;1;3;4;3;2;5;;;;;;;2;7;9;11;5;16;0;1;1;1;2;3;0;2017-08-12;1;57;32;16;2;-2;88;51;25;5;-12;1;-12;-14;-10;-12;26;5;26;9;-7;2;1;2;-2;78;44;48;46;20;-10;-2;-2;37;-8;24;5;21;10;4;-25.0;-28;-13;-10;-8;18;-6;-32;-20;19;44;26;42;43;47;18;7;4;-37;-28;-29;-23;-19;-15;-14;-10;-9;1;-18;-13;-15;-12;-10;-3;-4;22;9;2;-4;-3;-3;-6;-16;-52;-33;-12;53;24;8.0;27;-10.0;55.0;1;12:00:00;1;BOU;WBA
BHA X MCI 2017-08-12;306 (86%);385 (93%);691 (90%);64 (58%);66 (65%);130 (61%);7;6;13;10;3;13;77%;80%;79%;23%;20%;21%;;;;;;;;;;;;;3;2;5;0;2;2;;;;;;;5;5;10;0;3;3;;;;;;;;;;;;;;;;;;;14;21;35;22;16;38;9;6;1;1;2;2;1;3;1;0;1;0;0;0;;;;;;;;;;;;;0;1;1;4;2;6;354;414;768;111;102;213;127;114;;;;;;;4;3;7;1;3;4;4;1;5;0;2;2;2;2;4;1;1;2;5;3;8;0;2;2;;;;;;;9;5;14;1;5;6;1;1;2;0;0;0;2;2017-08-12;-6;-52;-35;-23;-18;-65;-46;-31;-23;-58;-35;-8;-25;-19;-21;-13;-11;-50;-28;-23;-20;-13;-10;-11;-13;-11;-5;-12;-41;-66;-41;-28;-19;-11;-13;-8;-7;-6;-6;-5;5.0;4;-12;-12;-14;-19;-15;-16;-39;-52;-30;-17;14;18;36;10;-24;49;22;30;15;3;-7;-50;-37;-37;-22;-55;-48;-68;-43;-27;-19;-12;-62;-35;-27;-22;-38;-20;19;-7;-2;-2;-7;-12;-13;-9;-6.0;-28;-9.0;-20.0;0;14:30:00;-1;MCI;BHA
NEW X TOT 2017-08-13;230 (85%);398 (93%);628 (89%);74 (60%);83 (68%);157 (64%);10;5;15;11;5;16;68%;77%;74%;32%;23%;26%;;;;;;;;;;;;;3;4;7;0;0;0;;;;;;;4;3;7;4;1;5;;;;;;;;;;;;;;;;;;;30;17;47;28;11;39;10;6;0;2;2;2;2;4;0;1;1;0;0;0;;;;;;;;;;;;;0;1;1;2;0;2;272;430;702;123;122;245;123;137;0;0;0;0;1;1;4;6;10;1;5;6;4;1;5;1;3;4;2;4;6;0;2;2;5;3;8;0;0;0;;;;;;;9;9;18;1;5;6;1;1;2;0;1;1;2;2017-08-13;10;-8;-8;-1;-5;-36;-47;-23;-19;-51;-35;6;-26;-23;-18;21;3;-5;-5;-12;-18;-15;3;23;30;22;12;6;25;-22;-37;-29;-23;2;-22;-17;-43;-15;-8;-6;-25.0;-38;-28;-16;-30;1;27;42;14;-66;-37;-30;-36;-26;-11;-12;35;-12;-12;-87;-57;-44;-72;-45;-23;-36;-23;19;-13;-85;-57;-39;-30;-30;-19;-18;-42;-19;-22;-10;41;19;12;40;47;34;20;51;27.0;-12;14.0;-30.0;0;10:30:00;-1;TOT;NEW
MUN X WES 2017-08-13;105 (69%);211 (86%);316 (80%);241 (85%);176 (85%);417 (85%);5;8;13;12;11;23;35%;55%;45%;65%;45%;55%;;;;;;;;;;;;;1;1;2;5;3;8;;;;;;;0;1;1;9;2;11;0;0;0;2;0;2;;;;;;;;;;;;;27;29;56;35;30;65;7;19;0;1;1;1;0;1;0;1;1;0;1;1;;;;;;;;;;;;;2;2;4;0;1;1;152;245;397;285;208;493;129;132;;;;;;;2;4;6;4;9;13;2;4;6;3;5;8;1;0;1;1;4;5;2;1;3;5;3;8;;;;;;;4;5;9;9;12;21;0;2;2;1;1;2;0;2017-08-13;10;14;15;42;34;27;42;75;76;49;72;-6;40;19;26;46;4;8;35;20;36;70;-9;48;33;18;1;83;54;37;28;18;-5;-3;-3;-6;-10;-7;8;5;;-37;-21;-16;-14;-5;22;7;6;80;44;21;9;6;-5;-6;6;-38;-22;-37;-21;31;53;32;56;33;18;-5;8;5;29;16;8;23;17;37;25;-28;29;-5;3;3;8;9;8;12;19;18;92.0;12;1.0;45.0;4;13:00:00;1;WES;MUN
