game;addedTime;assist1;awayScore;homeScore;id;incidentClass;incidentType;isHome;player;time
MUN X LEI 2018-08-10;2.0;;1;2;123688224;regular;goal;False;{'name': 'Jamie Vardy', 'slug': 'jamie-vardy', 'shortName': 'J. Vardy', 'position': 'F', 'userCount': 16458, 'id': 173827};90
MUN X LEI 2018-08-10;;{'name': 'Juan Mata', 'slug': 'juan-mata', 'shortName': 'J. Mata', 'position': 'M', 'userCount': 7551, 'id': 28367};0;2;123688223;regular;goal;True;{'name': 'Luke Shaw', 'slug': 'luke-shaw', 'shortName': 'L. Shaw', 'position': 'D', 'userCount': 3886, 'id': 190839};83
MUN X LEI 2018-08-10;;;0;1;123688222;penalty;goal;True;{'name': 'Paul Pogba', 'slug': 'paul-pogba', 'shortName': 'P. Pogba', 'position': 'M', 'userCount': 77843, 'id': 111802};3
NEW X TOT 2018-08-11;;{'name': 'Serge Aurier', 'slug': 'serge-aurier', 'shortName': 'S. Aurier', 'position': 'D', 'userCount': 4002, 'id': 105697};2;1;123690029;regular;goal;False;{'name': 'Dele Alli', 'slug': 'dele-alli', 'shortName': 'D. Alli', 'position': 'M', 'userCount': 11078, 'id': 198028};18
NEW X TOT 2018-08-11;;{'name': 'Matt Ritchie', 'slug': 'matt-ritchie', 'shortName': 'M. Ritchie', 'position': 'M', 'userCount': 374, 'id': 42699};1;1;123690027;regular;goal;True;{'name': 'Joselu', 'slug': 'joselu', 'shortName': 'Joselu', 'position': 'F', 'userCount': 656, 'id': 69418};11
NEW X TOT 2018-08-11;;{'name': 'Davinson Sánchez', 'slug': 'davinson-sanchez', 'shortName': 'D. Sánchez', 'position': 'D', 'userCount': 5043, 'id': 566102};1;0;123690028;regular;goal;False;{'name': 'Jan Vertonghen', 'slug': 'jan-vertonghen', 'shortName': 'J. Vertonghen', 'position': 'D', 'userCount': 3148, 'id': 16921};8
BOU X CAR 2018-08-11;1.0;{'name': 'Simon Francis', 'slug': 'simon-francis', 'shortName': 'S. Francis', 'position': 'D', 'userCount': 78, 'id': 15152};0;2;123691270;regular;goal;True;{'name': 'Callum Wilson', 'slug': 'callum-wilson', 'shortName': 'C. Wilson', 'position': 'F', 'userCount': 1864, 'id': 113956};90
BOU X CAR 2018-08-11;;{'name': 'Callum Wilson', 'slug': 'callum-wilson', 'shortName': 'C. Wilson', 'position': 'F', 'userCount': 1864, 'id': 113956};0;1;123691269;regular;goal;True;{'name': 'Ryan Fraser', 'slug': 'ryan-fraser', 'shortName': 'R. Fraser', 'position': 'M', 'userCount': 1596, 'id': 138261};24
FUL X CRY 2018-08-11;;{'name': 'Aaron Wan-Bissaka', 'slug': 'aaron-wan-bissaka', 'shortName': 'A. Wan-Bissaka', 'position': 'D', 'userCount': 8208, 'id': 863653};2;0;123691255;regular;goal;False;{'name': 'Wilfried Zaha', 'slug': 'wilfried-zaha', 'shortName': 'W. Zaha', 'position': 'M', 'userCount': 5963, 'id': 111850};79
FUL X CRY 2018-08-11;;{'name': 'Patrick van Aanholt', 'slug': 'patrick-van-aanholt', 'shortName': 'P. v. Aanholt', 'position': 'D', 'userCount': 995, 'id': 74577};1;0;123691254;regular;goal;False;{'name': 'Jeffrey Schlupp', 'slug': 'jeffrey-schlupp', 'shortName': 'J. Schlupp', 'position': 'M', 'userCount': 437, 'id': 148710};41
HUD X CHE 2018-08-11;;{'name': 'Eden Hazard', 'slug': 'eden-hazard', 'shortName': 'E. Hazard', 'position': 'F', 'userCount': 131818, 'id': 27583};3;0;123691233;regular;goal;False;{'name': 'Pedro', 'slug': 'pedro', 'shortName': 'Pedro', 'position': 'F', 'userCount': 5348, 'id': 35428};80
