game;Accurate passes_away_1ST;Accurate passes_away_2ND;Accurate passes_away_ALL;Accurate passes_home_1ST;Accurate passes_home_2ND;Accurate passes_home_ALL;Aerials won_away_1ST;Aerials won_away_2ND;Aerials won_away_ALL;Aerials won_home_1ST;Aerials won_home_2ND;Aerials won_home_ALL;Ball possession_away_1ST;Ball possession_away_2ND;Ball possession_away_ALL;Ball possession_home_1ST;Ball possession_home_2ND;Ball possession_home_ALL;Big chances missed_away_1ST;Big chances missed_away_2ND;Big chances missed_away_ALL;Big chances missed_home_1ST;Big chances missed_home_2ND;Big chances missed_home_ALL;Big chances_away_1ST;Big chances_away_2ND;Big chances_away_ALL;Big chances_home_1ST;Big chances_home_2ND;Big chances_home_ALL;Blocked shots_away_1ST;Blocked shots_away_2ND;Blocked shots_away_ALL;Blocked shots_home_1ST;Blocked shots_home_2ND;Blocked shots_home_ALL;Clearances_away_1ST;Clearances_away_2ND;Clearances_away_ALL;Clearances_home_1ST;Clearances_home_2ND;Clearances_home_ALL;Corner kicks_away_1ST;Corner kicks_away_2ND;Corner kicks_away_ALL;Corner kicks_home_1ST;Corner kicks_home_2ND;Corner kicks_home_ALL;Counter attacks_away_1ST;Counter attacks_away_2ND;Counter attacks_away_ALL;Counter attacks_home_1ST;Counter attacks_home_2ND;Counter attacks_home_ALL;Crosses_away_1ST;Crosses_away_2ND;Crosses_away_ALL;Crosses_home_1ST;Crosses_home_2ND;Crosses_home_ALL;Dribbles_away_1ST;Dribbles_away_2ND;Dribbles_away_ALL;Dribbles_home_1ST;Dribbles_home_2ND;Dribbles_home_ALL;Duels won_away_1ST;Duels won_away_2ND;Duels won_away_ALL;Duels won_home_1ST;Duels won_home_2ND;Duels won_home_ALL;Fouls_away_ALL;Fouls_home_ALL;Goalkeeper saves_away_1ST;Goalkeeper saves_away_2ND;Goalkeeper saves_away_ALL;Goalkeeper saves_home_1ST;Goalkeeper saves_home_2ND;Goalkeeper saves_home_ALL;Hit woodwork_away_1ST;Hit woodwork_away_2ND;Hit woodwork_away_ALL;Hit woodwork_home_1ST;Hit woodwork_home_2ND;Hit woodwork_home_ALL;Interceptions_away_1ST;Interceptions_away_2ND;Interceptions_away_ALL;Interceptions_home_1ST;Interceptions_home_2ND;Interceptions_home_ALL;Long balls_away_1ST;Long balls_away_2ND;Long balls_away_ALL;Long balls_home_1ST;Long balls_home_2ND;Long balls_home_ALL;Offsides_away_1ST;Offsides_away_2ND;Offsides_away_ALL;Offsides_home_1ST;Offsides_home_2ND;Offsides_home_ALL;Passes_away_1ST;Passes_away_2ND;Passes_away_ALL;Passes_home_1ST;Passes_home_2ND;Passes_home_ALL;Possession lost_away_1ST;Possession lost_away_2ND;Possession lost_away_ALL;Possession lost_home_1ST;Possession lost_home_2ND;Possession lost_home_ALL;Red cards_away_1ST;Red cards_away_2ND;Red cards_away_ALL;Red cards_home_1ST;Red cards_home_2ND;Red cards_home_ALL;Shots inside box_away_1ST;Shots inside box_away_2ND;Shots inside box_away_ALL;Shots inside box_home_1ST;Shots inside box_home_2ND;Shots inside box_home_ALL;Shots off target_away_1ST;Shots off target_away_2ND;Shots off target_away_ALL;Shots off target_home_1ST;Shots off target_home_2ND;Shots off target_home_ALL;Shots on target_away_1ST;Shots on target_away_2ND;Shots on target_away_ALL;Shots on target_home_1ST;Shots on target_home_2ND;Shots on target_home_ALL;Shots outside box_away_1ST;Shots outside box_away_2ND;Shots outside box_away_ALL;Shots outside box_home_1ST;Shots outside box_home_2ND;Shots outside box_home_ALL;Tackles_away_1ST;Tackles_away_2ND;Tackles_away_ALL;Tackles_home_1ST;Tackles_home_2ND;Tackles_home_ALL;Total shots_away_1ST;Total shots_away_2ND;Total shots_away_ALL;Total shots_home_1ST;Total shots_home_2ND;Total shots_home_ALL;Yellow cards_away_1ST;Yellow cards_away_2ND;Yellow cards_away_ALL;Yellow cards_home_1ST;Yellow cards_home_2ND;Yellow cards_home_ALL;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
LIV X NOR 2019-08-09;162 (78%);116 (75%);278 (77%);209 (82%);178 (81%);387 (81%);4;3;7;12;3;15;44%;41%;43%;56%;59%;57%;0;0;0;0;1;1;0;1;1;2;1;3;1;1;2;1;2;3;20;15;35;3;2;5;1;1;2;5;6;11;;;;;;;1/1 (100%);0/1 (0%);1/2 (50%);4/18 (22%);1/14 (7%);5/32 (16%);6/9 (67%);4/7 (57%);10/16 (63%);5/9 (56%);6/6 (100%);11/15 (73%);19;19;38;28;28;56;9;9;1;3;4;2;2;4;0;1;1;0;2;2;6;5;11;4;10;14;10/32 (31%);9/20 (45%);19/52 (37%);12/24 (50%);15/33 (45%);27/57 (47%);1;4;5;0;0;0;208;155;363;256;221;477;;;130;;;145;;;;;;;5;3;8;6;5;11;4;1;5;1;4;5;2;3;5;4;3;7;2;2;4;0;4;4;7;5;12;8;13;21;7;5;12;6;9;15;0;2;2;0;0;0;1;2019-08-09;-6;-17;-4;18;22;11;11;19;11;9;45;-9;56;35;45;23;6;-36;-49;-31;-28;46;12;14;14;56;41;33;45;-42;-11;-5;-2;10;-1;6;46;25;20;56;16.0;13;11;65;64;21;36;26;12;26;13;38;63;41;53;34;20;17;12;6;-29;-60;-37;-24;-11;16;18;10;17;15;55;76;68;54;37;22;14;-7;27;-1;4;38;30;27;14;37;33;11;-12;11;15;-43.0;4;17:00:00;1;NOR;LIV
WES X MCI 2019-08-10;249 (86%);224 (87%);473 (86%);190 (82%);135 (78%);325 (81%);8;9;17;12;6;18;56%;60%;58%;44%;40%;42%;1;0;1;0;2;2;1;4;5;0;2;2;2;0;2;0;0;0;9;4;13;7;2;9;1;0;1;0;1;1;0;3;3;0;0;0;1/2 (50%);1/4 (25%);2/6 (33%);0/5 (0%);1/7 (14%);1/12 (8%);8/11 (73%);5/7 (71%);13/18 (72%);6/10 (60%);2/2 (100%);8/12 (67%);29;25;54;34;23;57;13;6;1;2;3;3;1;4;;;;;;;6;7;13;5;4;9;14/24 (58%);14/20 (70%);28/44 (64%);20/32 (63%);5/15 (33%);25/47 (53%);2;2;4;1;1;2;290;257;547;231;172;403;;;114;;;129;;;;;;;5;5;10;1;3;4;2;1;3;0;2;2;4;5;9;1;2;3;3;1;4;0;1;1;12;6;18;8;10;18;8;6;14;1;4;5;0;2;2;0;2;2;5;2019-08-10;6;3;-51;-29;-18;-3;15;-19;-19;-16;-31;3;-31;-47;-24;-23;-3;-59;-30;-17;-38;-21;1;-6;-2;10;11;12;28;45;10;-42;-28;-1;-30;-37;-24;16;10;11;;-8;-13;-15;-17;-2;-100;-84;-85;-54;-81;-43;27;4;-4;6;-3;1;46;25;7;5;5;-2;2;1;2;-3;2;2;23;52;33;-28;-4;-9;-3;4;20;8;9;11;15;-55;-30;-32;-18;14;9;7;4;7.0;0;09:30:00;-1;MCI;WES
BOU X SHE 2019-08-10;133 (69%);199 (84%);332 (78%);243 (81%);141 (76%);384 (79%);12;9;21;10;4;14;40%;56%;48%;60%;44%;52%;1;2;3;0;1;1;1;3;4;0;2;2;1;0;1;0;3;3;7;9;16;6;7;13;1;3;4;1;2;3;;;;;;;2/6 (33%);2/12 (17%);4/18 (22%);0/5 (0%);2/9 (22%);2/14 (14%);2/5 (40%);4/10 (40%);6/15 (40%);4/6 (67%);4/11 (36%);8/17 (47%);22;27;49;28;28;56;19;10;0;2;2;2;0;2;;;;;;;10;4;14;7;6;13;12/46 (26%);15/33 (45%);27/79 (34%);10/27 (37%);10/31 (32%);20/58 (34%);1;0;1;1;0;1;192;236;428;299;186;485;;;145;;;151;;;;;;;1;2;3;1;6;7;1;3;4;3;4;7;2;1;3;0;3;3;3;2;5;2;4;6;4;10;14;6;12;18;4;4;8;3;10;13;0;1;1;1;1;2;1;2019-08-10;-10;16;6;2;-2;-6;6;18;12;10;7;-52;4;-45;-20;-12;-6;19;57;37;26;25;-26;17;10;10;18;14;13;11;1;1;15;-12;9;6;-10;-45;-32;25;-3.0;-9;-36;-82;-46;-4;-58;-30;-11;3;-3;3;19;20;15;46;33;28;16;59;100;58;38;13;-12;-36;-25;28;-20;-15;-13;-10;-37;-20;-16;21;5;55;26;34;14;-31;-22;-20;-14;-27;-15;-25;-59;30;-34;23.0;1;12:00:00;0;SHE;BOU
BUR X SOU 2019-08-10;138 (65%);111 (61%);249 (63%);95 (52%);88 (59%);183 (55%);11;11;22;11;12;23;53%;55%;54%;47%;45%;46%;1;0;1;0;0;0;1;0;1;0;1;1;2;1;3;0;2;2;8;10;18;3;10;13;2;5;7;0;2;2;;;;;;;2/4 (50%);3/6 (50%);5/10 (50%);1/4 (25%);5/10 (50%);6/14 (43%);1/2 (50%);5/9 (56%);6/11 (55%);4/4 (100%);10/11 (91%);14/15 (93%);18;23;41;31;37;68;12;6;0;1;1;2;1;3;;;;;;;8;2;10;9;5;14;16/51 (31%);16/47 (34%);32/98 (33%);11/42 (26%);11/41 (27%);22/83 (27%);1;0;1;2;3;5;212;181;393;183;149;332;;;205;;;201;;;;;;;2;3;5;1;7;8;2;3;5;2;2;4;2;1;3;0;4;4;4;2;6;1;1;2;4;3;7;10;11;21;6;5;11;2;8;10;;;;;;;0;2019-08-10;-10;-40;-29;-17;-22;-15;-41;-23;-9;-10;14;-42;5;2;-6;-4;-1;-6;4;42;31;21;-38;13;5;3;-4;-7;-9;-10;-11;-11;-28;-15;-15;-7;-6;-9;-36;-36;17.0;14;35;24;41;-8;41;-33;-20;-28;-16;28;11;48;28;71;-3;-44;-4;-12;-5;40;25;28;10;14;7;2;68;44;41;38;15;52;23;-13;-5;-32;3;57;18;2;-76;-55;-41;-27;-20;-4;-11;-23;-30;-19.0;3;12:00:00;1;SOU;BUR
CRY X EVE 2019-08-10;223 (80%);178 (81%);401 (80%);76 (59%);85 (61%);161 (60%);9;9;18;14;16;30;69%;61%;65%;31%;39%;35%;2;0;2;0;1;1;2;0;2;0;1;1;3;1;4;3;1;4;8;10;18;15;6;21;2;0;2;3;3;6;0;0;0;0;1;1;3/13 (23%);0/4 (0%);3/17 (18%);1/7 (14%);0/7 (0%);1/14 (7%);3/9 (33%);2/5 (40%);5/14 (36%);4/5 (80%);4/7 (57%);8/12 (67%);23;30;53;34;37;71;14;16;0;2;2;1;1;2;;;;;;;6;8;14;5;5;10;15/32 (47%);18/32 (56%);33/64 (52%);4/27 (15%);8/21 (38%);12/48 (25%);0;0;0;1;3;4;279;221;500;129;139;268;;;169;;;166;0;1;1;0;0;0;5;2;7;3;3;6;2;1;3;0;0;0;1;2;3;0;2;2;1;2;3;0;0;0;6;8;14;11;10;21;6;4;10;3;3;6;0;3;3;1;1;2;0;2019-08-10;-9;-13;-7;-12;-20;-18;-42;31;2;-3;-3;-74;-43;-27;-31;-7;-10;-10;-12;-25;-14;-4;-57;-8;-9;-93;-66;-41;-23;-19;-11;-9;-28;-38;-17;-12;52;38;23;27;13.0;3;-7;-9;-11;-22;-13;-13;-32;-19;-45;-13;-11;52;80;50;-10;51;25;-37;-28;-20;-15;-12;-7;-4;-15;-4;-14;-11;-10;-27;-5;-5;5;20;17;5;-4;3;2;-5;-3;-8;-4;5;5;6;35;-6;19;-14.0;0;12:00:00;0;EVE;CRY
LEI X WOL 2019-08-11;117 (73%);85 (65%);202 (69%);306 (86%);258 (83%);564 (85%);10;12;22;8;16;24;31%;29%;30%;69%;71%;70%;0;1;1;1;0;1;0;1;1;1;0;1;0;2;2;2;3;5;10;23;33;7;5;12;1;2;3;3;9;12;0;1;1;0;0;0;0/2 (0%);2/4 (50%);2/6 (33%);3/11 (27%);4/18 (22%);7/29 (24%);6/11 (55%);6/9 (67%);12/20 (60%);4/8 (50%);12/20 (60%);16/28 (57%);25;30;55;29;42;71;13;3;0;1;1;0;2;2;;;;;;;6;3;9;2;5;7;15/26 (58%);12/36 (33%);27/62 (44%);8/21 (38%);10/18 (56%);18/39 (46%);0;1;1;0;0;0;161;130;291;354;311;665;;;146;;;164;;;;;;;0;5;5;1;2;3;2;2;4;5;5;10;0;2;2;0;1;1;2;1;3;6;7;13;7;12;19;9;11;20;2;6;8;7;9;16;1;1;2;0;0;0;0;2019-08-11;-2;16;44;26;30;20;17;14;55;58;41;8;31;36;32;20;44;-31;-6;-17;-7;33;-12;21;10;14;13;11;7;11;7;4;21;-13;38;7;3;8;10;42;2.0;36;-28;-3;-25;-2;-67;-100;-55;37;15;59;49;32;21;11;-1;-26;25;13;13;14;26;69;48;86;93;-1;60;37;41;53;34;32;26;47;31;21;9;63;42;27;22;26;39;29;25;21;32;6;80;16.0;0;11:00:00;0;WOL;LEI
WAT X BHA 2019-08-10;172 (76%);175 (81%);347 (79%);130 (76%);195 (81%);325 (79%);11;8;19;10;4;14;57%;48%;52%;43%;52%;48%;;;;;;;0;2;2;0;0;0;0;0;0;0;4;4;14;10;24;7;3;10;0;2;2;3;2;5;;;;;;;0/5 (0%);2/7 (29%);2/12 (17%);1/8 (13%);3/6 (50%);4/14 (29%);2/3 (67%);4/9 (44%);6/12 (50%);5/8 (63%);4/7 (57%);9/15 (60%);29;33;62;23;23;46;11;15;1;2;3;1;0;1;;;;;;;5;6;11;4;8;12;21/38 (55%);21/39 (54%);42/77 (55%);17/30 (57%);7/14 (50%);24/44 (55%);2;1;3;0;0;0;225;217;442;172;242;414;72;74;146;71;74;145;;;;;;;1;2;3;1;3;4;2;0;2;4;0;4;1;2;3;1;2;3;2;0;2;4;3;7;11;13;24;1;11;12;3;2;5;5;6;11;0;1;1;0;0;0;3;2019-08-10;7;-60;-2;-10;-39;-27;-19;-32;-20;-20;-11;44;6;-6;-13;-5;-1;-3;-1;1;1;-34;58;35;5;3;1;25;25;15;57;34;24;39;14;22;10;34;23;15;;1;-14;-8;-5;21;-3;-2;-1;-1;-18;30;19;50;53;44;22;21;13;6;3;2;-41;-49;-27;31;-21;8;-2;-10;-4;-6;-6;-5;-7;-58;-30;-14;-6;12;3;8;7;6;5;34;43;32;23;-6;29;16.0;0;12:00:00;-1;BHA;WAT
TOT X ASV 2019-08-10;104 (81%);96 (76%);200 (78%);289 (89%);237 (90%);526 (90%);7;5;12;2;8;10;29%;32%;30%;71%;68%;70%;0;0;0;1;2;3;1;0;1;1;3;4;1;0;1;0;10;10;15;24;39;3;3;6;0;0;0;4;10;14;1;0;1;0;0;0;1/6 (17%);1/2 (50%);2/8 (25%);2/14 (14%);4/24 (17%);6/38 (16%);2/3 (67%);2/5 (40%);4/8 (50%);5/14 (36%);6/11 (55%);11/25 (44%);32;26;58;17;30;47;9;13;1;2;3;3;0;3;;;;;;;6;3;9;2;3;5;14/24 (58%);7/25 (28%);21/49 (43%);18/25 (72%);12/19 (63%);30/44 (68%);0;0;0;1;0;1;129;127;256;323;264;587;;;95;;;131;;;;;;;4;0;4;3;14;17;0;2;2;6;8;14;4;0;4;1;6;7;1;2;3;4;10;14;16;13;29;6;11;17;5;2;7;7;24;31;0;0;0;0;1;1;1;2019-08-10;-4;-13;-2;8;10;29;25;23;56;33;19;20;14;-9;-20;-8;-1;34;23;18;27;6;16;2;6;34;11;14;38;32;-23;6;12;2;29;25;66;6;3;26;12.0;1;18;-18;29;45;18;42;38;47;40;26;57;52;40;29;47;46;31;25;20;24;59;38;23;26;17;43;55;36;35;100;98;63;81;53;73;79;46;79;99;65;45;29;11;90;49;6;-5;-53;10;4.0;3;14:30:00;1;ASV;TOT
NEW X ARS 2019-08-11;323 (89%);200 (79%);523 (85%);111 (71%);176 (80%);287 (76%);7;7;14;4;17;21;70%;54%;62%;30%;46%;38%;1;0;1;0;0;0;1;1;2;0;0;0;0;2;2;2;1;3;8;14;22;9;8;17;2;1;3;2;3;5;1;2;3;0;0;0;0/5 (0%);1/5 (20%);1/10 (10%);1/5 (20%);0/10 (0%);1/15 (7%);6/16 (38%);6/9 (67%);12/25 (48%);6/10 (60%);5/8 (63%);11/18 (61%);22;26;48;31;34;65;7;12;1;1;2;1;0;1;0;0;0;1;0;1;4;2;6;11;9;20;15/23 (65%);10/28 (36%);25/51 (49%);8/29 (28%);19/32 (59%);27/61 (44%);2;1;3;0;1;1;364;252;616;157;221;378;73;76;149;65;78;143;;;;;;;2;5;7;3;1;4;2;2;4;2;2;4;1;1;2;1;1;2;1;0;1;2;3;5;5;6;11;17;9;26;3;5;8;5;4;9;2;1;3;1;0;1;1;2019-08-11;-2;-13;-13;-17;11;-6;-9;-11;-5;43;17;-10;12;44;46;19;-30;-16;-16;20;2;-5;14;-13;-51;-36;-50;-45;-32;-24;-14;-3;2;1;24;10;5;2;-1;-3;;-81;-10;-5;-6;-5;8;12;15;-48;-24;-15;-15;42;-42;-40;8;-37;-33;-28;-18;-3;8;10;5;2;57;-10;32;18;4;-28;-20;-9;-6;-4;-1;-1;-12;5;6;12;7;34;20;24;15;26;28;-9;29;-8.0;0;11:00:00;-1;ARS;NEW
MUN X CHE 2019-08-11;231 (83%);211 (86%);442 (85%);181 (82%);182 (80%);363 (81%);3;6;9;5;8;13;56%;53%;54%;44%;47%;46%;0;1;1;0;0;0;0;1;1;1;2;3;1;3;4;1;3;4;6;5;11;10;9;19;1;4;5;1;2;3;0;0;0;0;3;3;1/8 (13%);3/11 (27%);4/19 (21%);1/7 (14%);3/7 (43%);4/14 (29%);5/11 (45%);8/13 (62%);13/24 (54%);11/14 (79%);3/6 (50%);14/20 (70%);25;33;58;29;26;55;13;15;1;0;1;3;4;7;2;0;2;0;0;0;7;8;15;8;4;12;9/20 (45%);6/18 (33%);15/38 (39%);15/28 (54%);13/25 (52%);28/53 (53%);0;0;0;1;1;2;277;246;523;222;227;449;71;62;133;68;72;140;;;;;;;3;6;9;3;4;7;4;3;7;2;0;2;3;4;7;2;3;5;5;4;9;2;2;4;11;10;21;7;9;16;8;10;18;5;6;11;1;3;4;0;3;3;0;2019-08-11;-5;13;12;-40;-24;-23;-16;-14;9;29;40;-8;30;20;46;32;23;22;25;10;4;-3;-20;-5;18;14;29;20;19;-56;-25;-20;-31;-57;-91;-54;-28;-12;18;15;-13.0;-11;-58;-41;-34;-38;-24;-12;-26;-14;39;20;7;-57;-42;-27;-63;-19;-12;5;29;11;1;45;54;26;11;-50;3;-34;-55;-30;-29;-29;-22;-2;4;25;-32;20;14;36;23;6;8;-50;-35;22;-27;33;-11;-30.0;4;13:30:00;1;CHE;MUN
