game;addedTime;confirmed;id;incidentClass;incidentType;isHome;player;time
WES X MCI 2019-08-10;;True;95;penaltyAwarded;varDecision;False;{'name': 'Sergio Agüero', 'slug': 'sergio-aguero', 'shortName': 'S. Agüero', 'position': 'F', 'userCount': 55578, 'id': 17094};85
WES X MCI 2019-08-10;;True;92;goalAwarded;varDecision;False;{'name': 'Raheem Sterling', 'slug': 'raheem-sterling', 'shortName': 'R. Sterling', 'position': 'F', 'userCount': 22277, 'id': 138534};76
WES X MCI 2019-08-10;;False;91;goalAwarded;varDecision;False;{'name': 'Gabriel Jesus', 'slug': 'gabriel-jesus', 'shortName': 'Gabriel', 'position': 'F', 'userCount': 21033, 'id': 794839};55
BOU X SHE 2019-08-10;;True;152;cardUpgrade;varDecision;False;{'name': 'John Fleck', 'slug': 'john-fleck', 'shortName': 'J. Fleck', 'position': 'M', 'userCount': 443, 'id': 27999};79
BOU X SHE 2019-08-10;;True;151;penaltyNotAwarded;varDecision;True;{'name': 'Joshua King', 'slug': 'joshua-king', 'shortName': 'J. King', 'position': 'F', 'userCount': 1559, 'id': 100621};60
BUR X SOU 2019-08-10;;True;98;cardUpgrade;varDecision;False;{'name': 'Che Adams', 'slug': 'che-adams', 'shortName': 'C. Adams', 'position': 'F', 'userCount': 377, 'id': 773409};30
BUR X SOU 2019-08-10;;True;96;goalNotAwarded;varDecision;True;{'name': 'Ashley Barnes', 'slug': 'ashley-barnes', 'shortName': 'A. Barnes', 'position': 'F', 'userCount': 709, 'id': 27028};17
CRY X EVE 2019-08-10;;True;153;cardUpgrade;varDecision;True;{'name': 'Luka Milivojević', 'slug': 'luka-milivojevic', 'shortName': 'L. Milivojević', 'position': 'M', 'userCount': 1615, 'id': 50294};36
LEI X WOL 2019-08-11;;False;128;goalAwarded;varDecision;False;{'name': 'Willy Boly', 'slug': 'willy-boly', 'shortName': 'W. Boly', 'position': 'D', 'userCount': 742, 'id': 139310};52
WAT X BHA 2019-08-10;;True;154;goalAwarded;varDecision;False;{'name': 'Neal Maupay', 'slug': 'neal-maupay', 'shortName': 'N. Maupay', 'position': 'F', 'userCount': 1060, 'id': 268903};78
WAT X BHA 2019-08-10;;True;155;penaltyNotAwarded;varDecision;True;{'name': 'Roberto Pereyra', 'slug': 'roberto-pereyra', 'shortName': 'R. Pereyra', 'position': 'M', 'userCount': 1420, 'id': 122701};60
TOT X ASV 2019-08-10;;True;107;cardUpgrade;varDecision;False;{'name': 'John McGinn', 'slug': 'john-mcginn', 'shortName': 'J. McGinn', 'position': 'M', 'userCount': 1169, 'id': 250223};61
TOT X ASV 2019-08-10;;True;106;penaltyNotAwarded;varDecision;False;{'name': 'John McGinn', 'slug': 'john-mcginn', 'shortName': 'J. McGinn', 'position': 'M', 'userCount': 1169, 'id': 250223};52
MUN X CHE 2019-08-11;;True;131;cardUpgrade;varDecision;False;{'name': 'Tammy Abraham', 'slug': 'tammy-abraham', 'shortName': 'T. Abraham', 'position': 'F', 'userCount': 22091, 'id': 610766};58
MUN X CHE 2019-08-11;;True;130;goalNotAwarded;varDecision;True;{'name': 'Marcus Rashford', 'slug': 'marcus-rashford', 'shortName': 'M. Rashford', 'position': 'F', 'userCount': 39634, 'id': 814590};35
MUN X CHE 2019-08-11;;True;129;penaltyAwarded;varDecision;True;{'name': 'Marcus Rashford', 'slug': 'marcus-rashford', 'shortName': 'M. Rashford', 'position': 'F', 'userCount': 39634, 'id': 814590};17
ARS X BUR 2019-08-17;1.0;True;164;goalNotAwarded;varDecision;True;{'name': 'Nacho Monreal', 'slug': 'nacho-monreal', 'shortName': 'N. Monreal', 'position': 'D', 'userCount': 1459, 'id': 17088};45
ASV X BOU 2019-08-17;;True;167;penaltyNotAwarded;varDecision;True;{'name': 'John McGinn', 'slug': 'john-mcginn', 'shortName': 'J. McGinn', 'position': 'M', 'userCount': 1169, 'id': 250223};48
BHA X WES 2019-08-17;;False;165;goalAwarded;varDecision;True;{'name': 'Leandro Trossard', 'slug': 'leandro-trossard', 'shortName': 'L. Trossard', 'position': 'M', 'userCount': 1234, 'id': 135666};29
EVE X WAT 2019-08-17;;True;166;penaltyNotAwarded;varDecision;False;{'name': 'Gerard Deulofeu', 'slug': 'gerard-deulofeu', 'shortName': 'G. Deulofeu', 'position': 'F', 'userCount': 3001, 'id': 96372};37
MCI X TOT 2019-08-17;4.0;False;173;goalAwarded;varDecision;True;{'name': 'Gabriel Jesus', 'slug': 'gabriel-jesus', 'shortName': 'Gabriel', 'position': 'F', 'userCount': 21033, 'id': 794839};90
