game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Blocked shots_away;Blocked shots_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
MCI X LIV 2014-08-25;441 (0%);506 (0%);8;7;47%;52%;4;1;7;6;1;0;46;34;7;13;1;3;;;1;1;508;586;;;;;4;4;11;9;;;15;13;1;1;1;2014-08-25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;17:00:00;1;LIV;MCI
MCI X TOT 2014-10-18;287 (76%);529 (86%);6;6;39%;61%;8;4;4;3;0;3;56;49;9;11;8;6;0;1;2;3;377;618;1;0;7;17;4;4;7;12;12;3;19;20;2;1;1;2014-10-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;09:45:00;1;TOT;MCI
NEW X CHE 2014-12-06;533 (85%);222 (71%);36;20;67%;33%;5;3;10;1;0;2;79;59;6;8;1;7;1;0;4;1;627;314;0;1;17;5;13;4;8;3;9;5;26;10;3;4;1;2014-12-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;10:45:00;1;CHE;NEW
CHE X MCI 2015-01-31;436 (80%);296 (71%);18;25;58%;42%;0;0;8;1;1;0;69;81;14;12;1;4;;;3;2;544;416;;;8;2;4;1;5;2;1;1;9;3;2;0;1;2015-01-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;15:30:00;0;MCI;CHE
ARS X ASV 2015-02-01;464 (85%);420 (83%);13;25;52%;48%;2;2;7;7;;;47;63;10;6;3;2;0;2;0;3;549;508;;;4;8;5;3;2;8;5;5;9;13;2;0;0;2015-02-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;11:30:00;1;ASV;ARS
LEI X CHE 2015-04-29;496 (81%);240 (69%);29;20;63%;37%;2;2;6;2;1;0;59;47;1;10;1;1;0;1;3;4;609;349;;;6;4;5;4;4;2;5;4;11;8;0;1;3;2015-04-29;-1.0;2.0;31.0;20.0;16.0;4.0;-6.0;-4.0;-3.0;-2.0;-21.0;-5.0;-13.0;50.0;24.0;14.0;9.0;5.0;-1.0;-25.0;-20.0;-47.0;-3.0;-33.0;-20.0;25.0;5.0;-24.0;-12.0;-15.0;-19.0;27.0;37.0;-2.0;19.0;49.0;16.0;4.0;-9.0;-7.0;75.0;-7.0;-10.0;-87.0;-88.0;5.0;-58.0;-35.0;-52.0;-36.0;-30.0;-21.0;-17.0;-7.0;-7.0;-8.0;3.0;-13.0;-32.0;-23.0;-48.0;-32.0;-53.0;-9.0;21.0;7.0;1.0;3.0;-23.0;-15.0;28.0;7.0;1.0;-3.0;-3.0;-6.0;-6.0;-100.0;-4.0;-77.0;-43.0;-28.0;-94.0;-49.0;-32.0;-27.0;-18.0;-13.0;-10.0;2.0;-8.0;-5.0;1;16:45:00;-1;CHE;LEI
SWA X LIV 2015-03-16;479 (85%);395 (82%);6;11;54%;46%;3;4;5;4;1;1;57;52;16;13;3;4;1;0;0;1;566;483;;;6;2;8;3;5;3;10;8;16;10;3;0;1;2015-03-16;5.0;3.0;3.0;3.0;26.0;18.0;-18.0;-1.0;-3.0;-10.0;-48.0;-51.0;-29.0;-15.0;-7.0;7.0;6.0;5.0;14.0;9.0;6.0;-34.0;-23.0;-16.0;37.0;16.0;11.0;45.0;33.0;23.0;10.0;47.0;46.0;-14.0;48.0;29.0;15.0;-33.0;-19.0;-3.0;-5.0;-3.0;8.0;-3.0;-3.0;8.0;3.0;3.0;-3.0;3.0;-2.0;-1.0;-22.0;-30.0;-64.0;-55.0;13.0;39.0;23.0;13.0;4.0;2.0;-3.0;-4.0;-44.0;-27.0;-92.0;13.0;-61.0;-38.0;-21.0;-9.0;3.0;-7.0;-33.0;-56.0;-35.0;-23.0;-28.0;-19.0;-11.0;-5.0;-4.0;4.0;-2.0;-1.0;-7.0;-4.0;-3.0;-3.0;-6.0;-50.0;0;18:00:00;-1;LIV;SWA
MCI X WBA 2015-03-21;147 (67%);707 (93%);7;11;23%;77%;0;12;2;9;;;34;43;5;6;13;0;1;2;3;2;221;761;1;0;3;23;3;15;0;16;0;20;3;43;;;0;2015-03-21;6.0;18.0;17.0;11.0;48.0;58.0;41.0;70.0;48.0;32.0;53.0;9.0;38.0;26.0;27.0;57.0;38.0;29.0;23.0;100.0;72.0;54.0;22.0;38.0;29.0;81.0;55.0;68.0;47.0;69.0;43.0;32.0;23.0;19.0;20.0;100.0;72.0;49.0;100.0;75.0;70.0;3.0;43.0;32.0;21.0;13.0;14.0;100.0;87.0;53.0;73.0;85.0;38.0;64.0;40.0;100.0;8.0;86.0;100.0;87.0;50.0;24.0;13.0;-17.0;-5.0;4.0;34.0;6.0;24.0;19.0;10.0;-62.0;-1.0;4.0;5.0;27.0;100.0;61.0;4.0;36.0;25.0;13.0;6.0;8.0;9.0;29.0;27.0;20.0;31.0;28.0;5.0;35.0;3;10:45:00;1;WBA;MCI
ASV X SWA 2015-03-21;403 (82%);260 (72%);15;21;58%;42%;2;4;9;4;1;0;55;53;9;13;3;4;;;7;1;494;360;;;7;10;1;5;6;3;2;2;9;12;;;1;2015-03-21;-6.0;3.0;10.0;4.0;-3.0;-2.0;-3.0;-4.0;-4.0;-4.0;-9.0;-11.0;-7.0;-11.0;-4.0;-4.0;-44.0;-48.0;-35.0;-23.0;-16.0;8.0;-9.0;9.0;3.0;-3.0;-3.0;38.0;18.0;4.0;-23.0;-38.0;-31.0;-13.0;-24.0;-20.0;-11.0;-10.0;-16.0;-15.0;-5.0;-6.0;6.0;7.0;-15.0;-11.0;-4.0;11.0;-5.0;-39.0;-92.0;-54.0;51.0;31.0;12.0;9.0;-49.0;2.0;-1.0;2.0;-9.0;-8.0;-28.0;-20.0;-15.0;-17.0;-8.0;-36.0;-7.0;-8.0;26.0;9.0;-25.0;-9.0;-25.0;-17.0;-10.0;-4.0;-24.0;35.0;20.0;6.0;-6.0;5.0;30.0;17.0;-46.0;-51.0;35.0;-4.0;-1.0;30.0;0;13:00:00;-1;SWA;ASV
STO X CRY 2015-03-21;225 (68%);317 (74%);23;32;44%;56%;3;5;4;8;1;0;60;69;14;15;3;1;1;0;;;331;426;;;9;10;6;8;3;4;3;7;12;17;4;3;2;2015-03-21;1.0;-35.0;-13.0;63.0;64.0;46.0;100.0;65.0;37.0;22.0;21.0;1.0;9.0;8.0;3.0;4.0;-6.0;-3.0;-3.0;-2.0;-2.0;-31.0;1.0;-24.0;-15.0;25.0;18.0;12.0;6.0;8.0;2.0;-26.0;-45.0;11.0;-28.0;-92.0;-55.0;-32.0;-17.0;-26.0;-75.0;-14.0;-26.0;-18.0;-4.0;7.0;12.0;7.0;-29.0;62.0;-29.0;-44.0;-24.0;-40.0;32.0;45.0;-5.0;63.0;35.0;31.0;14.0;13.0;28.0;20.0;19.0;64.0;81.0;1.0;99.0;62.0;39.0;22.0;16.0;7.0;5.0;4.0;3.0;3.0;1.0;-19.0;-48.0;-32.0;-13.0;32.0;16.0;14.0;5.0;13.0;12.0;-4.0;28.0;40.0;1;13:00:00;-1;CRY;STO
