game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Big chances missed_away;Big chances missed_home;Big chances_away;Big chances_home;Blocked shots_away;Blocked shots_home;Clearances_away;Clearances_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Crosses_away;Crosses_home;Dispossessed_away;Dispossessed_home;Dribbles_away;Dribbles_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Interceptions_away;Interceptions_home;Long balls_away;Long balls_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Tackles_away;Tackles_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
ARS X LEI 2017-08-11;167 (63%);538 (85%);18;18;30%;70%;0;3;2;4;0;8;;;4;9;;;;;;;;;48;69;12;9;6;0;;;;;;;3;5;263;632;;;5;15;3;9;3;10;1;12;;;6;27;1;0;3;2017-08-11;10;3;10;34;18;10;6;4;-1;45;30;15;22;20;19;-13;8;9;12;14;100;61;85;-81;-25;-14;-14;-42;-13;-7;-4;-7;2;46;7;4;48;30;24;-19;-25.0;83;45;29;20;-49;41;26;12;13;8;9;-60;-100;-54;-12;-85;-7;41;31;60;61;38;27;18;10;33;-51;69;35;23;20;12;51;43;23;15;31;-11;22;9;53;39;100;100;100;100;62;32.0;-5;19.0;20.0;4;16:45:00;1;LEI;ARS
WAT X LIV 2017-08-12;352 (74%);277 (70%);25;22;55%;45%;;;;;1;1;;;3;3;;;;;;;;;64;60;8;14;1;2;1;0;;;;;1;3;477;395;;;13;6;8;4;5;4;1;3;;;14;9;3;0;3;2017-08-12;8;57;39;28;21;15;7;1;-8;-12;-17;5;-15;-14;-13;-11;-5;9;-7;-12;-11;-11;-5;-79;-43;-21;79;39;24;15;9;37;-24;-3;-4;-5;17;2;-3;-3;-55.0;4;4;-7;-8;-4;-40;-25;-27;-22;-16;-15;-87;-54;-35;-100;-5;-82;-38;-13;-2;1;-29;-58;-38;-51;-33;-5;-21;-37;-83;-49;-25;-14;26;-20;-6;-3;3;-1;-2;1;3;4;4;-23;-14;-3;15.0;96;17.0;185.0;3;09:30:00;0;LIV;WAT
CHE X BUR 2017-08-12;241 (75%);446 (86%);22;17;39%;61%;;;0;2;1;7;;;5;8;;;;;;;;;46;41;11;16;4;2;1;0;;;;;1;2;320;521;0;2;8;7;4;6;5;6;2;12;;;10;19;3;5;3;2017-08-12;-2;17;12;4;6;8;-11;5;-2;-7;-7;5;-12;-13;-13;-7;-4;-82;-49;-29;-17;-34;5;-6;-3;-1;1;2;1;-20;-10;-8;-7;-6;-76;-41;33;8;-78;-34;10.0;-24;-2;37;27;-35;13;66;45;56;80;55;24;-29;-3;-2;-15;-22;35;24;88;56;74;37;-40;-11;70;-3;78;21;20;16;13;6;11;-64;-28;-16;6;47;27;7;4;4;-4;42;21;60;100.0;7;63.0;-25.0;2;12:00:00;-1;BUR;CHE
CRY X HUD 2017-08-12;199 (65%);304 (78%);16;18;44%;56%;;;;;0;3;;;9;12;;;;;;;;;56;79;19;7;4;4;;;;;;;2;0;306;391;;;7;10;3;7;6;4;3;4;;;9;14;3;1;3;2017-08-12;8;6;6;8;1;-2;-2;-3;7;-34;-17;12;-5;-43;-26;-16;-93;-59;-76;-81;-44;-11;-42;-7;-1;-17;-61;-38;-19;-8;4;61;47;-22;53;24;47;16;1;48;50.0;-3;-23;-14;-84;-14;-51;-31;-17;-6;-18;28;74;47;30;63;-2;39;27;39;19;5;4;-18;-8;-2;3;-22;7;8;7;6;11;38;25;37;74;-72;23;-19;-12;-10;49;82;53;28;19;4;-14.0;10;;20.0;0;12:00:00;-1;HUD;CRY
EVE X STO 2017-08-12;211 (72%);392 (79%);25;19;39%;61%;;;;;2;2;;;7;6;;;;;;;;;64;47;10;13;3;1;;;;;;;6;2;292;497;;;4;5;6;3;1;4;5;4;;;9;9;1;1;0;2017-08-12;1;-18;-33;-14;31;23;14;21;7;-6;-27;1;-6;38;28;20;22;16;35;26;22;19;1;51;33;24;18;16;7;-54;-28;-40;-22;-5;-11;-1;27;15;7;-27;80.0;-17;-40;-23;-13;-1;-15;-9;26;13;7;16;16;49;27;15;3;1;-18;13;37;30;26;18;11;5;4;2;68;47;29;18;12;-4;-26;20;1;-1;3;-1;19;6;-13;-5;-3;-3;-26;-10;-11.0;4;-1.0;-85.0;1;12:00:00;1;STO;EVE
SOU X SWA 2017-08-12;284 (78%);432 (83%);18;17;41%;59%;0;2;0;2;2;11;;;0;13;;;;;;;;;42;47;13;10;2;0;0;1;;;;;1;0;365;518;;;3;16;2;16;0;2;1;13;;;4;29;1;2;0;2017-08-12;0;-7;-32;-20;-13;-8;-2;2;1;6;44;52;33;26;51;32;12;36;60;57;41;31;35;43;21;14;6;3;5;13;60;34;48;16;32;21;17;3;-1;-8;10.0;-2;-32;-13;36;30;20;16;46;25;10;4;-2;5;11;11;18;14;20;49;41;18;5;5;4;4;6;29;32;37;50;34;24;17;13;40;40;85;16;52;29;38;50;23;12;14;8;4;29.0;14;19.0;60.0;0;12:00:00;0;SWA;SOU
WBA X BOU 2017-08-12;527 (86%);157 (65%);18;12;72%;28%;;;0;1;5;1;;;2;8;;;;;;;;;52;34;3;15;5;2;;;;;;;0;2;612;242;;;5;11;2;9;2;6;4;5;;;9;16;1;3;0;2017-08-12;1;57;32;16;2;-2;88;51;25;5;-12;1;-12;-14;-10;-12;26;5;26;9;-7;2;1;2;-2;78;44;48;46;20;-10;-2;-2;37;-8;24;5;21;10;4;-25.0;-28;-13;-10;-8;18;-6;-32;-20;19;44;26;42;43;47;18;7;4;-37;-28;-29;-23;-19;-15;-14;-10;-9;1;-18;-13;-15;-12;-10;-3;-4;22;9;2;-4;-3;-3;-6;-16;-52;-33;-12;53;24;8.0;27;-10.0;55.0;1;12:00:00;1;BOU;WBA
BHA X MCI 2017-08-12;691 (90%);130 (61%);13;13;79%;21%;;;;;5;2;;;10;3;;;;;;;;;35;38;9;6;2;3;1;0;;;;;1;6;768;213;;;7;4;5;2;4;2;8;2;;;14;6;2;0;2;2017-08-12;-6;-52;-35;-23;-18;-65;-46;-31;-23;-58;-35;-8;-25;-19;-21;-13;-11;-50;-28;-23;-20;-13;-10;-11;-13;-11;-5;-12;-41;-66;-41;-28;-19;-11;-13;-8;-7;-6;-6;-5;5.0;4;-12;-12;-14;-19;-15;-16;-39;-52;-30;-17;14;18;36;10;-24;49;22;30;15;3;-7;-50;-37;-37;-22;-55;-48;-68;-43;-27;-19;-12;-62;-35;-27;-22;-38;-20;19;-7;-2;-2;-7;-12;-13;-9;-6.0;-28;-9.0;-20.0;0;14:30:00;-1;MCI;BHA
NEW X TOT 2017-08-13;628 (89%);157 (64%);15;16;74%;26%;;;;;7;0;;;7;5;;;;;;;;;47;39;10;6;2;4;1;0;;;;;1;2;702;245;0;1;10;6;5;4;6;2;8;0;;;18;6;2;1;2;2017-08-13;10;-8;-8;-1;-5;-36;-47;-23;-19;-51;-35;6;-26;-23;-18;21;3;-5;-5;-12;-18;-15;3;23;30;22;12;6;25;-22;-37;-29;-23;2;-22;-17;-43;-15;-8;-6;-25.0;-38;-28;-16;-30;1;27;42;14;-66;-37;-30;-36;-26;-11;-12;35;-12;-12;-87;-57;-44;-72;-45;-23;-36;-23;19;-13;-85;-57;-39;-30;-30;-19;-18;-42;-19;-22;-10;41;19;12;40;47;34;20;51;27.0;-12;14.0;-30.0;0;10:30:00;-1;TOT;NEW
MUN X WES 2017-08-13;316 (80%);417 (85%);13;23;45%;55%;;;;;2;8;;;1;11;0;2;;;;;;;56;65;7;19;1;1;1;1;;;;;4;1;397;493;;;6;13;6;8;1;5;3;8;;;9;21;2;2;0;2017-08-13;10;14;15;42;34;27;42;75;76;49;72;-6;40;19;26;46;4;8;35;20;36;70;-9;48;33;18;1;83;54;37;28;18;-5;-3;-3;-6;-10;-7;8;5;;-37;-21;-16;-14;-5;22;7;6;80;44;21;9;6;-5;-6;6;-38;-22;-37;-21;31;53;32;56;33;18;-5;8;5;29;16;8;23;17;37;25;-28;29;-5;3;3;8;9;8;12;19;18;92.0;12;1.0;45.0;4;13:00:00;1;WES;MUN
