game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Big chances missed_away;Big chances missed_home;Big chances_away;Big chances_home;Blocked shots_away;Blocked shots_home;Clearances_away;Clearances_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Crosses_away;Crosses_home;Dispossessed_away;Dispossessed_home;Dribbles_away;Dribbles_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Interceptions_away;Interceptions_home;Long balls_away;Long balls_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Tackles_away;Tackles_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
MUN X LEI 2018-08-10;450 (83%);399 (82%);13;10;54%;46%;1;1;2;2;6;1;14;37;5;2;;;2/27 (7%);1/12 (8%);17;11;9/18 (50%);11/14 (79%);47;53;8;11;4;3;1;0;12;17;33/54 (61%);32/57 (56%);2;4;543;485;;;5;5;3;1;4;6;8;3;11/14 (79%);13/26 (50%);13;8;1;2;1;2018-08-10;6;-50;-35;-24;-18;-15;-47;-69;-36;-20;-10;40;-2;3;19;22;10;6;-6;-7;-11;-57;24;-100;-100;-86;-70;-49;-21;-16;-40;-53;-30;74;19;48;100;56;21;6;;8;6;7;-9;48;-5;11;14;2;8;3;4;38;19;18;45;-13;-2;-5;21;8;50;28;11;1;1;8;-3;-5;-4;-5;-6;-7;-89;-58;-70;81;-5;19;9;13;32;92;40;24;11;2;-7;-8;-64.0;-200.0;2;17:00:00;1;LEI;MUN
NEW X TOT 2018-08-11;467 (82%);268 (69%);21;33;60%;40%;3;1;5;2;3;5;43;17;5;3;;;7/17 (41%);3/12 (25%);10;15;4/9 (43%);16/28 (57%);62;75;12;11;1;3;0;2;10;21;28/63 (44%);29/73 (40%);0;1;573;387;;;12;9;7;8;5;2;3;6;16/27 (59%);10/15 (67%);15;15;2;2;2;2018-08-11;-22;-82;-47;89;30;22;5;-13;-15;-96;-59;-17;-37;-24;-19;-11;-19;-18;-18;-6;58;33;-3;-36;-8;-7;16;12;11;14;18;-29;-50;30;-1;-1;7;10;13;5;-12.0;3;1;63;28;9;5;-65;-23;-62;-100;-45;-93;-100;-83;-44;35;47;58;81;49;95;75;54;9;-13;-12;9;-15;-47;-26;-18;-15;-12;-9;64;72;37;-9;6;9;6;-4;-3;10;23;11;49;5;-100;4.0;-28.0;1;09:30:00;-1;TOT;NEW
BOU X CAR 2018-08-11;175 (61%);397 (79%);31;32;38%;62%;1;3;1;4;4;2;30;37;4;7;;;4/18 (22%);5/11 (45%);3;12;9/17 (53%);11/21 (52%);73;62;9;11;2;1;;;15;4;23/77 (30%);29/57 (51%);2;0;287;502;;;8;10;5;6;1;4;2;2;12/22 (55%);5/11 (45%);10;12;1;1;0;2018-08-11;-1;3;49;7;6;6;9;29;22;13;9;-6;6;1;-1;-1;60;35;10;8;12;36;-14;61;51;36;20;16;100;83;54;37;49;21;15;-15;-3;-48;-32;-28;2.0;-8;-2;3;3;13;6;57;36;50;32;21;7;6;36;86;13;9;-35;-20;26;11;-18;-31;-82;-59;-60;-17;-45;-25;-11;-16;-48;-23;-16;-2;5;17;4;14;13;100;69;38;21;65;28;-19;-2;4;-3.0;;2;12:00:00;1;CAR;BOU
FUL X CRY 2018-08-11;258 (74%);591 (88%);20;10;34%;66%;1;0;2;0;2;5;30;22;5;5;;;4/12 (33%);8/32 (25%);16;15;13/22 (59%);9/15 (60%);63;55;11;9;6;8;1;0;14;15;24/55 (43%);40/70 (57%);3;2;347;672;;;8;6;0;4;10;6;4;9;14/21 (67%);19/25 (76%);12;15;2;1;2;2018-08-11;1;45;13;8;15;100;22;15;56;35;15;8;41;31;18;15;13;17;47;23;15;10;1;7;-5;-43;-38;-53;-25;-10;5;32;28;76;43;73;-83;-19;-6;8;39.0;-2;-4;-42;-66;46;-34;-16;-7;3;-48;-4;9;-22;52;28;31;16;34;23;7;-82;47;5;13;12;17;21;-21;-4;5;13;44;46;-33;21;10;5;25;-8;3;3;2;3;4;4;4;4;4;-48;3.0;-24.0;0;12:00:00;-1;CRY;FUL
HUD X CHE 2018-08-11;582 (88%);281 (76%);17;22;63%;37%;1;1;3;1;6;1;21;13;5;2;;;5/11 (45%);6/23 (26%);21;7;17/21 (81%);6/11 (55%);53;60;8;9;1;1;1;2;9;16;29/52 (56%);46/87 (53%);1;2;658;372;;;10;4;3;4;4;1;3;2;6/12 (50%);21/25 (84%);13;6;1;2;3;2018-08-11;-3;21;5;-6;-12;-12;-12;-11;-11;-11;-11;-4;-22;44;17;9;24;9;29;51;69;54;-5;47;22;33;-27;-8;-87;-53;-9;33;70;-32;54;32;17;7;15;-69;12.0;-42;-35;-28;-45;-14;-23;-17;-13;-11;-8;-8;-8;-93;-61;-100;-7;-100;-64;-45;-33;-63;-68;-50;-46;-32;-23;-2;-13;14;8;32;46;29;100;81;47;27;83;28;4;-6;-8;-11;-98;-57;41;5;4;46;1.0;-34.0;0;12:00:00;-1;CHE;HUD
WAT X BHA 2018-08-11;297 (77%);328 (75%);24;16;47%;53%;0;2;0;2;1;5;26;11;2;8;;;4/15 (27%);7/20 (35%);15;11;9/11 (82%);8/14 (57%);60;55;16;10;3;0;;;17;11;40/79 (51%);34/79 (43%);3;0;385;437;;;5;12;5;9;0;5;1;7;11/17 (65%);11/17 (65%);6;19;2;2;0;2018-08-11;7;-11;51;55;53;63;73;29;13;16;7;6;29;64;6;-11;-5;-5;-5;57;35;23;6;16;12;10;23;13;100;71;44;40;22;-7;4;-5;-5;-9;-9;-25;59.0;127;69;46;76;-1;43;12;3;-16;69;30;11;10;8;4;-1;1;-4;2;2;-7;-2;-30;-19;-10;-4;1;59;18;-52;-34;-10;-3;2;46;-59;39;1;8;6;26;21;11;8;6;3;3;3;-37;100.0;20.0;2;12:00:00;1;BHA;WAT
WOL X EVE 2018-08-11;307 (75%);452 (83%);24;21;43%;57%;0;1;1;2;0;2;28;23;6;3;;;3/15 (20%);5/25 (20%);8;14;2/7 (29%);9/18 (50%);55;50;7;8;2;3;;;11;9;22/68 (32%);35/69 (51%);3;2;409;547;1;0;7;3;3;5;5;4;1;8;15/23 (65%);7/13 (54%);8;11;1;0;2;2018-08-11;-15;-28;-58;-33;-19;15;16;13;-43;-62;-34;-52;-17;-6;25;57;33;19;10;4;-1;-1;-29;-1;-1;-1;-24;-31;-29;-15;-6;53;64;-5;44;43;27;14;8;81;-70.0;2;2;3;-7;3;-36;-23;-14;-7;-2;2;4;4;53;-91;40;59;15;3;-1;-6;-2;-36;-14;-86;-49;30;-27;-40;-13;49;40;27;53;30;67;45;22;32;100;74;34;23;15;3;6;16;11;8;2.0;37.0;2;14:30:00;0;EVE;WOL
LIV X WES 2018-08-12;297 (83%);606 (90%);10;7;36%;64%;0;2;0;5;1;3;20;8;4;5;;;2/12 (17%);7/21 (33%);11;15;7/15 (47%);7/15 (47%);54;38;9;14;4;2;;;11;9;27/54 (50%);31/43 (72%);3;5;360;673;;;4;13;2;7;2;8;1;5;14/23 (61%);14/19 (74%);5;18;2;1;0;2018-08-12;4;11;35;12;16;-22;8;8;-7;23;19;33;100;65;33;18;9;71;40;58;-65;-13;28;-9;-34;-17;6;6;18;18;75;69;46;18;100;69;52;23;12;1;57.0;1;-2;-2;-10;19;-78;-49;-11;82;44;37;33;22;6;9;34;10;11;36;38;74;53;56;35;31;79;22;59;80;40;42;20;-15;6;4;72;48;16;30;17;15;9;10;6;9;8;1;100;13;-3.0;24.0;4;10:30:00;1;WES;LIV
SOU X BUR 2018-08-12;311 (76%);280 (76%);28;25;53%;47%;2;1;2;1;4;9;35;31;5;8;1;0;3/20 (15%);8/20 (40%);8;3;3/11 (27%);8/14 (57%);50;57;9;10;3;6;;;5;4;36/69 (52%);25/61 (41%);5;2;408;369;;;10;9;6;6;6;3;6;9;7/9 (78%);7/16 (44%);16;18;1;0;0;2018-08-12;-17;-21;-38;-86;-78;-72;-40;-15;48;100;63;-33;50;6;2;-14;-36;-21;-9;14;5;5;-64;19;16;15;5;-4;-20;-23;-23;23;28;-42;40;13;29;2;-23;-12;-19.0;-13;-14;-15;-100;-45;-100;-100;-93;-72;-36;-65;-41;-33;-2;2;-82;-4;34;14;9;7;14;11;44;24;26;-46;58;56;90;60;100;58;35;29;30;75;-49;46;29;17;16;-47;-22;18;9;65;47;-32;89.0;-13.0;0;10:30:00;0;BUR;SOU
ARS X MCI 2018-08-12;467 (84%);320 (80%);8;14;58%;42%;2;1;2;1;4;2;9;23;9;2;1;0;1/15 (7%);1/12 (8%);16;4;9/15 (60%);5/7 (71%);34;54;14;11;3;6;;;12;12;25/52 (48%);29/53 (55%);2;7;555;401;;;8;5;5;4;8;3;9;4;5/6 (83%);14/22 (64%);17;9;2;2;2;2018-08-12;9;-85;-55;-20;-10;-33;-79;-45;-67;-43;-26;21;-13;-11;-34;-18;-11;-9;-11;-22;-16;-100;65;-100;-71;-44;-29;-9;5;-4;-4;-5;-10;47;-5;-7;-7;-31;-23;-35;68.0;-23;-9;-39;-34;40;-26;-32;-12;-14;-8;-16;27;-13;-26;-15;20;-28;-17;-3;14;-84;-82;-31;46;15;16;8;23;13;34;91;41;10;28;47;25;26;-20;17;4;-10;-10;-30;-34;-24;-38;-65;-24;-34;-14.0;19.0;0;13:00:00;-1;MCI;ARS
