game;name;slug;shortName;id;national;team_name;team_id;goals;goalAssist;totalTackle;totalPass;totalDuels;minutesPlayed;position;rating;shotsOnTarget;shotsOffTarget;shotsBlocked;totalContest;totalClearance;outfielderBlock;interceptionWon;challengeLost;accuratePass;keyPass;totalCross;totalLongBalls;dispossessed;wasFouled;fouls;saves;punches;runsOut;goodHighClaim;team
MCI X LIV 2014-08-25;Stevan Jovetić;manchester-city;S. Jovetić;37126;False;Manchester City;17;2;;0;35 (85%);5 (4);80';F;8.4;2;1;0;1 (1);0;0;3;;35 (85%);1;0 (0);1 (0);0;2;0;;;;;MCI
MCI X LIV 2014-08-25;Daniel Sturridge;liverpool;D. Sturridge;20963;False;Liverpool;44;;;1;18 (69%);10 (6);90';F;7.9;2;2;1;4 (3);1;0;0;;18 (69%);2;2 (1);1 (0);3;2;0;;;;;LIV
MCI X LIV 2014-08-25;Steven Gerrard;liverpool;S. Gerrard;701;False;Liverpool;44;;;3;61 (92%);4 (4);90';M;7.6;0;0;1;0 (0);2;0;1;;61 (92%);2;6 (1);6 (4);0;0;0;;;;;LIV
MCI X LIV 2014-08-25;Yaya Touré;manchester-city;Y. Touré;14468;False;Manchester City;17;;;2;85 (93%);8 (4);90';M;7.4;1;0;1;1 (1);0;0;0;;85 (93%);0;1 (0);3 (3);0;1;2;;;;;MCI
MCI X LIV 2014-08-25;Sergio Agüero;manchester-city;S. Agüero;17094;False;Manchester City;17;1;;0;8 (100%);1 (0);22';F;7.2;1;1;0;0 (0);0;0;0;;8 (100%);0;0 (0);1 (1);1;0;0;;;;;MCI
MCI X LIV 2014-08-25;Jordan Henderson;liverpool;J. Henderson;42694;False;Liverpool;44;;;3;54 (85%);4 (3);90';M;7.1;0;0;0;0 (0);1;0;1;1;54 (85%);1;3 (1);5 (3);0;0;0;;;;;LIV
MCI X LIV 2014-08-25;Joe Hart;manchester-city;J. Hart;16817;False;Manchester City;17;;;0;17 (81%);2 (2);90';G;7.1;0;0;0;0 (0);3;0;0;;17 (81%);0;0 (0);7 (3);0;0;0;3;3;0 (0);2;MCI
MCI X LIV 2014-08-25;Jesús Navas;manchester-city;J. Navas;11869;False;Manchester City;17;;1;1;13 (72%);2 (1);25';M;7.1;0;0;0;0 (0);0;0;0;;13 (72%);1;2 (0);3 (1);1;0;0;;;;;MCI
MCI X LIV 2014-08-25;Joe Allen;liverpool;J. Allen;20602;False;Liverpool;44;;;1;25 (86%);9 (4);75';M;6.9;0;0;1;3 (2);0;0;2;2;25 (86%);0;0 (0);1 (0);1;1;0;;;;;LIV
MCI X LIV 2014-08-25;Fernandinho;manchester-city;Fernandinho;13630;False;Manchester City;17;;;2;11 (91%);3 (2);10';M;6.9;0;0;0;1 (0);0;0;1;;11 (91%);1;0 (0);0 (0);0;0;0;;;;;MCI
MCI X LIV 2014-08-25;Samir Nasri;manchester-city;S. Nasri;3544;False;Manchester City;17;;1;1;69 (89%);11 (3);90';M;6.9;0;0;0;2 (1);0;0;0;1;69 (89%);3;4 (1);1 (1);3;1;2;;;;;MCI
MCI X LIV 2014-08-25;Gaël Clichy;manchester-city;G. Clichy;532;False;Manchester City;17;;;2;57 (78%);6 (4);90';D;6.9;0;0;0;1 (1);4;0;2;;57 (78%);1;2 (1);9 (2);0;0;1;;;;;MCI
MCI X LIV 2014-08-25;Raheem Sterling;liverpool;R. Sterling;138534;False;Liverpool;44;;;0;30 (85%);8 (4);79';F;6.8;0;1;0;4 (1);0;0;0;;30 (85%);2;2 (0);1 (1);0;3;1;;;;;LIV
MCI X LIV 2014-08-25;Lazar Marković;liverpool;L. Marković;98461;False;Liverpool;44;;;1;13 (86%);3 (2);30';F;6.8;0;0;0;1 (1);0;0;1;;13 (86%);1;1 (0);0 (0);1;0;0;;;;;LIV
MCI X LIV 2014-08-25;Fernando;manchester-city;Fernando;41837;False;Manchester City;17;;;2;61 (96%);8 (2);90';M;6.8;0;0;0;0 (0);2;0;1;1;61 (96%);0;0 (0);5 (4);2;0;3;;;;;MCI
