game;accuratePass;challengeLost;dispossessed;fouls;goalAssist;goals;goodHighClaim;id;interceptionWon;keyPass;minutesPlayed;name;national;outfielderBlock;position;punches;rating;runsOut;saves;shortName;shotsBlocked;shotsOffTarget;shotsOnTarget;slug;team;team_id;team_name;totalClearance;totalContest;totalCross;totalDuels;totalLongBalls;totalPass;totalTackle;wasFouled;wonTackle
ARS X LEI 2017-08-11;40 (78%);;1;1;;;;10577;3;2;90';Alex Oxlade-Chamberlain;False;0;M;;8.6;;;A. Oxlade-Chamberlain;2;2;2;arsenal;ARS;42;Arsenal;4;9 (8);7 (1);20 (15);9 (6);40 (78%);3;1;
ARS X LEI 2017-08-11;81 (81%);1;0;1;2;;;117777;1;5;90';Granit Xhaka;False;0;M;;8.5;;;G. Xhaka;2;1;1;arsenal;ARS;42;Arsenal;1;1 (1);6 (4);6 (2);15 (12);81 (81%);1;0;
ARS X LEI 2017-08-11;9 (81%);;0;0;;2;;173827;0;0;90';Jamie Vardy;False;0;F;;8.1;;;J. Vardy;0;0;2;leicester-city;LEI;31;Leicester City;0;1 (0);1 (0);9 (4);0 (0);9 (81%);1;1;
ARS X LEI 2017-08-11;19 (90%);2;2;2;;1;;50070;0;3;90';Alexandre Lacazette;False;0;F;;8.0;;;A. Lacazette;1;0;2;arsenal;ARS;42;Arsenal;1;1 (1);2 (1);14 (6);0 (0);19 (90%);2;2;
ARS X LEI 2017-08-11;70 (86%);1;3;0;;;;16176;0;6;90';Mesut Özil;False;0;F;;7.8;;;M. Özil;1;2;0;arsenal;ARS;42;Arsenal;1;2 (2);3 (0);9 (5);4 (3);70 (86%);1;2;
ARS X LEI 2017-08-11;59 (84%);;0;1;1;;;142148;1;1;90';Sead Kolašinac;False;0;D;;7.5;;;S. Kolašinac;0;0;1;arsenal;ARS;42;Arsenal;3;1 (1);2 (0);7 (6);3 (2);59 (84%);4;1;
ARS X LEI 2017-08-11;8 (72%);;0;0;;1;;23571;0;1;23';Aaron Ramsey;False;0;M;;7.5;;;A. Ramsey;0;3;1;arsenal;ARS;42;Arsenal;0;0 (0);0 (0);4 (4);0 (0);8 (72%);0;2;
ARS X LEI 2017-08-11;7 (87%);;0;0;;1;;39070;0;1;23';Olivier Giroud;False;0;F;;7.4;;;O. Giroud;0;0;1;arsenal;ARS;42;Arsenal;0;0 (0);0 (0);5 (4);0 (0);7 (87%);0;1;
ARS X LEI 2017-08-11;16 (76%);1;4;1;;1;;33902;1;2;75';Danny Welbeck;False;0;F;;7.4;;;D. Welbeck;2;0;1;arsenal;ARS;42;Arsenal;1;2 (2);0 (0);12 (5);0 (0);16 (76%);1;1;
ARS X LEI 2017-08-11;65 (90%);;2;0;1;;;159675;0;2;67';Mohamed Elneny;False;0;M;;7.2;;;M. Elneny;0;1;0;arsenal;ARS;42;Arsenal;1;0 (0);0 (0);7 (4);1 (1);65 (90%);4;0;
ARS X LEI 2017-08-11;10 (47%);1;2;3;;1;;19303;0;0;72';Shinji Okazaki;False;0;F;;7.1;;;S. Okazaki;0;1;1;leicester-city;LEI;31;Leicester City;0;1 (0);1 (0);16 (8);1 (1);10 (47%);1;1;
ARS X LEI 2017-08-11;54 (94%);;0;0;;;;17088;5;0;90';Nacho Monreal;False;0;D;;7.0;;;N. Monreal;0;0;0;arsenal;ARS;42;Arsenal;7;0 (0);0 (0);8 (5);4 (2);54 (94%);2;0;
ARS X LEI 2017-08-11;14 (77%);2;2;0;1;;;47737;0;2;88';Marc Albrighton;False;1;M;;6.9;;;M. Albrighton;0;0;0;leicester-city;LEI;31;Leicester City;2;1 (0);6 (2);9 (3);4 (3);14 (77%);1;2;
ARS X LEI 2017-08-11;11 (68%);;1;3;;;;54331;2;0;82';Matthew James;False;0;M;;6.8;;;M. James;0;0;0;leicester-city;LEI;31;Leicester City;2;0 (0);0 (0);9 (5);1 (1);11 (68%);4;0;
ARS X LEI 2017-08-11;49 (83%);;0;2;;;;793228;1;0;67';Rob Holding;False;0;D;;6.7;;;R. Holding;0;0;0;arsenal;ARS;42;Arsenal;10;0 (0);0 (0);8 (5);6 (3);49 (83%);1;2;
ARS X LEI 2017-08-11;17 (47%);;0;0;;;0;1076;0;0;90';Kasper Schmeichel;False;0;G;0;6.7;1 (1);6;K. Schmeichel;0;0;0;leicester-city;LEI;31;Leicester City;1;0 (0);0 (0);0 (0);36 (17);17 (47%);0;0;
ARS X LEI 2017-08-11;18 (72%);1;0;1;1;;;149380;2;1;90';Harry Maguire;False;3;D;;6.6;;;H. Maguire;0;0;0;leicester-city;LEI;31;Leicester City;4;2 (1);1 (0);9 (5);3 (1);18 (72%);2;0;
