game;addedTime;id;incidentClass;incidentType;isHome;player;playerName;reason;time
BAY X HSV 14-08-2015;;118337859;yellow;card;False;{'name': 'Emir Spahić', 'slug': 'emir-spahic', 'shortName': 'E. Spahić', 'position': 'D', 'userCount': 103, 'id': 11179};;Foul;35
BAY X HSV 14-08-2015;;118337837;yellow;card;False;{'name': 'Dennis Diekmeier', 'slug': 'dennis-diekmeier', 'shortName': 'D. Diekmeier', 'position': 'D', 'userCount': 53, 'id': 37627};;Foul;25
BAY X HSV 14-08-2015;;118337834;yellow;card;True;{'name': 'Jérôme Boateng', 'slug': 'jerome-boateng', 'shortName': 'J. Boateng', 'position': 'D', 'userCount': 4077, 'id': 19382};;Foul;18
BAY X HSV 14-08-2015;;118337828;yellow;card;True;{'name': 'Xabi Alonso', 'slug': 'xabi-alonso', 'shortName': 'X. Alonso', 'position': 'M', 'userCount': 787, 'id': 708};;Foul;12
MAI X ING 15-08-2015;;118338497;yellow;card;False;{'name': 'Konstantin Engel', 'slug': 'konstantin-engel', 'shortName': 'K. Engel', 'position': 'D', 'userCount': 10, 'id': 37273};;Foul;88
MAI X ING 15-08-2015;;118338449;yellow;card;True;{'name': 'Julian Baumgartlinger', 'slug': 'julian-baumgartlinger', 'shortName': 'J. Baumgartlinger', 'position': 'M', 'userCount': 334, 'id': 24006};;Foul;64
MAI X ING 15-08-2015;;118338435;yellow;card;False;{'name': 'Benjamin Hübner', 'slug': 'benjamin-hubner', 'shortName': 'B. Hübner', 'position': 'D', 'userCount': 261, 'id': 35921};;Foul;52
MAI X ING 15-08-2015;;118338406;yellow;card;False;{'name': 'Mathew Leckie', 'slug': 'mathew-leckie', 'shortName': 'M. Leckie', 'position': 'M', 'userCount': 188, 'id': 122570};;Foul;44
MAI X ING 15-08-2015;;118338383;yellow;card;True;{'name': 'Daniel Brosinski', 'slug': 'daniel-brosinski', 'shortName': 'D. Brosinski', 'position': 'D', 'userCount': 194, 'id': 26576};;Foul;39
AUG X BCS 15-08-2015;;118338473;yellow;card;True;{'name': 'Dominik Kohr', 'slug': 'dominik-kohr', 'shortName': 'D. Kohr', 'position': 'M', 'userCount': 265, 'id': 152206};;Foul;78
AUG X BCS 15-08-2015;;118338466;yellow;card;False;{'name': 'Sebastian Langkamp', 'slug': 'sebastian-langkamp', 'shortName': 'S. Langkamp', 'position': 'D', 'userCount': 72, 'id': 25552};;Handball;75
AUG X BCS 15-08-2015;;118338463;yellowRed;card;False;{'name': 'Roy Beerens', 'slug': 'roy-beerens', 'shortName': 'R. Beerens', 'position': 'F', 'userCount': 18, 'id': 10674};;Foul;66
AUG X BCS 15-08-2015;;118338439;yellow;card;False;{'name': 'Roy Beerens', 'slug': 'roy-beerens', 'shortName': 'R. Beerens', 'position': 'F', 'userCount': 18, 'id': 10674};;Foul;54
AUG X BCS 15-08-2015;2.0;118338407;yellowRed;card;True;{'name': 'Raúl Bobadilla', 'slug': 'raul-bobadilla', 'shortName': 'R. Bobadilla', 'position': 'F', 'userCount': 114, 'id': 26323};;Off the ball foul;45
AUG X BCS 15-08-2015;;118338351;yellow;card;False;{'name': 'Vladimír Darida', 'slug': 'vladimir-darida', 'shortName': 'V. Darida', 'position': 'M', 'userCount': 460, 'id': 109002};;Foul;18
