game;text;homeScore;awayScore;isLive;time;addedTime;incidentType
BAY X HSV 14-08-2015;FT;5;0;False;90;999;period
BAY X HSV 14-08-2015;HT;1;0;False;45;999;period
MAI X ING 15-08-2015;FT;0;1;False;90;999;period
MAI X ING 15-08-2015;HT;0;0;False;45;999;period
BLK X TSG 15-08-2015;FT;2;1;False;90;999;period
BLK X TSG 15-08-2015;HT;1;1;False;45;999;period
D98 X H96 15-08-2015;FT;2;2;False;90;999;period
SVW X S04 15-08-2015;FT;0;3;False;90;999;period
SVW X S04 15-08-2015;HT;0;1;False;45;999;period
DOR X BMG 15-08-2015;FT;4;0;False;90;999;period
DOR X BMG 15-08-2015;HT;3;0;False;45;999;period
WOB X SGE 16-08-2015;HT;2;1;False;45;999;period
STU X KOL 16-08-2015;FT;1;3;False;90;999;period
BCS X SVW 21-08-2015;FT;1;1;False;90;999;period
TSG X BAY 22-08-2015;FT;1;2;False;90;999;period
HSV X STU 22-08-2015;FT;3;2;False;90;999;period
HSV X STU 22-08-2015;HT;1;2;False;45;999;period
ING X DOR 23-08-2015;FT;0;4;False;90;999;period
WOB X S04 28-08-2015;FT;3;0;False;90;999;period
MAI X H96 29-08-2015;HT;2;0;False;45;999;period
D98 X TSG 29-08-2015;FT;0;0;False;90;999;period
STU X SGE 29-08-2015;FT;1;4;False;90;999;period
DOR X BCS 30-08-2015;FT;3;1;False;90;999;period
BMG X HSV 11-09-2015;HT;0;2;False;45;999;period
H96 X DOR 12-09-2015;FT;2;4;False;90;999;period
SGE X KOL 12-09-2015;FT;6;2;False;90;999;period
SGE X KOL 12-09-2015;HT;4;1;False;45;999;period
KOL X BMG 19-09-2015;FT;1;0;False;90;999;period
WOB X BCS 19-09-2015;FT;2;0;False;90;999;period
BAY X WOB 22-09-2015;FT;5;1;False;90;999;period
BMG X AUG 23-09-2015;FT;4;2;False;90;999;period
BMG X AUG 23-09-2015;HT;4;0;False;45;999;period
D98 X MAI 02-10-2015;FT;2;3;False;90;999;period
MAI X DOR 16-10-2015;FT;0;2;False;90;999;period
SGE X BMG 17-10-2015;FT;1;5;False;90;999;period
MAI X SVW 24-10-2015;HT;0;3;False;45;999;period
BLK X STU 24-10-2015;FT;4;3;False;90;999;period
AUG X MAI 31-10-2015;FT;3;3;False;90;999;period
WOB X SVW 21-11-2015;FT;6;0;False;90;999;period
DOR X STU 29-11-2015;FT;4;1;False;90;999;period
MAI X AUG 02-04-2016;HT;2;2;False;45;999;period
SVW X STU 02-05-2016;HT;3;1;False;45;999;period
