game;addedTime;id;incidentClass;incidentType;injury;isHome;playerIn;playerOut;time
BAY X HSV 14-08-2015;;118323701;;substitution;;True;{'name': 'Thiago Alcántara', 'slug': 'thiago-alcantara', 'shortName': 'T. Alcántara', 'position': 'M', 'userCount': 7354, 'id': 53825};{'name': 'Philipp Lahm', 'slug': 'philipp-lahm', 'shortName': 'P. Lahm', 'position': 'D', 'userCount': 706, 'id': 14920};72
BAY X HSV 14-08-2015;;118323697;;substitution;;False;{'name': 'Pierre-Michel Lasogga', 'slug': 'pierre-michel-lasogga', 'shortName': 'P. Lasogga', 'position': 'F', 'userCount': 190, 'id': 106269};{'name': 'Sven Schipplock', 'slug': 'sven-schipplock', 'shortName': 'S. Schipplock', 'position': 'F', 'userCount': 31, 'id': 26706};69
BAY X HSV 14-08-2015;;118323696;;substitution;;False;{'name': 'Marcelo Díaz', 'slug': 'marcelo-diaz', 'shortName': 'M. Díaz', 'position': 'M', 'userCount': 455, 'id': 26480};{'name': 'Ivo Iličević', 'slug': 'ivo-ilicevic', 'shortName': 'I. Iličević', 'position': 'M', 'userCount': 44, 'id': 9819};69
BAY X HSV 14-08-2015;;118323692;;substitution;;True;{'name': 'Mario Götze', 'slug': 'mario-gotze', 'shortName': 'M. Götze', 'position': 'F', 'userCount': 5046, 'id': 66518};{'name': 'Arjen Robben', 'slug': 'arjen-robben', 'shortName': 'A. Robben', 'position': 'M', 'userCount': 5414, 'id': 30037};65
BAY X HSV 14-08-2015;;118323688;;substitution;;False;{'name': 'Ivica Olić', 'slug': 'ivica-olic', 'shortName': 'I. Olić', 'position': 'F', 'userCount': 116, 'id': 11263};{'name': 'Albin Ekdal', 'slug': 'albin-ekdal', 'shortName': 'A. Ekdal', 'position': 'M', 'userCount': 300, 'id': 21992};61
BAY X HSV 14-08-2015;;118323683;;substitution;;True;{'name': 'Rafinha', 'slug': 'rafinha', 'shortName': 'Rafinha', 'position': 'D', 'userCount': 4654, 'id': 12634};{'name': 'Xabi Alonso', 'slug': 'xabi-alonso', 'shortName': 'X. Alonso', 'position': 'M', 'userCount': 787, 'id': 708};56
AUG X BCS 15-08-2015;;118324066;;substitution;;False;{'name': 'John Brooks', 'slug': 'john-brooks', 'shortName': 'J. Brooks', 'position': 'D', 'userCount': 354, 'id': 132149};{'name': 'Jens Hegeler', 'slug': 'jens-hegeler', 'shortName': 'J. Hegeler', 'position': 'M', 'userCount': 3, 'id': 33429};83
AUG X BCS 15-08-2015;;118324061;;substitution;;True;{'name': 'Sascha Mölders', 'slug': 'sascha-molders', 'shortName': 'S. Mölders', 'position': 'F', 'userCount': 38, 'id': 24933};{'name': 'Dominik Kohr', 'slug': 'dominik-kohr', 'shortName': 'D. Kohr', 'position': 'M', 'userCount': 265, 'id': 152206};82
AUG X BCS 15-08-2015;;118324036;;substitution;;False;{'name': 'Genki Haraguchi', 'slug': 'genki-haraguchi', 'shortName': 'G. Haraguchi', 'position': 'M', 'userCount': 350, 'id': 48243};{'name': 'Salomon Kalou', 'slug': 'salomon-kalou', 'shortName': 'S. Kalou', 'position': 'M', 'userCount': 1591, 'id': 10086};73
AUG X BCS 15-08-2015;;118324029;;substitution;;True;{'name': 'Philipp Max', 'slug': 'philipp-max', 'shortName': 'P. Max', 'position': 'D', 'userCount': 858, 'id': 142672};{'name': 'Markus Feulner', 'slug': 'markus-feulner', 'shortName': 'M. Feulner', 'position': 'M', 'userCount': 10, 'id': 1360};71
AUG X BCS 15-08-2015;;118323999;;substitution;;True;{'name': 'Caiuby', 'slug': 'caiuby', 'shortName': 'Caiuby', 'position': 'M', 'userCount': 52, 'id': 42483};{'name': 'Halil Altintop', 'slug': 'halil-altintop', 'shortName': 'H. Altintop', 'position': 'M', 'userCount': 33, 'id': 58};58
AUG X BCS 15-08-2015;;118323996;;substitution;;False;{'name': 'Nico Schulz', 'slug': 'nico-schulz', 'shortName': 'N. Schulz', 'position': 'D', 'userCount': 1211, 'id': 97925};{'name': 'Valentin Stocker', 'slug': 'valentin-stocker', 'shortName': 'V. Stocker', 'position': 'M', 'userCount': 104, 'id': 26286};57
BLK X TSG 15-08-2015;1.0;118324090;;substitution;;True;{'name': 'André Ramalho', 'slug': 'andre-ramalho', 'shortName': 'A. Ramalho', 'position': 'D', 'userCount': 219, 'id': 148155};{'name': 'Karim Bellarabi', 'slug': 'karim-bellarabi', 'shortName': 'K. Bellarabi', 'position': 'M', 'userCount': 613, 'id': 108574};90
BLK X TSG 15-08-2015;;118324060;;substitution;;False;{'name': 'Phillipp Ochs', 'slug': 'phillipp-ochs', 'shortName': 'P. Ochs', 'position': 'M', 'userCount': 52, 'id': 548090};{'name': 'Eugen Polański', 'slug': 'eugen-polanski', 'shortName': 'E. Polański', 'position': 'M', 'userCount': 47, 'id': 176};82
BLK X TSG 15-08-2015;;118324030;;substitution;;False;{'name': 'Mark Uth', 'slug': 'mark-uth', 'shortName': 'M. Uth', 'position': 'M', 'userCount': 751, 'id': 110508};{'name': 'Jonathan Schmid', 'slug': 'jonathan-schmid', 'shortName': 'J. Schmid', 'position': 'M', 'userCount': 500, 'id': 94856};72
BLK X TSG 15-08-2015;;118324005;;substitution;;True;{'name': 'Julian Brandt', 'slug': 'julian-brandt', 'shortName': 'J. Brandt', 'position': 'M', 'userCount': 6552, 'id': 226978};{'name': 'Heung-Min Son', 'slug': 'heung-min-son', 'shortName': 'H. M. Son', 'position': 'F', 'userCount': 21416, 'id': 111505};63
BLK X TSG 15-08-2015;;118324001;;substitution;;True;{'name': 'Admir Mehmedi', 'slug': 'admir-mehmedi', 'shortName': 'A. Mehmedi', 'position': 'F', 'userCount': 466, 'id': 37386};{'name': 'Lars Bender', 'slug': 'lars-bender', 'shortName': 'L. Bender', 'position': 'D', 'userCount': 401, 'id': 15800};60
BLK X TSG 15-08-2015;;118323998;;substitution;;False;{'name': 'Tobias Strobl', 'slug': 'tobias-strobl', 'shortName': 'T. Strobl', 'position': 'M', 'userCount': 108, 'id': 96490};{'name': 'Kevin Kurányi', 'slug': 'kevin-kuranyi', 'shortName': 'K. Kurányi', 'position': 'F', 'userCount': 11, 'id': 435};58
DOR X BMG 15-08-2015;;118324546;;substitution;;True;{'name': 'Sven Bender', 'slug': 'sven-bender', 'shortName': 'S. Bender', 'position': 'D', 'userCount': 634, 'id': 15802};{'name': 'Shinji Kagawa', 'slug': 'shinji-kagawa', 'shortName': 'S. Kagawa', 'position': 'M', 'userCount': 1891, 'id': 34853};85
