game;accuratePass;aerialDuels;challengeLost;disabled;dispossessed;fouls;goalAssist;goals;goodHighClaim;groundDuels;id;interceptionWon;keyPass;minutesPlayed;name;national;offsides;outfielderBlock;position;punches;rating;runsOut;saves;shortName;shotsBlocked;shotsOffTarget;shotsOnTarget;slug;team;team_id;team_name;totalClearance;totalContest;totalCross;totalDuels;totalLongBalls;totalPass;totalTackle;touches;wasFouled
BAY X HSV 14-08-2015;74 (93%);12 (10);;;0;1;;1;;6 (5);27068;2;0;90';Medhi Benatia;False;;0;D;;8.6;;;M. Benatia;0;0;1;bayern-munchen;BAY;2672;Bayern München;6;0 (0);0 (0);18 (15);3 (1);74 (93%);4;94;1
BAY X HSV 14-08-2015;47 (85%);2 (0);1;;1;3;1;1;;16 (7);47908;0;3;90';Douglas Costa;False;1;0;M;;8.5;;;D. Costa;1;2;1;bayern-munchen;BAY;2672;Bayern München;0;9 (5);6 (3);18 (7);1 (0);47 (85%);1;82;1
BAY X HSV 14-08-2015;22 (78%);0 (0);2;;2;0;;2;;10 (5);35166;0;0;90';Thomas Müller;False;;0;M;;8.2;;;T. Müller;0;1;2;bayern-munchen;BAY;2672;Bayern München;0;6 (5);0 (0);10 (5);1 (0);22 (78%);0;42;0
BAY X HSV 14-08-2015;14 (73%);5 (2);;;4;0;1;1;;11 (5);41789;0;2;90';Robert Lewandowski;False;2;0;F;;8.0;;;R. Lewandowski;1;2;1;bayern-munchen;BAY;2672;Bayern München;0;3 (1);0 (0);16 (7);1 (0);14 (73%);1;36;3
BAY X HSV 14-08-2015;120 (95%);8 (2);2;;0;2;;;;12 (9);18342;0;3;90';Arturo Vidal;False;;0;M;;8.0;;;A. Vidal;0;1;0;bayern-munchen;BAY;2672;Bayern München;0;0 (0);0 (0);20 (11);16 (14);120 (95%);5;138;4
BAY X HSV 14-08-2015;65 (89%);6 (2);1;;1;0;;;;6 (4);66492;1;2;90';David Alaba;False;;1;D;;7.5;;;D. Alaba;0;1;2;bayern-munchen;BAY;2672;Bayern München;0;2 (2);3 (1);12 (6);4 (3);65 (89%);1;97;1
BAY X HSV 14-08-2015;80 (86%);4 (3);;;0;1;;;;1 (0);19382;3;1;90';Jérôme Boateng;False;;0;D;;7.5;;;J. Boateng;0;2;1;bayern-munchen;BAY;2672;Bayern München;1;0 (0);0 (0);5 (3);12 (6);80 (86%);0;105;0
BAY X HSV 14-08-2015;64 (88%);2 (1);;;0;0;;;;3 (3);14920;0;1;72';Philipp Lahm;False;;0;D;;7.5;;;P. Lahm;1;0;0;bayern-munchen;BAY;2672;Bayern München;0;1 (1);1 (1);5 (4);4 (4);64 (88%);1;83;1
BAY X HSV 14-08-2015;79 (91%);0 (0);1;;0;2;1;;;3 (0);708;1;3;56';Xabi Alonso;False;;0;M;;7.5;;;X. Alonso;0;1;0;bayern-munchen;BAY;2672;Bayern München;0;0 (0);2 (2);3 (0);6 (3);79 (91%);0;91;0
BAY X HSV 14-08-2015;27 (93%);1 (0);;;0;0;1;;;3 (2);12634;0;1;34';Rafinha;False;;0;D;;7.2;;;Rafinha;0;0;1;bayern-munchen;BAY;2672;Bayern München;0;1 (0);3 (1);4 (2);4 (4);27 (93%);2;40;0
BAY X HSV 14-08-2015;27 (96%);0 (0);;;;0;;;1;0 (0);8959;0;0;90';Manuel Neuer;False;;0;G;0;7.1;0 (0);1;M. Neuer;0;0;0;bayern-munchen;BAY;2672;Bayern München;0;0 (0);0 (0);0 (0);5 (4);27 (96%);0;34;0
BAY X HSV 14-08-2015;26 (89%);0 (0);;;0;0;;;;1 (1);53825;0;1;18';Thiago Alcántara;False;;0;M;;6.8;;;T. Alcántara;0;0;0;bayern-munchen;BAY;2672;Bayern München;0;0 (0);0 (0);1 (1);2 (2);26 (89%);0;32;1
BAY X HSV 14-08-2015;30 (85%);3 (1);;;3;0;;;;7 (2);30037;0;1;65';Arjen Robben;False;;0;M;;6.7;;;A. Robben;0;1;0;bayern-munchen;BAY;2672;Bayern München;0;2 (0);2 (1);10 (3);1 (1);30 (85%);2;48;0
BAY X HSV 14-08-2015;15 (78%);8 (3);;;1;2;;;;7 (3);26706;3;1;69';Sven Schipplock;False;;0;F;;6.7;;;S. Schipplock;0;1;0;hamburger-sv;HSV;2676;Hamburger SV;1;1 (0);0 (0);15 (6);0 (0);15 (78%);0;31;3
BAY X HSV 14-08-2015;18 (66%);1 (0);1;;0;1;;;;8 (5);31921;1;0;90';Lewis Holtby;False;;0;M;;6.6;;;L. Holtby;0;0;1;hamburger-sv;HSV;2676;Hamburger SV;0;2 (1);0 (0);9 (5);8 (2);18 (66%);3;38;1
BAY X HSV 14-08-2015;3 (42%);1 (1);;;0;0;;;;2 (2);26480;0;0;21';Marcelo Díaz;False;;0;M;;6.6;;;M. Díaz;0;0;0;hamburger-sv;HSV;2676;Hamburger SV;1;1 (1);0 (0);3 (3);2 (1);3 (42%);1;10;0
BAY X HSV 14-08-2015;9 (42%);11 (6);6;;3;0;;;;14 (5);111483;2;2;90';Michael Gregoritsch;False;;0;F;;6.5;;;M. Gregoritsch;0;1;0;hamburger-sv;HSV;2676;Hamburger SV;1;0 (0);0 (0);25 (11);1 (0);9 (42%);4;38;1
BAY X HSV 14-08-2015;6 (85%);5 (0);1;;0;1;;;;2 (0);11263;0;1;29';Ivica Olić;False;;0;F;;6.5;;;I. Olić;1;0;0;hamburger-sv;HSV;2676;Hamburger SV;1;0 (0);0 (0);7 (0);1 (0);6 (85%);0;10;0
BAY X HSV 14-08-2015;4 (80%);2 (2);;;1;1;;;;2 (0);106269;0;0;21';Pierre-Michel Lasogga;False;;0;F;;6.4;;;P. Lasogga;0;0;0;hamburger-sv;HSV;2676;Hamburger SV;0;0 (0);0 (0);4 (2);0 (0);4 (80%);0;7;0
BAY X HSV 14-08-2015;17 (89%);0 (0);;;3;1;;;;6 (2);66518;0;1;25';Mario Götze;False;;0;M;;6.4;;;M. Götze;0;0;0;bayern-munchen;BAY;2672;Bayern München;0;2 (2);0 (0);6 (2);0 (0);17 (89%);0;30;0
BAY X HSV 14-08-2015;9 (75%);2 (2);1;;1;2;;;;6 (2);21992;3;0;61';Albin Ekdal;False;;0;M;;6.4;;;A. Ekdal;0;0;0;hamburger-sv;HSV;2676;Hamburger SV;1;1 (1);0 (0);8 (4);0 (0);9 (75%);0;20;1
BAY X HSV 14-08-2015;13 (72%);1 (1);2;;1;1;;;;11 (6);288439;1;0;90';Gideon Jung;False;;0;M;;6.3;;;G. Jung;0;0;0;hamburger-sv;HSV;2676;Hamburger SV;1;3 (2);0 (0);12 (7);4 (2);13 (72%);2;31;3
BAY X HSV 14-08-2015;8 (57%);1 (1);;;0;1;;;;8 (6);37627;3;0;90';Dennis Diekmeier;False;;1;D;;6.3;;;D. Diekmeier;0;1;0;hamburger-sv;HSV;2676;Hamburger SV;3;3 (2);0 (0);9 (7);2 (0);8 (57%);3;39;1
BAY X HSV 14-08-2015;13 (81%);3 (1);2;;2;0;;;;5 (0);9819;2;0;69';Ivo Iličević;False;;0;F;;6.1;;;I. Iličević;0;0;0;hamburger-sv;HSV;2676;Hamburger SV;0;1 (0);1 (0);8 (1);2 (1);13 (81%);0;25;0
BAY X HSV 14-08-2015;13 (65%);1 (1);1;;1;1;;;;7 (4);536;1;0;90';Johan Djourou;False;;0;D;;6.1;;;J. Djourou;0;0;0;hamburger-sv;HSV;2676;Hamburger SV;8;0 (0);0 (0);8 (5);7 (2);13 (65%);4;35;0
BAY X HSV 14-08-2015;14 (66%);6 (4);1;;0;2;;;;7 (4);11179;0;0;90';Emir Spahić;False;;1;D;;6.0;;;E. Spahić;0;0;0;hamburger-sv;HSV;2676;Hamburger SV;9;0 (0);0 (0);13 (8);6 (1);14 (66%);4;36;0
BAY X HSV 14-08-2015;22 (64%);0 (0);1;;;0;;;0;1 (0);230;0;0;90';René Adler;False;;0;G;1;5.8;0 (0);4;R. Adler;0;0;0;hamburger-sv;HSV;2676;Hamburger SV;1;0 (0);0 (0);1 (0);21 (9);22 (64%);0;39;0
BAY X HSV 14-08-2015;5 (33%);1 (0);;;1;0;;;;5 (3);95323;2;0;90';Matthias Ostrzolek;False;;0;D;;5.0;;;M. Ostrzolek;0;0;0;hamburger-sv;HSV;2676;Hamburger SV;2;1 (0);1 (0);6 (3);8 (2);5 (33%);3;37;0
MAI X ING 15-08-2015;10 (58%);6 (6);;;0;2;;;;4 (3);35921;2;0;90';Benjamin Hübner;False;;1;D;;7.5;;;B. Hübner;0;1;1;ingolstadt;ING;5880;Ingolstadt;6;0 (0);0 (0);10 (9);7 (3);10 (58%);2;36;2
MAI X ING 15-08-2015;54 (84%);10 (7);;;0;0;;;;4 (4);8956;2;0;90';Niko Bungert;False;;1;D;;7.5;;;N. Bungert;0;0;0;1-fsv-mainz-05;MAI;2556;1. FSV Mainz 05;8;0 (0);0 (0);14 (11);10 (5);54 (84%);4;80;0
MAI X ING 15-08-2015;48 (69%);17 (12);;;0;0;;;;2 (2);106662;4;0;90';Stefan Bell;False;;0;D;;7.4;;;S. Bell;0;0;0;1-fsv-mainz-05;MAI;2556;1. FSV Mainz 05;9;0 (0);0 (0);19 (14);18 (5);48 (69%);2;89;1
MAI X ING 15-08-2015;21 (75%);6 (5);1;;0;0;;;;5 (3);8903;5;0;90';Marvin Matip;False;;0;D;;7.4;;;M. Matip;0;0;0;ingolstadt;ING;5880;Ingolstadt;7;3 (2);1 (0);11 (8);6 (4);21 (75%);1;47;1
MAI X ING 15-08-2015;17 (63%);15 (4);;;4;2;;;;11 (7);122570;0;2;90';Mathew Leckie;False;1;0;F;;7.3;;;M. Leckie;1;1;0;ingolstadt;ING;5880;Ingolstadt;1;4 (4);2 (1);26 (11);0 (0);17 (63%);0;45;3
MAI X ING 15-08-2015;18 (62%);8 (4);;;1;2;1;;;9 (6);95153;2;1;90';Alfredo Morales;False;1;0;M;;7.3;;;A. Morales;0;0;0;ingolstadt;ING;5880;Ingolstadt;3;4 (3);1 (0);17 (10);2 (1);18 (62%);1;51;3
