game;addedTime;assist1;awayScore;homeScore;id;incidentClass;incidentType;isHome;player;time
BAY X BLK 18-08-2017;;{'name': 'Julian Brandt', 'slug': 'julian-brandt', 'shortName': 'J. Brandt', 'position': 'M', 'userCount': 6552, 'id': 226978};1;3;121612816;regular;goal;False;{'name': 'Admir Mehmedi', 'slug': 'admir-mehmedi', 'shortName': 'A. Mehmedi', 'position': 'F', 'userCount': 466, 'id': 37386};65
BAY X BLK 18-08-2017;;;0;3;121612815;penalty;goal;True;{'name': 'Robert Lewandowski', 'slug': 'robert-lewandowski', 'shortName': 'R. Lewandowski', 'position': 'F', 'userCount': 62994, 'id': 41789};52
BAY X BLK 18-08-2017;;{'name': 'Arturo Vidal', 'slug': 'arturo-vidal', 'shortName': 'A. Vidal', 'position': 'M', 'userCount': 18485, 'id': 18342};0;2;121612814;regular;goal;True;{'name': 'Corentin Tolisso', 'slug': 'corentin-tolisso', 'shortName': 'C. Tolisso', 'position': 'M', 'userCount': 4292, 'id': 343067};18
BAY X BLK 18-08-2017;;{'name': 'Sebastian Rudy', 'slug': 'sebastian-rudy', 'shortName': 'S. Rudy', 'position': 'M', 'userCount': 851, 'id': 35680};0;1;121612813;regular;goal;True;{'name': 'Niklas Süle', 'slug': 'niklas-sule', 'shortName': 'N. Süle', 'position': 'D', 'userCount': 2850, 'id': 168937};9
MAI X H96 19-08-2017;;{'name': 'Matthias Ostrzolek', 'slug': 'matthias-ostrzolek', 'shortName': 'M. Ostrzolek', 'position': 'D', 'userCount': 23, 'id': 95323};1;0;121616140;regular;goal;False;{'name': 'Martin Harnik', 'slug': 'martin-harnik', 'shortName': 'M. Harnik', 'position': 'F', 'userCount': 218, 'id': 16186};73
TSG X SVW 19-08-2017;;{'name': 'Ádám Szalai', 'slug': 'adam-szalai', 'shortName': 'Á. Szalai', 'position': 'F', 'userCount': 1186, 'id': 16776};0;1;121616097;regular;goal;True;{'name': 'Andrej Kramarić', 'slug': 'andrej-kramaric', 'shortName': 'A. Kramarić', 'position': 'F', 'userCount': 3874, 'id': 67647};84
HSV X AUG 19-08-2017;;{'name': 'Walace', 'slug': 'walace', 'shortName': 'Walace', 'position': 'M', 'userCount': 443, 'id': 553686};0;1;121616122;regular;goal;True;{'name': 'Nicolai Müller', 'slug': 'nicolai-muller', 'shortName': 'N. Müller', 'position': 'M', 'userCount': 90, 'id': 21394};8
BCS X STU 19-08-2017;;;0;2;121616099;regular;goal;True;{'name': 'Mathew Leckie', 'slug': 'mathew-leckie', 'shortName': 'M. Leckie', 'position': 'M', 'userCount': 188, 'id': 122570};62
BCS X STU 19-08-2017;;{'name': 'Vedad Ibišević', 'slug': 'vedad-ibisevic', 'shortName': 'V. Ibišević', 'position': 'F', 'userCount': 796, 'id': 16189};0;1;121616098;regular;goal;True;{'name': 'Mathew Leckie', 'slug': 'mathew-leckie', 'shortName': 'M. Leckie', 'position': 'M', 'userCount': 188, 'id': 122570};46
WOB X DOR 19-08-2017;;{'name': 'Christian Pulišić', 'slug': 'christian-pulisic', 'shortName': 'C. Pulišić', 'position': 'M', 'userCount': 20527, 'id': 817957};3;0;121616129;regular;goal;False;{'name': 'Pierre-Emerick Aubameyang', 'slug': 'pierre-emerick-aubameyang', 'shortName': 'P. Aubameyang', 'position': 'F', 'userCount': 40686, 'id': 51498};60
