game;length;time;addedTime;incidentType
BAY X BLK 18-08-2017;2;90;0;injuryTime
BAY X BLK 18-08-2017;1;45;0;injuryTime
MAI X H96 19-08-2017;3;90;0;injuryTime
HSV X AUG 19-08-2017;4;90;0;injuryTime
S04 X RBL 19-08-2017;5;90;0;injuryTime
BMG X KOL 20-08-2017;2;45;0;injuryTime
KOL X HSV 25-08-2017;13;90;0;injuryTime
KOL X HSV 25-08-2017;3;45;0;injuryTime
BMG X SGE 09-09-2017;6;90;0;injuryTime
SCF X DOR 09-09-2017;5;45;0;injuryTime
STU X WOB 16-09-2017;7;90;0;injuryTime
SCF X TSG 01-10-2017;4;45;0;injuryTime
BAY X KOL 13-12-2017;1;90;0;injuryTime
