game;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
BAY X TSG 24-08-2018;1;2018-08-24;10.0;-26;-12;34;22;33;29;23;10;16;11;24;16;22;23;58;100;72;48;34;20;45;52;39;70;47;30;10;-40;-22;-12;57;31;67;30;17;50;30;23;23;5.0;-5;-11;-59;-31;27;-18;-20;-15;7;4;36;24;31;17;-78;20;-95;-50;-55;-31;-2;12;11;15;24.0;33;15;24;19;17;13;10;40;33;33;26;-19;6;155;92;-91;45;18;5;37;73;-81.0;-33;2;47.0;222.0;3;16:30:00;1;TSG;BAY
DUS X AUG 25-08-2018;2;2018-08-25;-4.0;2;-28;-56;-59;-37;-24;-26;-53;-47;-100;-29;-61;-28;-6;8;39;19;-11;-11;-26;-52;-100;-40;-1;-1;6;25;20;73;40;24;14;-58;100;61;-51;-10;28;-32;;41;13;13;7;-100;8;3;18;4;4;14;9;-65;-89;-59;-58;-41;-1;12;44;19;9;2;-3;-12.0;15;-46;-15;-22;-9;-21;-52;-23;-33;-93;-53;-27;-23;-15;-13;7;-5;3;2;26;65;91.0;100;-10;68.0;106.0;1;11:30:00;-1;AUG;DUS
SCF X SGE 25-08-2018;2;2018-08-25;14.0;29;-98;-51;-22;-8;25;22;-13;-4;-7;6;-54;-27;57;64;50;32;14;-5;-6;-26;25;-29;-18;-11;-10;-5;-3;6;30;-33;-47;19;-25;-13;36;22;71;-58;-17.0;-28;36;23;17;45;8;28;-15;-2;3;39;18;6;1;11;100;8;46;32;23;24;9;-20;15;23.0;20;100;19;20;6;4;-44;-23;21;-43;-27;-6;95;37;26;48;-39;-4;-9;8;49;35.0;34;63;26.0;42.0;0;11:30:00;-1;SGE;SCF
BCS X NUR 25-08-2018;0;2018-08-25;1.0;-12;-9;-26;-13;-6;-1;2;3;47;27;1;27;43;62;29;-32;-9;-8;-8;40;57;1;33;13;-36;-18;18;4;-5;-5;-12;-34;-14;-13;-1;11;35;19;5;-73.0;2;20;14;18;-10;22;100;69;49;67;60;14;14;4;-84;-34;-80;-48;-23;-15;27;-46;-10;14;-21.0;-78;-24;-35;-33;-27;-37;-9;12;-5;-5;-14;-23;-19;-18;-18;-26;-24;-17;-88;-65;41;-5.0;-27;-14;-5.0;-18.0;1;11:30:00;1;NUR;BCS
SVW X H96 25-08-2018;1;2018-08-25;1.0;53;27;2;14;27;79;52;74;41;39;1;2;-6;9;62;57;39;28;35;-33;-36;1;-28;-32;41;49;-43;-15;10;-3;25;12;1;41;21;11;2;8;-27;-30.0;-18;-45;-22;-25;5;-14;11;-12;-6;-3;4;4;34;27;19;3;-36;16;3;-52;-29;-12;-6;-1;12.0;-21;1;-5;4;18;31;19;-14;-21;44;-43;-16;-20;-22;16;11;44;39;75;100;81;40.0;29;-8;7.0;125.0;1;11:30:00;0;H96;SVW
WOB X S04 25-08-2018;1;2018-08-25;4.0;17;49;50;34;17;-20;-50;-89;-52;-30;5;-15;-8;4;74;100;90;100;64;34;16;7;-15;68;48;29;100;79;-56;-6;-33;-24;7;-41;-5;8;-15;28;11;-17.0;-4;-36;-20;-10;21;29;11;-14;-6;-1;4;-18;45;19;8;19;7;18;30;21;57;37;24;35;14.0;-12;11;22;13;-17;-8;-10;-3;7;15;-9;1;-17;24;18;9;-17;-64;-80;-100;-61;-9.0;5;-12;14.0;68.0;2;11:30:00;1;S04;WOB
BMG X BLK 25-08-2018;0;2018-08-25;12.0;-19;-28;-10;8;-6;-18;-12;8;-5;-36;3;32;-10;-11;-7;-2;-4;29;33;37;42;1;23;10;3;-18;-8;-33;-19;35;12;100;-9;57;36;20;14;3;-23;-5.0;-17;30;6;-54;-5;-4;9;63;33;52;71;80;37;24;91;5;54;30;21;22;-33;-21;-19;-75;-19.0;-10;-45;99;58;-74;-55;-51;-30;-21;-64;-48;-52;-18;-52;-85;-41;-9;99;60;35;-33;11.0;30;-16;28.0;10.0;2;14:30:00;1;BLK;BMG
MAI X STU 26-08-2018;0;2018-08-26;-5.0;-26;-13;14;46;23;3;-56;-45;-6;37;-13;27;47;19;8;-2;-53;60;10;45;40;-12;40;33;64;32;15;29;4;-19;30;25;-58;15;-36;-16;15;-3;66;18.0;33;15;4;-5;-34;-36;-73;-45;-19;-4;18;15;10;11;22;-20;16;32;12;-12;-1;3;31;20;45.0;36;-10;25;20;14;12;50;38;30;98;52;32;-17;-35;-24;-15;-41;-55;-81;-55;-68;-71.0;-45;-11;-27.0;18.0;1;11:30:00;1;STU;
DOR X RBL 26-08-2018;1;2018-08-26;;23;11;-40;-12;-20;-12;-7;-1;-1;-44;-84;-13;22;100;61;51;9;-8;-54;-38;-68;-93;-91;-56;-28;-13;9;3;-9;-50;-27;-17;-52;-2;36;68;100;100;80;;47;27;10;35;46;43;-83;-92;-89;-37;41;45;15;70;42;12;10;-38;-23;-22;-18;-63;-73;-55;-70.0;-57;26;-36;-21;-20;-11;-26;-42;-31;-37;-17;-41;49;-31;-17;-14;-47;-29;-32;-89;-100;-89.0;-24;44;16.0;63.0;4;14:00:00;1;RBL;DOR
H96 X DOR 31-08-2018;0;2018-08-31;3.0;33;21;14;9;6;3;3;31;28;21;4;46;11;23;26;34;24;4;5;35;20;-22;3;3;2;-7;-11;-13;-10;-55;-34;-21;-5;-55;-32;-43;-28;-14;-52;-13.0;-16;-5;20;13;31;12;69;39;20;10;13;43;68;47;31;15;-28;-5;-30;-15;-6;6;6;-37;-12.0;-9;10;-15;-15;-12;-14;-27;21;7;13;42;65;9;52;34;21;25;1;-46;-59;-32;-14.0;-1;6;13.0;-5.0;0;16:30:00;0;DOR;H96
