game;accuratePass;aerialDuels;challengeLost;disabled;fouls;goalAssist;goals;goodHighClaim;groundDuels;id;interceptionWon;keyPass;minutesPlayed;name;national;offsides;outfielderBlock;position;possessionLost;punches;rating;runsOut;saves;shortName;shotsBlocked;shotsOffTarget;shotsOnTarget;slug;team;team_id;team_name;totalClearance;totalContest;totalCross;totalDuels;totalLongBalls;totalPass;totalTackle;touches;wasFouled
BAY X TSG 24-08-2018;65 (87%);1 (0);;;0;1;;;7 (5);259117;2;4;90';Joshua Kimmich;False;;0;D;18;;7.9;;;J. Kimmich;0;0;0;bayern-munchen;BAY;2672;Bayern München;2;1 (0);6 (3);8 (5);6 (4);65 (87%);2;106;3
BAY X TSG 24-08-2018;42 (87%);4 (2);1;;2;1;1;;10 (4);35166;0;3;90';Thomas Müller;False;;0;M;17;;7.9;;;T. Müller;0;0;1;bayern-munchen;BAY;2672;Bayern München;0;2 (1);1 (0);14 (6);3 (2);42 (87%);2;69;1
BAY X TSG 24-08-2018;12 (70%);4 (1);;;0;;1;;1 (1);41789;1;2;90';Robert Lewandowski;False;1;0;F;5;;7.5;;;R. Lewandowski;2;2;1;bayern-munchen;BAY;2672;Bayern München;0;0 (0);0 (0);5 (2);0 (0);12 (70%);0;26;1
BAY X TSG 24-08-2018;6 (50%);0 (0);;;0;;1;;2 (2);30037;0;0;45';Arjen Robben;False;1;0;M;8;;7.4;;;A. Robben;0;2;1;bayern-munchen;BAY;2672;Bayern München;0;0 (0);1 (0);2 (2);2 (1);6 (50%);1;20;1
BAY X TSG 24-08-2018;32 (91%);2 (2);1;;1;;;;7 (5);17100;1;1;67';Javi Martínez;False;;1;M;3;;7.3;;;J. Martínez;0;0;0;bayern-munchen;BAY;2672;Bayern München;2;0 (0);0 (0);9 (7);4 (4);32 (91%);4;45;1
BAY X TSG 24-08-2018;62 (87%);2 (1);1;;1;;;;8 (5);53825;3;0;90';Thiago Alcántara;False;;0;M;16;;7.1;;;T. Alcántara;2;0;0;bayern-munchen;BAY;2672;Bayern München;0;0 (0);5 (0);10 (6);9 (8);62 (87%);1;89;4
BAY X TSG 24-08-2018;11 (64%);5 (3);;;2;;1;;5 (1);16776;0;1;90';Ádám Szalai;False;1;0;F;9;;7.1;;;Á. Szalai;0;0;1;1899-hoffenheim;TSG;2569;1899 Hoffenheim;0;1 (1);0 (0);10 (4);0 (0);11 (64%);0;23;0
BAY X TSG 24-08-2018;32 (91%);0 (0);;;0;;;0;0 (0);8959;0;0;90';Manuel Neuer;False;;0;G;;0;7.1;1 (1);4;M. Neuer;0;0;0;bayern-munchen;BAY;2672;Bayern München;2;0 (0);0 (0);0 (0);13 (10);32 (91%);0;52;0
BAY X TSG 24-08-2018;31 (81%);0 (0);;;1;;;;9 (5);5712;1;2;83';Franck Ribéry;False;;0;M;14;;7.0;;;F. Ribéry;0;0;0;bayern-munchen;BAY;2672;Bayern München;0;4 (2);0 (0);9 (5);3 (3);31 (81%);0;52;3
BAY X TSG 24-08-2018;27 (77%);0 (0);2;;1;;;;7 (4);186719;2;0;90';Florian Grillitsch;False;;0;M;8;;6.9;;;F. Grillitsch;1;0;1;1899-hoffenheim;TSG;2569;1899 Hoffenheim;2;1 (1);0 (0);7 (4);6 (4);27 (77%);3;47;0
BAY X TSG 24-08-2018;71 (94%);0 (0);;;0;;;;0 (0);168937;0;0;90';Niklas Süle;False;;1;D;4;;6.9;;;N. Süle;0;0;0;bayern-munchen;BAY;2672;Bayern München;2;0 (0);0 (0);0 (0);10 (8);71 (94%);0;78;0
BAY X TSG 24-08-2018;19 (90%);1 (0);;;0;;;;6 (6);280441;0;0;45';Kingsley Coman;False;1;0;M;3;;6.7;;;K. Coman;0;0;1;bayern-munchen;BAY;2672;Bayern München;0;2 (2);2 (1);7 (6);0 (0);19 (90%);0;30;4
BAY X TSG 24-08-2018;9 (75%);1 (1);;;0;;;;2 (1);37752;1;1;45';Steven Zuber;False;;0;M;4;;6.7;;;S. Zuber;0;0;1;1899-hoffenheim;TSG;2569;1899 Hoffenheim;2;0 (0);0 (0);3 (2);0 (0);9 (75%);0;20;1
BAY X TSG 24-08-2018;8 (100%);1 (0);;;0;;;;0 (0);184661;0;0;23';Leon Goretzka;False;;0;M;0;;6.6;;;L. Goretzka;0;1;0;bayern-munchen;BAY;2672;Bayern München;0;0 (0);0 (0);1 (0);0 (0);8 (100%);0;9;0
BAY X TSG 24-08-2018;15 (68%);1 (1);;;1;;;;5 (4);111969;1;0;90';Leonardo Bittencourt;False;;0;M;11;;6.6;;;L. Bittencourt;0;0;1;1899-hoffenheim;TSG;2569;1899 Hoffenheim;1;1 (1);2 (0);6 (5);3 (0);15 (68%);1;37;2
BAY X TSG 24-08-2018;16 (72%);2 (1);1;;2;;;;5 (1);97925;0;2;90';Nico Schulz;False;1;0;M;12;;6.6;;;N. Schulz;0;0;1;1899-hoffenheim;TSG;2569;1899 Hoffenheim;5;0 (0);2 (0);7 (2);2 (1);16 (72%);1;42;0
BAY X TSG 24-08-2018;50 (79%);3 (1);;;0;;;;2 (2);66492;0;0;90';David Alaba;False;1;0;D;21;;6.6;;;D. Alaba;1;0;0;bayern-munchen;BAY;2672;Bayern München;0;2 (2);4 (0);5 (3);8 (3);50 (79%);0;85;0
BAY X TSG 24-08-2018;22 (81%);3 (3);1;;4;;;;8 (1);609706;2;0;67';Kasim Adams;False;;1;D;10;;6.5;;;K. Adams;0;0;0;1899-hoffenheim;TSG;2569;1899 Hoffenheim;5;1 (0);0 (0);11 (4);6 (2);22 (81%);1;42;0
BAY X TSG 24-08-2018;8 (80%);0 (0);;;2;;;;3 (1);171961;1;0;45';Vincenzo Grifo;False;;0;M;3;;6.5;;;V. Grifo;0;0;0;1899-hoffenheim;TSG;2569;1899 Hoffenheim;1;0 (0);1 (0);3 (1);2 (0);8 (80%);1;15;0
BAY X TSG 24-08-2018;5 (100%);1 (0);;;0;;;;2 (1);107414;0;1;7';James Rodríguez;False;;0;M;1;;6.5;;;J. Rodriguez;0;0;1;bayern-munchen;BAY;2672;Bayern München;0;0 (0);0 (0);3 (1);1 (1);5 (100%);0;8;1
BAY X TSG 24-08-2018;27 (84%);1 (1);1;;1;1;;;5 (2);103012;3;1;90';Ermin Bičakčić;False;;2;D;8;;6.5;;;E. Bičakčić;0;0;0;1899-hoffenheim;TSG;2569;1899 Hoffenheim;2;0 (0);1 (0);6 (3);3 (0);27 (84%);2;48;0
BAY X TSG 24-08-2018;19 (90%);2 (1);1;;1;;;;3 (1);48660;2;0;74';Kevin Vogt;False;;0;D;2;;6.5;;;K. Vogt;0;0;0;1899-hoffenheim;TSG;2569;1899 Hoffenheim;2;0 (0);0 (0);5 (2);4 (3);19 (90%);1;28;0
