game;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
BAY X BCS 16-08-2019;2;2019-08-16;9.0;-22.0;-17.0;-14.0;-40.0;-17.0;-6.0;13.0;28.0;58.0;86.0;31.0;55.0;36.0;44.0;58.0;83.0;49.0;63.0;36.0;17.0;17.0;23.0;16.0;-9.0;17.0;8.0;-7.0;4.0;-49.0;-26.0;-18.0;-40.0;63.0;-33.0;25.0;11.0;23.0;31.0;18.0;12.0;-9.0;-1.0;3.0;2.0;36.0;5.0;10.0;23.0;83.0;56.0;79.0;60.0;100.0;60.0;35.0;21.0;53.0;31.0;17.0;4.0;4.0;1.0;-17.0;30.0;20.0;42.0;10.0;44.0;38.0;51.0;35.0;27.0;24.0;2.0;3.0;-13.0;11.0;12.0;49.0;37.0;46.0;40.0;29.0;44.0;38.0;27.0;75.0;72.0;6.0;45.0;82.0;2;16:30:00;0;BCS;BAY
BLK X SCP 17-08-2019;2;2019-08-17;7.0;37.0;100.0;67.0;42.0;32.0;-27.0;-28.0;-13.0;16.0;13.0;5.0;43.0;34.0;28.0;29.0;23.0;22.0;19.0;-36.0;-16.0;-4.0;4.0;36.0;29.0;27.0;21.0;11.0;17.0;11.0;-29.0;-7.0;8.0;-16.0;54.0;44.0;25.0;6.0;11.0;-90.0;;-23.0;23.0;20.0;19.0;-7.0;27.0;73.0;69.0;56.0;39.0;26.0;22.0;8.0;18.0;-17.0;33.0;-23.0;-8.0;16.0;11.0;24.0;58.0;49.0;35.0;33.0;59.0;12.0;49.0;30.0;20.0;3.0;18.0;9.0;-9.0;4.0;-25.0;-19.0;6.0;-8.0;-19.0;-13.0;-5.0;4.0;-12.0;-1.0;15.0;52.0;2.0;49.0;3.0;-7.0;3;11:30:00;1;SCP;BLK
DOR X AUG 17-08-2019;1;2019-08-17;-48.0;9.0;5.0;92.0;80.0;51.0;33.0;52.0;9.0;11.0;49.0;-30.0;36.0;45.0;33.0;21.0;15.0;23.0;56.0;40.0;96.0;77.0;-15.0;73.0;47.0;39.0;62.0;47.0;32.0;25.0;81.0;51.0;68.0;18.0;46.0;47.0;46.0;61.0;40.0;2.0;-3.0;-18.0;-4.0;7.0;9.0;33.0;12.0;74.0;70.0;40.0;24.0;40.0;14.0;52.0;34.0;81.0;19.0;49.0;50.0;34.0;12.0;10.0;14.0;37.0;55.0;41.0;16.0;27.0;17.0;21.0;32.0;24.0;23.0;14.0;15.0;18.0;44.0;36.0;20.0;28.0;23.0;67.0;44.0;59.0;66.0;100.0;72.0;50.0;72.0;16.0;76.0;;5;11:30:00;1;AUG;DOR
SCF X MAI 17-08-2019;0;2019-08-17;-8.0;-55.0;61.0;40.0;27.0;54.0;100.0;27.0;19.0;51.0;28.0;-37.0;17.0;19.0;14.0;32.0;18.0;10.0;5.0;3.0;-25.0;-16.0;-61.0;-1.0;48.0;28.0;18.0;-24.0;-6.0;-20.0;20.0;-18.0;-17.0;-3.0;-37.0;-23.0;-24.0;-23.0;-17.0;-7.0;-12.0;-2.0;2.0;4.0;9.0;-30.0;28.0;18.0;8.0;-31.0;-16.0;-13.0;-32.0;-21.0;-70.0;-42.0;-52.0;-45.0;-29.0;-42.0;-18.0;-17.0;12.0;32.0;37.0;18.0;52.0;-27.0;66.0;44.0;34.0;26.0;18.0;43.0;44.0;50.0;36.0;16.0;-15.0;17.0;2.0;25.0;39.0;45.0;51.0;43.0;80.0;47.0;27.0;-45.0;2.0;15.0;3;11:30:00;1;;SCF
SVW X DUS 17-08-2019;3;2019-08-17;-4.0;-10.0;-8.0;9.0;-7.0;6.0;9.0;11.0;27.0;28.0;33.0;-12.0;17.0;-22.0;-5.0;5.0;4.0;11.0;46.0;30.0;25.0;21.0;16.0;15.0;9.0;43.0;35.0;21.0;19.0;57.0;8.0;11.0;-42.0;8.0;-21.0;-18.0;-12.0;-7.0;3.0;5.0;25.0;16.0;80.0;75.0;12.0;100.0;23.0;15.0;-33.0;-13.0;8.0;-13.0;54.0;37.0;34.0;29.0;79.0;57.0;63.0;32.0;9.0;-77.0;-68.0;-55.0;-28.0;24.0;33.0;37.0;26.0;26.0;100.0;73.0;29.0;-37.0;73.0;40.0;44.0;33.0;-41.0;51.0;-36.0;-6.0;-39.0;-22.0;-18.0;14.0;38.0;27.0;87.0;-5.0;46.0;56.0;1;11:30:00;-1;DUS;SVW
WOB X KOL 17-08-2019;1;2019-08-17;-1.0;4.0;-17.0;-17.0;-7.0;-7.0;-1.0;64.0;35.0;17.0;6.0;8.0;1.0;-6.0;-6.0;-17.0;-53.0;34.0;-13.0;48.0;28.0;19.0;11.0;11.0;-18.0;-27.0;-18.0;-15.0;-21.0;-54.0;-33.0;-31.0;-20.0;9.0;32.0;54.0;37.0;13.0;2.0;-5.0;;-3.0;4.0;-6.0;5.0;7.0;18.0;26.0;47.0;34.0;18.0;-11.0;15.0;1.0;5.0;15.0;7.0;53.0;48.0;45.0;-37.0;-11.0;-3.0;-45.0;-89.0;-55.0;-16.0;7.0;-18.0;-8.0;-4.0;-37.0;-29.0;-22.0;-23.0;-13.0;-1.0;-3.0;9.0;-17.0;-12.0;-12.0;-10.0;-6.0;-9.0;-32.0;-24.0;-51.0;-57.0;11.0;-39.0;1.0;2;11:30:00;1;KOL;WOB
BMG X S04 17-08-2019;0;2019-08-17;6.0;-10.0;-5.0;38.0;25.0;16.0;19.0;9.0;-23.0;-14.0;-2.0;9.0;7.0;10.0;29.0;22.0;13.0;2.0;-12.0;-31.0;-30.0;-15.0;11.0;29.0;19.0;10.0;16.0;-12.0;6.0;20.0;13.0;29.0;-43.0;13.0;-18.0;-12.0;58.0;36.0;30.0;35.0;;11.0;6.0;12.0;8.0;6.0;5.0;3.0;45.0;27.0;17.0;24.0;43.0;22.0;4.0;-5.0;1.0;-20.0;-12.0;-12.0;-63.0;-20.0;27.0;58.0;39.0;36.0;28.0;-48.0;29.0;26.0;21.0;20.0;13.0;42.0;34.0;30.0;53.0;34.0;-39.0;11.0;5.0;38.0;25.0;20.0;20.0;19.0;18.0;29.0;15.0;-19.0;5.0;-4.0;0;14:30:00;0;S04;BMG
SGE X TSG 18-08-2019;0;2019-08-18;62.0;18.0;5.0;-8.0;-6.0;-39.0;-31.0;-23.0;-15.0;-5.0;20.0;37.0;10.0;-26.0;-14.0;30.0;1.0;19.0;12.0;6.0;4.0;-6.0;63.0;8.0;-27.0;-48.0;-35.0;-30.0;-55.0;-34.0;-33.0;45.0;14.0;59.0;4.0;-41.0;-25.0;28.0;11.0;12.0;45.0;22.0;9.0;-24.0;21.0;38.0;-5.0;-1.0;53.0;33.0;30.0;85.0;46.0;17.0;4.0;-18.0;14.0;-20.0;-15.0;-17.0;-18.0;-15.0;-15.0;-12.0;-12.0;-31.0;-31.0;17.0;-18.0;31.0;17.0;15.0;27.0;10.0;21.0;6.0;-7.0;-43.0;3.0;-32.0;-25.0;-22.0;-17.0;-3.0;-5.0;-4.0;-15.0;-28.0;-21.0;5.0;30.0;-7.0;1;11:30:00;1;TSG;SGE
UNB X RBL 18-08-2019;4;2019-08-18;-10.0;16.0;79.0;42.0;20.0;7.0;1.0;-2.0;-23.0;-48.0;-20.0;-11.0;-17.0;-17.0;-42.0;-24.0;-56.0;-7.0;-10.0;-12.0;7.0;11.0;-3.0;49.0;-48.0;-37.0;-24.0;-50.0;-49.0;-25.0;-9.0;-13.0;-8.0;-29.0;-3.0;-3.0;-27.0;-36.0;-28.0;-24.0;-19.0;-10.0;16.0;8.0;-43.0;-22.0;-70.0;-42.0;-65.0;-31.0;-22.0;-39.0;-27.0;-10.0;19.0;9.0;-16.0;8.0;48.0;36.0;37.0;56.0;57.0;35.0;51.0;40.0;-39.0;-12.0;-13.0;-19.0;-14.0;20.0;-17.0;-12.0;9.0;-7.0;-11.0;-6.0;-23.0;12.0;-23.0;-27.0;-26.0;-23.0;-14.0;-100.0;-67.0;-31.0;-28.0;-15.0;-22.0;-2.0;0;14:00:00;-1;RBL;
KOL X DOR 23-08-2019;3;2019-08-23;-4.0;-18.0;-7.0;-3.0;-3.0;-49.0;-26.0;-17.0;-9.0;29.0;18.0;7.0;5.0;-23.0;-30.0;-27.0;-59.0;-62.0;-39.0;-18.0;31.0;62.0;1.0;71.0;33.0;20.0;-26.0;-21.0;21.0;-9.0;-2.0;56.0;27.0;5.0;21.0;1.0;-32.0;-30.0;-20.0;-42.0;;5.0;-3.0;-19.0;-10.0;-5.0;53.0;24.0;-23.0;-32.0;-27.0;-23.0;-65.0;-45.0;-29.0;-17.0;-6.0;-9.0;-6.0;25.0;40.0;-100.0;-49.0;-23.0;-37.0;-27.0;-13.0;-9.0;-38.0;-70.0;-35.0;-21.0;-23.0;-10.0;-5.0;18.0;-12.0;-9.0;-10.0;-20.0;-22.0;-20.0;-14.0;-8.0;-7.0;-44.0;-42.0;-28.0;-20.0;32.0;-11.0;-28.0;1;16:30:00;-1;DOR;KOL
MAI X BMG 24-08-2019;3;2019-08-24;-10.0;5.0;-44.0;27.0;-11.0;-9.0;-82.0;-52.0;-48.0;-8.0;26.0;-8.0;17.0;10.0;13.0;4.0;-3.0;-5.0;-26.0;23.0;11.0;13.0;7.0;12.0;-11.0;-41.0;-62.0;-23.0;-16.0;-5.0;6.0;7.0;5.0;24.0;8.0;17.0;6.0;-5.0;42.0;87.0;7.0;7.0;7.0;7.0;7.0;14.0;27.0;21.0;54.0;40.0;27.0;3.0;-5.0;-10.0;-33.0;-23.0;9.0;-15.0;-21.0;-56.0;-37.0;-25.0;-26.0;-19.0;-21.0;29.0;13.0;-13.0;-12.0;9.0;9.0;77.0;72.0;87.0;46.0;18.0;-35.0;-35.0;35.0;-52.0;-35.0;-50.0;-30.0;-15.0;8.0;3.0;18.0;68.0;80.0;14.0;46.0;-18.0;1;11:30:00;-1;BMG;
