game;addedTime;confirmed;id;incidentClass;incidentType;isHome;player;time
BAY X BCS 2019-08-16;;False;159;penaltyNotAwarded;varDecision;True;{'name': 'Robert Lewandowski', 'slug': 'robert-lewandowski', 'shortName': 'R. Lewandowski', 'position': 'F', 'userCount': 62994, 'id': 41789};58
SGE X TSG 2019-08-18;;False;201;goalAwarded;varDecision;False;{'name': 'Dennis Geiger', 'slug': 'dennis-geiger', 'shortName': 'D. Geiger', 'position': 'M', 'userCount': 379, 'id': 795004};42
;;False;204;goalAwarded;varDecision;False;{'name': 'Yussuf Poulsen', 'slug': 'yussuf-poulsen', 'shortName': 'Y. Poulsen', 'position': 'F', 'userCount': 2123, 'id': 135264};24
TSG X SVW 2019-08-24;;False;245;goalAwarded;varDecision;False;{'name': 'Niclas Füllkrug', 'slug': 'niclas-fullkrug', 'shortName': 'N. Füllkrug', 'position': 'F', 'userCount': 212, 'id': 132645};73
SCP X SCF 2019-08-24;;True;243;penaltyNotAwarded;varDecision;False;{'name': 'Jérôme Gondorf', 'slug': 'jerome-gondorf', 'shortName': 'J. Gondorf', 'position': 'M', 'userCount': 64, 'id': 38502};44
BCS X WOB 2019-08-25;;False;269;penaltyAwarded;varDecision;True;{'name': 'Vedad Ibišević', 'slug': 'vedad-ibisevic', 'shortName': 'V. Ibišević', 'position': 'F', 'userCount': 796, 'id': 16189};1
SCF X KOL 2019-08-31;;False;340;goalAwarded;varDecision;False;{'name': 'Kingsley Schindler', 'slug': 'kingsley-schindler', 'shortName': 'K. Schindler', 'position': 'M', 'userCount': 97, 'id': 169113};38
;;False;431;penaltyNotAwarded;varDecision;True;{'name': 'Sheraldo Becker', 'slug': 'sheraldo-becker', 'shortName': 'S. Becker', 'position': 'F', 'userCount': 122, 'id': 352544};12
;;True;430;penaltyAwarded;varDecision;False;{'name': 'Davy Klaassen', 'slug': 'davy-klaassen', 'shortName': 'D. Klaassen', 'position': 'M', 'userCount': 896, 'id': 97410};3
;;False;432;cardUpgrade;varDecision;True;{'name': 'Jeremiah St. Juste', 'slug': 'jeremiah-st-juste', 'shortName': 'J. S. Juste', 'position': 'D', 'userCount': 332, 'id': 787640};32
RBL X BAY 2019-09-14;;False;438;penaltyAwarded;varDecision;False;{'name': 'Lucas Hernández', 'slug': 'lucas-hernandez', 'shortName': 'L. Hernández', 'position': 'D', 'userCount': 4802, 'id': 352370};38
;;False;513;cardUpgrade;varDecision;False;{'name': 'Sebastian Polter', 'slug': 'sebastian-polter', 'shortName': 'S. Polter', 'position': 'F', 'userCount': 135, 'id': 39733};64
;;False;510;goalAwarded;varDecision;True;{'name': 'Lucas Alario', 'slug': 'lucas-alario', 'shortName': 'L. Alario', 'position': 'F', 'userCount': 1741, 'id': 249893};18
BAY X KOL 2019-09-21;;False;512;goalAwarded;varDecision;True;{'name': 'Philippe Coutinho', 'slug': 'philippe-coutinho', 'shortName': 'P. Coutinho', 'position': 'M', 'userCount': 78237, 'id': 119159};61
BCS X SCP 2019-09-21;;False;514;goalAwarded;varDecision;True;{'name': 'Vladimír Darida', 'slug': 'vladimir-darida', 'shortName': 'V. Darida', 'position': 'M', 'userCount': 460, 'id': 109002};70
BMG X DUS 2019-09-22;;False;537;goalNotAwarded;varDecision;True;{'name': 'Marcus Thuram', 'slug': 'marcus-thuram', 'shortName': 'M. Thuram', 'position': 'F', 'userCount': 2212, 'id': 791702};88
BMG X DUS 2019-09-22;;True;533;penaltyNotAwarded;varDecision;True;{'name': 'Breel Embolo', 'slug': 'breel-embolo', 'shortName': 'B. Embolo', 'position': 'F', 'userCount': 1624, 'id': 352296};41
TSG X BMG 2019-09-28;;False;599;penaltyAwarded;varDecision;False;{'name': 'Florian Neuhaus', 'slug': 'florian-neuhaus', 'shortName': 'F. Neuhaus', 'position': 'M', 'userCount': 904, 'id': 837205};81
TSG X BMG 2019-09-28;;False;597;penaltyAwarded;varDecision;True;{'name': 'Robert Skov', 'slug': 'robert-skov', 'shortName': 'R. Skov', 'position': 'M', 'userCount': 1717, 'id': 327863};55
RBL X S04 2019-09-28;;False;594;penaltyNotAwarded;varDecision;False;{'name': 'Amine Harit', 'slug': 'amine-harit', 'shortName': 'A. Harit', 'position': 'M', 'userCount': 4088, 'id': 827522};40
DUS X SCF 2019-09-29;;False;628;penaltyNotAwarded;varDecision;False;{'name': 'Nicolas Höfler', 'slug': 'nicolas-hofler', 'shortName': 'N. Höfler', 'position': 'M', 'userCount': 186, 'id': 49639};62
KOL X BCS 2019-09-29;;False;637;cardUpgrade;varDecision;True;{'name': 'Jorge Mere', 'slug': 'jorge-mere', 'shortName': 'J. Meré', 'position': 'D', 'userCount': 334, 'id': 355046};40
BCS X DUS 2019-10-04;;False;679;penaltyNotAwarded;varDecision;False;{'name': 'Oliver Fink', 'slug': 'oliver-fink', 'shortName': 'O. Fink', 'position': 'M', 'userCount': 63, 'id': 2640};31
BCS X DUS 2019-10-04;;True;677;penaltyNotAwarded;varDecision;False;{'name': 'Lewis Baker', 'slug': 'lewis-baker', 'shortName': 'L. Baker', 'position': 'M', 'userCount': 467, 'id': 190859};25
;;False;714;penaltyAwarded;varDecision;True;{'name': 'Wout Weghorst', 'slug': 'wout-weghorst', 'shortName': 'W. Weghorst', 'position': 'F', 'userCount': 1847, 'id': 252215};55
SGE X SVW 2019-10-06;;True;720;penaltyNotAwarded;varDecision;True;{'name': 'Gonçalo Paciência', 'slug': 'goncalo-paciencia', 'shortName': 'G. Paciência', 'position': 'F', 'userCount': 1330, 'id': 138890};51
SGE X BLK 2019-10-18;;False;773;penaltyAwarded;varDecision;False;{'name': 'Kevin Volland', 'slug': 'kevin-volland', 'shortName': 'K. Volland', 'position': 'F', 'userCount': 1609, 'id': 117373};72
DOR X BMG 2019-10-19;;False;794;goalAwarded;varDecision;True;{'name': 'Thorgan Hazard', 'slug': 'thorgan-hazard', 'shortName': 'T. Hazard', 'position': 'M', 'userCount': 8251, 'id': 94286};35
KOL X SCP 2019-10-20;;False;818;goalNotAwarded;varDecision;True;{'name': 'Simon Terodde', 'slug': 'simon-terodde', 'shortName': 'S. Terodde', 'position': 'F', 'userCount': 362, 'id': 26231};11
;;True;844;penaltyNotAwarded;varDecision;False;{'name': 'Kingsley Schindler', 'slug': 'kingsley-schindler', 'shortName': 'K. Schindler', 'position': 'M', 'userCount': 97, 'id': 169113};63
;;False;859;goalAwarded;varDecision;True;{'name': 'Robert Lewandowski', 'slug': 'robert-lewandowski', 'shortName': 'R. Lewandowski', 'position': 'F', 'userCount': 62994, 'id': 41789};84
;;False;858;penaltyNotAwarded;varDecision;False;{'name': 'Christopher Trimmel', 'slug': 'christopher-trimmel', 'shortName': 'C. Trimmel', 'position': 'M', 'userCount': 480, 'id': 48557};57
BLK X SVW 2019-10-26;;False;867;goalAwarded;varDecision;True;{'name': 'Lucas Alario', 'slug': 'lucas-alario', 'shortName': 'L. Alario', 'position': 'F', 'userCount': 1741, 'id': 249893};72
WOB X AUG 2019-10-27;;False;895;goalAwarded;varDecision;True;{'name': 'João Victor', 'slug': 'joao-victor', 'shortName': 'J. Victor', 'position': 'F', 'userCount': 405, 'id': 799634};86
BLK X BMG 2019-11-02;6.0;False;970;cardUpgrade;varDecision;True;{'name': 'Leon Bailey', 'slug': 'leon-bailey', 'shortName': 'L. Bailey', 'position': 'F', 'userCount': 3497, 'id': 808590};90
SGE X BAY 2019-11-02;;False;961;cardUpgrade;varDecision;False;{'name': 'Jérôme Boateng', 'slug': 'jerome-boateng', 'shortName': 'J. Boateng', 'position': 'D', 'userCount': 4077, 'id': 19382};9
SGE X BAY 2019-11-02;;False;960;penaltyAwarded;varDecision;True;{'name': 'Gonçalo Paciência', 'slug': 'goncalo-paciencia', 'shortName': 'G. Paciência', 'position': 'F', 'userCount': 1330, 'id': 138890};9
SVW X SCF 2019-11-02;;False;962;goalAwarded;varDecision;False;{'name': 'Roland Sallai', 'slug': 'roland-sallai', 'shortName': 'R. Sallai', 'position': 'M', 'userCount': 859, 'id': 355088};21
;;True;976;penaltyAwarded;varDecision;True;{'name': 'Christian Gentner', 'slug': 'christian-gentner', 'shortName': 'C. Gentner', 'position': 'M', 'userCount': 176, 'id': 4725};86
AUG X S04 2019-11-03;;False;994;penaltyNotAwarded;varDecision;True;{'name': 'Philipp Max', 'slug': 'philipp-max', 'shortName': 'P. Max', 'position': 'D', 'userCount': 858, 'id': 142672};58
KOL X TSG 2019-11-08;6.0;False;1022;penaltyNotAwarded;varDecision;False;{'name': 'Sargis Adamyan', 'slug': 'sargis-adamyan', 'shortName': 'S. Adamyan', 'position': 'F', 'userCount': 644, 'id': 129927};90
