game;Accurate passes_away_1ST;Accurate passes_away_2ND;Accurate passes_away_ALL;Accurate passes_home_1ST;Accurate passes_home_2ND;Accurate passes_home_ALL;Aerials won_away_1ST;Aerials won_away_2ND;Aerials won_away_ALL;Aerials won_home_1ST;Aerials won_home_2ND;Aerials won_home_ALL;Ball possession_away_1ST;Ball possession_away_2ND;Ball possession_away_ALL;Ball possession_home_1ST;Ball possession_home_2ND;Ball possession_home_ALL;Blocked shots_away_1ST;Blocked shots_away_2ND;Blocked shots_away_ALL;Blocked shots_home_1ST;Blocked shots_home_2ND;Blocked shots_home_ALL;Corner kicks_away_1ST;Corner kicks_away_2ND;Corner kicks_away_ALL;Corner kicks_home_1ST;Corner kicks_home_2ND;Corner kicks_home_ALL;Counter attacks_away_1ST;Counter attacks_away_2ND;Counter attacks_away_ALL;Counter attacks_home_1ST;Counter attacks_home_2ND;Counter attacks_home_ALL;Duels won_away_1ST;Duels won_away_2ND;Duels won_away_ALL;Duels won_home_1ST;Duels won_home_2ND;Duels won_home_ALL;Fouls_away_ALL;Fouls_home_ALL;Goalkeeper saves_away_1ST;Goalkeeper saves_away_2ND;Goalkeeper saves_away_ALL;Goalkeeper saves_home_1ST;Goalkeeper saves_home_2ND;Goalkeeper saves_home_ALL;Hit woodwork_away_1ST;Hit woodwork_away_2ND;Hit woodwork_away_ALL;Hit woodwork_home_1ST;Hit woodwork_home_2ND;Hit woodwork_home_ALL;Offsides_away_1ST;Offsides_away_2ND;Offsides_away_ALL;Offsides_home_1ST;Offsides_home_2ND;Offsides_home_ALL;Passes_away_1ST;Passes_away_2ND;Passes_away_ALL;Passes_home_1ST;Passes_home_2ND;Passes_home_ALL;Red cards_away_1ST;Red cards_away_2ND;Red cards_away_ALL;Red cards_home_1ST;Red cards_home_2ND;Red cards_home_ALL;Shots inside box_away_1ST;Shots inside box_away_2ND;Shots inside box_away_ALL;Shots inside box_home_1ST;Shots inside box_home_2ND;Shots inside box_home_ALL;Shots off target_away_1ST;Shots off target_away_2ND;Shots off target_away_ALL;Shots off target_home_1ST;Shots off target_home_2ND;Shots off target_home_ALL;Shots on target_away_1ST;Shots on target_away_2ND;Shots on target_away_ALL;Shots on target_home_1ST;Shots on target_home_2ND;Shots on target_home_ALL;Shots outside box_away_1ST;Shots outside box_away_2ND;Shots outside box_away_ALL;Shots outside box_home_1ST;Shots outside box_home_2ND;Shots outside box_home_ALL;Total shots_away_1ST;Total shots_away_2ND;Total shots_away_ALL;Total shots_home_1ST;Total shots_home_2ND;Total shots_home_ALL;Yellow cards_away_1ST;Yellow cards_away_2ND;Yellow cards_away_ALL;Yellow cards_home_1ST;Yellow cards_home_2ND;Yellow cards_home_ALL;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
ROM X UDI 20-08-2016;87 (77%);64 (70%);151 (74%);251 (90%);268 (90%);519 (90%);9;3;12;7;10;17;30%;26%;28%;70%;74%;72%;2;3;5;2;3;5;1;4;5;6;4;10;;;;;;;26;12;38;21;25;46;14;8;3;2;5;1;0;1;;;;;;;1;0;1;2;0;2;113;91;204;280;298;578;;;;;;;4;3;7;5;11;16;3;2;5;5;6;11;1;0;1;3;6;9;2;2;4;5;4;9;6;5;11;10;15;25;0;2;2;0;0;0;0.0;2016-08-20;-10.0;14.0;50.0;-29.0;12.0;32.0;25.0;43.0;28.0;10.0;-6.0;-3.0;3.0;-3.0;33.0;15.0;11.0;-24.0;-3.0;7.0;27.0;53.0;8.0;40.0;49.0;60.0;39.0;26.0;40.0;33.0;22.0;-20.0;-1.0;6.0;3.0;18.0;66.0;43.0;87.0;54.0;;-33.0;-4.0;-1.0;41.0;7.0;42.0;34.0;26.0;67.0;75.0;50.0;82.0;41.0;-49.0;-7.0;-7.0;7.0;-1.0;52.0;37.0;29.0;100.0;62.0;16.0;12.0;15.0;8.0;66.0;42.0;29.0;15.0;-22.0;-11.0;77.0;42.0;27.0;19.0;10.0;12.0;-24.0;-6.0;107.0;66.0;100.0;100.0;86.0;54.0;38.0;13.0;5.0;-30.0;4.0;14:00:00;1.0;UDI;ROM
JUV X FIO 20-08-2016;174 (79%);248 (89%);422 (85%);291 (90%);204 (87%);495 (88%);2;5;7;5;7;12;39%;54%;47%;61%;46%;53%;0;1;1;4;2;6;0;1;1;1;1;2;;;;;;;19;18;37;27;26;53;16;11;0;2;2;0;0;0;;;;;;;0;2;2;0;0;0;219;280;499;325;235;560;;;;;;;0;3;3;5;5;10;0;2;2;6;3;9;0;1;1;1;3;4;0;1;1;6;3;9;0;4;4;11;8;19;2;1;3;0;1;1;1.0;2016-08-20;-10.0;9.0;8.0;7.0;5.0;6.0;18.0;9.0;5.0;2.0;25.0;-1.0;22.0;16.0;37.0;35.0;22.0;15.0;7.0;1.0;-1.0;6.0;-1.0;32.0;20.0;8.0;-4.0;3.0;4.0;5.0;6.0;92.0;63.0;30.0;45.0;27.0;17.0;24.0;14.0;39.0;;24.0;37.0;20.0;17.0;20.0;43.0;56.0;32.0;19.0;12.0;-35.0;-18.0;-10.0;-5.0;-2.0;17.0;2.0;2.0;2.0;2.0;2.0;-5.0;-6.0;-9.0;-4.0;-5.0;13.0;-6.0;-99.0;-59.0;-31.0;-14.0;80.0;46.0;25.0;11.0;3.0;32.0;7.0;13.0;20.0;70.0;34.0;15.0;3.0;-35.0;-31.0;-26.0;16.0;1.0;45.0;2.0;16:45:00;1.0;FIO;JUV
MIL X TOR 21-08-2016;107 (78%);153 (85%);260 (82%);163 (83%);113 (75%);276 (79%);6;10;16;5;4;9;42%;56%;49%;58%;44%;51%;1;6;7;4;0;4;3;7;10;7;3;10;0;0;0;1;0;1;23;27;50;26;28;54;20;13;1;1;2;0;2;2;;;;;;;1;2;3;3;0;3;138;180;318;197;151;348;0;0;0;0;1;1;0;9;9;4;3;7;2;8;10;2;0;2;0;4;4;2;3;5;3;9;12;4;0;4;3;18;21;8;3;11;2;1;3;0;2;2;2.0;2016-08-21;10.0;12.0;41.0;22.0;9.0;-28.0;-41.0;38.0;-17.0;-2.0;18.0;11.0;37.0;18.0;11.0;25.0;19.0;19.0;15.0;22.0;16.0;14.0;11.0;12.0;30.0;20.0;15.0;38.0;27.0;33.0;43.0;29.0;94.0;12.0;55.0;30.0;10.0;-27.0;-20.0;-8.0;5.0;5.0;9.0;-76.0;-42.0;5.0;-25.0;79.0;40.0;35.0;5.0;8.0;-2.0;14.0;5.0;2.0;6.0;-75.0;-78.0;-45.0;72.0;23.0;14.0;-11.0;7.0;53.0;58.0;-17.0;18.0;-12.0;-31.0;-46.0;-29.0;21.0;-5.0;-5.0;-5.0;-49.0;-8.0;-38.0;-24.0;-51.0;-37.0;-51.0;-32.0;-26.0;-41.0;-28.0;-48.0;20.0;-32.0;-120.0;3.0;14:00:00;1.0;TOR;MIL
ATT X LAZ 21-08-2016;92 (71%);92 (67%);184 (69%);228 (86%);297 (88%);525 (87%);9;6;15;5;8;13;33%;29%;31%;67%;71%;69%;1;1;2;5;2;7;1;1;2;5;2;7;;;;;;;21;19;40;20;35;55;16;5;0;3;3;2;0;2;0;0;0;1;0;1;1;1;2;1;0;1;129;137;266;266;339;605;;;;;;;7;3;10;4;3;7;2;1;3;4;2;6;5;1;6;0;5;5;1;0;1;5;6;11;8;3;11;9;9;18;0;2;2;1;1;2;4.0;2016-08-21;4.0;-4.0;10.0;34.0;74.0;40.0;-78.0;-27.0;36.0;5.0;-25.0;5.0;-76.0;-40.0;-21.0;-7.0;8.0;48.0;39.0;20.0;16.0;13.0;6.0;33.0;23.0;18.0;14.0;-70.0;-73.0;-38.0;-12.0;-7.0;20.0;7.0;20.0;17.0;15.0;14.0;6.0;-1.0;5.0;-35.0;-20.0;-12.0;7.0;4.0;17.0;59.0;35.0;21.0;-20.0;-8.0;-6.0;-6.0;33.0;20.0;2.0;14.0;5.0;4.0;10.0;86.0;57.0;34.0;26.0;100.0;83.0;-6.0;90.0;59.0;41.0;41.0;22.0;14.0;6.0;10.0;10.0;7.0;-47.0;10.0;13.0;13.0;9.0;12.0;13.0;14.0;15.0;15.0;-71.0;-22.0;-38.0;105.0;3.0;16:45:00;-1.0;LAZ;ATT
BGN X CRO 21-08-2016;199 (83%);195 (79%);394 (81%);186 (82%);168 (80%);354 (81%);7;5;12;11;9;20;52%;54%;53%;48%;46%;47%;1;1;2;2;2;4;1;2;3;2;3;5;0;0;0;0;1;1;21;20;41;33;28;61;17;7;2;3;5;0;0;0;0;0;0;2;0;2;1;1;2;5;0;5;241;248;489;227;210;437;;;;;;;2;2;4;5;6;11;2;1;3;5;5;10;0;0;0;2;4;6;1;0;1;4;5;9;3;2;5;9;11;20;1;0;1;0;1;1;0.0;2016-08-21;-10.0;40.0;29.0;18.0;15.0;9.0;9.0;8.0;4.0;36.0;44.0;-10.0;24.0;17.0;7.0;-4.0;-6.0;-7.0;-8.0;22.0;31.0;15.0;-36.0;1.0;-4.0;-52.0;-26.0;-14.0;-6.0;10.0;10.0;45.0;30.0;-32.0;56.0;29.0;18.0;9.0;12.0;2.0;5.0;2.0;2.0;3.0;3.0;-16.0;-4.0;-4.0;-6.0;-7.0;-1.0;3.0;3.0;35.0;19.0;10.0;-8.0;34.0;73.0;40.0;22.0;12.0;3.0;-6.0;-8.0;-14.0;-13.0;51.0;-12.0;36.0;21.0;-16.0;10.0;-8.0;13.0;9.0;11.0;16.0;35.0;12.0;-8.0;-2.0;78.0;42.0;22.0;11.0;40.0;10.0;-25.0;61.0;40.0;20.0;1.0;16:45:00;1.0;CRO;BGN
CHV X INT 21-08-2016;302 (87%);206 (85%);508 (86%);107 (72%);123 (76%);230 (74%);5;10;15;5;7;12;71%;61%;66%;29%;39%;34%;2;0;2;2;1;3;4;4;8;1;3;4;;;;;;;24;37;61;23;23;46;13;15;0;2;2;2;1;3;;;;;;;0;0;0;0;1;1;347;242;589;149;161;310;;;;;;;2;6;8;0;3;3;2;6;8;1;4;5;2;1;3;0;4;4;4;1;5;3;6;9;6;7;13;3;9;12;1;3;4;0;2;2;0.0;2016-08-21;-10.0;-9.0;-16.0;-45.0;-28.0;-22.0;-19.0;-16.0;-53.0;-100.0;-62.0;-12.0;-41.0;-25.0;-14.0;4.0;3.0;-2.0;3.0;-8.0;-10.0;-2.0;-14.0;10.0;3.0;-6.0;-3.0;-34.0;-23.0;-16.0;-11.0;-9.0;-5.0;-15.0;-5.0;33.0;11.0;-7.0;-12.0;-7.0;0.0;-2.0;4.0;-2.0;-2.0;-15.0;74.0;40.0;22.0;51.0;29.0;25.0;13.0;-37.0;-22.0;-45.0;-10.0;-65.0;-45.0;-30.0;-24.0;-18.0;-14.0;-7.0;-38.0;-21.0;34.0;-10.0;15.0;10.0;10.0;2.0;-6.0;-9.0;-16.0;-15.0;-14.0;-14.0;-9.0;-8.0;34.0;56.0;37.0;36.0;-52.0;-61.0;-40.0;-16.0;89.0;-7.0;76.0;-100.0;2.0;16:45:00;1.0;INT;CHV
EMP X SAM 21-08-2016;184 (78%);142 (72%);326 (75%);203 (78%);177 (77%);380 (78%);5;5;10;5;5;10;48%;47%;48%;52%;53%;52%;3;2;5;0;0;0;1;4;5;1;1;2;;;;;;;26;33;59;30;34;64;32;17;0;3;3;1;3;4;;;;;;;0;0;0;4;2;6;237;197;434;260;229;489;0;0;0;0;1;1;3;5;8;1;4;5;1;5;6;2;3;5;2;3;5;0;3;3;3;5;8;1;2;3;6;10;16;2;6;8;0;4;4;0;2;2;1.0;2016-08-21;-10.0;-11.0;-6.0;1.0;1.0;1.0;1.0;1.0;10.0;7.0;5.0;-7.0;5.0;4.0;4.0;4.0;4.0;4.0;5.0;5.0;5.0;4.0;-1.0;28.0;18.0;17.0;11.0;8.0;-21.0;20.0;3.0;-42.0;-24.0;9.0;-14.0;-7.0;-1.0;4.0;5.0;3.0;5.0;-2.0;-32.0;-45.0;-24.0;-8.0;-16.0;-66.0;-38.0;-22.0;-40.0;-26.0;-8.0;33.0;23.0;-28.0;-5.0;-8.0;-6.0;-3.0;-44.0;29.0;-32.0;-13.0;-4.0;3.0;48.0;-68.0;33.0;21.0;14.0;9.0;3.0;3.0;8.0;41.0;26.0;12.0;-41.0;49.0;30.0;17.0;18.0;-38.0;-16.0;-22.0;-10.0;-4.0;7.0;-21.0;7.0;-35.0;0.0;16:45:00;-1.0;SAM;EMP
GEN X CAG 21-08-2016;86 (66%);68 (67%);154 (66%);239 (89%);252 (88%);491 (89%);6;2;8;8;10;18;32%;27%;29%;68%;73%;71%;0;0;0;4;1;5;0;1;1;4;2;6;;;;;;;34;20;54;34;28;62;10;13;1;2;3;1;1;2;0;1;1;1;0;1;1;1;2;1;0;1;130;102;232;269;285;554;;;;;;;1;2;3;5;8;13;0;1;1;6;5;11;1;2;3;1;5;6;0;1;1;6;3;9;1;3;4;11;11;22;2;1;3;2;2;4;1.0;2016-08-21;-10.0;-17.0;-2.0;5.0;6.0;7.0;4.0;-15.0;56.0;35.0;28.0;-5.0;16.0;18.0;17.0;49.0;34.0;25.0;44.0;23.0;53.0;33.0;26.0;21.0;62.0;44.0;29.0;53.0;57.0;36.0;17.0;11.0;9.0;14.0;9.0;10.0;11.0;12.0;12.0;17.0;;15.0;20.0;17.0;-14.0;13.0;37.0;13.0;12.0;12.0;43.0;28.0;22.0;23.0;18.0;18.0;33.0;6.0;8.0;9.0;31.0;24.0;61.0;47.0;-44.0;32.0;48.0;29.0;31.0;24.0;24.0;19.0;15.0;-34.0;-8.0;-3.0;-26.0;77.0;13.0;100.0;69.0;37.0;20.0;8.0;42.0;25.0;22.0;12.0;86.0;-39.0;41.0;20.0;3.0;16:45:00;1.0;CAG;GEN
PAL X SAS 21-08-2016;291 (86%);188 (80%);479 (84%);131 (73%);159 (79%);290 (76%);9;4;13;5;7;12;66%;53%;60%;34%;47%;40%;5;4;9;1;1;2;2;6;8;1;3;4;;;;;;;29;29;58;36;37;73;15;19;1;1;2;3;4;7;0;1;1;0;0;0;1;0;1;0;1;1;337;235;572;179;202;381;0;0;0;0;1;1;8;5;13;2;1;3;3;2;5;1;2;3;4;4;8;1;1;2;4;5;9;1;3;4;12;10;22;3;4;7;1;1;2;1;2;3;1.0;2016-08-21;0.0;-22.0;-14.0;-35.0;-27.0;-87.0;-77.0;-46.0;-30.0;-63.0;-34.0;-26.0;-20.0;-10.0;-4.0;-6.0;-8.0;-16.0;-55.0;-34.0;-21.0;-15.0;-21.0;-12.0;-77.0;-49.0;-33.0;-23.0;-17.0;-5.0;-4.0;-3.0;19.0;-44.0;41.0;30.0;12.0;46.0;20.0;-6.0;0.0;25.0;7.0;-46.0;-29.0;-26.0;-15.0;27.0;11.0;12.0;10.0;-28.0;-13.0;-7.0;-83.0;-46.0;-15.0;-22.0;-18.0;-16.0;-29.0;-42.0;-30.0;-18.0;-10.0;-5.0;-1.0;-47.0;-1.0;40.0;25.0;-28.0;23.0;16.0;9.0;37.0;48.0;26.0;-32.0;14.0;2.0;-1.0;-3.0;-93.0;-76.0;-45.0;-28.0;-17.0;5.0;-21.0;-7.0;-15.0;0.0;16:45:00;-1.0;SAS;PAL
PES X NAP 21-08-2016;282 (91%);273 (89%);555 (90%);249 (87%);142 (77%);391 (83%);4;6;10;3;7;10;53%;64%;58%;47%;36%;42%;4;4;8;3;0;3;3;6;9;3;0;3;;;;;;;26;28;54;12;27;39;12;10;1;0;1;0;2;2;;;;;;;1;0;1;1;0;1;311;308;619;285;185;470;;;;;;;3;7;10;4;0;4;8;2;10;2;1;3;0;4;4;3;0;3;9;3;12;4;1;5;12;10;22;8;1;9;1;1;2;0;3;3;2.0;2016-08-21;-10.0;100.0;80.0;21.0;-27.0;-11.0;-8.0;-4.0;2.0;4.0;28.0;-12.0;23.0;19.0;6.0;1.0;-3.0;-29.0;-13.0;-8.0;-10.0;-5.0;-44.0;7.0;4.0;-29.0;27.0;11.0;31.0;98.0;48.0;-38.0;-9.0;-37.0;-15.0;-17.0;-29.0;-9.0;6.0;-18.0;-55.0;13.0;4.0;-6.0;-6.0;-21.0;-7.0;-33.0;-23.0;-61.0;-42.0;-36.0;-15.0;-4.0;-5.0;-11.0;-41.0;-81.0;-54.0;-37.0;-27.0;-99.0;-57.0;-37.0;-25.0;-18.0;-8.0;-22.0;-9.0;-9.0;-10.0;-10.0;-10.0;-9.0;17.0;3.0;-4.0;-19.0;-9.0;-14.0;-13.0;-11.0;-70.0;-39.0;-42.0;-64.0;-37.0;-17.0;-44.0;82.0;-24.0;0.0;2.0;16:45:00;0.0;NAP;PES
