game;accuratePass;aerialDuels;challengeLost;disabled;dispossessed;fouls;goalAssist;goals;goodHighClaim;groundDuels;id;interceptionWon;keyPass;minutesPlayed;name;national;offsides;outfielderBlock;position;punches;rating;runsOut;saves;shortName;shotsBlocked;shotsOffTarget;shotsOnTarget;slug;team;team_id;team_name;totalClearance;totalContest;totalCross;totalDuels;totalLongBalls;totalPass;totalTackle;touches;wasFouled
ROM X UDI 20-08-2016;26 (66%);0 (0);;;0;1;;1;;10 (7);159665;1;4;90';Mohamed Salah;False;;0;F;;8.8;;;M. Salah;1;2;2;roma;ROM;2702;Roma;0;4 (2);9 (3);10 (7);3 (1);26 (66%);2;68;3
ROM X UDI 20-08-2016;14 (82%);0 (0);;;0;0;;2;;0 (0);47171;1;2;33';Diego Perotti;False;;0;F;;8.1;;;D. Perotti;0;0;2;roma;ROM;2702;Roma;0;0 (0);3 (3);0 (0);0 (0);14 (82%);0;25;0
ROM X UDI 20-08-2016;53 (93%);2 (1);1;;0;0;;;;4 (3);255389;2;3;89';Leandro Paredes;False;;0;M;;7.8;;;L. Paredes;1;0;0;roma;ROM;2702;Roma;0;0 (0);6 (2);6 (4);6 (6);53 (93%);1;72;2
ROM X UDI 20-08-2016;18 (85%);7 (6);;;0;1;;1;;3 (2);14990;0;3;90';Edin Džeko;False;1;0;F;;7.8;;;E. Džeko;0;2;3;roma;ROM;2702;Roma;1;0 (0);1 (0);10 (8);1 (1);18 (85%);0;33;3
ROM X UDI 20-08-2016;48 (94%);1 (0);;;0;0;;;;5 (4);41234;1;1;80';Konstantinos Manolas;False;;2;D;;7.5;;;K. Manolas;0;1;0;roma;ROM;2702;Roma;5;1 (0);0 (0);6 (4);5 (4);48 (94%);2;68;2
ROM X UDI 20-08-2016;65 (95%);7 (2);;;0;1;;;;2 (2);1954;1;0;90';Thomas Vermaelen;False;;1;D;;7.4;;;T. Vermaelen;0;0;0;roma;ROM;2702;Roma;4;1 (1);0 (0);9 (4);3 (1);65 (95%);1;77;0
ROM X UDI 20-08-2016;34 (91%);0 (0);;;;0;;;0;0 (0);50490;0;0;90';Wojciech Szczęsny;False;;0;G;1;7.3;0 (0);1;W. Szczęsny;0;0;0;roma;ROM;2702;Roma;1;0 (0);0 (0);0 (0);12 (9);34 (91%);0;43;0
ROM X UDI 20-08-2016;10 (66%);0 (0);1;;1;0;;;;5 (3);249399;2;1;68';Rodrigo De Paul;False;;0;F;;7.2;;;R. D. Paul;0;2;0;udinese;UDI;2695;Udinese;0;2 (2);5 (1);5 (3);3 (2);10 (66%);1;31;0
ROM X UDI 20-08-2016;42 (93%);1 (1);;;1;0;;;;2 (1);155997;3;2;76';Emerson Palmieri;False;;0;D;;7.1;;;Emerson;0;0;0;roma;ROM;2702;Roma;1;0 (0);9 (2);3 (2);1 (0);42 (93%);0;70;1
ROM X UDI 20-08-2016;9 (64%);1 (0);;;0;0;;;;0 (0);74769;2;0;52';Thomas Heurtaux;False;;1;D;;6.9;;;T. Heurtaux;0;0;0;udinese;UDI;2695;Udinese;2;0 (0);1 (0);1 (0);6 (2);9 (64%);0;20;0
ROM X UDI 20-08-2016;29 (78%);3 (3);1;;0;0;;;;2 (1);45925;0;0;57';Stephan El Shaarawy;False;;0;F;;6.9;;;S. El Shaarawy;1;0;1;roma;ROM;2702;Roma;1;1 (1);0 (0);5 (4);1 (1);29 (78%);0;44;0
ROM X UDI 20-08-2016;15 (78%);10 (7);;;0;2;;;;6 (2);38162;0;2;90';Duván Zapata;False;1;0;F;;6.9;;;D. Zapata;2;0;1;udinese;UDI;2695;Udinese;5;4 (2);2 (1);16 (9);1 (0);15 (78%);0;40;1
ROM X UDI 20-08-2016;16 (94%);0 (0);;;0;0;;;;1 (1);27569;1;0;10';Federico Fazio;False;;1;D;;6.9;;;F. Fazio;0;0;0;roma;ROM;2702;Roma;0;0 (0);0 (0);1 (1);0 (0);16 (94%);1;20;0
ROM X UDI 20-08-2016;49 (87%);1 (1);4;;2;4;;;;13 (4);243175;2;1;90';Bruno Peres;False;;0;D;;6.8;;;B. Peres;1;2;1;roma;ROM;2702;Roma;2;2 (2);6 (1);14 (5);6 (4);49 (87%);1;82;1
ROM X UDI 20-08-2016;11 (68%);1 (1);;;0;2;;;;5 (3);191188;1;0;79';Seko Fofana;False;;1;M;;6.8;;;S. Fofana;0;0;0;udinese;UDI;2695;Udinese;0;2 (2);0 (0);6 (4);2 (0);11 (68%);1;23;0
ROM X UDI 20-08-2016;40 (85%);2 (0);1;;1;1;1;;;4 (1);44001;0;1;90';Radja Nainggolan;False;1;0;M;;6.8;;;R. Nainggolan;1;3;0;roma;ROM;2702;Roma;2;0 (0);2 (0);6 (1);4 (4);40 (85%);0;60;1
ROM X UDI 20-08-2016;15 (100%);0 (0);;;0;0;;;;0 (0);108484;1;0;14';Juan Jesus;False;;0;D;;6.7;;;J. Jesus;0;0;0;roma;ROM;2702;Roma;0;0 (0);0 (0);0 (0);0 (0);15 (100%);0;17;0
ROM X UDI 20-08-2016;8 (66%);3 (0);1;;0;2;;;;6 (4);331405;3;1;90';Samir;False;;1;D;;6.6;;;Samir;0;0;0;udinese;UDI;2695;Udinese;3;0 (0);0 (0);9 (4);4 (0);8 (66%);1;28;3
ROM X UDI 20-08-2016;70 (98%);5 (3);4;;1;0;;;;9 (3);34221;1;2;90';Kevin Strootman;False;;0;M;;6.5;;;K. Strootman;0;1;0;roma;ROM;2702;Roma;1;3 (2);2 (0);14 (6);3 (3);70 (98%);0;87;1
ROM X UDI 20-08-2016;13 (48%);0 (0);;;;0;;;0;0 (0);17438;0;0;90';Orestis Karnezis;False;;0;G;2;6.5;1 (1);5;O. Karnezis;0;0;0;udinese;UDI;2695;Udinese;2;0 (0);0 (0);0 (0);24 (10);13 (48%);0;42;0
ROM X UDI 20-08-2016;15 (83%);5 (0);;;0;0;;;;6 (6);157377;0;1;90';Silvan Widmer;False;;0;M;;6.4;;;S. Widmer;0;0;0;udinese;UDI;2695;Udinese;0;1 (1);5 (0);11 (6);2 (0);15 (83%);4;44;1
ROM X UDI 20-08-2016;7 (100%);0 (0);1;;0;0;;;;2 (0);825775;0;0;22';Adalberto Peñaranda;False;;0;F;;6.3;;;A. Peñaranda;2;1;0;udinese;UDI;2695;Udinese;0;1 (0);0 (0);2 (0);0 (0);7 (100%);0;13;0
ROM X UDI 20-08-2016;16 (84%);1 (1);2;;1;3;;;;9 (3);15046;0;3;90';Emil Hallfreðsson;False;;0;M;;6.3;;;E. Hallfreðsson;0;1;0;udinese;UDI;2695;Udinese;1;3 (3);7 (1);10 (4);1 (1);16 (84%);0;33;0
ROM X UDI 20-08-2016;7 (63%);1 (0);1;;0;2;;;;8 (3);331429;1;1;90';Ali Adnan;False;;0;M;;6.2;;;A. Adnan;1;0;0;udinese;UDI;2695;Udinese;1;2 (0);5 (0);9 (3);1 (0);7 (63%);2;34;1
