game;addedTime;id;incidentClass;incidentType;isHome;player;playerName;reason;time
JUV X CAG 19-08-2017;;118702081;yellow;card;True;{'name': 'Stephan Lichtsteiner', 'slug': 'stephan-lichtsteiner', 'shortName': 'S. Lichtsteiner', 'position': 'D', 'userCount': 1257, 'id': 4392};Stephan Lichtsteiner;Argument;77
HEL X NAP 19-08-2017;1.0;118702578;yellow;card;False;{'name': 'Emanuele Giaccherini', 'slug': 'emanuele-giaccherini', 'shortName': 'E. Giaccherini', 'position': 'M', 'userCount': 397, 'id': 76133};Emanuele Giaccherini;Argument;90
HEL X NAP 19-08-2017;1.0;118702575;yellow;card;True;{'name': 'Rômulo', 'slug': 'romulo', 'shortName': 'Rômulo', 'position': 'M', 'userCount': 342, 'id': 147465};Rômulo;Foul;90
HEL X NAP 19-08-2017;;118702577;red;card;False;{'name': 'Elseid Hysaj', 'slug': 'elseid-hysaj', 'shortName': 'E. Hysaj', 'position': 'D', 'userCount': 1435, 'id': 136322};Elseid Hysaj;Professional foul last man;82
HEL X NAP 19-08-2017;;118702574;yellow;card;True;{'name': 'Thomas Heurtaux', 'slug': 'thomas-heurtaux', 'shortName': 'T. Heurtaux', 'position': 'D', 'userCount': 29, 'id': 74769};Thomas Heurtaux;Foul;74
HEL X NAP 19-08-2017;;118702576;yellow;card;False;{'name': 'Elseid Hysaj', 'slug': 'elseid-hysaj', 'shortName': 'E. Hysaj', 'position': 'D', 'userCount': 1435, 'id': 136322};Elseid Hysaj;Foul;51
ATT X ROM 20-08-2017;;118703735;yellow;card;False;{'name': 'Radja Nainggolan', 'slug': 'radja-nainggolan', 'shortName': 'R. Nainggolan', 'position': 'M', 'userCount': 6198, 'id': 44001};Radja Nainggolan;Foul;90
ATT X ROM 20-08-2017;;118703733;yellow;card;True;{'name': 'Rafael Tolói', 'slug': 'rafael-toloi', 'shortName': 'R. Tolói', 'position': 'D', 'userCount': 1020, 'id': 82943};Rafael Tolói;Foul;68
ATT X ROM 20-08-2017;;118703734;yellow;card;False;{'name': 'Grégoire Defrel', 'slug': 'gregoire-defrel', 'shortName': 'G. Defrel', 'position': 'F', 'userCount': 655, 'id': 148566};Grégoire Defrel;Foul;55
BGN X TOR 20-08-2017;3.0;118704074;yellow;card;False;{'name': 'Tomás Rincón', 'slug': 'tomas-rincon', 'shortName': 'T. Rincón', 'position': 'M', 'userCount': 1101, 'id': 46798};Tomás Rincón;Foul;90
BGN X TOR 20-08-2017;;118704073;yellow;card;True;{'name': 'Erick Pulgar', 'slug': 'erick-pulgar', 'shortName': 'E. Pulgar', 'position': 'M', 'userCount': 2654, 'id': 590262};Erick Pulgar;Foul;60
BGN X TOR 20-08-2017;;118704072;yellow;card;True;{'name': 'Sebastien De Maio', 'slug': 'sebastien-de-maio', 'shortName': 'S. D. Maio', 'position': 'D', 'userCount': 128, 'id': 43908};Sebastian De Maio;Foul;48
CRO X MIL 20-08-2017;;118704088;yellow;card;True;{'name': 'Noë Dussenne', 'slug': 'noe-dussenne', 'shortName': 'N. Dussenne', 'position': 'D', 'userCount': 29, 'id': 115569};Noë Dussenne;Foul;90
CRO X MIL 20-08-2017;;118704091;yellow;card;False;{'name': 'Leonardo Bonucci', 'slug': 'leonardo-bonucci', 'shortName': 'L. Bonucci', 'position': 'D', 'userCount': 6486, 'id': 15444};Leonardo Bonucci;Foul;69
CRO X MIL 20-08-2017;;118704090;yellow;card;False;{'name': 'Manuel Locatelli', 'slug': 'manuel-locatelli', 'shortName': 'M. Locatelli', 'position': 'M', 'userCount': 1307, 'id': 363860};Manuel Locatelli;Foul;59
CRO X MIL 20-08-2017;;118704089;yellow;card;False;{'name': 'Patrick Cutrone', 'slug': 'patrick-cutrone', 'shortName': 'P. Cutrone', 'position': 'F', 'userCount': 4883, 'id': 795044};Patrick Cutrone;Foul;9
CRO X MIL 20-08-2017;;118704087;red;card;True;{'name': 'Federico Ceccherini', 'slug': 'federico-ceccherini', 'shortName': 'F. Ceccherini', 'position': 'D', 'userCount': 108, 'id': 139410};Federico Ceccherini;Professional foul last man;5
INT X FIO 20-08-2017;;118704096;yellow;card;False;{'name': 'Carlos Sánchez', 'slug': 'carlos-sanchez', 'shortName': 'C. Sánchez', 'position': 'M', 'userCount': 1678, 'id': 26995};Carlos Sánchez;Foul;13
LAZ X SPA 20-08-2017;;118704095;yellow;card;False;{'name': 'Federico Viviani', 'slug': 'federico-viviani', 'shortName': 'F. Viviani', 'position': 'M', 'userCount': 154, 'id': 148199};Federico Viviani;Foul;90
LAZ X SPA 20-08-2017;;118704094;yellow;card;False;{'name': 'Marco Borriello', 'slug': 'marco-borriello', 'shortName': 'M. Borriello', 'position': 'F', 'userCount': 231, 'id': 2896};Marco Borriello;Foul;75
LAZ X SPA 20-08-2017;;118704093;yellow;card;True;{'name': 'Wallace', 'slug': 'wallace', 'shortName': 'Wallace', 'position': 'D', 'userCount': 257, 'id': 800407};Wallace;Foul;51
LAZ X SPA 20-08-2017;;118704092;yellow;card;True;{'name': 'Luis Alberto', 'slug': 'luis-alberto', 'shortName': 'L. Alberto', 'position': 'M', 'userCount': 3099, 'id': 111416};Luis Alberto;Foul;28
SAM X BEM 20-08-2017;5.0;118704082;yellow;card;False;{'name': 'Danilo Cataldi', 'slug': 'danilo-cataldi', 'shortName': 'D. Cataldi', 'position': 'M', 'userCount': 342, 'id': 317301};Danilo Cataldi;Foul;90
SAM X BEM 20-08-2017;;118704081;yellow;card;False;{'name': 'Lorenzo Del Pinto', 'slug': 'lorenzo-del-pinto', 'shortName': 'L. D. Pinto', 'position': 'M', 'userCount': 21, 'id': 144076};Lorenzo Del Pinto;Foul;49
SAM X BEM 20-08-2017;;118704080;yellow;card;True;{'name': 'Édgar Barreto', 'slug': 'edgar-barreto', 'shortName': 'É. Barreto', 'position': 'M', 'userCount': 119, 'id': 28142};Édgar Barreto;Foul;44
SAS X GEN 20-08-2017;;118704068;yellow;card;False;{'name': 'Santiago Gentiletti', 'slug': 'santiago-gentiletti', 'shortName': 'S. Gentiletti', 'position': 'D', 'userCount': 17, 'id': 128204};Santiago Gentiletti;Foul;63
SAS X GEN 20-08-2017;;118704065;yellow;card;True;{'name': 'Matteo Politano', 'slug': 'matteo-politano', 'shortName': 'M. Politano', 'position': 'F', 'userCount': 1987, 'id': 235672};Matteo Politano;Foul;61
SAS X GEN 20-08-2017;;118704064;yellow;card;True;{'name': 'Francesco Magnanelli', 'slug': 'francesco-magnanelli', 'shortName': 'F. Magnanelli', 'position': 'M', 'userCount': 77, 'id': 44138};Francesco Magnanelli;Foul;55
SAS X GEN 20-08-2017;1.0;118704067;yellow;card;False;{'name': 'Luca Rossettini', 'slug': 'luca-rossettini', 'shortName': 'L. Rossettini', 'position': 'D', 'userCount': 103, 'id': 29718};Luca Rossettini;Foul;45
SAS X GEN 20-08-2017;;118704066;yellow;card;False;{'name': 'Miguel Veloso', 'slug': 'miguel-veloso', 'shortName': 'M. Veloso', 'position': 'M', 'userCount': 682, 'id': 6557};Miguel Veloso;Foul;26
UDI X CHV 20-08-2017;2.0;118704059;yellow;card;False;{'name': 'Fabrizio Cacciatore', 'slug': 'fabrizio-cacciatore', 'shortName': 'F. Cacciatore', 'position': 'D', 'userCount': 212, 'id': 44136};Fabrizio Cacciatore;;90
UDI X CHV 20-08-2017;;118704058;yellow;card;False;{'name': 'Nicola Rigoni', 'slug': 'nicola-rigoni', 'shortName': 'N. Rigoni', 'position': 'M', 'userCount': 19, 'id': 44036};Nicola Rigoni;Foul;82
UDI X CHV 20-08-2017;;118704057;yellow;card;True;{'name': 'Stipe Perica', 'slug': 'stipe-perica', 'shortName': 'S. Perica', 'position': 'F', 'userCount': 271, 'id': 284845};Stipe Perica;Argument;70
UDI X CHV 20-08-2017;;118704056;yellow;card;True;{'name': 'Gabriele Angella', 'slug': 'gabriele-angella', 'shortName': 'G. Angella', 'position': 'D', 'userCount': 34, 'id': 43938};Gabriele Angella;Foul;64
BEM X BGN 26-08-2017;6.0;118707882;yellow;card;False;{'name': 'Sebastien De Maio', 'slug': 'sebastien-de-maio', 'shortName': 'S. D. Maio', 'position': 'D', 'userCount': 128, 'id': 43908};Sebastian De Maio;Foul;90
BEM X BGN 26-08-2017;;118707880;yellow;card;True;{'name': 'Lorenzo Del Pinto', 'slug': 'lorenzo-del-pinto', 'shortName': 'L. D. Pinto', 'position': 'M', 'userCount': 21, 'id': 144076};Lorenzo Del Pinto;Foul;79
BEM X BGN 26-08-2017;;118708036;yellow;card;False;{'name': 'Antonio Mirante', 'slug': 'antonio-mirante', 'shortName': 'A. Mirante', 'position': 'G', 'userCount': 450, 'id': 27955};Antonio Mirante;Time wasting;77
BEM X BGN 26-08-2017;;118707881;yellow;card;False;{'name': 'Andrea Poli', 'slug': 'andrea-poli', 'shortName': 'A. Poli', 'position': 'M', 'userCount': 209, 'id': 29746};Andrea Poli;Foul;39
GEN X JUV 26-08-2017;;118707809;yellow;card;True;{'name': 'Diego Laxalt', 'slug': 'diego-laxalt', 'shortName': 'D. Laxalt', 'position': 'M', 'userCount': 1458, 'id': 333589};Diego Laxalt;Foul;78
GEN X JUV 26-08-2017;;118707812;yellow;card;False;{'name': 'Juan Cuadrado', 'slug': 'juan-cuadrado', 'shortName': 'J. Cuadrado', 'position': 'D', 'userCount': 10324, 'id': 47743};Juan Cuadrado;Foul;64
GEN X JUV 26-08-2017;3.0;118707808;yellow;card;True;{'name': 'Darko Lazović', 'slug': 'darko-lazovic', 'shortName': 'D. Lazović', 'position': 'M', 'userCount': 640, 'id': 41157};Darko Lazović;Handball;45
GEN X JUV 26-08-2017;;118707811;yellow;card;False;{'name': 'Miralem Pjanić', 'slug': 'miralem-pjanic', 'shortName': 'M. Pjanić', 'position': 'M', 'userCount': 10820, 'id': 27678};Miralem Pjanić;Argument;18
