game;addedTime;assist1;assist1Name;awayScore;homeScore;id;incidentClass;incidentType;isHome;player;time
JUV X CAG 19-08-2017;;{'name': 'Alex Sandro', 'slug': 'alex-sandro', 'shortName': 'A. Sandro', 'position': 'D', 'userCount': 6819, 'id': 84854};;0;3;121618064;regular;goal;True;{'name': 'Gonzalo Higuaín', 'slug': 'gonzalo-higuain', 'shortName': 'G. Higuaín', 'position': 'F', 'userCount': 18167, 'id': 19438};66
JUV X CAG 19-08-2017;1.0;{'name': 'Miralem Pjanić', 'slug': 'miralem-pjanic', 'shortName': 'M. Pjanić', 'position': 'M', 'userCount': 10820, 'id': 27678};;0;2;121618063;regular;goal;True;{'name': 'Paulo Dybala', 'slug': 'paulo-dybala', 'shortName': 'P. Dybala', 'position': 'F', 'userCount': 83197, 'id': 256219};45
JUV X CAG 19-08-2017;;{'name': 'Stephan Lichtsteiner', 'slug': 'stephan-lichtsteiner', 'shortName': 'S. Lichtsteiner', 'position': 'D', 'userCount': 1257, 'id': 4392};;0;1;121618062;regular;goal;True;{'name': 'Mario Mandžukić', 'slug': 'mario-mandzukic', 'shortName': 'M. Mandžukić', 'position': 'F', 'userCount': 9918, 'id': 18886};12
HEL X NAP 19-08-2017;;;;3;1;121619711;penalty;goal;True;{'name': 'Giampaolo Pazzini', 'slug': 'giampaolo-pazzini', 'shortName': 'G. Pazzini', 'position': 'F', 'userCount': 400, 'id': 2033};83
HEL X NAP 19-08-2017;;;;3;0;121619714;regular;goal;False;{'name': 'Faouzi Ghoulam', 'slug': 'faouzi-ghoulam', 'shortName': 'F. Ghoulam', 'position': 'D', 'userCount': 5066, 'id': 133236};62
HEL X NAP 19-08-2017;;{'name': 'Lorenzo Insigne', 'slug': 'lorenzo-insigne', 'shortName': 'L. Insigne', 'position': 'F', 'userCount': 7381, 'id': 106258};;2;0;121619713;regular;goal;False;{'name': 'Arkadiusz Milik', 'slug': 'arkadiusz-milik', 'shortName': 'A. Milik', 'position': 'F', 'userCount': 10824, 'id': 161325};39
HEL X NAP 19-08-2017;;;;1;0;121619712;ownGoal;goal;False;{'name': 'Samuel Souprayen', 'slug': 'samuel-souprayen', 'shortName': 'S. Souprayen', 'position': 'D', 'userCount': 22, 'id': 39067};32
ATT X ROM 20-08-2017;;;;1;0;121624231;regular;goal;False;{'name': 'Aleksandar Kolarov', 'slug': 'aleksandar-kolarov', 'shortName': 'A. Kolarov', 'position': 'D', 'userCount': 3459, 'id': 26097};31
BGN X TOR 20-08-2017;;{'name': 'Joel Obi', 'slug': 'joel-obi', 'shortName': 'J. Obi', 'position': 'M', 'userCount': 144, 'id': 79403};;1;1;121625089;regular;goal;False;{'name': 'Adem Ljajić', 'slug': 'adem-ljajic', 'shortName': 'A. Ljajić', 'position': 'M', 'userCount': 1840, 'id': 39587};33
BGN X TOR 20-08-2017;;{'name': 'Simone Verdi', 'slug': 'simone-verdi', 'shortName': 'S. Verdi', 'position': 'F', 'userCount': 1607, 'id': 98058};;0;1;121625088;regular;goal;True;{'name': 'Federico Di Francesco', 'slug': 'federico-di-francesco', 'shortName': 'F. D. Francesco', 'position': 'F', 'userCount': 630, 'id': 320979};27
CRO X MIL 20-08-2017;;{'name': 'Patrick Cutrone', 'slug': 'patrick-cutrone', 'shortName': 'P. Cutrone', 'position': 'F', 'userCount': 4883, 'id': 795044};;3;0;121625104;regular;goal;False;{'name': 'Suso', 'slug': 'suso', 'shortName': 'Suso', 'position': 'F', 'userCount': 4448, 'id': 96370};23
CRO X MIL 20-08-2017;;{'name': 'Suso', 'slug': 'suso', 'shortName': 'Suso', 'position': 'F', 'userCount': 4448, 'id': 96370};;2;0;121625103;regular;goal;False;{'name': 'Patrick Cutrone', 'slug': 'patrick-cutrone', 'shortName': 'P. Cutrone', 'position': 'F', 'userCount': 4883, 'id': 795044};18
CRO X MIL 20-08-2017;;;;1;0;121625102;penalty;goal;False;{'name': 'Franck Kessié', 'slug': 'franck-kessie', 'shortName': 'F. Kessié', 'position': 'M', 'userCount': 2950, 'id': 359226};6
INT X FIO 20-08-2017;;{'name': 'João Mário', 'slug': 'joao-mario', 'shortName': 'J. Mário', 'position': 'M', 'userCount': 2022, 'id': 97001};;0;3;121625107;regular;goal;True;{'name': 'Ivan Perišić', 'slug': 'ivan-perisic', 'shortName': 'I. Perišić', 'position': 'M', 'userCount': 8958, 'id': 38710};79
INT X FIO 20-08-2017;;{'name': 'Ivan Perišić', 'slug': 'ivan-perisic', 'shortName': 'I. Perišić', 'position': 'M', 'userCount': 8958, 'id': 38710};;0;2;121625106;regular;goal;True;{'name': 'Mauro Icardi', 'slug': 'mauro-icardi', 'shortName': 'M. Icardi', 'position': 'F', 'userCount': 15518, 'id': 233114};15
INT X FIO 20-08-2017;;;;0;1;121625105;penalty;goal;True;{'name': 'Mauro Icardi', 'slug': 'mauro-icardi', 'shortName': 'M. Icardi', 'position': 'F', 'userCount': 15518, 'id': 233114};6
SAM X BEM 20-08-2017;;{'name': 'Gastón Ramírez', 'slug': 'gaston-ramirez', 'shortName': 'G. Ramírez', 'position': 'M', 'userCount': 762, 'id': 135590};;1;2;121625095;regular;goal;True;{'name': 'Fabio Quagliarella', 'slug': 'fabio-quagliarella', 'shortName': 'F. Quagliarella', 'position': 'F', 'userCount': 2932, 'id': 11621};54
SAM X BEM 20-08-2017;;;;1;1;121625094;regular;goal;True;{'name': 'Fabio Quagliarella', 'slug': 'fabio-quagliarella', 'shortName': 'F. Quagliarella', 'position': 'F', 'userCount': 2932, 'id': 11621};38
SAM X BEM 20-08-2017;;{'name': 'Danilo Cataldi', 'slug': 'danilo-cataldi', 'shortName': 'D. Cataldi', 'position': 'M', 'userCount': 342, 'id': 317301};;1;0;121625096;regular;goal;False;{'name': 'Amato Ciciretti', 'slug': 'amato-ciciretti', 'shortName': 'A. Ciciretti', 'position': 'M', 'userCount': 294, 'id': 185349};15
UDI X CHV 20-08-2017;;{'name': 'Lucas Castro', 'slug': 'lucas-castro', 'shortName': 'L. Castro', 'position': 'M', 'userCount': 537, 'id': 122711};;2;1;121625080;regular;goal;False;{'name': 'Valter Birsa', 'slug': 'valter-birsa', 'shortName': 'V. Birsa', 'position': 'M', 'userCount': 386, 'id': 15635};54
UDI X CHV 20-08-2017;;{'name': 'Rodrigo De Paul', 'slug': 'rodrigo-de-paul', 'shortName': 'R. D. Paul', 'position': 'M', 'userCount': 3349, 'id': 249399};;1;1;121625078;regular;goal;True;{'name': 'Cyril Théréau', 'slug': 'cyril-thereau', 'shortName': 'C. Théréau', 'position': 'F', 'userCount': 234, 'id': 17895};37
UDI X CHV 20-08-2017;;{'name': 'Valter Birsa', 'slug': 'valter-birsa', 'shortName': 'V. Birsa', 'position': 'M', 'userCount': 386, 'id': 15635};;1;0;121625079;regular;goal;False;{'name': 'Roberto Inglese', 'slug': 'roberto-inglese', 'shortName': 'R. Inglese', 'position': 'F', 'userCount': 844, 'id': 126699};15
BEM X BGN 26-08-2017;;{'name': 'Mattia Destro', 'slug': 'mattia-destro', 'shortName': 'M. Destro', 'position': 'F', 'userCount': 358, 'id': 100570};;1;0;121640253;regular;goal;False;{'name': 'Godfred Donsah', 'slug': 'godfred-donsah', 'shortName': 'G. Donsah', 'position': 'M', 'userCount': 172, 'id': 368418};55
GEN X JUV 26-08-2017;2.0;{'name': 'Gonzalo Higuaín', 'slug': 'gonzalo-higuain', 'shortName': 'G. Higuaín', 'position': 'F', 'userCount': 18167, 'id': 19438};;4;2;121640182;regular;goal;False;{'name': 'Paulo Dybala', 'slug': 'paulo-dybala', 'shortName': 'P. Dybala', 'position': 'F', 'userCount': 83197, 'id': 256219};90
GEN X JUV 26-08-2017;;{'name': 'Mario Mandžukić', 'slug': 'mario-mandzukic', 'shortName': 'M. Mandžukić', 'position': 'F', 'userCount': 9918, 'id': 18886};;3;2;121640181;regular;goal;False;{'name': 'Juan Cuadrado', 'slug': 'juan-cuadrado', 'shortName': 'J. Cuadrado', 'position': 'D', 'userCount': 10324, 'id': 47743};62
GEN X JUV 26-08-2017;3.0;;;2;2;121640180;penalty;goal;False;{'name': 'Paulo Dybala', 'slug': 'paulo-dybala', 'shortName': 'P. Dybala', 'position': 'F', 'userCount': 83197, 'id': 256219};45
GEN X JUV 26-08-2017;;{'name': 'Miralem Pjanić', 'slug': 'miralem-pjanic', 'shortName': 'M. Pjanić', 'position': 'M', 'userCount': 10820, 'id': 27678};;1;2;121640179;regular;goal;False;{'name': 'Paulo Dybala', 'slug': 'paulo-dybala', 'shortName': 'P. Dybala', 'position': 'F', 'userCount': 83197, 'id': 256219};14
GEN X JUV 26-08-2017;;;;0;2;121640178;penalty;goal;True;{'name': 'Andrej Gălăbinov', 'slug': 'andrej-galabinov', 'shortName': 'A. Gălăbinov', 'position': 'F', 'userCount': 133, 'id': 80110};7
GEN X JUV 26-08-2017;;;;0;1;121640177;ownGoal;goal;True;{'name': 'Miralem Pjanić', 'slug': 'miralem-pjanic', 'shortName': 'M. Pjanić', 'position': 'M', 'userCount': 10820, 'id': 27678};1
ROM X INT 26-08-2017;;{'name': 'Ivan Perišić', 'slug': 'ivan-perisic', 'shortName': 'I. Perišić', 'position': 'M', 'userCount': 8958, 'id': 38710};;3;1;121641195;regular;goal;False;{'name': 'Matías Vecino', 'slug': 'matias-vecino', 'shortName': 'M. Vecino', 'position': 'M', 'userCount': 1866, 'id': 158615};87
ROM X INT 26-08-2017;;{'name': 'Ivan Perišić', 'slug': 'ivan-perisic', 'shortName': 'I. Perišić', 'position': 'M', 'userCount': 8958, 'id': 38710};;2;1;121641194;regular;goal;False;{'name': 'Mauro Icardi', 'slug': 'mauro-icardi', 'shortName': 'M. Icardi', 'position': 'F', 'userCount': 15518, 'id': 233114};77
ROM X INT 26-08-2017;;{'name': 'Antonio Candreva', 'slug': 'antonio-candreva', 'shortName': 'A. Candreva', 'position': 'M', 'userCount': 2164, 'id': 27982};;1;1;121641193;regular;goal;False;{'name': 'Mauro Icardi', 'slug': 'mauro-icardi', 'shortName': 'M. Icardi', 'position': 'F', 'userCount': 15518, 'id': 233114};67
ROM X INT 26-08-2017;;{'name': 'Radja Nainggolan', 'slug': 'radja-nainggolan', 'shortName': 'R. Nainggolan', 'position': 'M', 'userCount': 6198, 'id': 44001};;0;1;121641192;regular;goal;True;{'name': 'Edin Džeko', 'slug': 'edin-dzeko', 'shortName': 'E. Džeko', 'position': 'F', 'userCount': 7795, 'id': 14990};15
TOR X SAS 27-08-2017;;;;0;3;121644309;regular;goal;True;{'name': 'Joel Obi', 'slug': 'joel-obi', 'shortName': 'J. Obi', 'position': 'M', 'userCount': 144, 'id': 79403};88
TOR X SAS 27-08-2017;;{'name': 'Iago Falque', 'slug': 'iago-falque', 'shortName': 'I. Falque', 'position': 'F', 'userCount': 894, 'id': 46707};;0;2;121644308;regular;goal;True;{'name': 'Adem Ljajić', 'slug': 'adem-ljajic', 'shortName': 'A. Ljajić', 'position': 'M', 'userCount': 1840, 'id': 39587};84
TOR X SAS 27-08-2017;;{'name': 'Lorenzo De Silvestri', 'slug': 'lorenzo-de-silvestri', 'shortName': 'L. D. Silvestri', 'position': 'M', 'userCount': 711, 'id': 14718};;0;1;121644307;regular;goal;True;{'name': 'Andrea Belotti', 'slug': 'andrea-belotti', 'shortName': 'A. Belotti', 'position': 'F', 'userCount': 4604, 'id': 220223};44
CHV X LAZ 27-08-2017;;{'name': 'Marco Parolo', 'slug': 'marco-parolo', 'shortName': 'M. Parolo', 'position': 'M', 'userCount': 643, 'id': 76122};;2;1;121644823;regular;goal;False;{'name': 'Sergej Milinković-Savić', 'slug': 'sergej-milinkovic-savic', 'shortName': 'S. Milinković-Savić', 'position': 'M', 'userCount': 5986, 'id': 331447};89
CHV X LAZ 27-08-2017;;{'name': 'Roberto Inglese', 'slug': 'roberto-inglese', 'shortName': 'R. Inglese', 'position': 'F', 'userCount': 844, 'id': 126699};;1;1;121644821;regular;goal;True;{'name': 'Manuel Pucciarelli', 'slug': 'manuel-pucciarelli', 'shortName': 'M. Pucciarelli', 'position': 'F', 'userCount': 73, 'id': 153212};34
CHV X LAZ 27-08-2017;;{'name': 'Luis Alberto', 'slug': 'luis-alberto', 'shortName': 'L. Alberto', 'position': 'M', 'userCount': 3099, 'id': 111416};;1;0;121644822;regular;goal;False;{'name': 'Ciro Immobile', 'slug': 'ciro-immobile', 'shortName': 'C. Immobile', 'position': 'F', 'userCount': 10467, 'id': 45923};11
FIO X SAM 27-08-2017;;{'name': 'Bruno Gaspar', 'slug': 'bruno-gaspar', 'shortName': 'B. Gaspar', 'position': 'D', 'userCount': 316, 'id': 252819};;2;1;121644861;regular;goal;True;{'name': 'Milan Badelj', 'slug': 'milan-badelj', 'shortName': 'M. Badelj', 'position': 'M', 'userCount': 1803, 'id': 39482};50
FIO X SAM 27-08-2017;;;;2;0;121644863;penalty;goal;False;{'name': 'Fabio Quagliarella', 'slug': 'fabio-quagliarella', 'shortName': 'F. Quagliarella', 'position': 'F', 'userCount': 2932, 'id': 11621};35
