game;Accurate passes_away_1ST;Accurate passes_away_2ND;Accurate passes_away_ALL;Accurate passes_home_1ST;Accurate passes_home_2ND;Accurate passes_home_ALL;Aerials won_away_1ST;Aerials won_away_2ND;Aerials won_away_ALL;Aerials won_home_1ST;Aerials won_home_2ND;Aerials won_home_ALL;Ball possession_away_1ST;Ball possession_away_2ND;Ball possession_away_ALL;Ball possession_home_1ST;Ball possession_home_2ND;Ball possession_home_ALL;Big chances missed_away_1ST;Big chances missed_away_2ND;Big chances missed_away_ALL;Big chances missed_home_1ST;Big chances missed_home_2ND;Big chances missed_home_ALL;Big chances_away_1ST;Big chances_away_2ND;Big chances_away_ALL;Big chances_home_1ST;Big chances_home_2ND;Big chances_home_ALL;Blocked shots_away_1ST;Blocked shots_away_2ND;Blocked shots_away_ALL;Blocked shots_home_1ST;Blocked shots_home_2ND;Blocked shots_home_ALL;Clearances_away_1ST;Clearances_away_2ND;Clearances_away_ALL;Clearances_home_1ST;Clearances_home_2ND;Clearances_home_ALL;Corner kicks_away_1ST;Corner kicks_away_2ND;Corner kicks_away_ALL;Corner kicks_home_1ST;Corner kicks_home_2ND;Corner kicks_home_ALL;Counter attacks_away_1ST;Counter attacks_away_2ND;Counter attacks_away_ALL;Counter attacks_home_1ST;Counter attacks_home_2ND;Counter attacks_home_ALL;Crosses_away_1ST;Crosses_away_2ND;Crosses_away_ALL;Crosses_home_1ST;Crosses_home_2ND;Crosses_home_ALL;Dribbles_away_1ST;Dribbles_away_2ND;Dribbles_away_ALL;Dribbles_home_1ST;Dribbles_home_2ND;Dribbles_home_ALL;Duels won_away_1ST;Duels won_away_2ND;Duels won_away_ALL;Duels won_home_1ST;Duels won_home_2ND;Duels won_home_ALL;Fouls_away_ALL;Fouls_home_ALL;Goalkeeper saves_away_1ST;Goalkeeper saves_away_2ND;Goalkeeper saves_away_ALL;Goalkeeper saves_home_1ST;Goalkeeper saves_home_2ND;Goalkeeper saves_home_ALL;Hit woodwork_away_1ST;Hit woodwork_away_2ND;Hit woodwork_away_ALL;Hit woodwork_home_1ST;Hit woodwork_home_2ND;Hit woodwork_home_ALL;Interceptions_away_1ST;Interceptions_away_2ND;Interceptions_away_ALL;Interceptions_home_1ST;Interceptions_home_2ND;Interceptions_home_ALL;Long balls_away_1ST;Long balls_away_2ND;Long balls_away_ALL;Long balls_home_1ST;Long balls_home_2ND;Long balls_home_ALL;Offsides_away_1ST;Offsides_away_2ND;Offsides_away_ALL;Offsides_home_1ST;Offsides_home_2ND;Offsides_home_ALL;Passes_away_1ST;Passes_away_2ND;Passes_away_ALL;Passes_home_1ST;Passes_home_2ND;Passes_home_ALL;Possession lost_away_1ST;Possession lost_away_2ND;Possession lost_away_ALL;Possession lost_home_1ST;Possession lost_home_2ND;Possession lost_home_ALL;Red cards_away_1ST;Red cards_away_2ND;Red cards_away_ALL;Red cards_home_1ST;Red cards_home_2ND;Red cards_home_ALL;Shots inside box_away_1ST;Shots inside box_away_2ND;Shots inside box_away_ALL;Shots inside box_home_1ST;Shots inside box_home_2ND;Shots inside box_home_ALL;Shots off target_away_1ST;Shots off target_away_2ND;Shots off target_away_ALL;Shots off target_home_1ST;Shots off target_home_2ND;Shots off target_home_ALL;Shots on target_away_1ST;Shots on target_away_2ND;Shots on target_away_ALL;Shots on target_home_1ST;Shots on target_home_2ND;Shots on target_home_ALL;Shots outside box_away_1ST;Shots outside box_away_2ND;Shots outside box_away_ALL;Shots outside box_home_1ST;Shots outside box_home_2ND;Shots outside box_home_ALL;Tackles_away_1ST;Tackles_away_2ND;Tackles_away_ALL;Tackles_home_1ST;Tackles_home_2ND;Tackles_home_ALL;Total shots_away_1ST;Total shots_away_2ND;Total shots_away_ALL;Total shots_home_1ST;Total shots_home_2ND;Total shots_home_ALL;Yellow cards_away_1ST;Yellow cards_away_2ND;Yellow cards_away_ALL;Yellow cards_home_1ST;Yellow cards_home_2ND;Yellow cards_home_ALL;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
PRM X JUV 24-08-2019;234 (91%);218 (86%);452 (89%);131 (85%);127 (73%);258 (79%);5;6;11;4;4;8;64%;60%;62%;36%;40%;38%;1;1;2;0;0;0;2;1;3;0;0;0;2;1;3;2;2;4;5;11;16;17;3;20;6;2;8;3;2;5;;;;;;;3/17 (18%);1/10 (10%);4/27 (15%);1/5 (20%);2/7 (29%);3/12 (25%);11/15 (73%);5/7 (71%);16/22 (73%);6/8 (75%);4/9 (44%);10/17 (59%);27;28;55;22;24;46;14;13;2;0;2;1;2;3;;;;;;;4;5;9;1;8;9;11/18 (61%);15/26 (58%);26/44 (59%);16/28 (57%);16/33 (48%);32/61 (52%);1;0;1;0;2;2;256;254;510;154;173;327;;;119;;;121;;;;;;;4;3;7;1;0;1;6;1;7;0;2;2;2;2;4;2;0;2;6;1;7;3;4;7;5;12;17;6;8;14;10;4;14;4;4;8;0;3;3;2;0;2;1.0;2019-08-24;10.0;-29.0;-30.0;-21.0;-77.0;-11.0;-12.0;-15.0;25.0;8.0;-12.0;4.0;-8.0;-5.0;-46.0;-52.0;-26.0;-16.0;-18.0;-12.0;6.0;-8.0;-11.0;-51.0;-12.0;-27.0;-16.0;-4.0;-33.0;-19.0;46.0;18.0;-27.0;-43.0;-10.0;-21.0;-57.0;-35.0;-21.0;-43.0;3.0;-2.0;-2.0;7.0;33.0;-23.0;14.0;-25.0;-10.0;8.0;12.0;5.0;30.0;20.0;5.0;-16.0;-15.0;-35.0;-46.0;-53.0;-51.0;-26.0;-20.0;-13.0;-28.0;-16.0;-16.0;-44.0;-29.0;-16.0;-9.0;-52.0;-24.0;-12.0;-8.0;7.0;-10.0;-8.0;-34.0;-6.0;-5.0;-4.0;3.0;1.0;-3.0;-6.0;-1.0;7.0;17.0;-39.0;10.0;27.0;0.0;14:00:00;-1.0;JUV;PRM
FIO X NAP 24-08-2019;181 (82%);263 (88%);444 (85%);147 (82%);174 (83%);321 (83%);7;5;12;4;5;9;56%;59%;58%;44%;41%;42%;0;0;0;0;1;1;1;1;2;1;1;2;3;3;6;2;6;8;4;8;12;13;2;15;3;2;5;0;4;4;0;0;0;0;1;1;2/12 (17%);2/2 (100%);4/14 (29%);2/5 (40%);1/10 (10%);3/15 (20%);6/8 (75%);3/5 (60%);9/13 (69%);5/7 (71%);11/14 (79%);16/21 (76%);27;25;52;25;29;54;16;21;1;2;3;1;2;3;;;;;;;1;8;9;6;5;11;9/17 (53%);16/29 (55%);25/46 (54%);9/20 (45%);6/9 (67%);15/29 (52%);0;0;0;1;0;1;220;300;520;179;210;389;;;111;;;110;;;;;;;3;5;8;4;5;9;1;2;3;4;2;6;3;4;7;2;4;6;4;4;8;4;7;11;6;6;12;6;8;14;7;9;16;8;12;20;3;1;4;0;2;2;4.0;2019-08-24;10.0;44.0;29.0;8.0;-26.0;-38.0;-28.0;-23.0;21.0;-19.0;15.0;12.0;15.0;4.0;12.0;-16.0;-7.0;-10.0;-7.0;-11.0;-33.0;-25.0;29.0;15.0;-16.0;-65.0;-7.0;9.0;-19.0;-9.0;-5.0;-5.0;-31.0;14.0;-15.0;-26.0;-13.0;-48.0;-25.0;-20.0;-6.0;-8.0;-8.0;-3.0;2.0;11.0;6.0;-21.0;35.0;11.0;-14.0;59.0;-75.0;-25.0;-29.0;-8.0;24.0;-16.0;-6.0;34.0;23.0;-63.0;50.0;16.0;16.0;-58.0;-30.0;19.0;-62.0;-32.0;-16.0;12.0;2.0;-7.0;-9.0;-42.0;-32.0;-25.0;15.0;-23.0;-35.0;-15.0;10.0;10.0;22.0;17.0;19.0;69.0;43.0;47.0;35.0;-8.0;3.0;16:45:00;-1.0;NAP;FIO
UDI X MIL 25-08-2019;257 (88%);215 (88%);472 (88%);161 (81%);129 (84%);290 (82%);6;9;15;7;7;14;59%;61%;60%;41%;39%;40%;;;;;;;;;;;;;2;3;5;2;3;5;20;11;31;8;8;16;2;2;4;5;4;9;;;;;;;0/5 (0%);2/11 (18%);2/16 (13%);3/13 (23%);3/11 (27%);6/24 (25%);3/5 (60%);4/6 (67%);7/11 (64%);7/8 (88%);2/3 (67%);9/11 (82%);26;23;49;26;19;45;11;16;0;5;5;0;0;0;;;;;;;1;2;3;10;2;12;4/13 (31%);9/16 (56%);13/29 (45%);22/31 (71%);14/30 (47%);36/61 (59%);;;;;;;291;244;535;200;153;353;;;101;;;112;;;;;;;2;3;5;2;4;6;3;6;9;3;3;6;0;0;0;0;6;6;3;6;9;3;8;11;8;6;14;6;6;12;5;9;14;5;12;17;3;0;3;1;0;1;0.0;2019-08-25;8.0;-3.0;-7.0;-6.0;-7.0;-8.0;-2.0;48.0;80.0;84.0;48.0;25.0;23.0;-42.0;-15.0;38.0;16.0;5.0;-18.0;-1.0;9.0;-8.0;10.0;-3.0;5.0;21.0;-24.0;-10.0;-5.0;-6.0;-5.0;-20.0;-51.0;2.0;-26.0;-13.0;17.0;3.0;32.0;26.0;25.0;11.0;-23.0;-28.0;27.0;-5.0;6.0;1.0;24.0;-32.0;-7.0;-4.0;41.0;35.0;25.0;59.0;12.0;30.0;-32.0;-22.0;-12.0;-16.0;-1.0;-6.0;-4.0;-36.0;-1.0;-21.0;-2.0;-1.0;79.0;49.0;26.0;15.0;66.0;65.0;89.0;60.0;-10.0;32.0;-25.0;-32.0;-31.0;-23.0;-9.0;-32.0;-25.0;-17.0;-12.0;8.0;-10.0;-34.0;1.0;14:00:00;1.0;MIL;UDI
CAG X BCA 25-08-2019;136 (70%);92 (63%);228 (67%);198 (81%);180 (77%);378 (79%);15;14;29;17;8;25;46%;38%;42%;54%;62%;58%;0;0;0;1;0;1;0;1;1;1;0;1;0;1;1;3;3;6;10;29;39;18;11;29;5;3;8;2;6;8;;;;;;;3/14 (21%);2/6 (33%);5/20 (25%);2/9 (22%);5/23 (22%);7/32 (22%);6/7 (86%);4/5 (80%);10/12 (83%);3/6 (50%);1/6 (17%);4/12 (33%);28;31;59;29;19;48;12;10;1;4;5;1;0;1;;;;;;;7;4;11;13;11;24;15/32 (47%);13/33 (39%);28/65 (43%);26/39 (67%);21/41 (51%);47/80 (59%);5;2;7;0;2;2;194;147;341;243;235;478;;;165;;;155;;;;;;;5;4;9;2;5;7;5;2;7;3;1;4;1;1;2;0;4;4;1;0;1;4;3;7;4;8;12;4;5;9;6;4;10;6;8;14;0;2;2;1;1;2;1.0;2019-08-25;10.0;18.0;57.0;10.0;5.0;5.0;-10.0;-7.0;-19.0;-6.0;-11.0;23.0;-31.0;-60.0;-32.0;-13.0;-13.0;-12.0;7.0;7.0;2.0;-73.0;47.0;-88.0;-51.0;-34.0;-11.0;8.0;13.0;18.0;17.0;16.0;6.0;22.0;1.0;-2.0;-3.0;-5.0;-57.0;-61.0;-15.0;-10.0;18.0;-37.0;21.0;18.0;-6.0;-19.0;-48.0;-28.0;-80.0;-49.0;-29.0;-25.0;-10.0;-23.0;15.0;-24.0;-34.0;-15.0;19.0;13.0;47.0;54.0;37.0;57.0;31.0;-43.0;44.0;18.0;7.0;6.0;-4.0;10.0;46.0;67.0;57.0;76.0;-29.0;48.0;15.0;9.0;9.0;28.0;24.0;46.0;76.0;100.0;42.0;-14.0;26.0;5.0;0.0;16:45:00;-1.0;BCA;CAG
HEL X BGN 25-08-2019;239 (85%);276 (89%);515 (87%);70 (61%);48 (50%);118 (56%);9;8;17;14;8;22;72%;78%;75%;28%;22%;25%;1;1;2;0;0;0;2;1;3;0;0;0;1;4;5;0;0;0;2;3;5;16;21;37;3;3;6;1;0;1;;;;;;;2/7 (29%);4/17 (24%);6/24 (25%);1/2 (50%);0/1 (0%);1/3 (33%);1/4 (25%);1/8 (13%);2/12 (17%);3/4 (75%);1/5 (20%);4/9 (44%);22;23;45;30;24;54;14;13;0;1;1;1;0;1;;;;;;;4;2;6;5;6;11;17/28 (61%);9/17 (53%);26/45 (58%);6/22 (27%);12/36 (33%);18/58 (31%);0;1;1;2;0;2;281;311;592;114;96;210;;;133;;;126;0;0;0;1;0;1;3;5;8;0;0;0;3;6;9;2;1;3;2;0;2;1;1;2;3;5;8;3;2;5;4;11;15;7;9;16;6;10;16;3;2;5;0;3;3;1;0;1;1.0;2019-08-25;-1.0;5.0;-8.0;-3.0;-6.0;-15.0;-65.0;-38.0;-23.0;-22.0;-13.0;-7.0;-4.0;-19.0;-36.0;-23.0;-6.0;-14.0;-94.0;-61.0;-42.0;-71.0;-4.0;-48.0;-99.0;-54.0;-53.0;-21.0;-17.0;18.0;33.0;42.0;16.0;-3.0;4.0;-6.0;-11.0;-22.0;-13.0;-3.0;-28.0;-27.0;-57.0;-41.0;-38.0;-1.0;-38.0;-41.0;-29.0;-23.0;-47.0;-50.0;-36.0;-38.0;-36.0;-21.0;24.0;-13.0;-48.0;-31.0;-22.0;-17.0;-28.0;-14.0;-13.0;13.0;-65.0;22.0;-54.0;-37.0;-19.0;-22.0;-22.0;-38.0;-31.0;-23.0;-18.0;-38.0;28.0;-25.0;-12.0;-10.0;-20.0;44.0;-33.0;-27.0;-19.0;-39.0;-5.0;17.0;-7.0;-15.0;1.0;16:45:00;0.0;BGN;HEL
ROM X GEN 25-08-2019;188 (87%);137 (78%);325 (83%);185 (86%);193 (84%);378 (85%);10;5;15;4;8;12;50%;44%;47%;50%;56%;53%;0;0;0;2;2;4;1;1;2;2;2;4;0;0;0;3;1;4;16;14;30;9;5;14;0;1;1;3;2;5;0;0;0;1;1;2;0/5 (0%);2/5 (40%);2/10 (20%);4/11 (36%);2/8 (25%);6/19 (32%);1/2 (50%);0/6 (0%);1/8 (13%);7/9 (78%);5/10 (50%);12/19 (63%);23;18;41;17;30;47;15;14;3;3;6;1;0;1;;;;;;;2;8;10;1;8;9;14/24 (58%);12/33 (36%);26/57 (46%);18/28 (64%);11/21 (52%);29/49 (59%);1;5;6;0;0;0;216;175;391;215;229;444;;;106;;;107;;;;;;;2;1;3;5;3;8;0;2;2;4;6;10;3;1;4;5;4;9;1;2;3;7;8;15;6;7;13;2;8;10;3;3;6;12;11;23;0;1;1;2;1;3;3.0;2019-08-25;11.0;-9.0;-9.0;-9.0;-9.0;-26.0;-13.0;-38.0;-35.0;-19.0;25.0;20.0;27.0;16.0;7.0;5.0;-6.0;-14.0;-7.0;11.0;60.0;53.0;15.0;40.0;95.0;57.0;31.0;18.0;83.0;49.0;22.0;-13.0;13.0;28.0;-35.0;-32.0;-18.0;-42.0;-26.0;-14.0;54.0;35.0;55.0;58.0;34.0;17.0;47.0;27.0;-18.0;-2.0;4.0;38.0;28.0;35.0;59.0;32.0;54.0;22.0;9.0;-48.0;-33.0;-27.0;-31.0;-16.0;10.0;13.0;10.0;29.0;-59.0;-30.0;-17.0;-7.0;-3.0;7.0;23.0;58.0;38.0;28.0;26.0;-18.0;27.0;15.0;33.0;23.0;19.0;27.0;19.0;4.0;7.0;9.0;46.0;70.0;3.0;16:45:00;0.0;GEN;ROM
SPA X ATT 25-08-2019;194 (81%);183 (78%);377 (79%);113 (72%);127 (73%);240 (72%);16;12;28;10;11;21;62%;57%;59%;38%;43%;41%;1;2;3;1;0;1;2;2;4;3;0;3;0;1;1;0;0;0;4;12;16;17;11;28;8;2;10;0;2;2;0;1;1;0;0;0;7/23 (30%);2/8 (25%);9/31 (29%);0/3 (0%);2/12 (17%);2/15 (13%);4/9 (44%);2/5 (40%);6/14 (43%);4/7 (57%);5/10 (50%);9/17 (53%);29;34;63;28;29;57;16;13;1;0;1;6;5;11;1;0;1;0;0;0;5;9;14;4;5;9;10/28 (36%);15/33 (45%);25/61 (41%);8/22 (36%);6/26 (23%);14/48 (29%);0;2;2;1;1;2;240;235;475;158;175;333;;;147;;;143;;;;;;;10;3;13;4;2;6;5;2;7;2;4;6;6;7;13;3;0;3;1;7;8;1;2;3;5;12;17;7;7;14;11;10;21;5;4;9;1;0;1;0;2;2;3.0;2019-08-25;17.0;32.0;-32.0;-32.0;-21.0;-21.0;-19.0;-17.0;-15.0;-71.0;-54.0;8.0;-67.0;-47.0;-79.0;-41.0;-30.0;-13.0;-47.0;33.0;2.0;-3.0;5.0;-46.0;-31.0;-61.0;-42.0;-100.0;-85.0;-51.0;-26.0;31.0;-45.0;-13.0;-92.0;-61.0;-37.0;-37.0;-67.0;-34.0;-3.0;-2.0;-22.0;-4.0;15.0;-5.0;3.0;-47.0;-23.0;-13.0;23.0;-11.0;-8.0;-12.0;-22.0;-22.0;34.0;13.0;-42.0;-44.0;-63.0;-42.0;-33.0;-18.0;-14.0;-14.0;-23.0;54.0;25.0;-44.0;-23.0;-7.0;-50.0;-55.0;-100.0;-83.0;-46.0;-7.0;29.0;-4.0;10.0;10.0;32.0;24.0;19.0;12.0;17.0;-30.0;35.0;57.0;28.0;-1.0;2.0;16:45:00;-1.0;ATT;SPA
SAM X LAZ 25-08-2019;143 (78%);219 (86%);362 (83%);182 (82%);198 (88%);380 (85%);10;10;20;6;7;13;47%;53%;50%;53%;47%;50%;0;1;1;0;0;0;1;3;4;0;0;0;0;2;2;0;3;3;13;8;21;7;10;17;5;4;9;1;4;5;1;2;3;0;0;0;5/13 (38%);3/9 (33%);8/22 (36%);1/5 (20%);2/11 (18%);3/16 (19%);2/6 (33%);3/8 (38%);5/14 (36%);5/7 (71%);3/8 (38%);8/15 (53%);35;26;61;26;25;51;12;12;4;4;8;4;3;7;;;;;;;6;6;12;5;1;6;16/26 (62%);27/40 (68%);43/66 (65%);7/20 (35%);7/11 (64%);14/31 (45%);2;4;6;1;0;1;183;254;437;222;226;448;;;124;;;121;;;;;;;6;7;13;2;3;5;4;1;5;2;3;5;5;5;10;4;4;8;3;1;4;4;7;11;16;9;25;7;11;18;9;8;17;6;10;16;2;0;2;1;1;2;3.0;2019-08-25;1.0;-77.0;-57.0;-35.0;-20.0;-11.0;3.0;10.0;8.0;-52.0;-16.0;2.0;-28.0;20.0;16.0;15.0;16.0;17.0;-17.0;-4.0;10.0;-70.0;-39.0;-36.0;25.0;10.0;-42.0;23.0;2.0;-5.0;28.0;-55.0;-22.0;-27.0;-10.0;-4.0;6.0;79.0;61.0;39.0;30.0;14.0;6.0;40.0;21.0;-20.0;6.0;-75.0;-13.0;21.0;5.0;2.0;19.0;-20.0;-6.0;-16.0;-16.0;-21.0;-7.0;-40.0;-21.0;-2.0;-6.0;6.0;-48.0;-22.0;-11.0;-41.0;-11.0;-33.0;-18.0;-14.0;-74.0;-33.0;-27.0;-22.0;-9.0;-12.0;-18.0;-51.0;-34.0;-6.0;28.0;13.0;23.0;74.0;49.0;30.0;30.0;-5.0;18.0;26.0;0.0;16:45:00;-1.0;LAZ;SAM
TOR X SAS 25-08-2019;175 (80%);239 (87%);414 (84%);98 (67%);71 (67%);169 (67%);6;8;14;13;11;24;59%;72%;66%;41%;28%;34%;0;1;1;2;0;2;0;2;2;3;0;3;2;4;6;1;1;2;16;4;20;7;8;15;4;2;6;3;3;6;1;0;1;1;1;2;2/8 (25%);1/4 (25%);3/12 (25%);8/13 (62%);2/4 (50%);10/17 (59%);3/5 (60%);7/11 (64%);10/16 (63%);4/6 (67%);7/10 (70%);11/16 (69%);25;34;59;39;35;74;14;21;1;1;2;3;6;9;0;1;1;0;0;0;4;5;9;8;7;15;10/18 (56%);9/16 (56%);19/34 (56%);21/33 (64%);10/24 (42%);31/57 (54%);0;0;0;0;3;3;219;276;495;146;106;252;;;141;;;137;;;;;;;2;8;10;5;2;7;2;3;5;4;0;4;3;6;9;2;2;4;5;5;10;2;1;3;6;9;15;16;11;27;7;13;20;7;3;10;2;1;3;2;2;4;1.0;2019-08-25;-8.0;2.0;25.0;3.0;-16.0;45.0;46.0;23.0;13.0;13.0;-46.0;-5.0;-22.0;45.0;15.0;5.0;6.0;-8.0;-51.0;-68.0;-35.0;-8.0;9.0;-5.0;-1.0;6.0;51.0;3.0;3.0;6.0;3.0;-2.0;2.0;3.0;10.0;-32.0;25.0;7.0;74.0;45.0;-40.0;-21.0;-3.0;3.0;-5.0;20.0;18.0;4.0;-11.0;-10.0;-67.0;-85.0;-12.0;-10.0;-12.0;-31.0;12.0;16.0;-3.0;56.0;33.0;22.0;-48.0;-15.0;-18.0;-34.0;-83.0;34.0;-45.0;-29.0;-26.0;-19.0;-32.0;-23.0;-20.0;-24.0;-14.0;-12.0;35.0;-28.0;-22.0;-7.0;-9.0;17.0;-35.0;-46.0;30.0;5.0;-4.0;14.0;-10.0;-31.0;2.0;16:45:00;1.0;SAS;TOR
INT X LEC 26-08-2019;154 (86%);141 (80%);295 (83%);229 (88%);257 (92%);486 (90%);11;3;14;8;4;12;42%;39%;41%;58%;61%;59%;0;0;0;1;0;1;0;0;0;1;1;2;3;2;5;3;3;6;16;6;22;15;11;26;5;2;7;3;4;7;1;0;1;1;0;1;1/13 (8%);1/8 (13%);2/21 (10%);3/15 (20%);3/8 (38%);6/23 (26%);3/6 (50%);6/6 (100%);9/12 (75%);9/10 (90%);4/8 (50%);13/18 (72%);23;22;45;29;15;44;9;13;2;2;4;1;0;1;;;;;;;3;2;5;7;5;12;9/20 (45%);19/25 (76%);28/45 (62%);25/34 (74%);25/32 (78%);50/66 (76%);0;0;0;1;4;5;180;176;356;259;280;539;52;51;103;54;44;98;0;1;1;0;0;0;2;2;4;7;6;13;5;5;10;5;5;10;2;0;2;4;4;8;8;5;13;5;6;11;2;8;10;8;3;11;10;7;17;12;12;24;1;1;2;1;0;1;0.0;2019-08-26;10.0;-5.0;-3.0;-22.0;28.0;-11.0;-32.0;-16.0;-8.0;22.0;-64.0;17.0;-18.0;51.0;28.0;18.0;78.0;59.0;26.0;65.0;47.0;29.0;13.0;21.0;18.0;38.0;90.0;21.0;8.0;-19.0;-42.0;-59.0;-16.0;21.0;-28.0;-18.0;23.0;9.0;-25.0;-20.0;;1.0;-18.0;-6.0;-25.0;63.0;-27.0;-46.0;-21.0;22.0;7.0;5.0;18.0;10.0;22.0;-36.0;15.0;49.0;25.0;49.0;32.0;69.0;47.0;26.0;10.0;45.0;30.0;11.0;57.0;39.0;28.0;17.0;14.0;-20.0;-4.0;17.0;13.0;14.0;-17.0;15.0;16.0;2.0;-29.0;30.0;38.0;15.0;-19.0;16.0;18.0;-2.0;12.0;;4.0;16:45:00;1.0;LEC;INT
