game;length;time;addedTime;incidentType
PRM X JUV 24-08-2019;6;90;0;injuryTime
PRM X JUV 24-08-2019;3;45;0;injuryTime
FIO X NAP 24-08-2019;4;90;0;injuryTime
FIO X NAP 24-08-2019;2;45;0;injuryTime
UDI X MIL 25-08-2019;5;90;0;injuryTime
CAG X BCA 25-08-2019;5;45;0;injuryTime
ROM X GEN 25-08-2019;4;45;0;injuryTime
SPA X ATT 25-08-2019;1;45;0;injuryTime
SAM X LAZ 25-08-2019;2;90;0;injuryTime
TOR X SAS 25-08-2019;3;90;0;injuryTime
PRM X CAG 15-09-2019;12;90;0;injuryTime
SPA X LAZ 15-09-2019;7;45;0;injuryTime
SAS X SPA 22-09-2019;10;90;0;injuryTime
NAP X BCA 29-09-2019;7;90;0;injuryTime
GEN X MIL 05-10-2019;8;90;0;injuryTime
ATT X MIL 22-12-2019;1;90;0;injuryTime
CAG X TOR 27-06-2020;6;45;0;injuryTime
