game;text;homeScore;awayScore;isLive;time;addedTime;incidentType
PRM X JUV 24-08-2019;FT;0;1;False;90;999;period
PRM X JUV 24-08-2019;HT;0;1;False;45;999;period
FIO X NAP 24-08-2019;FT;3;4;False;90;999;period
FIO X NAP 24-08-2019;HT;1;2;False;45;999;period
UDI X MIL 25-08-2019;FT;1;0;False;90;999;period
UDI X MIL 25-08-2019;HT;0;0;False;45;999;period
HEL X BGN 25-08-2019;FT;1;1;False;90;999;period
HEL X BGN 25-08-2019;HT;1;1;False;45;999;period
ROM X GEN 25-08-2019;FT;3;3;False;90;999;period
ROM X GEN 25-08-2019;HT;2;2;False;45;999;period
SPA X ATT 25-08-2019;FT;2;3;False;90;999;period
SPA X ATT 25-08-2019;HT;2;1;False;45;999;period
SAM X LAZ 25-08-2019;FT;0;3;False;90;999;period
TOR X SAS 25-08-2019;FT;2;1;False;90;999;period
TOR X SAS 25-08-2019;HT;1;0;False;45;999;period
INT X LEC 26-08-2019;FT;4;0;False;90;999;period
INT X LEC 26-08-2019;HT;2;0;False;45;999;period
JUV X NAP 31-08-2019;FT;4;3;False;90;999;period
CAG X INT 01-09-2019;FT;1;2;False;90;999;period
SAS X SAM 01-09-2019;FT;4;1;False;90;999;period
SAS X SAM 01-09-2019;HT;3;0;False;45;999;period
UDI X PRM 01-09-2019;FT;1;3;False;90;999;period
FIO X JUV 14-09-2019;FT;0;0;False;90;999;period
NAP X SAM 14-09-2019;FT;2;0;False;90;999;period
BCA X BGN 15-09-2019;HT;3;1;False;45;999;period
PRM X CAG 15-09-2019;HT;0;2;False;45;999;period
ROM X SAS 15-09-2019;FT;4;2;False;90;999;period
ROM X SAS 15-09-2019;HT;4;0;False;45;999;period
CAG X GEN 20-09-2019;FT;3;1;False;90;999;period
MIL X INT 21-09-2019;FT;0;2;False;90;999;period
SAS X SPA 22-09-2019;FT;3;0;False;90;999;period
LEC X NAP 22-09-2019;FT;1;4;False;90;999;period
ATT X FIO 22-09-2019;FT;2;2;False;90;999;period
SAS X ATT 28-09-2019;HT;0;4;False;45;999;period
PRM X TOR 30-09-2019;FT;3;2;False;90;999;period
LAZ X ATT 19-10-2019;HT;0;3;False;45;999;period
SAS X INT 20-10-2019;HT;1;3;False;45;999;period
PRM X GEN 20-10-2019;FT;5;1;False;90;999;period
ATT X UDI 27-10-2019;FT;7;1;False;90;999;period
UDI X ROM 30-10-2019;FT;0;4;False;90;999;period
CAG X FIO 10-11-2019;FT;5;2;False;90;999;period
ATT X MIL 22-12-2019;FT;5;0;False;90;999;period
TOR X ATT 25-01-2020;FT;0;7;False;90;999;period
SAM X NAP 03-02-2020;FT;2;4;False;90;999;period
SAM X FIO 16-02-2020;FT;1;5;False;90;999;period
LEC X ATT 01-03-2020;FT;2;7;False;90;999;period
INT X BCA 01-07-2020;FT;6;0;False;90;999;period
