game;addedTime;confirmed;id;incidentClass;incidentType;isHome;player;time
PRM X JUV 24-08-2019;;False;247;goalAwarded;varDecision;False;{'name': 'Cristiano Ronaldo', 'slug': 'cristiano-ronaldo', 'shortName': 'C. Ronaldo', 'position': 'F', 'userCount': 318587, 'id': 750};37
FIO X NAP 24-08-2019;;False;251;penaltyNotAwarded;varDecision;True;{'name': 'Gaetano Castrovilli', 'slug': 'gaetano-castrovilli', 'shortName': 'G. Castrovilli', 'position': 'M', 'userCount': 1227, 'id': 587628};7
UDI X MIL 25-08-2019;;True;276;penaltyNotAwarded;varDecision;False;{'name': 'Alessio Romagnoli', 'slug': 'alessio-romagnoli', 'shortName': 'A. Romagnoli', 'position': 'D', 'userCount': 3194, 'id': 227864};83
CAG X BCA 25-08-2019;;False;285;penaltyNotAwarded;varDecision;False;{'name': 'Jhon Chancellor', 'slug': 'jhon-chancellor', 'shortName': 'J. Chancellor', 'position': 'D', 'userCount': 514, 'id': 249251};52
CAG X BCA 25-08-2019;;False;279;goalAwarded;varDecision;False;{'name': 'Nikolas Špalek', 'slug': 'nikolas-spalek', 'shortName': 'N. Špalek', 'position': 'M', 'userCount': 255, 'id': 325129};14
BGN X SPA 30-08-2019;;True;331;penaltyNotAwarded;varDecision;True;{'name': 'Nicola Sansone', 'slug': 'nicola-sansone', 'shortName': 'N. Sansone', 'position': 'M', 'userCount': 674, 'id': 100580};57
CAG X INT 01-09-2019;;False;382;goalNotAwarded;varDecision;False;{'name': 'Lautaro Martínez', 'slug': 'lautaro-martinez', 'shortName': 'L. Martínez', 'position': 'F', 'userCount': 15517, 'id': 823984};30
NAP X SAM 14-09-2019;;False;440;goalNotAwarded;varDecision;True;{'name': 'Fernando Llorente', 'slug': 'fernando-llorente', 'shortName': 'F. Llorente', 'position': 'F', 'userCount': 1971, 'id': 11692};69
INT X UDI 14-09-2019;;False;446;cardUpgrade;varDecision;False;{'name': 'Rodrigo De Paul', 'slug': 'rodrigo-de-paul', 'shortName': 'R. D. Paul', 'position': 'M', 'userCount': 3344, 'id': 249399};34
GEN X ATT 15-09-2019;;False;455;penaltyNotAwarded;varDecision;False;{'name': 'Duván Zapata', 'slug': 'duvan-zapata', 'shortName': 'D. Zapata', 'position': 'F', 'userCount': 7871, 'id': 38162};62
PRM X CAG 15-09-2019;7.0;False;465;goalAwarded;varDecision;False;{'name': 'João Pedro', 'slug': 'joao-pedro', 'shortName': 'J. Pedro', 'position': 'F', 'userCount': 1601, 'id': 123208};90
PRM X CAG 15-09-2019;;False;464;penaltyAwarded;varDecision;True;{'name': 'Andreas Cornelius', 'slug': 'andreas-cornelius', 'shortName': 'A. Cornelius', 'position': 'F', 'userCount': 1188, 'id': 183483};90
SPA X LAZ 15-09-2019;;False;459;penaltyNotAwarded;varDecision;False;{'name': 'Felipe Caicedo', 'slug': 'felipe-caicedo', 'shortName': 'F. Caicedo', 'position': 'F', 'userCount': 1300, 'id': 18841};15
ROM X SAS 15-09-2019;;False;469;penaltyAwarded;varDecision;True;{'name': 'Aleksandar Kolarov', 'slug': 'aleksandar-kolarov', 'shortName': 'A. Kolarov', 'position': 'D', 'userCount': 3457, 'id': 26097};4
HEL X MIL 15-09-2019;;False;478;goalAwarded;varDecision;False;{'name': 'Krzysztof Piątek', 'slug': 'krzysztof-piatek', 'shortName': 'K. Piątek', 'position': 'F', 'userCount': 22777, 'id': 558738};84
HEL X MIL 15-09-2019;;False;475;cardUpgrade;varDecision;True;{'name': 'Mariusz Stępiński', 'slug': 'mariusz-stepinski', 'shortName': 'M. Stępiński', 'position': 'F', 'userCount': 2237, 'id': 189127};20
TOR X LEC 16-09-2019;10.0;True;483;penaltyNotAwarded;varDecision;True;{'name': 'Andrea Belotti', 'slug': 'andrea-belotti', 'shortName': 'A. Belotti', 'position': 'F', 'userCount': 4571, 'id': 220223};90
UDI X BCA 21-09-2019;;False;511;penaltyAwarded;varDecision;True;{'name': 'Kevin Lasagna', 'slug': 'kevin-lasagna', 'shortName': 'K. Lasagna', 'position': 'F', 'userCount': 814, 'id': 587962};49
MIL X INT 21-09-2019;;False;520;goalNotAwarded;varDecision;False;{'name': 'Marcelo Brozović', 'slug': 'marcelo-brozovic', 'shortName': 'M. Brozović', 'position': 'M', 'userCount': 5777, 'id': 108800};50
SAS X SPA 22-09-2019;1.0;True;531;goalNotAwarded;varDecision;False;{'name': 'Alessandro Murgia', 'slug': 'alessandro-murgia', 'shortName': 'A. Murgia', 'position': 'M', 'userCount': 233, 'id': 559470};90
SAS X SPA 22-09-2019;;False;530;goalNotAwarded;varDecision;True;{'name': 'Domenico Berardi', 'slug': 'domenico-berardi', 'shortName': 'D. Berardi', 'position': 'F', 'userCount': 2385, 'id': 253367};50
LEC X NAP 22-09-2019;;False;532;penaltyNotAwarded;varDecision;False;{'name': 'Fernando Llorente', 'slug': 'fernando-llorente', 'shortName': 'F. Llorente', 'position': 'F', 'userCount': 1971, 'id': 11692};36
ATT X FIO 22-09-2019;2.0;False;544;goalAwarded;varDecision;True;{'name': 'Mario Pašalić', 'slug': 'mario-pasalic', 'shortName': 'M. Pašalić', 'position': 'M', 'userCount': 3460, 'id': 190437};90
FIO X SAM 25-09-2019;1.0;False;566;penaltyAwarded;varDecision;True;{'name': 'Riccardo Sottil', 'slug': 'riccardo-sottil', 'shortName': 'R. Sottil', 'position': 'F', 'userCount': 363, 'id': 893640};90
PRM X SAS 25-09-2019;;False;565;penaltyNotAwarded;varDecision;True;{'name': 'Bruno Alves', 'slug': 'bruno-alves', 'shortName': 'B. Alves', 'position': 'D', 'userCount': 1174, 'id': 13204};71
PRM X SAS 25-09-2019;;False;563;goalAwarded;varDecision;True;{'name': 'Gervinho', 'slug': 'gervinho', 'shortName': 'Gervinho', 'position': 'F', 'userCount': 3773, 'id': 26991};43
SAS X ATT 28-09-2019;;False;610;goalNotAwarded;varDecision;True;{'name': 'Grégoire Defrel', 'slug': 'gregoire-defrel', 'shortName': 'G. Defrel', 'position': 'F', 'userCount': 646, 'id': 148566};63
NAP X BCA 29-09-2019;;False;618;goalAwarded;varDecision;False;{'name': 'Sandro Tonali', 'slug': 'sandro-tonali', 'shortName': 'S. Tonali', 'position': 'M', 'userCount': 4211, 'id': 892673};51
NAP X BCA 29-09-2019;;False;614;goalAwarded;varDecision;True;{'name': 'Konstantinos Manolas', 'slug': 'konstantinos-manolas', 'shortName': 'K. Manolas', 'position': 'D', 'userCount': 3013, 'id': 41234};19
LAZ X GEN 29-09-2019;;False;624;goalAwarded;varDecision;True;{'name': 'Luis Alberto', 'slug': 'luis-alberto', 'shortName': 'L. Alberto', 'position': 'M', 'userCount': 3043, 'id': 111416};36
