game;accuratePass;aerialDuels;challengeLost;disabled;fouls;goalAssist;goals;goodHighClaim;groundDuels;id;interceptionWon;keyPass;minutesPlayed;name;national;offsides;outfielderBlock;position;possessionLost;punches;rating;runsOut;saves;shortName;shotsBlocked;shotsOffTarget;shotsOnTarget;slug;team;team_id;team_name;totalClearance;totalContest;totalCross;totalDuels;totalLongBalls;totalPass;totalTackle;touches;wasFouled
PRM X JUV 24-08-2019;85 (91%);0 (0);3;;1;;;;11 (7);27678;3;2;90';Miralem Pjanić;False;;2;M;11;;8.2;;;M. Pjanić;0;0;1;juventus;JUV;2687;Juventus;1;2 (2);5 (2);11 (7);7 (4);85 (91%);4;113;1
PRM X JUV 24-08-2019;46 (92%);2 (2);;;2;;1;;5 (3);2009;1;0;90';Giorgio Chiellini;False;;2;D;4;;8.1;;;G. Chiellini;0;0;1;juventus;JUV;2687;Juventus;3;1 (1);0 (0);7 (5);2 (1);46 (92%);2;60;0
PRM X JUV 24-08-2019;45 (86%);1 (1);1;;0;;;;7 (6);137667;1;0;90';Mattia De Sciglio;False;;0;D;12;;7.7;;;M. D. Sciglio;0;0;0;juventus;JUV;2687;Juventus;2;3 (3);3 (1);8 (7);5 (5);45 (86%);3;75;0
PRM X JUV 24-08-2019;45 (90%);1 (1);;;2;1;;;10 (6);84854;0;2;90';Alex Sandro;False;;0;D;14;;7.6;;;A. Sandro;0;1;0;juventus;JUV;2687;Juventus;1;2 (1);3 (0);11 (7);6 (5);45 (90%);2;77;3
PRM X JUV 24-08-2019;14 (73%);0 (0);;;0;;;0;0 (0);50490;0;0;90';Wojciech Szczęsny;False;;0;G;;1;7.5;1 (1);2;W. Szczęsny;0;0;0;juventus;JUV;2687;Juventus;1;0 (0);0 (0);0 (0);10 (5);14 (73%);0;30;0
PRM X JUV 24-08-2019;42 (93%);0 (0);;;1;;;;13 (9);47908;0;2;71';Douglas Costa;False;;0;F;14;;7.5;;;D. Costa;1;1;0;juventus;JUV;2687;Juventus;0;8 (5);5 (0);13 (9);0 (0);42 (93%);1;67;3
PRM X JUV 24-08-2019;46 (83%);7 (3);;;0;;;;2 (1);15444;2;0;90';Leonardo Bonucci;False;;0;D;10;;7.0;;;L. Bonucci;0;1;0;juventus;JUV;2687;Juventus;3;0 (0);0 (0);9 (4);8 (2);46 (83%);0;64;2
PRM X JUV 24-08-2019;24 (80%);0 (0);2;;0;;;;9 (5);147269;3;1;77';Gastón Brugman;False;;0;M;11;;6.9;;;G. Brugman;0;0;0;parma;PRM;2690;Parma;0;2 (2);3 (1);9 (5);6 (5);24 (80%);2;46;1
PRM X JUV 24-08-2019;20 (71%);1 (1);;;0;;;1;0 (0);46714;0;0;90';Luigi Sepe;False;;0;G;;1;6.9;1 (1);3;L. Sepe;0;0;0;parma;PRM;2690;Parma;2;0 (0);0 (0);1 (1);13 (5);20 (71%);0;37;0
PRM X JUV 24-08-2019;32 (80%);2 (1);2;;2;;;;4 (0);156019;0;0;90';Hernani;False;;1;M;11;;6.8;;;Hernani;0;1;1;parma;PRM;2690;Parma;2;0 (0);3 (1);6 (1);8 (5);32 (80%);0;52;0
