game;fixture;id;team_home;team_away;date;link;home_score;away_score
CTT X DRE 15-07-2011;1;1771076;CTT;DRE;15-07-2011;https://www.sofascore.com/pt/dynamo-dresden-energie-cottbus/HabsVbb;2;1
FSV X UNB 15-07-2011;1;1771092;FSV;UNB;15-07-2011;https://www.sofascore.com/pt/fsv-frankfurt-1-fc-union-berlin/XabsCpc;1;1
FUR X SGE 15-07-2011;1;1771074;FUR;SGE;15-07-2011;https://www.sofascore.com/pt/eintracht-frankfurt-spvgg-greuther-furth/bbbszdb;2;3
AUE X AAC 16-07-2011;1;1771096;AUE;AAC;16-07-2011;https://www.sofascore.com/pt/erzgebirge-aue-alemannia-aachen/Wabsqbb;1;0
STP X ING 16-07-2011;1;1771073;STP;ING;16-07-2011;https://www.sofascore.com/pt/ingolstadt-fc-st-pauli/BabsFrc;2;0
EBR X MUN 17-07-2011;1;1771094;EBR;MUN;17-07-2011;https://www.sofascore.com/pt/eintracht-braunschweig-1860-munchen/Labshbb;3;1
HAN X SCP 17-07-2011;1;1771095;HAN;SCP;17-07-2011;https://www.sofascore.com/pt/sc-paderborn-07-hansa-rostock/Iabslbb;1;2
KAR X DUI 17-07-2011;1;1771093;KAR;DUI;17-07-2011;https://www.sofascore.com/pt/karlsruher-sc-msv-duisburg/Tabsdbb;3;2
DUS X BOC 18-07-2011;1;1771077;DUS;BOC;18-07-2011;https://www.sofascore.com/pt/fortuna-dusseldorf-vfl-bochum/RabsNbb;2;0
ING X AUE 22-07-2011;2;1771821;ING;AUE;22-07-2011;https://www.sofascore.com/pt/ingolstadt-erzgebirge-aue/qbbsFrc;0;0
BOC X FSV 22-07-2011;2;1771815;BOC;FSV;22-07-2011;https://www.sofascore.com/pt/fsv-frankfurt-vfl-bochum/RabsCpc;1;0
DUI X CTT 22-07-2011;2;1771816;DUI;CTT;22-07-2011;https://www.sofascore.com/pt/msv-duisburg-energie-cottbus/HabsTab;1;2
UNB X FUR 23-07-2011;2;1771819;UNB;FUR;23-07-2011;https://www.sofascore.com/pt/spvgg-greuther-furth-1-fc-union-berlin/Xabsbbb;0;4
MUN X KAR 23-07-2011;2;1771817;MUN;KAR;23-07-2011;https://www.sofascore.com/pt/karlsruher-sc-1860-munchen/Labsdbb;2;1
AAC X EBR 24-07-2011;2;1771818;AAC;EBR;24-07-2011;https://www.sofascore.com/pt/eintracht-braunschweig-alemannia-aachen/Wabshbb;0;2
DRE X HAN 24-07-2011;2;1771822;DRE;HAN;24-07-2011;https://www.sofascore.com/pt/dynamo-dresden-hansa-rostock/IabsVbb;1;1
SCP X DUS 24-07-2011;2;1771820;SCP;DUS;24-07-2011;https://www.sofascore.com/pt/fortuna-dusseldorf-sc-paderborn-07/lbbsNbb;1;1
SGE X STP 25-07-2011;2;1771814;SGE;STP;25-07-2011;https://www.sofascore.com/pt/eintracht-frankfurt-fc-st-pauli/Babszdb;1;1
UNB X SCP 05-08-2011;3;1771828;UNB;SCP;05-08-2011;https://www.sofascore.com/pt/sc-paderborn-07-1-fc-union-berlin/Xabslbb;3;0
STP X AAC 05-08-2011;3;1771823;STP;AAC;05-08-2011;https://www.sofascore.com/pt/alemannia-aachen-fc-st-pauli/BabsWab;3;1
