game;fixture;id;team_home;team_away;date;link;home_score;away_score
NAU X GOI 10-05-2008;1;661425;NAU;GOI;10-05-2008;https://www.sofascore.com/pt/nautico-goias/kOslP;2;1
SPO X GRE 10-05-2008;1;661429;SPO;GRE;10-05-2008;https://www.sofascore.com/pt/gremio-sao-paulo/GOsBtc;0;1
VIT X CRU 10-05-2008;1;661422;VIT;CRU;10-05-2008;https://www.sofascore.com/pt/vitoria-cruzeiro/eOsmO;0;2
BOT X SPT 11-05-2008;1;661420;BOT;SPT;11-05-2008;https://www.sofascore.com/pt/sport-recife-botafogo/iOsjO;2;0
CFC X PAL 11-05-2008;1;661424;CFC;PAL;11-05-2008;https://www.sofascore.com/pt/coritiba-palmeiras/nOsHO;2;0
INT X VAS 11-05-2008;1;661421;INT;VAS;11-05-2008;https://www.sofascore.com/pt/vasco-da-gama-internacional/qOszO;1;0
IPT X CAP 11-05-2008;1;661427;IPT;CAP;11-05-2008;https://www.sofascore.com/pt/ipatinga-athletico-paranaense/rOsXVc;0;1
CAM X FLU 11-05-2008;1;661428;CAM;FLU;11-05-2008;https://www.sofascore.com/pt/atletico-mineiro-fluminense/lOsCO;0;0
FLA X SAN 11-05-2008;1;661426;FLA;SAN;11-05-2008;https://www.sofascore.com/pt/flamengo-santos/tOsGuc;3;1
POR X FIG 11-05-2008;1;661423;POR;FIG;11-05-2008;https://www.sofascore.com/pt/portuguesa-de-desportos-figueirense/KOsWMi;5;5
CRU X BOT 17-05-2008;2;662746;CRU;BOT;17-05-2008;https://www.sofascore.com/pt/botafogo-cruzeiro/eOsiO;1;0
SPT X VIT 17-05-2008;2;662743;SPT;VIT;17-05-2008;https://www.sofascore.com/pt/vitoria-sport-recife/jOsmO;0;0
VAS X POR 17-05-2008;2;662744;VAS;POR;17-05-2008;https://www.sofascore.com/pt/portuguesa-de-desportos-vasco-da-gama/zOsWMi;3;1
CAP X SPO 18-05-2008;2;662742;CAP;SPO;18-05-2008;https://www.sofascore.com/pt/sao-paulo-athletico-paranaense/rOsGO;1;1
FLU X NAU 18-05-2008;2;662736;FLU;NAU;18-05-2008;https://www.sofascore.com/pt/nautico-fluminense/lOslP;0;2
GOI X CAM 18-05-2008;2;662738;GOI;CAM;18-05-2008;https://www.sofascore.com/pt/atletico-mineiro-goias/kOsCO;1;1
