game;fixture;id;team_home;team_away;date;link;home_score;away_score
BLR X WOL 13-08-2011;1;1768168;BLR;WOL;13-08-2011;https://www.sofascore.com/pt/blackburn-rovers-wolverhampton/dsW;1;2
FUL X ASV 13-08-2011;1;1768169;FUL;ASV;13-08-2011;https://www.sofascore.com/pt/fulham-aston-villa/PsT;0;0
LIV X SUN 13-08-2011;1;1768170;LIV;SUN;13-08-2011;https://www.sofascore.com/pt/liverpool-sunderland/QU;1;1
QPR X BOL 13-08-2011;1;1768173;QPR;BOL;13-08-2011;https://www.sofascore.com/pt/bolton-wanderers-queens-park-rangers/bsf;0;4
TOT X EVE 13-08-2011;1;1768175;TOT;EVE;13-08-2011;https://www.sofascore.com/pt/everton-tottenham/UwXh;-1;-1
WIG X NOR 13-08-2011;1;1768177;WIG;NOR;13-08-2011;https://www.sofascore.com/pt/wigan-athletic-norwich-city/Znf;1;1
NEW X ARS 13-08-2011;1;1768171;NEW;ARS;13-08-2011;https://www.sofascore.com/pt/arsenal-newcastle-united/Ardc;0;0
STO X CHE 14-08-2011;1;1768174;STO;CHE;14-08-2011;https://www.sofascore.com/pt/chelsea-stoke-city/EN;0;0
WBA X MUN 14-08-2011;1;1768176;WBA;MUN;14-08-2011;https://www.sofascore.com/pt/west-bromwich-albion-manchester-united/iK;1;2
MCI X SWA 15-08-2011;1;1768172;MCI;SWA;15-08-2011;https://www.sofascore.com/pt/swansea-city-manchester-city/rzb;4;0
TOT X EVE 11-01-2012;1;2155438;TOT;EVE;11-01-2012;https://www.sofascore.com/pt/everton-tottenham/UwXh;2;0
SUN X NEW 20-08-2011;2;1768346;SUN;NEW;20-08-2011;https://www.sofascore.com/pt/sunderland-newcastle-united/OQ;0;1
ARS X LIV 20-08-2011;2;1768339;ARS;LIV;20-08-2011;https://www.sofascore.com/pt/liverpool-arsenal/HQfh;0;2
ASV X BLR 20-08-2011;2;1768340;ASV;BLR;20-08-2011;https://www.sofascore.com/pt/blackburn-rovers-aston-villa/PsW;3;1
EVE X QPR 20-08-2011;2;1768343;EVE;QPR;20-08-2011;https://www.sofascore.com/pt/everton-queens-park-rangers/bY;0;1
SWA X WIG 20-08-2011;2;1768347;SWA;WIG;20-08-2011;https://www.sofascore.com/pt/swansea-city-wigan-athletic/Zszb;0;0
CHE X WBA 20-08-2011;2;1768342;CHE;WBA;20-08-2011;https://www.sofascore.com/pt/west-bromwich-albion-chelsea/wv;2;1
NOR X STO 21-08-2011;2;1768345;NOR;STO;21-08-2011;https://www.sofascore.com/pt/stoke-city-norwich-city/GNGc;1;1
WOL X FUL 21-08-2011;2;1768348;WOL;FUL;21-08-2011;https://www.sofascore.com/pt/fulham-wolverhampton/dsT;2;0
BOL X MCI 21-08-2011;2;1768341;BOL;MCI;21-08-2011;https://www.sofascore.com/pt/bolton-wanderers-manchester-city/fsr;2;3
MUN X TOT 22-08-2011;2;1768344;MUN;TOT;22-08-2011;https://www.sofascore.com/pt/manchester-united-tottenham/IsK;3;0
ASV X WOL 27-08-2011;3;1768349;ASV;WOL;27-08-2011;https://www.sofascore.com/pt/aston-villa-wolverhampton/dsP;0;0
WIG X QPR 27-08-2011;3;1768358;WIG;QPR;27-08-2011;https://www.sofascore.com/pt/wigan-athletic-queens-park-rangers/bsZ;2;0
BLR X EVE 27-08-2011;3;1768350;BLR;EVE;27-08-2011;https://www.sofascore.com/pt/everton-blackburn-rovers/WsY;0;1
CHE X NOR 27-08-2011;3;1768351;CHE;NOR;27-08-2011;https://www.sofascore.com/pt/chelsea-norwich-city/Nnf;3;1
SWA X SUN 27-08-2011;3;1768355;SWA;SUN;27-08-2011;https://www.sofascore.com/pt/swansea-city-sunderland/Qzb;0;0
LIV X BOL 27-08-2011;3;1768352;LIV;BOL;27-08-2011;https://www.sofascore.com/pt/bolton-wanderers-liverpool/fsU;3;1
NEW X FUL 28-08-2011;3;1768354;NEW;FUL;28-08-2011;https://www.sofascore.com/pt/fulham-newcastle-united/OsT;2;1
TOT X MCI 28-08-2011;3;1768356;TOT;MCI;28-08-2011;https://www.sofascore.com/pt/tottenham-manchester-city/rI;1;5
WBA X STO 28-08-2011;3;1768357;WBA;STO;28-08-2011;https://www.sofascore.com/pt/west-bromwich-albion-stoke-city/iE;0;1
MUN X ARS 28-08-2011;3;1768353;MUN;ARS;28-08-2011;https://www.sofascore.com/pt/arsenal-manchester-united/KR;8;2
ARS X SWA 10-09-2011;4;1768972;ARS;SWA;10-09-2011;https://www.sofascore.com/pt/swansea-city-arsenal/Rszb;1;0
EVE X ASV 10-09-2011;4;1768974;EVE;ASV;10-09-2011;https://www.sofascore.com/pt/everton-aston-villa/PY;2;2
MCI X WIG 10-09-2011;4;1768976;MCI;WIG;10-09-2011;https://www.sofascore.com/pt/wigan-athletic-manchester-city/rsZ;3;0
STO X LIV 10-09-2011;4;1768980;STO;LIV;10-09-2011;https://www.sofascore.com/pt/liverpool-stoke-city/EU;1;0
