game;fixture;id;team_home;team_away;date;link;home_score;away_score
BAY X SVW 26-08-2016;1;7108253;BAY;SVW;26-08-2016;https://www.sofascore.com/pt/bayern-munchen-werder-bremen/Jabsxdb;6;0
KOL X D98 27-08-2016;1;7108259;KOL;D98;27-08-2016;https://www.sofascore.com/pt/1-fc-koln-darmstadt-98/Bbbswdb;2;0
AUG X WOB 27-08-2016;1;7108255;AUG;WOB;27-08-2016;https://www.sofascore.com/pt/augsburg-wolfsburg/zabsacb;0;2
DOR X MAI 27-08-2016;1;7108267;DOR;MAI;27-08-2016;https://www.sofascore.com/pt/borussia-dortmund-1-fsv-mainz-05/gbbsydb;2;1
SGE X S04 27-08-2016;1;7108249;SGE;S04;27-08-2016;https://www.sofascore.com/pt/eintracht-frankfurt-fc-schalke-04/Fabszdb;1;0
HSV X ING 27-08-2016;1;7108254;HSV;ING;27-08-2016;https://www.sofascore.com/pt/ingolstadt-hamburger-sv/BdbsFrc;1;1
BMG X BLK 27-08-2016;1;7108263;BMG;BLK;27-08-2016;https://www.sofascore.com/pt/bayer-04-leverkusen-borussia-mgladbach/CabsGdb;2;1
BCS X SCF 28-08-2016;1;7108248;BCS;SCF;28-08-2016;https://www.sofascore.com/pt/freiburg-hertha-bsc/DabsNab;2;1
TSG X RBL 28-08-2016;1;7108647;TSG;RBL;28-08-2016;https://www.sofascore.com/pt/rb-leipzig-1899-hoffenheim/ubbskCo;2;2
S04 X BAY 09-09-2016;2;7108303;S04;BAY;09-09-2016;https://www.sofascore.com/pt/bayern-munchen-fc-schalke-04/Fabsxdb;0;2
BLK X HSV 10-09-2016;2;7108290;BLK;HSV;10-09-2016;https://www.sofascore.com/pt/bayer-04-leverkusen-hamburger-sv/BdbsGdb;3;1
D98 X SGE 10-09-2016;2;7108305;D98;SGE;10-09-2016;https://www.sofascore.com/pt/eintracht-frankfurt-darmstadt-98/Bbbszdb;1;0
SCF X BMG 10-09-2016;2;7108292;SCF;BMG;10-09-2016;https://www.sofascore.com/pt/freiburg-borussia-mgladbach/CabsNab;3;1
